kitabId,indo
1,Telah menceritakan kepada kami  dari  dari  dari  dari  ia berkata Datang kepada Rasulullah shallallahu alaihi wasallam seorang lakilaki lalu berkata Wahai Rasulullah apakah seseorang akan dihukum atas perbuatan jelek yang dilakukannya pada masa jahiliyah Rasul pun menjawab Barang siapa yang berkelakuan baik pada masa Islamnya ia tidak dihukum atas perbuatan jeleknya dimasa jahiliyah tetapi barang siapa yang berkelakuan tidak baik jahat pada masa Islamnya dia dihukum atas dosanya baik yang lalu ataupun yang selanjutnya 
1,Telah mengabarkan kepada kami  dari  dari Bani Al Harits bin Abu Al Haram dari Lakhmin dari  Bahwa seorang lakilaki datang kepada Nabi shallallahu alaihi wasallam lalu berkata Hai Rasulullah kami dahulu adalah orangorang jahiliyah penyembah berhala dan kami membunuh anakanak kami ketika itu kami mempunyai anak yang senang apabila saya memanggilnya Suatu hari saya pun memanggilnya dan dia langsung menyahut dan mengikuti saya Ketika saya sampai di sebuah sumur keluarga saya langsung memegang tangannya dan saya ceburkan dia ke sumur itulah akhir kebersamaan saya dengannya Dia memanggil wahai ayahku wahai ayahku  Rasulullah pun menangis sampai air matanya bercucuran Lalu seseeorang yang dudukduduk bersama Rasulullah shallallahu alaihi wasallam berkata kepada lakilaki tersebut kamu telah membuat Rasulullah shallallahu alaihi wasallam sedih Rasulullah shallallahu alaihi wasallam berkata kepada orang tersebut biarkan dia karena dia bertanya tentang sesuatu yang penting yang dihadapinya kemudian Rasul berkata kepada lakilaki tersebut Ulangi lagi cerita kamu tadi lalu dia pun mengulangi ceritanya dan Rasul menangis lagi sampai bercucuran air matanya membasahi jenggotnya lalu beliau bersabda Allah subhanahu wataala telah menghapus dosadosa yang dilakukan pada masa jahiliyah oleh karena itu mulailah perbuatan kamu dengan lembaran baru yang bersih 
1,Telah mengabarkan kepada kami  dari  dari  dari   menceritakan kepadaku bahwa keluarganya menitip sebuah wadah yang berisi keju dan susu untuk dipersembahkan kepada tuhantuhan mereka ia berkata keluargaku melarangku makan keju karena takut kepada tuhantuhan tersebut lalu datanglah seekor anjing memakan keju dan meminum susu serta kencing di atas patungpatung tersebut yaitu patung Iqaf dan nailah Harun berkata pada masa jahiliyah dulu apabila seorang lakilaki hendak bepergian dia akan mengikusertakan empat buah batu tiga diantaranya untuk menopangmenegakan priuk kualibejana dan yang keempatnya untuk ia sembah untuk melatih anjingnya serta untuk membunuh anaknya 
1,Telah menceritakan kepada kami  telah menceritakan kepada kami  telah menceritakan kepada kami  dari  ia berkata kami dulu pada masa jahiliyah apabila menemukan batu yang bagus kami pun menyembahnya dan apabila tidak mendapatkan yang bagus kami pun mengumpulkan pasir Kemudian kami mendatangkan onta yang shafi ketika onta tersebut sudah mengangkanginya kamipun memeras susunya untuk menyirami tumpukan pasir yang kami kumpulkan kemudian kami menyembah tumpukan pasir tersebut selama kami tinggal di tempat tersebut Abu Muhammad berkata onta shafi adalah onta yang banyak susunya 
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  dari  dari  ia berkata  berkata kami mendapatinya tertulis Muhammad Rasulullah shallallahu alaihi wasallam beliau tidak kasar tutur katanya tidak keras wataknya tidak bersuara keras ketika di pasar tidak membalas kejelekan dengan kejelekan tetapi membalasnya dengan memaafkan dan mengampuni umatnya adalah orangorang yang selalu bertahmid memuji Allah bertakbir mengagungkan Allah disetiap tempat yang tinggi pendakian atau peperangan mereka memuji Allah Subhanahu wa Taala di tiaptiap rumah mengenakan sarung pada bagian tengah mereka berwudlu pada setiap anggota wudlu mereka panggilan adzan mereka terdengar di langit shaf mereka pada waktu perang seperti shaf mereka pada waktu shalat suara mereka ketika membaca Al Quran dan berdzikir bagaikan gemuruh suara lebah tempat kelahiran beliau di Makkah dan tempat hijrahnya di thaabah Madinah dan kerajaannya berada di Syam 
1,Telah menceritakan kepada kami  telah menceritakan kepadaku  telah menceritakan kepadaku  dari  dari  dari  dari  bahwa ia berkata kami mendapati sifat Rasulullah shallallahu alaihi wasallam Sesungguhnya Kami mengutus kamu sebagai saksi pemberi kabar gembira dan sebagai pemberi peringatan yang menolong orang ummi engkau adalah hambaKu RasulKu Aku menamakannya Al Mutawakkil tutur katanya tidak kasar dan perangainya tidak keras tidak berteriakteriak di pasar dan tidak membalas kejelekan dengan kejelekan akan tetapi dengan memaafkannya sehingga kami meluruskan agama yang melenceng kepada persaksian bahwa tidak ada tuhan yang berhak disembah selain Allah Subhanahu wa Taala dengan persaksian tersebut kita dapat membuka mata yang buta telingatelinga yang pekak dan hatihati yang tertutup  berkata  memberitahukan kepada saya bahwa ia mendengar  juga berkata seperti apa yang dikatakan Ibnu salam 
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  dari  dari  dari  bahwa pada alinea pertama tertulis Muhammad adalah utusan Allah Subhanahu wa Taala dan hambaKu yang terpilih tutur katanya tidak kasar perangainya tidak keras tidak bersuara lantang di pasar tidak membalas kejelekan dengan kejelekan akan tetapi membalasnya dengan pemberian maaf dan ampunan tempat kelahirannya di Makkah dan tempat hijrahnya di Thaibah serta kerajaannyakekuasaannya di Syam Dan pada alenia kedua tertulis Muhammad utusan Allah Subhanahu wa Taala umatnya adalah orangorang yang selalu memuji Allah atas segala kemuliaan para pemantau matahari untuk mengetahui waktu shalat menunaikan shalat saat tiba waktunya meskipun mereka di saat berada pada tempat yang kotor mengenakan sarung pada bagian tengah membasuh wudlu pada seluruh anggota wudlu dan suara mereka di malam hari terdengar di udara bagaikan gemuruh suara lebah karena kegigihan ibadah dan tangisnya 
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  telah menceritakan kepada kami  dari  dari  Radliyallahuanhu bahwa ia bertanya kepada Kaab Al Ahbar Bagaimana kamu dapati sifat Rasulullah shallallahu alaihi wasallam dalam kitab Taurat  menjawab kami dapati ia Muhammad bin Abdullah dilahirkan di Makkah berhijrah ke Thaabah atau Madinah kerajaannya akan ada di Syam ia bukan orang keji ia tidak bersuara keras di pasar ia tidak membalas kejelekan dengan kejelekan tetapi memaafkan dan mengampuni umatnya senantiasa memuji Mereka memuji Allah Subhanahu wa Taala baik dalam keadaan senang atau susah mereka selalu mengagungkan Allah Subhanahu wa Taala dalam setiap kemenangan mereka membasuh anggota wudlu mereka mengenakan kain sarung pada bagian tengah mereka bereka berbaris dalam shalat seperti berbarisnya mereka dalam peperangan suara mereka di masjidmasjid mereka seperti gemuruh suara lebah terdengar suara mudzin mereka di angkasa 
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  telah menceritakan kepada kami  dari  dari  Rasulullah shallallahu alaihi wasallam bersabda  Telah datang kepada kalian seorang utusan yang tidak lemah dan juga tidak malas diutus untuk menyadarkan hatihati yang lalai membuka mata yang tertutup dan menjadikan telingatelinga yang tuli mendengar meluruskan lisan yang bengkok sehingga dikatakan tiada tuhan yang berhak disembah melainkan Allah Subhanahu wa Taala saja 
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  dari  dari  ia berkata Salah seorang sahabat Nabi shallallahu alaihi wasallam mempunyai keperluan dengan beliau Ia berjalan bersama beliau sampai ketika sudah memasuki rumah dan salah satu kaki beliau berada di dalam dan yang lainnya di luar rumah seakanakan Rasulullah shallallahu alaihi wasallam bercakapcakap dengan seorang lakilaki setelah itu beliau menoleh dan berbicara kepada sahabat tersebut Tahukah anda siapa yang aku ajak bicara dia adalah malaikat yang aku belum pernah melihatnya sebelum ini malaikat tersebut meminta izin Rabbnya agar dapat mengucapkan salam kepadaku Allah berfirman Sesungguhnya kami mendatangimu atau menurunkan Al Quran sebagai pemutus perkara dan As Sakinah sebagai kesabaran dan Al Furqon sebagai pedoman 
