kitabId,indo
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  ia berkata Rasulullah shallallahu alaihi wasallam bersabda Apa yang aku perintahkan maka ambillah dan apa yang aku larang maka tinggalkanlah
1,Telah menceritakan kepada kami  ia berkata telah memberitakan kepada kami  dari  dari  dari  ia berkata Rasulullah shallallahu alaihi wasallam bersabda Biarkanlah apa yang telah aku tinggalkan untuk kalian Sesungguhnya orangorang sebelum kalian binasa karena pertanyaan dan perselisihan mereka kepada para Nabinya Jika aku perintahkan kepada kalian terhadap suatu perkara maka laksanakanlah semampu kalian dan jika aku larang kalian dari suatu perkara maka jauhilah 
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dan  dari  dari  dari  ia berkata Rasulullah shallallahu alaihi wasallam bersabda  Barangsiapa mentaatiku maka ia telah taat kepada Allah dan barangsiapa durhaka kepadaku maka ia telah durhaka kepada Allah
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  ia berkata   Jika mendengar sebuah hadits dari Rasulullah shallallahu alaihi wasallam ia tidak melewatkannya dan tidak pula sibuk dengan yang lainnya 
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  ia berkata Rasulullah shallallahu alaihi wasallam keluar menemui kami sementara kami sedang memperbincangkan masalah kefaqiran dan kami merasa takut darinya Lalu beliau bersabda  Apakah kalian takut kepada kemiskinan Demi Dzat yang jiwaku berada di tanganNya sungguh akan diberikan kepada kalian dunia hingga hati salah seorang dari kalian tidak bisa berpaling kecuali akan menemuinya Sungguh telah aku tinggalkan untuk kalian perkara terang benderang malam dan siangnya sama Abu Darda berkata Demi Allah benar Rasulullah shallallahu alaihi wasallam telah meniggalkan bagi kita perkara yang terang benderang malam dan siangnya sama
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  ia berkata Rasulullah shallallahu alaihi wasallam bersabda  Akan senantiasa ada sekelompok dari umatku mendapat pertolongan Orangorang yang menghinakannya tidak akan membahayakan mereka hingga terjadi hari kiamat
1,Telah menceritakan kepada kami Abu Abdullah ia berkata telah menceritakan kepada kami  ia berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dan  dari  berkata Rasulullah shallallahu alaihi wasallam bersabda  Akan senantiasa ada sekelompok dari umatku yang tegar berdiri di atas perintah Allah tidak akan membahayakan mereka orang yang menyelisihinya
1,Telah menceritakan kepada kami Abu Abdullah ia berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  ia berkata aku mendengar  dan ia adalah sahabat yang mengalami shalat menghadap dua kiblat bersama Rasulullah shallallahu alaihi wasallam ia berkata Aku mendengar Rasulullah shallallahu alaihi wasallam bersabda  Allah akan senantiasa menanam tanaman pembaharu dalam agama ini yang akan Ia arahkan untuk ketaatan kepadaNya
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  ia berkata  berdiri khutbah ia lalu berkata Mana para ulama kalian Mana ulama kalian Aku mendengar Rasulullah shallallahu alaihi wasallam bersabda  Tidak akan terjadi hari kiamat hingga sekelompok dari ummatku menang di atas semua manusia mereka tidak menghiraukan orang yang menghinakannya dan tidak pula orang yang menolongnya
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  dari  berkata Rasulullah shallallahu alaihi wasallam bersabda  Akan senantiasa ada sekelompk dari umatku yang ditolong di atas kebenaran tidak membahayakan mereka orang yang menyelisihinya hingga datang keputusan Allah 
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  ia berkata aku mendengar  menyebutkan dari  dari  ia berkata Kami berada di sisi Nabi shallallahu alaihi wasallam beliau lalu membuat satu garis kemudian membuat dua garis di sisi kanannya dan dua garis lagi di sisi kirinya Kemudian beliau meletakkan tangannya di garis yang tengah seraya bersabda  Inilah jalan Allah Kemudian beliau membaca ayat ini Dan bahwa yang Kami perintahkan ini adalah jalanKu yang lurus maka ikutilah dia dan janganlah kamu mengikuti jalanjalan yang lain karena jalanjalan itu menceraiberaikan kamu dari jalanNya
1,Telah menceritakan kepada kami  berkata ia berkata telah menceritakan kepada kami  dari  berkata telah menceritakan kepadaku  dari  berkata Rasulullah shallallahu alaihi wasallam bersabda  Dikhawatirkan seseorang bersandaran di tempat duduknya diceritakan kepadanya sebuah hadits dariku namun ia berkata Antara kami dan kalian adalah kitabullah azza wajalla Apa yang kami temukan yang halal darinya maka kami menghalalkannya dan apa yang kami temukan yang haram darinya maka kami mengharamkannya Ketahuilah sesungguhnya apa yang diharamkan Rasulullah shallallahu alaihi wasallam adalah seperti yang diharamkan Allah
