kitabId,indo
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  Nabi shallallahu alaihi wasallam bersabda  Apabila salah seorang dari kalian bangun dari tidurnya jangan mencelupkan tangannya ke tempat wudlunya sehingga dia mencuci tangannya sebanyak tiga kali karena salah seorang dari kalian tidak tahu di mana tangannya bermalam
1,Telah mengabarkan kepada kami  dan  dari  dari  dari  dari  berkata  Rasulullah shallallahu alaihi wasallam apabila hendak melaksanakan shalat lail beliau menggosok mulutnya dengan siwak
1,Telah mengabarkan kepada kami  dia berkata Telah menceritakan kepada kami  berkata telah mengabarkan kepada kami  dari  dari  dia berkata Saya menemui Rasulullah shallallahu alaihi wasallam sedang beliau sedang bersiwak dan ujung siwak berada di ujung lidahnya beliau mengucapkan Aa Aa 
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  dia berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepadaku  dari  dia berkata Aku pernah menghadap kepada Rasulullah shallallahu alaihi wasallam dan bersamaku dua lakilaki dari bani Asyari satu di sebelah kananku dan yang satu lagi di sebelah kiriku sedangkan Rasulullah shallallahu alaihi wasallam sedang bersiwak Lalu kedua lakilaki tadi meminta jabatan kepegawaian kepada beliau maka aku Abu Musa berkata demi Dzat yang mengutus engkau sebagai Nabi pembawa kebenaran dua orang lakilaki tadi tidak mengungkapkan unegunegnya kepadaku dan aku juga tidak sadar kalau keduanya meminta jabatan kepegawaian kemudian seolaholah aku melihat siwak beliau yang berada di bawah bibirnya sehingga menyatu dan naik Lalu beliau bersabda kami tidak atau tidak akan  meminta pertolongan orang yang menginginkan jabatan kepegawaian maka pergilah kamu Beliau mengutusnya ke Yaman dan diboncengkan oleh Muadz bin Jabal Radliyallahuanhuma 
1,Telah mengabarkan kepada kami  dan  dari  yaitu Ibnu Jurai dia berkata telah menyampaikan kepadaku  dia berkata  telah berkata kepadaku saya mendengar dari  dari Nabi shallallahu alaihi wasallam beliau bersabda Bersiwak mendatangkan kewangian mulut dan mendapat ridha Allah
1,Telah mengabarkan kepada kami  dan  keduanya berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dia berkata bahwa Rasulullah shallallahu alaihi wasallam bersabda Aku sering menganjurkan kalian banyak bersiwak
1,Telah mengabarkan kepada kami  dari  dari  dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam bersabda Seandainya aku tidak khawatir memberatkan umatku aku pasti memerintahkan mereka untuk bersiwak setiap kali shalat 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  dia berkata Aku bertanya kepada Aisyah Apa yang pertama kali Rasulullah shallallahu alaihi wasallam kerjakan ketika masuk ke dalam rumahnya  berkata Bersiwak
1,Telah mengabarkan kepada kami  telah dibacakan kepadanya dan saya mendengarnya dari  dari  dari  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda Lima perkara yang termasuk fitrah berkhitan mencukur bulu kemaluan memotong kumis memotong kuku dan mencabut bulu ketiak 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  berkata saya mendengar  dari  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda Lima perkara yang termasuk fitrah memotong kumis mencabut bulu ketiak memotong kuku mencukur bulu kemaluan dan berkhitan 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda Ada lima perkara yang termasuk fitrah yaitu berkhitan mencukur bulu kemaluan mencabut bulu ketiak memotong kuku dan memotong kumis 
1,Telah mengabarkan kepada kami  telah dibacakan kepadanya dan saya mendengar dari  dari  dari  dari  bahwa Rasulullah shallallahu alaihi wasallam bersabda Termasuk fitrah adalah memotong kuku memotong kumis dan mencukur bulu kemaluan 
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  dari  dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam bersabda Barang siapa tidak memotong kumisnya dia tidak termasuk golongan kami 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam menentukan waktu bagi kita dalam masalah memotong kumis memotong kuku mencukur bulu kemaluan dan mencabut bulu ketiak yaitu supaya kami tidak membiarkannya lebih dari empat puluh hari Dalam kesempatan lain beliau bersabda Empat puluh malam
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  Telah mengabarkan kepadaku  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda Pendekkan kumis dan biarkan panjangkan jenggot
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dan  dari  dia berkata Aku pernah keluar bersama Rasulullah shallallahu alaihi wasallam ke tempat yang sepi apabila beliau ingin buang hajat beliau menjauh 
1,Telah mengabarkan kepada kami  Telah memberitakan kepada kami  dari  dari  dari  apabila Rasulullah shallallahu alaihi wasallam pergi ke tempat WC beliau menjauh Dia berkata Pernah Beliau shallallahu alaihi wasallam pergi untuk buang hajat saat safar Lalu beliau berkata Ambilkan air wudlu Aku segera mengambilkan air wudlu beliau segera berwudlu dan membasuh kedua sepatunya khuf Ini sebagaimana di katakan Syaikh Ismail yaitu Ibnu Jafar bin Abu Katsir Al Qori 
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  berkata Telah memberitakan kepada kami  dari  dari  dia berkata Aku pernah berjalan bersama Rasulullah shallallahu alaihi wasallam Ketika sampai di tempat pembuangan sampah suatu kaum beliau kencing sambil berdiri maka aku segera menjauh darinya Beliau kemudian memanggilku dan aku di belakangnya hingga beliau selesai Beliau lalu berwudlu dan mengusap kedua sepatunya khuf
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam apabila masuk WC beliau membaca doa Ya Allah aku berlindung kepadaMu dari kejahatan setan lakilaki dan setan perempuan 
1,Telah mengabarkan kepada kami  dan  dari  dia berkata Telah menceritakan kepadaku  dari  dari  bahwasanya dia mendengar  beliau sedang berada di Mesir dia berkata Demi Allah aku tidak tahu cara memperlakukan WCWC ini padahal Rasulullah shallallahu alaihi wasallam bersabda Apabila salah seorang dari kalian ingin buang air besar atau buang air kecil jangan menghadap kiblat atau membelakanginya
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  bahwa Rasulullah shallallahu alaihi wasallam bersabda Jangan kalian menghadap kiblat dan jangan membelakanginya ketika buang air besar atau buang air kecil tetapi menghadaplah ke timur atau barat
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  berkata Telah memberitakan kepada kami  berkata Telah memberitakan kepada kami  dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam bersabda Bila salah seorang dari kalian ingin buang air besar jangan menghadap kiblat tetapi menghadaplah ke timur atau barat
1,Telah mengabarkan kepada kami  dari  dari  dari  dari pamannya  dari  dia berkata Aku pernah naik ke atap rumah kami lalu aku melihat Rasulullah shallallahu alaihi wasallam sedang buang hajat di atas dua batu bata dalam keadaan menghadap arah Baitul Maqdis
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  berkata telah menceritakan kepadaku  bahwa  telah menceritakan kepadanya dari  bahwa Rasulullah shallallahu alaihi wasallam bersabda Apabila salah seorang dari kalian buang air kecil jangan menyentuh kemaluannya dengan tangan kanannya
1,Telah mengabarkan kepada kami  dari  dari  dari  dari  dari  berkata bahwa Rasulullah shallallahu alaihi wasallam bersabda Apabila salah seorang dari kalian buang air kecil jangan menyentuh kemaluannya dengan tangan kanannya
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  berkata Telah mengabarkan kepada kami  dari  dari  dari  Rasulullah shallallahu alaihi wasallam pernah mendatangi tempat pembuangan sampah suatu kaum lalu ia buang air kecil dengan berdiri
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  dia berkata Telah memberitakan kepada kami  dari  berkata saya mendengar  bahwasannya  telah berkata Rasulullah shallallahu alaihi wasallam pernah mendatangi tempat pembuangan sampah suatu kaum lalu ia buang air kecil dengan berdiri
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  berkata Telah memberitakan kepada kami  dari  dan  dari  dari  bahwasannya Rasulullah shallallahu alaihi wasallam pernah berjalan menuju tempat pembuangan sampah suatu kaum lalu ia buang air kecil dengan berdiri Sulaiman berkata dalam hadisnya dan Beliau mengusap kedua khufnya kedua sepatunya sedangkan Manshur tidak menyebutkan tentang mengusap khuf sepatu
1,Telah mengabarkan kepada kami  dia berkata Telah memberitakan kepada kami  dari  dari  dari  dia berkata Barangsiapa mengabarkan kepadamu bahwa Rasulullah shallallahu alaihi wasallam buang air kecil sambil berdiri jangan kamu mempercayainya karena Rasulullah shallallahu alaihi wasallam tidak buang air kecil kecuali sambil duduk 
1,Telah mengabarkan kepada kami  dari  dari  dari  dari  dia berkata  Rasulullah shallallahu alaihi wasallam pernah menemui kami dan di tangan beliau ada sesuatu yang mirip perisai dari kulit Beliau lalu meletakkannya dan duduk di belakangnya kemudian buang air kecil ke arah perisai tersebut Sebagian orang berkomentar Lihatlah beliau buang air kecil seperti perempuan  Ketika Rasulullah shallallahu alaihi wasallam mendengar ucapan tersebut beliau berkata Apakah kalian tidak tahu apa yang menimpa seorang Bani Israil Apabila seorang dari mereka terkena air kencing mereka menggunting kain yang terkena kencing tadi lalu temannya melarang mereka melakukan demikian sehingga ia disiksa di kuburnya 
1,Telah mengabarkan kepada kami  dari  dari  berkata Saya mendengar  berkata dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam pernah melewati dua kuburan lalu beliau bersabda  Kedua penghuni kubur ini disiksa dan keduanya disiksa bukan karena dosa besar Yang satu ini dulu tidak membersihkan air kencingnya sedangkan yang ini disiksa karena selalu mengadu domba Kemudian beliau meminta sepotong pelepah kurma yang masih basah Beliau membelahnya menjadi dua dan menancapkannya pada dua kuburan tersebut Beliau kemudian bersabda Semoga ini bisa meringankan keduanya selagi belum kering 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  berkata  berkata telah menceritakan kepadaku  dari Ibunya  dia berkata  Rasulullah shallallahu alaihi wasallam mempunyai bejana dari kayu kurma yang digunakan untuk buang air kecil Beliau menaruhnya dibawah tempat tidur
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  telah memberitakan kepada kami  dari  dari  dari  dia berkata  Orangorang berkata Rasulullah shallallahu alaihi wasallam mewasiatkan kepada Ali Beliau meminta sebuah baskom yang beliau pergunakan untuk buang air kecil lalu anggota tubuh beliau perlahanlahan lemah karena mendekati ajal aku tidak merasakan hal itu dan kepada siapakah ia berwasiat Amr bin Ali mengatakan yang dimaksud Syaikh Azhar adalah Ibnu Said bin Saman 
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  berkata  telah menceritakan kepadaku dari  dari  bahwa Rasulullah shallallahu alaihi wasallam bersabda  Jangan sekalikali salah seorang diantara kalian buang air kecil di lubang Mereka bertanya kepada Qatadah kenapa dilarang buang air kecil di lubang dia menjawab ada berita itu tempat tinggal jin 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau melarang buang air kecil didalam air yang tergenang tidak mengalir
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  dari  dari  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda  Jangan kalian buang air kecil di tempat pemandian karena kebanyakan rasa waswas itu berasal darinya
1,Telah mengabarkan kepada kami  telah menceritakan kepada kami  dan  keduanya berkata telah memberitakan kepada kami  dari  dari  dari  dia berkata  Seorang lakilaki melewati Rasulullah shallallahu alaihi wasallam dan beliau sedang buang air kecil Orang itu lalu mengucapkan salam kepada beliau namun beliau tidak menjawabnya 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  berkata telah memberitakan kepada kami  dari  dari  dari  dari   Ia pernah memberi salam kepada Rasulullah shallallahu alaihi wasallam ketika ia sedang buang air kecil dan Rasulullah shallallahu alaihi wasallam tidak membalas salamnya Setelah berwudlu beliau membalas salamnya
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  berkata telah mengabarkan kepadaku  dari  dari  dari  bahwa Rasulullah shallallahu alaihi wasallam melarang bersuci dengan tulang atau kotoran hewan
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  berkata telah mengabarkan kepadaku  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda Aku bagi kalian seperti seorang ayah Aku mengajari kalian apabila kalian hendak pergi ke WC janganlah menghadap kiblat dan jangan membelakanginya serta jangan bersuci dengan tangan kanan Beliau juga memerintahkan untuk bersuci dengan tiga batu Beliau melarang bersuci dengan kotoran hewan dan tulang 
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  dia berkata Seseorang bertanya kepadaku Apakah temanmu Rasulullah shallallahu alaihi wasallam mengajarimu sampai masalah buang hajat Aku menjawab Ya beliau shallallahu alaihi wasallam melarang kami menghadap kiblat sewaktu buang air besar atau buang air kecil atau bersuci dengan tangan kanan atau hanya mencukupkan bersuci dengan batu kurang dari tiga 
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  dari  dari  dia berkata bukan Abu Ubaidah yang disebutkan tapi  dari  bahwasannya dia mendengar  berkata  Rasulullah shallallahu alaihi wasallam pergi untuk buang air besar lalu beliau menyuruhku membawa tiga batu Tetapi aku hanya mendapatkan dua batu dan aku berusaha mencari yang ketiga namun aku tidak mendapatkannya Lalu aku mengambil kotoran hewan yang kering dan aku bawa ke Rasulullah shallallahu alaihi wasallam Beliau hanya mengambil dua batu dan membuang kotoran lalu bersabda Ini adalah riks najis Abu Abdurrahman berkata Ar riks adalah makanan jin
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  dari  dari  dari  dari Rasulullah shallallahu alaihi wasallam beliau bersabda  Bila kamu bersuci dengan batu maka gunakan dengan jumlah batu yang ganjil 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  dari  bahwa Rasulullah shallallahu alaihi wasallam bersabda  Bila salah seorang dari kalian pergi ke WC maka bawalah tiga buah batu dan bersucilah dengannya Itu telah mencukupi
1,Telah mengabarkan kepada kami  dia berkata telah memberitakan kepada kami  berkata telah memberitakan kepada kami  dari  dia berkata Saya mendengar dari  dia berkata  Bila Rasulullah shallallahu alaihi wasallam masuk WC maka aku dan seorang anak sebayaku membawakan seember air dan beliau beristinja dengan air
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  dia berkata  Perintahkan suamisuami kalian bersuci dengan air karena aku malu untuk mengatakan kepada mereka bahwa Rasulullah shallallahu alaihi wasallam melakukan hal tersebut
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  berkata telah memberitakan kepada kami  dari  dari  dari  bahwa Rasulullah shallallahu alaihi wasallam bersabda  Apabila salah seorang dari kalian minum maka jangan bernafas di dalam tempat air tersebut Bila kalian pergi ke WC maka jangan menyentuh kemaluan dengan tangan kanan serta jangan mengusap dengan tangan kanan
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  dari  bahwa Rasulullah shallallahu alaihi wasallam melarang seseorang bernafas ditempat air minum menyentuh kemaluan dengan tangan kanannya dan bersuci dengan tangan kanannya 
1,Telah mengabarkan kepada kami  dan  dari  dari  dari  dan  dari  dari  dari  dia berkata Orangorang musyrik berkata Kami tahu bahwa temanmu Rasulullah shallallahu alaihi wasallam mengajarimu cara buang hajat Aku menjawab Ya beliau melarang kami bersuci dengan tangan kanan dan menghadap kiblat Dan Beliau pernah bersabda Jangan kamu bersuci dengan batu kurang dari tiga buah
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  dari  dari  dari  dari  dia berkata Rasulullah shallallahu alaihi wasallam pernah berwudlu setelah bersuci dari buang air beliau menggosok tangannya dengan tanah 
1,Telah mengabarkan kepada kami  dia berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dia berkata Aku pernah bersama Rasulullah shallallahu alaihi wasallam lalu beliau pergi ke WC untuk buang air besar kemudian beliau memanggilku Wahai Jarir bawa kemari sesuatu yang bisa dipakai bersuci Aku segera membawakan air dan beliau bersuci dengan air tersebut Setelah itu beliau menggosok tangannya dengan tanah Abu Abdurrahman berkata  Kebenaran hadits ini mirip dengan hadits Syarik Wallahu Subhanahu wa Taala Alam 
1,Telah mengabarkan kepada kami  dan  dari  dari  dari  dari  dari  berkata Rasulullah shallallahu alaihi wasallam pernah ditanya tentang air dan air yang diminum oleh hewan ternak dan binatang buas berulang kali Beliau shallallahu alaihi wasallam lalu menjawab  Bila air itu lebih dari dua qulah maka tidak mengandung najis 
