kitabId,indo
1,telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dan telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  dari  dari Nabi Shallahu alaihi wa Sallam beliau bersabda  Tidak akan diterima shalat yang dilakukan tanpa bersuci dan tidak akan diterima sedekah yang berasal dari harta curian Hannad menyebutkan dalam haditsnya tidak suci Abu Isa berkata Hadits ini adalah yang paling shahih dan paling baik dalam bab ini Dalam bab tersebut juga ada hadits dari Abu Al Malih dari Bapaknya dan Abu Hurairah dan Anas Dan Abu Al Malih bin Usamah namanya adalah Amir disebut juga Zaid bin Usamah bin Umair Al Hudzali
1,Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  Dari jalur yang lain dan telah menceritakan kepada kami  dari  dari  dari  dari  ia berkata Rasulullah Shallahu alaihi wa Sallam bersabda  Jika seorang muslim atau seorang mukmin berwudlu lalu ia membasuh wajahnya maka dosadosa yang berada di wajahnya karena pandangan mata akan keluar bersama air atau bersama tetesan air yang terakhir atau yang semisal itu Jika ia membasuh tangan maka dosadosa dari tangannya akan keluar bersama air atau bersama tetesan air yang terakhir hingga ia keluar tanpa dosa sedikitpun Abu Isa berkata Ini adalah hadits hasan shahih yaitu hadits riwayat Malik dari Suhail dari bapaknya dari Abu Hurairah dan Abu Shalih ayah Suhail yaitu Abu Shalih As Samman dan namanya adalah Dzakwan Abu Hurairah sendiri masih diperselisihkan tentang namanya sebagian mengatakan Abdu Syamsi sebagian mengatakan Abdullah bin Amru dan seperti inilah Muhammad bin Ismail berkata Itu yang paling benar Abu Isa berkata dalam bab ini juga ada riwayat dari Utsman bin Affan Tsauban Ash Shunabihi Umar bin Abasah Salman Abdullah bin Amru dan Ash Shunabihi yang meriwayatkan dari Abu Bakar Ash Shiddiq namun ia tidak mendengar langsung dari Rasulullah Shallahu alaihi wa Sallam Namanya adalah Abdurrahman bin Usailah sedang julukannya Abu Abdullah ia melakukan perjalanan untuk menemui Rasulullah Shallahu alaihi wa Sallam sedangkan Nabi Shallahu alaihi wa Sallam sendiri telah wafat ketika ia masih dalam perjalanan Ia telah meriwayatkan beberapa hadits dari Nabi Shallahu alaihi wa Sallam Ash Shunabi Ibnul Asar Al Ahmasi adalah seorang sahabat Nabi Shallahu alaihi wa Sallam ia disebut juga dengan nama Ash Shunabihi Hadits yang ia riwayatkan adalah ia berkata aku mendengar Nabi Shallahu alaihi wa Sallam bersabda Sesungguhnya aku akan berbanyakbanyakkan umat maka jangan sekalikali kalian saling membunuh setelahku
1,Telah menceritakan kepada kami  dan  dan  mereka berkata telah menceritakan kepada kami  dari  dalam jalur lain disebutkan Telah menceritakan kepada kami  berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  dari Nabi Shallahu alaihi wa Sallam beliau bersabda  Kunci shalat adalah bersuci keharamannya adalah takbir dan penghalalannya adalah salam Abu Isa berkata Hadits ini adalah yang paling shahih dan paling baik dalam bab ini Abdullah bin Muhammad bin Aqil adalah seorang yang jujur namun ada beberapa ahli ilmu yang memperbincangkan tentang hafalannya Abu Isa berkata Aku telah mendengar Muhammad bin Ismail berkata Ahmad bin Hanbal Ishaq bin Ibrahim dan Al Humaidi mereka berdalil dengan hadits Abdullah bin Muhammad bin Aqil Muhammad berkata Masanya berdekatan Abu Isa berkata Dalam bab ini juga ada riwayat dari Jabir dan Abu Said
1,telah menceritakan kepada kami  dan tidak hanya satu ia berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  Radliaallahu anhuma ia berkata Rasulullah Shallahu alaihi wa Sallam bersabda  Kunci surga adalah shalat sedang kunci shalat adalah wudlu
1,telah menceritakan kepada kami  dan  mereka berkata telah menceritakan kepada kami  dari  dari  dari  ia berkata Nabi Shallahu alaihi wa Sallam jika akan masuk WC beliau mengucapkan ALLAHUMMA INNI AUUDZU BIKA Ya Allah sesungguhnya aku berlindung kepadaMu Syubah berkata Dalam waktu lain beliau mengucapkan AUUDZU BIKA MINAL KHUBTSI WAL KHUBIIS Aku berlindung kepadaMu dari setan lakilaki dan setan perempuan atau AL KHUBUTSI WAL KHABAITS Aku berlindung kepadaMu dari setan lakilaki dan setan perempuan Abu Isa berkata Dalam bab ini juga ada riwayat dari Ali Zaid bin Arqam Jabir dan Ibnu Masud Abu Isa berkata Hadits Anas bin Isa adalah yang paling shahih dan paling baik dalam bab ini Sedangkan dalam hadits Zaid bin Arqam dalam sanadnya ada kerancuan Hadits ini juga diriwayatkan oleh Hisyam Ad Dastuwai dan Said bin Abu Arubah dari Qatadah Said menyebutkan dari Al Qasim bin Auf Asy Syaibani dari Zaid bin Arqam Dan Hisyam Ad Dastuwai dari Qatadah dari Zaid bin Arqam sedang Syubah dan Mamar meriwayatkannya dari Qatadah dari An Nadlr bin Anas Syubah menyebutkan dari Zaid bin Arqam Mamar menyebutkan dari An Nadlr bin Anas dari bapaknya dari Nabi Shallahu alaihi wa Sallam Abu Isa berkata Aku bertanya kepada Muhammad tentang riwayat tersebut maka ia menjawab Masih dimungkinkan bahwa Qatadah meriwayatkan dari keduanya
1,telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  berkata Nabi Shallahu alaihi wa Sallam jika masuk ke dalam WC beliau mengucapkan ALLAHUMMA INNI AUUDZU BIKA MINAL KHUBUTSI WAL KHABAITS Ya Allah aku berlindung kepadaMu dari setan lakilaki dan perempuan Abu Isa berkata Ini adalah hadits hasan shahih
1,telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  dari  Radliaallahu anha ia berkata Apabila Nabi Shallahu alaihi wa Sallam keluar dari WC beliau membaca  GHUFRAANAKA Aku mengharap ampunanMu Abu Isa berkata Hadits ini derajatnya Hasan Gharib kami tidak mengetahuinya kecuali ia adalah dari hadits Israil dari Yusuf bin Abu Burdah sedangkan Abu Burdah bin Abu Musa namanya adalah Amir bin Abdullah bin Qais Al Asyari Dan kami tidak mengetahui dalam bab ini kecuali hadits Aisyah Radliaallahu anha dari Nabi Shallahu alaihi wa Sallam 
1,telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  ia berkata Rasulullah Shallahu alaihi wa Sallam bersabda  Jika engkau buang hajat maka janganlah menghadap kiblat atau membelakanginya baik buang air besar ataupun air kecil Akan tetapi menghadaplah ke timur atau ke barat Abu Ayyub berkata Ketika kami tiba di Syam kami mendapati WC mereka dibangun menghadap arah kiblat maka kami berpaling darinya dan beristighfar kepada Allah Abu Isa berkata Dalam bab ini juga ada riwayat dari Abdullah bin Al Harits bin Jazi Az Zubaidi dan Maqil bin Abu Al Haitsam disebut juga dengan Maqil bin Abu Umamah Abu Hurairah dan Suhail bin Hanif Abu Isa berkata Dalam bab ini hadits riwayat Abu Ayyub adalah yang paling baik dan paling shahih Abu Ayyub namanya adalah Khalid bin Zaid sedangkan Az Zuhri namanya adalah Muhammad bin Muslim bin Ubaidullah bin Syihab Az Zuhri julukannya adalah Abu Bakr Abu Al Walid Al Makki berkata Abu Abdullah Muhammad bin bin Idris Asy Syafii berkata Hanyasanya makna dari sabda Nabi Shallahu alaihi wa Sallam Janganlah kalian menghadap kiblat atau membelakanginya ketika buang air besar atau kecil adalah di tempat yang terbuka Adapun jika di dalam bangunan yang tertutup maka di sana ada keringanan untuk menghadap ke arah kiblat Seperti ini pula yang dikatakan oleh Ishaq bin Ibrahim Sedangkan Ahmad bin Hanbal Rahimahullah mengatakan Keringanan ketika buang air besar atau kecil dari Nabi Shallahu alaihi wa Sallam itu hanya untuk membelakanginya adapun menghadap ke arahnya tetap tidak diperbolehkan Seakanakan Imam Ahmad tidak membedakan di padang pasir atau dalam bangunan yang tertutup untuk menghadap ke arah kiblat
1,telah menceritakan kepada kami  dan  keduanya berkata telah menceritakan kepada kami  berkata telah menceritakan kepada kami  dari  dari  dari  dari  ia berkata Nabi Shallahu alaihi wa Sallam melarang menghadap arah kiblat ketika hendak kencing namun aku melihat beliau setahun sebelum wafat menghadap arah kiblat Dalam bab ini juga ada riwayat dari Abu Qatadah Aisyah dan Ammar bin Yasir Abu Isa berkata Dalam bab ini hadits riwayat Jabir derajatnya adalah hasan gharib
1,Dan hadits ini telah diriwayatkan oleh  dari  dari  dari  bahwa dia pernah melihat Nabi Shallahu alaihi wa Sallam kencing menghadap ke arah Qiblat  telah menceritakan demikian kepada kami ia berkata Ibnu Lahiah telah menceritakan kepada kami Dan hadits Jabir yang diriwayatkan dari Nabi Shallahu alaihi wa Sallam lebih shahih dari hadits Ibnu Lahiah karena Ibnu Lahiah adalah seorang yang lemah menurut para ahli hadits Imam Yahya bin Said Al Qaththan dan yang lainnya telah mendlaifkannya dari sisi hafalannya
