kitabId,indo
1, maka beliau menjauh
1, maka beliau pergi hingga tidak ada seorang pun yang melihatnya
1,Apabila salah seorang dari kalian hendak buang air kecil maka hendaklah dia mencari tempat yang bertanah lunak untuk kencingnya
1,Ya Allah sesungguhnya aku berlindung kepadamu sedangkan yang dia riwayatkan dari Abdul Harits beliau mengucapkan Aku berlindung kepada Allah dari setan jantan dan setan betina Abu Dawud mengatakan Syubah meriwayatkan dari Abdul Aziz dengan lafazh Ya Allah sesungguhnya aku berlindung kepadaMu dalam kesempatan lain dia meriwayatkan dengan lafazh Aku berlindung kepada Allah dan Wuhaib menyebutkan Hendaklah dia berlindung kepada Allah Telah menceritakan kepada kami Al Hasan bin Amru yakni As Sadusi telah menceritakan kepada kami Waki dari Syubah dari Abdul Aziz yaitu Ibnu Shuhaib dari Anas dengan lafazh hadits ini dia Syubah meriwayatkan dari Abdul Aziz dengan lafazh Ya Allah sesungguhnya aku berlindung kepadaMu Syubah mengatakan Abdul Aziz dalam kesempatan lain meriwayatkan dengan lafazh Aku berlindung kepada Allah
1,Sesungguhnya tempat buang hajat itu dihadiri oleh setansetan maka apabila salah seorang dari kalian mendatangi WC hendaklah dia mengucapkan Aku berlindung kepada Allah dari setan jantan dan setan betina
1,Sungguh Nabi kalian telah mengajarkan kepada kalian segala sesuatu hingga urusan buang hajat Salman menjawab Benar beliau shallallahu alaihi wasallam telah melarang kami menghadap kiblat pada saat buang air besar atau buang air kecil agar kami tidak beristinja dengan tangan kanan agar salah seorang dari kami tidak beristinja dengan kurang dari tiga batu atau beristinja dengan kotoran binatang atau tulang
1,Sesungguhnya aku bagi kalian hanyalah seperti kedudukan orang tua aku ajarkan kepada kalian apabila salah seorang dari kalian hendak buang air janganlah dia menghadap kiblat jangan pula membelakanginya dan jangan beristinja dengan tangan kanannya
1,Apabila kalian mendatangi tempat buang hajat maka janganlah kalian menghadap kiblat pada saat buang air besar dan buang air kecil akan tetapi menghadaplah ke timur atau ke barat
1,Telah menceritakan kepada kami Musa bin Ismail telah menceritakan kepada kami Wuhaib telah menceritakan kepada kami Amru bin Yahya dari Abu Zaid dari Abu Maqil Al Asadi dia berkata Rasulullah shallallahu alaihi wasallam melarang kita menghadap dua kiblat Makkah dan Baitul Maqdis pada saat buang air besar atau buang air kecil Abu Dawud mengatakan Abu Zaid adalah mantan sahaya Bani Tsalabah 
1,wahai Abu Abdurrahman bukankah hal ini telah dilarang Dia menjawab Benar akan tetapi hal itu dilarang jika dilakukan di tempat terbuka apabila antara dirimu dan kiblat ada sesuatu yang menutupimu maka itu tidaklah mengapa
1,Sungguh saya pernah naik atap rumah lalu saya melihat Rasulullah shallallahu alaihi wasallam di atas dua batu bata menghadap Baitul Maqdis dalam keadaan buang hajatnya
1, kemudian saya melihat beliau setahun sebelum wafat buang air kecil menghadap kiblat 
1, namun dia Al Amasy dhaif Abu Isa Ar Ramli berkata Telah menceritakan kepada kami Ahmad bin Al Walid telah menceritakan kepada kami Amru bin Aun telah mengabarkan kepada kami Abdussalam dengan hadits ini 
