kitabId,indo
1,Apa maksudmu hai Mughirah bukankah kamu tahu Jibril telah turun kemudian shalat dan Rasulullah shallallahu alaihi wasallam ikut shalat kemudian dia shalat dan Rasulullah shallallahu alaihi wasallam ikut shalat kemudian dia shalat dan Rasulullah shallallahu alaihi wasallam ikut shalat juga kemudian dia shalat dan Rasulullah shallallahu alaihi wasallam ikut shalat Lalu Jibril berkata Seperti ini aku diperintahkan  maka Umar bin Abdul Aziz bertanya perhatikanlah apa yang kamu riwayatkan hai Urwah Apakah Jibril yang mengajarkan waktu shalat untuk Rasulullah shallallahu alaihi wasallam Urwah menjawab  Basyir bin Masud al Anshari menceritakan dari Bapaknya seperti itu juga
1,Dimana lakilaki yang bertanya kepadaku tentang waktu shalat subuh Lakilaki itu menjawab Saya Wahai Rasulullah  maka beliau bersabda  waktu shalat subuh diantara dua waktu ini
1,ketika Rasulullah shallallahu alaihi wasallam selesai shalat subuh kaum wanita keluar dengan keadaan tertutup dengan kain mereka dan mereka masih tidak terinditifikasi karena gelap
1,Barangsiapa mendapatkan satu rakaat shalat subuh sebelum matahari terbit dia telah mendapatkan shalat subuh Barangsiapa mendapatkan satu rakaat shalat Ashar sebelum matahari terbenam maka dia telah mendapatkan shalat ashar
1,Menurutku yang paling penting dari urusan kalian adalah shalat Barangsiapa yang menjaganya dan memeliharanya maka dia telah menjaga agamanya Barangsiapa menyianyiakannya maka amalan yang lainnya akan lebih terabaikan  lalu dia menulis Hendaklah kalian shalat zhuhur ketika bayangan kalian sehasta hingga bayangan kalian seukuran persis dengan tubuh kalian Hendaklah kalian shalat ashar ketika matahari masih tinggi dan putih jernih dengan ukuran perjalanan berkendara sekitar dua atau tiga farsakh sebelum matahari terbenam laksanakanlah shalat maghrib ketika terbenamnya matahari dan isya ketika syafaq mega merah di langit setelah terbenamnya matahari telah hilang hingga sepertiga malam Barangsiapa yang tidur maka tidak terlelap matanya barangsiapa yang tidur tidak terlelap matanya Dan laksanakanlah shalat subuh ketika bintangbintang terlihat saling bercampur
1, dan akhirkan shalat Isya selagi kamu belum tidur dan laksanakanlah shalat subuh ketika bintangbintang terlihat saling bersusun dan bacalah di dalamnya dua surat panjang yang termasuk kategori dari suratsurat Al Mufasshal surat yang dimulai dari surat Al Hujurat sampai akhir  
1, bahwa laksanakanlah shalat ashar ketika matahari terlihat putih jernih dengan kadar perjalanan tiga farsakh dan laksanakanlah shalat Isya antara kamu shalat hingga sepertiga malam jika kamu ingin mengakhirkannya maka hingga separuh malam dan janganlah termasuk orangorang yang lalai 
1, istri Nabi shallallahu alaihi wasallam yaitu laksanakanlah shalat zhuhur ketika bayanganmu persis seperti tinggimu dan shalat ashar ketika bayanganmu menjadi dua kali lipat lebih panjang shalat maghrib ketika matahari terbenam dan Isya diantara kamu shalat dengan sepertiga malam Dan laksanakanlah shalat subuh di akhir malam masih suasana gelap 
1,Kami melaksanakan shalat ashar lalu seseorang keluar menuju bani Amru bin Auf dan dia masih mendapati mereka sedang shalat ashar
1,kami shalat asar lalu salah seorang dari kami pergi menuju Quba dan sesampainya di sana matahari masih terlihat tinggi
1,Aku tidak mendapati orangorang kecuali mereka sedang mengerjakan shalat zhuhur di waktu asyiy
1,Saya melihat permadani milik Uqail bin Abu Thalib pada Hari Jumat diletakkan di dinding masjid arah barat maka ketika bayangbayang permadani tersebut telah menutupi seluruh permadani Umar bin Al Khatthab keluar dan shalat Jumat Malik berkata Lalu kami pulang setelah shalat Jumat dan tidur qailulah di waktu siang
1, yang demikian itu untuk menyegerakan shalat jumat dan mempercepat perjalanan
1,Barangsiapa mendapatkan satu rakaat shalat maka dia telah mendapatkan shalat tersebut
1,Apabila kamu tertinggal dari ruku maka kamu telah ketinggalan satu rakaat
1,Maksud dari dulukus syamsi pergeseran matahari adalah tergelincirnya
1,Maksud dari dulukus syamsi pergeseran matahari  adalah apabila bayangbayang telah muncul Ghasaqul lail gelapnya malam  adalah malam yang telah sunyi senyap dan gelap
1,Orang yang ketinggalan shalat ashar seperti orang yang kehilangan keluarga dan hartanya
1,Apa yang menghalangimu untuk ikut shalat ashar lalu lakilaki itu menyebutkan alasannya maka Umar berkata kamu telah mengurangi pahalamu Malik berkata Setiap sesuatu ada yang lengkap dan kurang
1,orang yang melaksanakan shalat itu tidak menyianyiakan waktunya Jika tersita waktunya karena shalat maka itu lebih baik dari pada hilang keluarga dan hartanya
1,Menurut kami Allah yang lebih Tahu yang demikian itu apabila waktu telah lewat adapun orang yang sadar di waktunya maka dia harus shalat
