kitabId,indo
1,Barangsiapa menceritakan hadits dariku yang mana riwayat itu diduga adalah kebohongan maka dia perawi adalah salah satu dari para pembohong tersebut Telah menceritakan kepada kami Abu Bakar bin Abu Syaibah telah menceritakan kepada kami Waki dari Syubah dari al Hakam dari Abdurrahman bin Abu Laila dari Samurah bin Jundab dalam riwayat lain disebutkan dan juga telah menceritakan kepada kami Abu Bakar bin Abu Syaibah telah menceritakan kepada kami Waki dari Syubah dan Sufyan dari Habib dari Maimun bin Abu Syabib dari alMughirah bin Syubah keduanya berkata Rasulullah shallallahu alaihi wasallam bersabda tentang hal tersebut
1,Rasulullah shallallahu alaihi wasallam bersabda Janganlah kalian berdusta atas namaku karena siapa yang berdusta atas namaku niscaya dia masuk neraka
1,Barangsiapa yang sengaja melakukan kedustaan atas namaku maka hendaklah dia menempati tempat duduknya dari neraka
1,Rasulullah shallallahu alaihi wasallam bersabda Barangsiapa berdusta atas namaku maka hendaklah dia menempati tempat duduknya dari neraka
1,Aku mendatangi masjid sedangkan alMughirah gubernur Kufah Ia berkata Lalu alMughirah berkata Saya mendengar Rasulullah shallallahu alaihi wasallam bersabda Sesungguhnya berdusta atas namaku tidaklah sama dengan berdusta atas nama seseorang barangsiapa berdusta atas namaku secara sengaja maka hendaklah dia menempati tempat duduknya dari neraka Dan telah menceritakan kepadaku Ali bin Hujr as Sadi telah menceritakan kepada kami Ali bin Mushir telah mengabarkan kepada kami Muhammad bin Qais al Asdi dari Ali bin Rabiah al Asdi dari alMughirah bin Syubah dari Nabi shallallahu alaihi wasallam dengan semisal hadits tersebut hanya saja dia tidak menyebut Sesungguhnya berdusta atas namaku tidaklah sama dengan berdusta atas nama seseorang
1,Rasulullah shallallahu alaihi wasallam bersabda Cukuplah seseorang dianggap berbohong apabila dia menceritakan semua yang dia dengarkan Telah menceritakan kepada kami Abu Bakar bin Abu Syaibah telah menceritakan kepada kami Ali bin Hafsh telah menceritakan kepada kami Syubah dari Khubaib bin Abdurrahman dari Hafsh bin Ashim dari Abu Hurairah dari Nabi shallallahu alaihi wasallam dengan seperti hadits tersebut
1,Akan ada orangorang pada akhir umatku menceritakan sebuah hadits kepada kalian yang mana kalian belum pernah mendengarnya dan tidak pula bapak kalian Maka kalian jauhilah dan mereka jauhilah
1,Rasulullah shallallahu alaihi wasallam bersabda Akan ada di akhir zaman para Dajjal Pendusta membawa haditshadits kepada kalian yang mana kalian tidak pernah mendengarnya dan bapakbapak kalian juga belum pernah mendengarnya Maka kalian jauhilah dan mereka jauhilah Mereka tidak bisa menyesatkan kalian dan tidak bisa memfitnah kalian
2,Orang yang pertama kali membahas takdir di Bashrah adalah Mabad alJuhani maka aku dan Humaid bin Abdurrahman alHimyari bertolak haji atau umrah maka kami berkata Seandainya kami bertemu dengan salah seorang sahabat Rasulullah shallallahu alaihi wasallam maka kami akan bertanya kepadanya tentang sesuatu yang mereka katakan berkaitan dengan takdir Maka Abdullah bin Umar diberikan taufik oleh Allah untuk kami sedangkan dia masuk masjid Lalu aku dan temanku menghadangnya Salah seorang dari kami di sebelah kanannya dan yang lain di sebelah kirinya Lalu aku mengira bahwa temanku akan mewakilkan pembicaraan kepadaku maka aku berkata Wahai Abu Abdurrahman sesungguhnya nampak di hadapan kami suatu kaum membaca alQuran dan mencari ilmu lalu mengklaim bahwa tidak ada takdir dan perkaranya adalah baru tidak didahului oleh takdir dan ilmu Allah Maka Abdullah bin Umar menjawab Apabila kamu bertemu orangorang tersebut maka kabarkanlah kepada mereka bahwa saya berlepas diri dari mereka dan bahwa mereka berlepas diri dariku Dan demi Dzat yang mana hamba Allah bersumpah denganNya kalau seandainya salah seorang dari kalian menafkahkan emas seperti gunung Uhud niscaya sedekahnya tidak akan diterima hingga dia beriman kepada takdir baik dan buruk Dia berkata Kemudian dia mulai menceritakan hadits seraya berkata Umar bin alKhaththab berkata Dahulu kami pernah berada di sisi Rasulullah shallallahu alaihi wasallam lalu datanglah seorang lakilaki yang bajunya sangat putih rambutnya sangat hitam tidak tampak padanya bekasbekas perjalanan Tidak seorang pun dari kami mengenalnya hingga dia mendatangi Nabi Shallallahu Alaihi Wasalam lalu menyandarkan lututnya pada lutut Nabi Shallallahu Alaihi Wasalam kemudian ia berkata Wahai Muhammad kabarkanlah kepadaku tentang Islam  Rasulullah Shallallahu Alaihi Wasalam menjawab Kesaksian bahwa tidak ada tuhan yang berhak disembah selain Allah dan bahwa Muhammad adalah hamba dan utusanNya mendirikan shalat menunaikan zakat dan puasa Ramadlan serta haji ke Baitullah jika kamu mampu bepergian kepadanya Dia berkata Kamu benar Umar berkata Maka kami kaget terhadapnya karena dia menanyakannya dan membenarkannya Dia bertanya lagi Kabarkanlah kepadaku tentang iman itu  Beliau menjawab Kamu beriman kepada Allah malaikatmalaikatNya kitabkitabNya para RasulNya hari akhir dan takdir baik dan buruk Dia berkata Kamu benar Dia bertanya Kabarkanlah kepadaku tentang ihsan itu  Beliau menjawab Kamu menyembah Allah seakanakan kamu melihatNya maka jika kamu tidak melihatNya maka sesungguhnya Dia melihatmu Dia bertanya lagi Kapankah hari akhir itu  Beliau menjawab Tidaklah orang yang ditanya itu lebih mengetahui daripada orang yang bertanya Dia bertanya Lalu kabarkanlah kepadaku tentang tandatandanya  Beliau menjawab Apabila seorang budak melahirkan anak tuanNya dan kamu melihat orang yang tidak beralas kaki telanjang miskin penggembala kambing namun bermegahmegahan dalam membangun bangunan Kemudian dia bertolak pergi Maka aku tetap saja heran kemudian beliau berkata Wahai Umar apakah kamu tahu siapa penanya tersebut Aku menjawab Allah dan RasulNya lebih tahu Beliau bersabda Itulah jibril dia mendatangi kalian untuk mengajarkan kepada kalian tentang pengetahuan agama kalian Telah menceritakan kepada kami Muhammad bin Ubaid alGhubari dan Abu Kamil alJahdari serta Ahmad bin Abdah mereka berkata telah menceritakan kepada kami Hammad bin Yazid dari Mathar al Warraq dari Abdullah bin Buraidah dari Yahya bin Yamar dia berkata Ketika Mabad berkata dengan sesuatu yang dia bicarakan tentang masalah takdir maka kami mengingkari hal tersebut Dia berkata lagi Lalu aku melakukan haji bersama Humaid bin Abdurrahman alHimyari Lalu mereka menyebutkan hadits dengan makna hadits Kahmas Di dalamnya terdapat sebagian tambahan dan kekurangan huruf Dan telah menceritakan kepada kami Muhammad bin Hatim telah menceritakan kepada kami Yahya bin Said al Qaththan telah menceritakan kepada kami Utsman bin Ghiyats telah menceritakan kepada kami Abdullah bin Buraidah dari Yahya bin Yamar dan Humaid bin Abdurrahman keduanya berkata Kami bertemu Abdullah bin Umar lalu kami menyebutkan tentang takdir dan pendapat mereka tentangnya lalu dia mengisahkan hadits tersebut sebagaimana hadits mereka dari Umar radlialllahu anhuma dari Nabi shallallahu alaihi wasallam dan di dalamnya terdapat suatu tambahan dan pengurangan Dan telah menceritakan kepada kami Hajjaj bin asySyair telah menceritakan kepada kami Yunus bin Muhammad telah menceritakan kepada kami alMutamir dari Bapaknya dari Yahya bin Yamar dari Ibnu Umar dari Umar dari Nabi shallallahu alaihi wasallam dengan semisal hadits mereka
2,Rasulullah shallallahu alaihi wasallam pada suatu hari berada di hadapan manusia lalu seorang lakilaki mendatanginya seraya berkata Wahai Rasulullah apakah iman itu  Beliau menjawab Kamu beriman kepada Allah malaikatNya kitabNya beriman kepada kejadian pertemuan denganNya beriman kepada para RasulNya dan kamu beriman kepada hari kebangkitan yang akhir Dia bertanya Wahai Rasulullah apakah Islam itu  Beliau menjawab Islam adalah kamu menyembah Allah dan tidak menyekutukanNya dengan sesuatu apa pun mendirikan shalat yang wajib membayar zakat yang difardlukan dan berpuasa Ramadlan Dia bertanya lagi Wahai Rasulullah apakah ihsan itu  Beliau menjawab Kamu menyembah Allah seakanakan kamu melihatNya maka jika kamu tidak melihatNya maka sesungguhnya Dia melihatmu Dia bertanya lagi Wahai Rasulullah kapankah hari kiamat itu  Beliau menjawab Tidaklah orang yang ditanya tentangnya lebih mengetahui jawabanNya daripada orang yang bertanya akan tetapi aku akan menceritakan kepadamu tentang tandatandanya yaitu bila hamba wanita melahirkan tuanNya Itulah salah satu tandatandanya Kedua bila orang yang telanjang tanpa alas kaki menjadi pemimpin manusia Itulah salah satu tandatandanya Ketiga apabila penggembala kambing saling berlomba tinggitinggian dalam mendirikan bangunan Itulah salah satu tandatandanya dalam lima tandatanda tidak ada yang mengetahuinya kecuali Allah  kemudian beliau shallallahu alaihi wasallam membaca Sesungguhnya Allah hanya pada sisiNya sajalah pengetahuan tentang Hari Kiamat dan Dialah Yang menurunkan hujan dan mengetahui apa yang ada dalam rahimDan tiada seorangpun yang dapat mengetahui dengan pasti apa yang akan diusahakanNya besokDan tiada seorangpun yang dapat mengetahui di bumi mana dia akan mati Sesungguhnya Allah Maha Mengetahui lagi Maha Mengenal  Qs Luqman 34 Kemudian lakilaki tersebut kembali pergi Maka Rasulullah shallallahu alaihi wasallam bersabda Panggil kembali lakilaki tersebut menghadapku Maka mereka mulai memanggilnya lagi namun mereka tidak melihat sesuatu pun Maka Rasulullah shallallahu alaihi wasallam bersabda Ini Jibril dia datang untuk mengajarkan manusia tentang agama mereka
