kitabId,indo
1, Apabila salah seorang dari kalian bangun dari tidurnya jangan mencelupkan tangannya ke tempat wudlunya sehingga dia mencuci tangannya sebanyak tiga kali karena salah seorang dari kalian tidak tahu di mana tangannya bermalam
1, Rasulullah shallallahu alaihi wasallam apabila hendak melaksanakan shalat lail beliau menggosok mulutnya dengan siwak
1,Saya menemui Rasulullah shallallahu alaihi wasallam sedang beliau sedang bersiwak dan ujung siwak berada di ujung lidahnya beliau mengucapkan Aa Aa 
1, Aku pernah menghadap kepada Rasulullah shallallahu alaihi wasallam dan bersamaku dua lakilaki dari bani Asyari satu di sebelah kananku dan yang satu lagi di sebelah kiriku sedangkan Rasulullah shallallahu alaihi wasallam sedang bersiwak Lalu kedua lakilaki tadi meminta jabatan kepegawaian kepada beliau maka aku Abu Musa berkata demi Dzat yang mengutus engkau sebagai Nabi pembawa kebenaran dua orang lakilaki tadi tidak mengungkapkan unegunegnya kepadaku dan aku juga tidak sadar kalau keduanya meminta jabatan kepegawaian kemudian seolaholah aku melihat siwak beliau yang berada di bawah bibirnya sehingga menyatu dan naik Lalu beliau bersabda kami tidak atau tidak akan  meminta pertolongan orang yang menginginkan jabatan kepegawaian maka pergilah kamu Beliau mengutusnya ke Yaman dan diboncengkan oleh Muadz bin Jabal Radliyallahuanhuma 
1,Bersiwak mendatangkan kewangian mulut dan mendapat ridha Allah
1,Aku sering menganjurkan kalian banyak bersiwak
1,Rasulullah shallallahu alaihi wasallam bersabda Seandainya aku tidak khawatir memberatkan umatku aku pasti memerintahkan mereka untuk bersiwak setiap kali shalat
1,Aku bertanya kepada Aisyah Apa yang pertama kali Rasulullah shallallahu alaihi wasallam kerjakan ketika masuk ke dalam rumahnya Aisyah berkata Bersiwak
1,Lima perkara yang termasuk fitrah berkhitan mencukur bulu kemaluan memotong kumis memotong kuku dan mencabut bulu ketiak
1,Lima perkara yang termasuk fitrah memotong kumis mencabut bulu ketiak memotong kuku mencukur bulu kemaluan dan berkhitan
1,Ada lima perkara yang termasuk fitrah yaitu berkhitan mencukur bulu kemaluan mencabut bulu ketiak memotong kuku dan memotong kumis
1,Termasuk fitrah adalah memotong kuku memotong kumis dan mencukur bulu kemaluan
1,Rasulullah shallallahu alaihi wasallam bersabda Barang siapa tidak memotong kumisnya dia tidak termasuk golongan kami
1,Rasulullah shallallahu alaihi wasallam menentukan waktu bagi kita dalam masalah memotong kumis memotong kuku mencukur bulu kemaluan dan mencabut bulu ketiak yaitu supaya kami tidak membiarkannya lebih dari empat puluh hari Dalam kesempatan lain beliau bersabda Empat puluh malam
1,Pendekkan kumis dan biarkan panjangkan jenggot
