kitabId,indo
1, Tidak akan diterima shalat yang dilakukan tanpa bersuci dan tidak akan diterima sedekah yang berasal dari harta curian Hannad menyebutkan dalam haditsnya tidak suci Abu Isa berkata Hadits ini adalah yang paling shahih dan paling baik dalam bab ini Dalam bab tersebut juga ada hadits dari Abu Al Malih dari Bapaknya dan Abu Hurairah dan Anas Dan Abu Al Malih bin Usamah namanya adalah Amir disebut juga Zaid bin Usamah bin Umair Al Hudzali
1, Jika seorang muslim atau seorang mukmin berwudlu lalu ia membasuh wajahnya maka dosadosa yang berada di wajahnya karena pandangan mata akan keluar bersama air atau bersama tetesan air yang terakhir atau yang semisal itu Jika ia membasuh tangan maka dosadosa dari tangannya akan keluar bersama air atau bersama tetesan air yang terakhir hingga ia keluar tanpa dosa sedikitpun Abu Isa berkata Ini adalah hadits hasan shahih yaitu hadits riwayat Malik dari Suhail dari bapaknya dari Abu Hurairah dan Abu Shalih ayah Suhail yaitu Abu Shalih As Samman dan namanya adalah Dzakwan Abu Hurairah sendiri masih diperselisihkan tentang namanya sebagian mengatakan Abdu Syamsi sebagian mengatakan Abdullah bin Amru dan seperti inilah Muhammad bin Ismail berkata Itu yang paling benar Abu Isa berkata dalam bab ini juga ada riwayat dari Utsman bin Affan Tsauban Ash Shunabihi Umar bin Abasah Salman Abdullah bin Amru dan Ash Shunabihi yang meriwayatkan dari Abu Bakar Ash Shiddiq namun ia tidak mendengar langsung dari Rasulullah Shallahu alaihi wa Sallam Namanya adalah Abdurrahman bin Usailah sedang julukannya Abu Abdullah ia melakukan perjalanan untuk menemui Rasulullah Shallahu alaihi wa Sallam sedangkan Nabi Shallahu alaihi wa Sallam sendiri telah wafat ketika ia masih dalam perjalanan Ia telah meriwayatkan beberapa hadits dari Nabi Shallahu alaihi wa Sallam Ash Shunabi Ibnul Asar Al Ahmasi adalah seorang sahabat Nabi Shallahu alaihi wa Sallam ia disebut juga dengan nama Ash Shunabihi Hadits yang ia riwayatkan adalah ia berkata aku mendengar Nabi Shallahu alaihi wa Sallam bersabda Sesungguhnya aku akan berbanyakbanyakkan umat maka jangan sekalikali kalian saling membunuh setelahku
1, Kunci shalat adalah bersuci keharamannya adalah takbir dan penghalalannya adalah salam Abu Isa berkata Hadits ini adalah yang paling shahih dan paling baik dalam bab ini Abdullah bin Muhammad bin Aqil adalah seorang yang jujur namun ada beberapa ahli ilmu yang memperbincangkan tentang hafalannya Abu Isa berkata Aku telah mendengar Muhammad bin Ismail berkata Ahmad bin Hanbal Ishaq bin Ibrahim dan Al Humaidi mereka berdalil dengan hadits Abdullah bin Muhammad bin Aqil Muhammad berkata Masanya berdekatan Abu Isa berkata Dalam bab ini juga ada riwayat dari Jabir dan Abu Said
1, Kunci surga adalah shalat sedang kunci shalat adalah wudlu
1,ALLAHUMMA INNI AUUDZU BIKA Ya Allah sesungguhnya aku berlindung kepadaMu Syubah berkata Dalam waktu lain beliau mengucapkan AUUDZU BIKA MINAL KHUBTSI WAL KHUBIIS Aku berlindung kepadaMu dari setan lakilaki dan setan perempuan atau AL KHUBUTSI WAL KHABAITS Aku berlindung kepadaMu dari setan lakilaki dan setan perempuan Abu Isa berkata Dalam bab ini juga ada riwayat dari Ali Zaid bin Arqam Jabir dan Ibnu Masud Abu Isa berkata Hadits Anas bin Isa adalah yang paling shahih dan paling baik dalam bab ini Sedangkan dalam hadits Zaid bin Arqam dalam sanadnya ada kerancuan Hadits ini juga diriwayatkan oleh Hisyam Ad Dastuwai dan Said bin Abu Arubah dari Qatadah Said menyebutkan dari Al Qasim bin Auf Asy Syaibani dari Zaid bin Arqam Dan Hisyam Ad Dastuwai dari Qatadah dari Zaid bin Arqam sedang Syubah dan Mamar meriwayatkannya dari Qatadah dari An Nadlr bin Anas Syubah menyebutkan dari Zaid bin Arqam Mamar menyebutkan dari An Nadlr bin Anas dari bapaknya dari Nabi Shallahu alaihi wa Sallam Abu Isa berkata Aku bertanya kepada Muhammad tentang riwayat tersebut maka ia menjawab Masih dimungkinkan bahwa Qatadah meriwayatkan dari keduanya
1,Nabi Shallahu alaihi wa Sallam jika masuk ke dalam WC beliau mengucapkan ALLAHUMMA INNI AUUDZU BIKA MINAL KHUBUTSI WAL KHABAITS Ya Allah aku berlindung kepadaMu dari setan lakilaki dan perempuan Abu Isa berkata Ini adalah hadits hasan shahih
1,Apabila Nabi Shallahu alaihi wa Sallam keluar dari WC beliau membaca  GHUFRAANAKA Aku mengharap ampunanMu Abu Isa berkata Hadits ini derajatnya Hasan Gharib kami tidak mengetahuinya kecuali ia adalah dari hadits Israil dari Yusuf bin Abu Burdah sedangkan Abu Burdah bin Abu Musa namanya adalah Amir bin Abdullah bin Qais Al Asyari Dan kami tidak mengetahui dalam bab ini kecuali hadits Aisyah Radliaallahu anha dari Nabi Shallahu alaihi wa Sallam
1, Jika engkau buang hajat maka janganlah menghadap kiblat atau membelakanginya baik buang air besar ataupun air kecil Akan tetapi menghadaplah ke timur atau ke barat Abu Ayyub berkata Ketika kami tiba di Syam kami mendapati WC mereka dibangun menghadap arah kiblat maka kami berpaling darinya dan beristighfar kepada Allah Abu Isa berkata Dalam bab ini juga ada riwayat dari Abdullah bin Al Harits bin Jazi Az Zubaidi dan Maqil bin Abu Al Haitsam disebut juga dengan Maqil bin Abu Umamah Abu Hurairah dan Suhail bin Hanif Abu Isa berkata Dalam bab ini hadits riwayat Abu Ayyub adalah yang paling baik dan paling shahih Abu Ayyub namanya adalah Khalid bin Zaid sedangkan Az Zuhri namanya adalah Muhammad bin Muslim bin Ubaidullah bin Syihab Az Zuhri julukannya adalah Abu Bakr Abu Al Walid Al Makki berkata Abu Abdullah Muhammad bin bin Idris Asy Syafii berkata Hanyasanya makna dari sabda Nabi Shallahu alaihi wa Sallam Janganlah kalian menghadap kiblat atau membelakanginya ketika buang air besar atau kecil adalah di tempat yang terbuka Adapun jika di dalam bangunan yang tertutup maka di sana ada keringanan untuk menghadap ke arah kiblat Seperti ini pula yang dikatakan oleh Ishaq bin Ibrahim Sedangkan Ahmad bin Hanbal Rahimahullah mengatakan Keringanan ketika buang air besar atau kecil dari Nabi Shallahu alaihi wa Sallam itu hanya untuk membelakanginya adapun menghadap ke arahnya tetap tidak diperbolehkan Seakanakan Imam Ahmad tidak membedakan di padang pasir atau dalam bangunan yang tertutup untuk menghadap ke arah kiblat
1, Dalam bab ini juga ada riwayat dari Abu Qatadah Aisyah dan Ammar bin Yasir Abu Isa berkata Dalam bab ini hadits riwayat Jabir derajatnya adalah hasan gharib
1, Qutaibah telah menceritakan demikian kepada kami ia berkata Ibnu Lahiah telah menceritakan kepada kami Dan hadits Jabir yang diriwayatkan dari Nabi Shallahu alaihi wa Sallam lebih shahih dari hadits Ibnu Lahiah karena Ibnu Lahiah adalah seorang yang lemah menurut para ahli hadits Imam Yahya bin Said Al Qaththan dan yang lainnya telah mendlaifkannya dari sisi hafalannya
1,Suatu hari aku naik ke loteng rumah Hafshah lalu aku melihat Nabi Shallahu alaihi wa Sallam sedang membuang hajat sambil menghadap arah Syam dengan membelakangi Kabah Abu Isa berkata Hadits ini derajatnya adalah hasan shahih
1, Barangsiapa menceritakan kepada kalian bahwa Nabi Shallahu alaihi wa Sallam buang air kecil dengan berdiri maka janganlah kalian percayai karena beliau tidaklah buang air kecil kecuali dengan duduk Dia berkata Dalam bab ini ada juga hadits dari sahabat Umar Buraidah dan Abdurrahman bin Hasanah Abu Isa berkata Hadits Aisyah adalah yang paling baik dan paling shahih dalam bab ini sedangkan hadits Umar diriwayatkan dari hadits Abdul Karim bin Abul Mukhariq dari Nafi dari Ibnu Umar dari Umar ia berkata Nabi Shallahu alaihi wa Sallam pernah melihatku kencing dalam keadaan berdiri kemudian beliau bersabda Wahai Umar janganlah kamu kencing dengan berdiri  maka setelah itu aku tidak pernah lagi kencing dengan berdiri Abu Isa berkata Hanyasanya yang memarfukan hadits ini adalah Abdul Karim bin Abul Mukhariq dan dia adalah seorang yang lemah menurut para ahli hadits Abu Ayyub As Sikhtiyani juga telah melemahkan dan memperbincangkannya Ubaidullah telah meriwayatkan dari Nafi dari Ibnu Umar ia berkata Umar Radliaallahu anhu berkata Aku tidak pernah kencing dengan berdiri sejak aku masuk Islam Dan hadits ini lebih shahih ketimbang hadits Abdul Karim sedangkan hadits Buraidah dalam bab ini tidaklah mahfudz terjaga Sedangkan makna larangan kencing berdiri adalah berkaitan dengan tatakrama bukan larangan yang bersifat pengharaman Diriwayatkan dari Abdullah bin Masud ia berkata Sesungguhnya termasuk perangai buruk apabila kamu kencing dengan berdiri
1,Nabi Shallahu alaihi wa Sallam pernah mendatangi tempat pembuangan sampah suatu kaum lalu beliau kencing sambil berdiri Aku pergi agar menjauh dari beliau namun beliau justru memanggilku hingga aku berada di sisinya kemudian beliau berwudlu dan mengusap khufnya Abu Isa berkata Aku mendengar Al Jarud berkata Aku mendengar Waki menceritakan hadits ini dari Al Amasy setelah itu Waki berkata Ini adalah hadits yang paling shahih yang diriwayatkan dari Nabi Shallahu alaihi wa Sallam tentang mengusap khuf Dan aku juga mendengar Abu Ammar Al Husain bin Huraib berkata Aku mendengar Waki lalu ia menyebutkan seperti itu Abu Isa berkata Seperti inilah Manshur dan Ubaidah Adl Dlabbi meriwayatkan dari Abu Wail dari Hudzaifah sebagaimana riwayat Al Amasy Hammad bin Abu Sulaiman dan Ashim bin Badalah juga meriwayatkan dari Abu Wail dari Al Mughirah bin Syubah dari Nabi Shallahu alaihi wa Sallam Sedangkan hadits Abu Wail dari Hudzaifah adalah hadits yang paling shahih Sebagian ahlu ilmu telah memberi keringanan kencing sambil berdiri Abu Isa berkata Ibrahin An Nakhai telah meriwayatkan dari Abidah bin Amru As Salmani dan Abidah adalah termasuk ulama Tabiin senior Diriwayatkan bahwa Abidah pernah berkata Aku masuk Islam dua tahun sebelum wafatnya Nabi Shallahu alaihi wa Sallam Sedangkan Ubaidah Adl Dlabbi adalah sahabat Ibrahim yaitu Ubaidah bin Muattib Adl Dlabbi yang dijuluki dengan Abu Abdul Karim
