,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,2.0,4051.0,87.68124086713189,3989.0,4020.0,4051.0,4082.0,4113.0,2.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0
1,139.0,3992.820143884892,502.49270312386903,77.0,3780.0,4064.0,4241.0,4568.0,139.0,32.30935251798561,4.9473297158022085,1.0,31.0,34.0,35.0,35.0
2,174.0,4068.1264367816093,421.03867724517073,454.0,3848.75,4116.5,4339.75,4555.0,174.0,32.867816091954026,3.9840431507771106,2.0,32.0,34.0,35.0,35.0
3,181.0,2279.8618784530386,1855.8792249182375,1.0,135.0,3527.0,3950.0,4587.0,181.0,17.303867403314918,14.992273434602104,1.0,1.0,26.0,33.0,35.0
4,44.0,801.1590909090909,1290.5969043238547,25.0,185.75,210.5,261.0,4270.0,44.0,5.295454545454546,9.583366271353144,1.0,1.0,1.0,1.0,35.0
5,47.0,1192.723404255319,1023.4735760937223,240.0,259.0,961.0,1859.0,3879.0,47.0,5.148936170212766,6.56730612300268,1.0,1.0,2.0,6.5,32.0
6,37.0,3472.7027027027025,1309.1282906504548,58.0,3597.0,3964.0,4230.0,4446.0,37.0,27.56756756756757,11.660809340456371,1.0,26.0,33.0,35.0,35.0
7,179.0,3168.8435754189945,1355.4799258293979,327.0,2814.0,3591.0,4166.5,4589.0,179.0,23.435754189944134,11.95027411964862,1.0,15.0,26.0,35.0,35.0
8,63.0,1617.952380952381,1540.9183733020136,42.0,363.0,1082.0,2448.5,4489.0,63.0,9.904761904761905,13.498762530756336,1.0,2.0,2.0,12.0,35.0
9,167.0,1782.8383233532934,1571.897779860288,56.0,639.5,851.0,3681.5,4564.0,167.0,11.263473053892216,14.109811844063403,1.0,2.0,2.0,28.0,35.0
10,166.0,1952.7409638554218,1520.866036898247,272.0,915.25,1064.0,3736.25,4530.0,166.0,11.77710843373494,14.403020098292137,1.0,2.0,2.0,30.25,35.0
11,69.0,2610.985507246377,767.309939922922,28.0,2720.0,2762.0,2799.0,4127.0,69.0,14.521739130434783,7.500213125701581,1.0,15.0,15.0,15.0,34.0
