,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,1.0,2592.0,,2592.0,2592.0,2592.0,2592.0,2592.0,1.0,21.0,,21.0,21.0,21.0,21.0,21.0
1,22.0,1707.3636363636363,1165.193486710195,1.0,322.25,2497.5,2622.75,3010.0,22.0,12.318181818181818,9.770638053134912,1.0,1.0,19.5,21.0,22.0
2,7.0,279.7142857142857,83.92797365541934,176.0,217.5,265.0,352.0,378.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
3,52.0,1164.7692307692307,673.8806438620609,26.0,673.75,828.0,1369.25,3002.0,52.0,4.596153846153846,5.668141499142258,1.0,2.0,2.0,3.0,22.0
4,45.0,895.7777777777778,238.90306981635203,656.0,743.0,776.0,1010.0,1726.0,45.0,2.1777777777777776,0.8336363085599708,2.0,2.0,2.0,2.0,6.0
5,269.0,990.1858736059479,231.64114927729563,761.0,872.0,956.0,1045.0,2834.0,269.0,2.278810408921933,1.8749022057390834,2.0,2.0,2.0,2.0,22.0
6,6.0,1932.0,1163.7573630271904,202.0,1138.0,2494.0,2669.5,2988.0,6.0,14.166666666666666,9.9079092984679,1.0,6.0,19.5,21.0,22.0
7,54.0,1469.3703703703704,359.0987301195106,527.0,1320.0,1366.5,1506.25,2649.0,54.0,4.407407407407407,4.227129444471917,1.0,3.0,3.0,3.0,21.0
8,52.0,1324.6153846153845,373.3450884273025,422.0,1186.0,1326.5,1464.25,2605.0,52.0,3.7115384615384617,2.905954255618386,1.0,3.0,3.0,3.0,21.0
9,102.0,1319.7156862745098,425.1476243892018,423.0,1217.0,1282.0,1411.75,3308.0,102.0,3.6470588235294117,3.865683136952305,1.0,3.0,3.0,3.0,24.0
10,50.0,1527.16,427.96005726264326,893.0,1411.5,1493.5,1523.75,3290.0,50.0,4.2,4.836088822803074,2.0,3.0,3.0,3.0,24.0
11,23.0,1957.7826086956522,1205.700134456843,45.0,867.0,2300.0,3013.5,3125.0,23.0,13.782608695652174,9.433771643983654,1.0,2.0,17.0,22.5,23.0
12,18.0,1667.0555555555557,344.9952211471618,1567.0,1573.75,1579.5,1603.75,3048.0,18.0,5.055555555555555,4.4783429475148,4.0,4.0,4.0,4.0,23.0
