,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,2.0,2299.5,1062.781492123381,1548.0,1923.75,2299.5,2675.25,3051.0,2.0,13.5,9.192388155425117,7.0,10.25,13.5,16.75,20.0
1,154.0,1342.3311688311687,1113.3762176500313,1.0,137.75,1785.5,2138.0,4217.0,154.0,7.9480519480519485,7.0542178619846005,1.0,1.0,9.0,13.0,32.0
2,233.0,1293.8969957081545,1070.9750703976956,9.0,206.0,1515.0,2190.0,4218.0,233.0,7.532188841201717,6.900777249979924,1.0,1.0,7.0,13.0,32.0
3,330.0,880.3545454545455,804.7131292703044,25.0,378.25,490.5,1382.5,4234.0,330.0,4.721212121212122,5.291029144481758,1.0,2.0,2.0,6.0,32.0
4,82.0,721.1585365853658,659.2896564478065,139.0,457.5,571.5,599.75,3741.0,82.0,3.451219512195122,4.664423902936057,1.0,2.0,2.0,2.0,28.0
5,29.0,1541.6896551724137,910.8328646843847,86.0,628.0,1671.0,2066.0,3477.0,29.0,8.448275862068966,6.593211914518878,1.0,2.0,8.0,11.0,26.0
6,32.0,1304.59375,943.1500704784729,90.0,512.25,1125.5,2141.5,2936.0,32.0,7.25,5.924253049418836,1.0,2.0,6.0,12.5,20.0
7,268.0,1210.8432835820895,690.3414923768112,16.0,751.75,1029.5,1537.25,4257.0,268.0,6.690298507462686,4.751224867155303,1.0,5.0,6.0,7.0,32.0
8,128.0,1076.6796875,669.5032937719986,4.0,682.75,1064.0,1262.5,4317.0,128.0,5.734375,4.76946385174171,1.0,3.0,6.0,6.0,32.0
9,357.0,1052.591036414566,493.9406218331881,21.0,834.0,976.0,1228.0,4194.0,357.0,5.9523809523809526,3.0777337698115503,1.0,6.0,6.0,6.0,32.0
10,209.0,1196.7368421052631,479.17808500154615,44.0,1072.0,1160.0,1307.0,4235.0,209.0,6.3253588516746415,3.0617645098660993,1.0,6.0,6.0,6.0,32.0
11,58.0,2023.3620689655172,912.2502291812583,1447.0,1479.5,1548.0,2306.0,4296.0,58.0,11.586206896551724,8.425180476506483,7.0,7.0,7.0,13.0,32.0
