,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,1.0,1569.0,,1569.0,1569.0,1569.0,1569.0,1569.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
1,8.0,996.25,582.4538608336286,74.0,467.5,1310.5,1405.5,1585.0,8.0,20.125,14.446329242109519,2.0,3.75,28.0,32.0,32.0
2,12.0,1199.6666666666667,373.4186861306155,473.0,1004.0,1393.0,1452.25,1568.0,12.0,23.25,11.362818152361516,4.0,15.0,32.0,32.0,32.0
3,55.0,316.6727272727273,409.7024690324836,29.0,58.0,83.0,407.5,1536.0,55.0,5.527272727272727,8.180497461679131,2.0,2.0,2.0,3.0,32.0
4,17.0,352.11764705882354,380.5513898202418,76.0,91.0,98.0,620.0,1472.0,17.0,5.647058823529412,7.322407190181623,2.0,2.0,2.0,8.0,32.0
5,34.0,610.3823529411765,431.6904063699721,72.0,120.25,821.5,1048.25,1100.0,34.0,8.676470588235293,6.613670819690828,2.0,2.0,8.0,17.0,17.0
6,4.0,95.0,24.055491403558285,61.0,86.5,103.0,111.5,113.0,4.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
7,32.0,589.875,498.677654628525,28.0,293.5,348.5,745.75,1539.0,32.0,9.84375,12.040548093301101,1.0,3.0,3.0,8.0,32.0
8,30.0,223.23333333333332,286.5105983877486,4.0,18.25,173.5,353.5,1417.0,30.0,3.033333333333333,5.5552605285647845,1.0,1.0,2.5,3.0,32.0
9,63.0,236.79365079365078,119.13196244151445,1.0,152.5,201.0,335.0,481.0,63.0,2.873015873015873,0.4916090596052101,1.0,3.0,3.0,3.0,4.0
10,41.0,319.0975609756098,180.41837557162086,13.0,220.0,267.0,366.0,1023.0,41.0,3.5121951219512195,2.4507340861414586,1.0,3.0,3.0,3.0,17.0
11,29.0,529.5172413793103,229.5680136830999,43.0,469.0,484.0,495.0,1096.0,29.0,5.344827586206897,3.7251640622448288,2.0,4.0,4.0,4.0,17.0
12,28.0,561.5,154.54149628521807,513.0,520.75,531.5,542.75,1347.0,28.0,5.892857142857143,4.72455591261534,5.0,5.0,5.0,5.0,30.0
