,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,7.0,2237.4285714285716,1710.760733040797,231.0,785.0,2049.0,3754.0,4304.0,7.0,21.142857142857142,18.169833712581333,2.0,5.5,16.0,37.5,44.0
1,54.0,1854.2222222222222,2119.0215494524887,10.0,66.0,226.5,4022.25,5348.0,54.0,18.51851851851852,21.301732360007403,2.0,2.0,2.0,39.25,56.0
2,64.0,3979.296875,1598.5575708405584,3.0,3945.5,4613.0,5050.5,5349.0,64.0,39.9375,17.31030980071776,1.0,38.75,45.5,53.0,56.0
3,117.0,1513.08547008547,1608.6700470320493,150.0,385.0,432.0,2258.0,5313.0,117.0,13.581196581196581,16.493592965169167,2.0,3.0,3.0,16.0,55.0
4,39.0,950.3846153846154,935.3924201943722,409.0,478.5,488.0,1401.5,5246.0,39.0,7.666666666666667,8.889181281740695,3.0,4.0,4.0,8.0,54.0
5,40.0,1041.275,811.2569224547605,438.0,450.75,503.5,2109.25,2356.0,40.0,7.75,5.531958432830466,3.0,4.0,4.0,16.0,16.0
6,13.0,2372.5384615384614,2016.9919688893415,399.0,462.0,2357.0,4229.0,5322.0,13.0,22.46153846153846,21.484938075371875,3.0,4.0,16.0,44.0,55.0
7,70.0,2236.3285714285716,1442.0830417045486,241.0,1079.0,1612.0,3911.0,5323.0,70.0,18.8,15.863183151881747,2.0,6.0,12.0,38.0,55.0
8,85.0,1391.7882352941176,946.7515022448082,567.0,999.0,1114.0,1257.0,5150.0,85.0,9.552941176470588,10.575697525518612,4.0,6.0,6.0,7.0,54.0
9,70.0,1289.6142857142856,905.1659675321802,569.0,908.75,1140.0,1345.0,5067.0,70.0,9.142857142857142,9.620759128633257,5.0,6.0,7.0,7.0,53.0
10,147.0,1594.5578231292518,926.8165585904367,342.0,1240.0,1416.0,1500.5,5234.0,147.0,11.142857142857142,10.685414460458745,3.0,7.0,8.0,11.0,54.0
11,145.0,1789.193103448276,1396.3931031637253,173.0,805.0,1562.0,1621.0,5285.0,145.0,15.413793103448276,15.118323231033514,2.0,5.0,12.0,12.0,55.0
