,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,4.0,2457.5,1896.3404230253595,709.0,871.0,2509.5,4096.0,4102.0,4.0,24.25,17.075811352124187,8.0,10.25,25.0,39.0,39.0
1,87.0,3673.689655172414,662.8466150809691,787.0,3594.0,3742.0,3785.0,4922.0,87.0,33.206896551724135,6.796267667632305,10.0,30.0,35.0,35.0,47.0
2,53.0,3499.566037735849,485.5919666295483,1422.0,3550.0,3593.0,3716.0,3796.0,53.0,30.88679245283019,4.396941145485692,15.0,29.0,30.0,35.0,35.0
3,195.0,1249.3692307692309,1620.396119661913,2.0,87.5,221.0,3015.5,5413.0,195.0,10.933333333333334,14.110048575053808,1.0,1.0,1.0,24.5,50.0
4,74.0,718.1621621621622,1256.7075599165564,1.0,240.25,266.0,419.75,5037.0,74.0,6.256756756756757,12.286601245226455,1.0,1.0,1.0,4.0,48.0
5,87.0,1126.896551724138,1320.5358851836397,201.0,272.5,352.0,2322.0,3928.0,87.0,9.045977011494253,11.246609872640393,1.0,1.0,3.0,22.5,37.0
6,36.0,1897.5277777777778,1767.7040393218886,265.0,313.75,1376.0,3247.5,5536.0,36.0,17.47222222222222,16.925865432376586,1.0,1.0,15.0,27.0,51.0
7,107.0,2608.2523364485983,1645.3652120452286,78.0,1057.0,2849.0,3709.0,5281.0,107.0,24.16822429906542,14.45649686245326,1.0,11.5,24.0,34.5,48.0
8,109.0,1197.1467889908256,1181.910363726079,160.0,515.0,574.0,1749.0,5340.0,109.0,12.247706422018348,10.939358065077535,1.0,6.0,6.0,20.0,50.0
9,123.0,1820.6341463414635,1434.8716471317225,144.0,950.0,1145.0,2605.5,5439.0,123.0,18.024390243902438,12.551835744932806,1.0,11.0,12.0,24.0,50.0
10,168.0,1677.5059523809523,745.7784262381161,462.0,1394.25,1487.5,1691.25,5389.0,168.0,17.821428571428573,6.4606792514469396,5.0,14.0,17.0,20.0,50.0
11,82.0,2413.0853658536585,1234.928150068894,166.0,1885.5,1917.5,2769.5,5385.0,82.0,24.341463414634145,10.698124344886116,1.0,21.0,21.0,24.0,50.0
