,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,66.0,1968.5,604.3765828075686,194.0,1539.75,1898.0,2430.5,3870.0,66.0,28.87878787878788,10.477103462775242,2.0,21.0,27.0,37.0,49.0
2,84.0,1911.4880952380952,766.6737810852521,29.0,1510.5,1610.5,2415.5,3758.0,84.0,27.738095238095237,12.713828016541434,1.0,21.0,23.0,37.0,49.0
3,137.0,725.5693430656934,923.5310497950758,2.0,49.0,95.0,1572.0,3566.0,137.0,10.138686131386862,13.465196139848304,1.0,1.0,1.0,22.0,49.0
4,39.0,504.35897435897436,709.7139337411156,15.0,98.5,112.0,770.0,2848.0,39.0,5.6923076923076925,10.682385516535463,1.0,1.0,1.0,6.0,45.0
5,18.0,497.44444444444446,845.7718523004835,102.0,120.25,124.5,290.0,2779.0,18.0,6.333333333333333,13.508167463993557,1.0,1.0,1.0,1.75,43.0
6,15.0,1497.2,968.9769420815514,115.0,890.5,1589.0,1775.5,3210.0,15.0,21.466666666666665,15.254351447873427,1.0,11.5,22.0,25.0,47.0
7,84.0,1346.3690476190477,918.5159950960434,23.0,342.0,1614.5,1688.5,3851.0,84.0,18.226190476190474,14.672612952533301,1.0,2.0,23.0,24.0,49.0
8,75.0,899.5866666666667,1116.0766114037704,1.0,157.0,381.0,1244.0,3271.0,75.0,12.333333333333334,18.05422263502239,1.0,2.0,2.0,14.0,47.0
9,176.0,522.9375,736.1810891835164,3.0,226.25,278.5,360.25,3826.0,176.0,5.744318181818182,11.162051608189962,1.0,2.0,2.0,2.0,49.0
10,104.0,917.0480769230769,959.6751207945291,5.0,404.75,470.5,1128.0,3662.0,104.0,10.673076923076923,15.038101968964597,1.0,2.0,3.0,10.75,49.0
11,60.0,1599.1333333333334,1009.1274543926746,714.0,932.5,962.5,2328.0,3783.0,60.0,18.883333333333333,17.460941076495164,5.0,7.0,7.0,36.5,49.0
12,36.0,760.4444444444445,644.2907704021508,559.0,571.75,584.0,603.75,3385.0,36.0,6.861111111111111,10.392724866883091,3.0,4.0,4.0,4.0,48.0
13,94.0,1085.2446808510638,705.9139380084715,613.0,796.0,840.5,868.5,3611.0,94.0,10.829787234042554,12.949561621568623,4.0,6.0,6.0,6.0,49.0
