,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,3.0,1632.6666666666667,1858.4050509330125,106.0,598.0,1090.0,2396.0,3702.0,3.0,10.666666666666666,15.885003409925142,1.0,1.5,2.0,15.5,29.0
1,26.0,3403.730769230769,1077.897418410205,128.0,2891.25,3784.5,4068.5,4335.0,26.0,26.153846153846153,11.671134675573947,1.0,17.25,31.5,34.0,35.0
2,20.0,3672.05,1093.4830143315346,72.0,3172.75,4136.5,4334.75,4513.0,20.0,27.9,10.818599967794256,1.0,19.0,34.5,35.0,35.0
3,107.0,615.2523364485982,1120.3193959461598,3.0,59.5,135.0,325.5,4571.0,107.0,3.94392523364486,7.9251590969101935,1.0,1.0,1.0,1.0,35.0
4,37.0,473.4594594594595,887.8529218349234,26.0,178.0,207.0,224.0,3622.0,37.0,2.8378378378378377,5.983837088884214,1.0,1.0,1.0,1.0,26.0
5,39.0,1190.3589743589744,1110.0803784833138,240.0,250.0,546.0,1852.5,3879.0,39.0,5.615384615384615,7.642042247763303,1.0,1.0,2.0,6.0,32.0
6,16.0,1360.6875,1366.77190092812,200.0,275.75,826.5,2177.25,3691.0,16.0,7.5,10.302103345110325,1.0,1.0,2.0,10.0,28.0
7,150.0,1714.22,1482.0144501555303,10.0,532.25,858.5,3422.5,4588.0,150.0,10.566666666666666,12.105474199420739,1.0,2.0,2.0,22.0,35.0
8,78.0,1200.0384615384614,1183.2435219631386,42.0,360.75,1023.0,1188.5,4414.0,78.0,5.9743589743589745,10.118742233545847,1.0,2.0,2.0,2.0,35.0
9,201.0,927.1442786069651,841.551854658762,15.0,523.0,716.0,921.0,4564.0,201.0,3.7860696517412937,6.96914664611991,1.0,2.0,2.0,2.0,35.0
10,164.0,1138.560975609756,811.2431889369478,54.0,886.75,995.5,1133.25,4470.0,164.0,3.9146341463414633,6.893050148963628,1.0,2.0,2.0,2.0,35.0
11,88.0,2468.943181818182,964.0950775590899,18.0,2214.5,2756.5,2800.0,4127.0,88.0,13.943181818181818,7.870150146146133,1.0,9.0,15.0,15.0,34.0
12,45.0,1541.6666666666667,584.8865468851824,206.0,1341.0,1372.0,1407.0,3977.0,45.0,4.955555555555556,5.555323227465362,1.0,3.0,3.0,3.0,33.0
