,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,4.0,2700.5,2421.7121353841103,322.0,799.75,2631.5,4532.25,5217.0,4.0,26.5,26.350205565295564,2.0,5.0,25.0,46.5,54.0
1,48.0,1428.2708333333333,2109.4438688258456,10.0,57.75,113.5,3496.0,5334.0,48.0,15.020833333333334,21.05665062304527,2.0,2.0,2.0,34.25,56.0
2,26.0,3073.4615384615386,2218.319440130645,2.0,234.75,4236.0,4935.25,5331.0,26.0,31.384615384615383,22.586857989684045,1.0,2.0,44.0,49.75,56.0
3,107.0,1529.3177570093458,1736.0841949744847,235.0,380.0,427.0,3254.0,5313.0,107.0,14.289719626168225,17.889076115335627,2.0,3.0,3.0,31.0,55.0
4,50.0,1063.22,907.4302197268225,409.0,481.25,498.0,1559.75,4372.0,50.0,8.52,8.259169301510921,3.0,4.0,4.0,12.0,44.0
5,35.0,974.1428571428571,785.1804267307027,438.0,449.5,503.0,1794.0,2356.0,35.0,7.257142857142857,5.2934079823141245,3.0,4.0,4.0,12.5,16.0
6,10.0,2117.6,1552.8145199389826,197.0,791.25,1861.5,3582.0,4229.0,10.0,18.3,16.391393405619237,2.0,5.5,13.0,32.5,44.0
7,116.0,2132.3362068965516,1432.158358647143,340.0,948.75,1589.0,3876.25,5353.0,116.0,17.96551724137931,15.601522241495351,3.0,6.0,12.0,38.0,56.0
8,106.0,1212.254716981132,712.8162397450025,17.0,976.25,1071.5,1242.25,4964.0,106.0,7.90566037735849,7.304960222031514,2.0,6.0,6.0,7.0,50.0
9,120.0,1105.7416666666666,689.6390298747676,123.0,692.0,949.5,1206.5,4907.0,120.0,7.691666666666666,6.617770618205355,2.0,5.0,6.0,7.0,49.0
10,128.0,1500.0234375,902.5765347166752,18.0,1221.75,1403.5,1472.25,5332.0,128.0,10.40625,9.927641757544524,2.0,7.0,8.0,9.0,56.0
11,166.0,1939.55421686747,1458.112376706035,134.0,820.75,1568.5,2098.75,5292.0,166.0,16.819277108433734,15.70959527539411,2.0,6.0,12.0,16.0,55.0
12,42.0,1297.095238095238,919.7939538493101,28.0,710.0,874.5,1645.75,4587.0,42.0,10.547619047619047,9.216110975344874,2.0,5.0,6.0,13.0,45.0
