,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,1.0,3703.0,,3703.0,3703.0,3703.0,3703.0,3703.0,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
1,30.0,4130.1,1209.7932382479019,787.0,3470.75,4907.0,4922.75,4953.0,30.0,39.233333333333334,11.491176024967226,10.0,29.0,47.0,47.0,47.0
2,10.0,2481.4,1938.2973742723564,189.0,1037.0,2248.0,3672.75,5360.0,10.0,22.9,17.816658871217502,1.0,11.5,21.5,33.0,50.0
3,171.0,647.514619883041,1202.0574976789496,17.0,78.0,152.0,357.0,5222.0,171.0,5.900584795321637,11.021719184122313,1.0,1.0,1.0,2.5,48.0
4,84.0,653.9880952380952,1049.41441495455,1.0,232.75,263.5,419.25,5035.0,84.0,5.726190476190476,10.29838119279906,1.0,1.0,1.0,4.0,48.0
5,80.0,1205.2375,1414.435471265274,69.0,270.75,352.5,2696.5,3931.0,80.0,10.0625,12.618395001150633,1.0,1.0,3.0,24.0,37.0
6,16.0,1399.9375,1708.5184798044572,266.0,311.75,317.5,2003.5,5063.0,16.0,12.125,16.76852209746981,1.0,1.0,1.0,21.0,48.0
7,134.0,1894.1119402985075,1624.5837345866248,8.0,706.25,1173.0,2866.75,5274.0,134.0,18.059701492537314,14.504218309940173,1.0,8.0,12.5,24.0,48.0
8,164.0,1195.908536585366,1088.1613626169253,145.0,529.5,590.0,1740.25,5340.0,164.0,12.640243902439025,10.421124837796153,1.0,6.0,6.0,20.0,50.0
9,212.0,1301.1367924528302,903.8569410170693,144.0,852.5,1091.0,1240.75,5174.0,212.0,13.735849056603774,8.012788222901575,1.0,10.0,12.0,13.0,48.0
10,194.0,1553.860824742268,572.8641667855313,2.0,1387.25,1480.0,1669.5,4868.0,194.0,16.77319587628866,5.230451202837847,1.0,14.0,16.0,20.0,46.0
11,173.0,2170.0115606936415,1035.6114696857326,62.0,1830.0,1920.0,2038.0,5557.0,173.0,22.127167630057805,8.856479139307707,1.0,21.0,21.0,21.0,51.0
12,53.0,2366.698113207547,406.6834709860909,1127.0,2409.0,2434.0,2459.0,4079.0,53.0,22.547169811320753,3.3830234414241,12.0,23.0,23.0,23.0,38.0
