,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
0,1.0,3567.0,,3567.0,3567.0,3567.0,3567.0,3567.0,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
1,44.0,2437.318181818182,577.6295091962422,1082.0,2089.5,2432.0,2552.25,3870.0,44.0,36.38636363636363,8.37553444068013,9.0,32.75,37.0,40.0,49.0
2,24.0,2699.0833333333335,741.8221348208375,883.0,2535.75,2587.0,3109.75,3766.0,24.0,39.708333333333336,11.566364904387605,6.0,39.25,41.0,47.0,49.0
3,103.0,711.0873786407767,1106.6679816918372,2.0,43.5,84.0,997.0,3782.0,103.0,9.805825242718447,15.902927497437956,1.0,1.0,1.0,8.0,49.0
4,34.0,747.4411764705883,1068.2708256996436,15.0,97.25,110.5,913.25,3480.0,34.0,9.852941176470589,16.028634137051892,1.0,1.0,1.0,7.0,48.0
5,22.0,810.9090909090909,1104.196881559966,102.0,120.25,125.5,1083.75,2903.0,22.0,11.363636363636363,17.85802595218998,1.0,1.0,1.0,9.5,47.0
6,8.0,870.375,923.052534877001,115.0,284.75,437.0,1332.0,2795.0,8.0,10.375,14.889473750654473,1.0,1.75,2.5,14.0,44.0
7,37.0,1647.972972972973,1258.9218819310454,223.0,311.0,1645.0,2723.0,3851.0,37.0,23.135135135135137,20.364951049075252,2.0,2.0,24.0,43.0,49.0
8,61.0,1011.983606557377,1164.3638963228418,139.0,168.0,400.0,2474.0,3197.0,61.0,13.770491803278688,19.335109208055478,2.0,2.0,2.0,38.0,47.0
9,133.0,745.4736842105264,1020.3106818806754,3.0,230.0,301.0,523.0,3826.0,133.0,9.015037593984962,15.750894617404308,1.0,2.0,2.0,3.0,49.0
10,127.0,805.1496062992126,964.3639163482867,1.0,343.5,453.0,525.0,3662.0,127.0,9.007874015748031,15.171242670739867,1.0,2.0,3.0,3.0,49.0
11,82.0,1874.6829268292684,1139.500712387697,600.0,950.25,986.5,2970.25,3852.0,82.0,23.25609756097561,18.86391222898784,4.0,7.0,7.0,46.5,49.0
12,34.0,778.9705882352941,588.2688256485691,560.0,571.25,584.0,600.5,3129.0,34.0,7.5,10.366759231780053,4.0,4.0,4.0,4.0,47.0
