label,hadits
47,Aku memasuki surga atau aku mendatangi surga lalu aku melihat sebuah istana maka aku pun bertanya Untuk siapa ini  mereka menjawab Untuk Umar bin Al Khaththab Lalu aku ingin memasukinya dan tidak ada yang menghalangiku kecuali pengetahuanku terhadap kecemburuanmu yang besar Umar bin Al Khaththab berkata Wahai Rasulullah demi bapak Anda dan ibuku wahai Nabiyullah apakah kepada Anda aku merasa cemburu
54, tamr kurma kering busr kurma muda dan ruthab kurma basah
71,Apakah diantara kalian ada yang bermimpi Kata Samurah maka ada diantara mereka yang menceritakan kisahnya Suatu saat ketika subuh beliau berkata Semalaman aku didatangi dua orang keduanya mengajakku pergi dan berujar Ayo kita berangkat  Aku pun berangkat bersama keduanya dan kami mendatangi seseorang yang berbaring dan yang lain berdiri disampingnya dengan membawa batu besar lalu ia menjatuhkan batu tersebut di kepalanya sehingga kepalanya pecah dan batu menggelinding disini Orang tadi terus mengikuti batu dan mengambilnya namun ketika dia belum kembali kepada yang dijatuhi tetapi kepalanya telah kembali seperti sedia kala Lantas orang tadi kembali menemuinya dan mengerjakan sebagaimana semula Sayapun bertanya kepada dua orang yang membawaku Subhanallah mengapa kedua orang ini seperti ini  keduanya menjawab Mari kita berangkat ke tempat lain dahulu  Kami pun berangkat lantas kami mendatangi seseorang yang terlentang diatas kedua tengkuknya sedang ada orang lain yang berdiri di sampingnya sambil membawa pengait besi ia memegang salah satu samping wajahnya dan memotongmotong dagunya hingga tengkuknya dan tenggorokannya hingga tengkuknya dan matanya hingga tengkuknya Kata Auf terkadang Abu Raja menggunakan redaksi lantas membelahbelah dagunya bukan memotong kemudian orang yang memotong berpindah ke sisi dagu lain dan memperlakukan korbannya sebagaimana ia lakukan pada sisi dagu pertama Belum ia selesai memotongmogong dagu kedua maka dagu samping pertama kembali seperti semula maka orang itu memperlakukannya sebagaimana semula Maka saya bertanya Subhanallah kenapa dua orang ini  Namun kedua orang yang membawaku hanya berujar Mari kita pindah ke tempat lain dulu  Maka kami berangkat hingga kami mendatangi suatu tempat seperti tungku Kata Abu Raja seingatku Samurah mengatakan Tungku tersebut mengeluarkan suara gemuruh Lantas kami melihat isinya tak tahunya disana ada lakilaki dan wanita telanjang mereka didatangi oleh sulut api dari bawah mereka jika sulutan api mengenai mereka mereka mengerangngerang Maka saya bertanya kepada dua orang yang membawaku apa sebenarnya dengan orangorang ini Namun kedua orang yang membawaku hanya berujar Ayo kita berpindah ke tempat lain  Maka kami terus berangkat dan kami mendatangi sebuah sungai Dan setahuku Samurah mengatakan sungai merah seperti darah tak tahunya di sungai ada lakilaki yang berenang sedang ditepi sungai ada orang yang mengumpulkan banyak bebatuan apabila yang berenang tadi sampai ke tepian sungai ke tempat orang yang mengumpulkan bebatuan maka ia membuka mulutnya dan orang yang di tepi tadi memasukkan batu ke mulutnya lantas ia berenang kemudian kembali lagi setiap kali ia kembali ke tepi mulutnya membuka dan orang yang di tepi menyuapinya dengan batu itu Saya bertanya kepada dua orang yang membawaku kenapa dua orang ini  keduanya menjawab Ayo kita pindah ke tempat lain dulu  Maka kami pun berangkat lantas kami mendatangi seseorang yang wajahnya menyeramkan sebagaimana seseorang yang paling menyeramkan yang pernah kalian lihat Dan di dekatnya terdapat api yang terus ia nyalakan dan dia berlari di sekitarnya Saya bertanya kepada dua orang yang membawaku mengapa orang ini  kedua orang yang membawaku berujar Ayo kita pindah ke tempat lain dahulu  Lantas kami berangkat Lalu kami mendatangi sebuah kebun yang secara merata berisi warna musim semi diantara dua tepi kebun terdapat seseorang yang jangkung yang nyaris aku belum pernah melihat manusia yang kepalanya memanjang di langit seperti itu dan sekitar orang itu terdapat banyak anakanak kecil yang pernah aku lihat Saya bertanya Apa ini sebenarnya mereka ini siapa  kedua orang yang membawaku berujar Ayo kita pindah ke tempat lain dulu  Kami pun berangkat melanjutkan perjalanan hingga kami mendatangi sebuah kebun besar yang sebelumnya aku belum pernah melihat kebun lebih besar dan lebih indah daripadanya sama sekali Keduanya berkata Naiklah engkau  Kami pun naik dan kami berakhir ke sebuah kota yang dibangun dari batu bata emas dan perak lalu kami tiba di pintu kota Kami minta di buka maka pintu pun dibuka untuk kami kami masuk dan kami disambut oleh beberapa orang yang separo tubuhnya seperti orang paling tampan yang pernah anda lihat dan separohnya seperti manusia paling jelek yang pernah engkau lihat Keduanya mengatakan kepada mereka Pergilah kalian semua  Lantas mereka sampai di sebuah sungai Tak tahunya sungai itu terbentang mengalir airnya sangat putih bersih mereka pun pergi dan mandimandi disana kemudian kembali menemui kami dan kotorannya telah hilang di sungai tempat mereka mandi sehingga mereka menjadi manusia paling tampan Keduanya mengatakan kepadaku Inilah surga Aden dan di sini hunianmu  lantas pandanganku menatap ke atas tak tahunya ada sebuah istana seperti awan putih yang menyendiri Keduanya berkata Inilah hunianmu  Saya menjawab Semoga Allah memberkati kalian berdua sekarang biarkanlah aku untuk memasukinya  Keduanya menjawab kalau sekarang jangan dulu namun pasti engkau akan memasukinya  Saya mengatakan Semenjak semalaman aku telah melihat peristiwaperistiwa aneh nan mencengangkan tolong kabarilah aku apa arti sebenarnya yang kulihat  Keduanya berujar Sekarang baiklah kuberitakan kepadamu peristiwaperistiwa itu Adapun lakilaki pertama yang kamu datangi sedang kepalanya pecah dengan batu itu adalah seseorang yang mempelajari alquran namun ia menolaknya dan ia tidur sampai meninggalkan shalat wajib Adapun orang yang kamu datangi membelah dagu kawannya hingga tengkuknya tenggorokannya hingga dagunya dan matanya hingga tengkuknya itu adalah seseorang yang berangkat dari rumahnya lantas ia dusta dan kedustaannya menembus cakrawala Adapun lakilaki dan wanita yang telanjang dalam bangunan seperti tungku mereka adalah lakilaki dan wanita pezina Adapun lakilaki yang berenang dalam sungai dan disuapi batu besar mereka adalah pemakan riba adapun lakilaki yang raut mukanya menyeramkan di neraka sambil menyalakan api dan berlarilari di sekitarnya itu adalah Malik penjaga Jahannam adapun lakilaki jangkung dalam taman ia adalah Ibrahim alaihissalam adapun anakanak di sekitarnya adalah bayi yang mati diatas fitrah Lantas sebagian sahabat bertanya ya Rasulullah juga anak orangorang musyrik  Rasulullah shallallahu alaihi wasallam bersabda Juga anakanak orangorang musyrik Adapun orang yang separoh berwajah tampan dan separohnya lagi jelek mereka adalah orang yang mencampuradukkan amal shalih dan lainnya jelek lantas Allah mengampuni kesalahannya
23,Biarkanlah dia karena bagi orang yang benar ucapannya wajib dipenuhi Kemudian Beliau berkata Berikanlah untuknya seekor anak unta Mereka berkata Wahai Rasulullah tidakada kecuali yang umurnya lebih tua Maka Beliau bersabda Berikanlah kepadanya karena sesungguhnya yang terbaik diantara kalian adalah yang paling baik menunaikan janji
63,Wahai Abdurrahman bin Samurah Janganlah kamu meminta jabatan sebab jika engkau diberi jabatan karena meminta kamu akan ditelantarkan dan jika kamu diberi dengan tidak meminta kamu akan ditolong dan jika kamu melakukan sumpah kemudian kamu melihat suatu yang lebih baik bayarlah kaffarat sumpahmu dan lakukanlah yang lebih baik
73,Saya ikrarkan untuk senantiasa mendengar dan taat terhadap hamba Allah Abdul Malik amirul mukminin diatas sunnatullah dan sunnah rasulNYA semaksimal kemampuanku dan anakanakku mengikrarkan yang sedemikian ini
76,Aku mendengar Jabir bin Abdullah radliallahu anhuma berkata Ketika diturunkan kepada Rasulullah shallallahu alaihi wasallam ayat Katakanlah Dialah Allah yang mampu mengutus siksa kepada kalian dari atas kamu  Qs Al anaam 65 maka Rasulullah berdoa Aku berlindung dengan wajahMu Atau dari bawah kakimu  Nabi berdoa Aku berlindung dengan wajahMu  maka dikala diturunkan atau menjadikan kalian berkelompokkelompok dan menjadikan sebagian di antara kalian merasakan keganasan sebagian yang lain  maka Rasulullah bersabda Perpecahan dan keganasan konflik ini lebih ringan atau beliau katakan lebih remeh
36,Aku membaiat Rasulullah shallallahu alaihi wasallam untuk menegakkan shalat menunaikan zakat dan saling memberi nashehat kepada sesama Muslim
38,Rasulullah shallallahu alaihi wasallam mengutus tujuh puluh orang dari Bani Sulaim menemui suku Bani Amir sesampainya di sana pamanku berkata kepada mereka Aku akan mendahului kalian seandainya mereka mengizinkanku menyampaikan pesan Rasulullah shallallahu alaihi wasallam sementara itu kalian harus berada di dekatku maka ia pun maju ke depan barisan mereka sementara orang kafir menjamin keselamatannya Namun ketika ia menyampaikan pesan Rasulullah shallallahu alaihi wasallam salah seorang dari mereka menikamnya hingga tewas pamanku berkata Allahu Akbar demi Tuhan Kabah aku telah beruntung setelah itu mereka menyerang pasukan pamanku dan membunuh habis mereka kecuali seorang lakilaki pincang yang melarikan diri ke gunung Hammam berkata Menurutku ada lakilaki lain yuang mampu melarikan diri bersamanya Kemudiam Malaikat Jibril Alaihis Salam mengabarkan kepada Nabi shallallahu alaihi wasallam bahwa mereka utusan yang telah dibunuh telah berjumpa dengan Robb mereka Dia ridha kepada mereka dan memberikan kebahagian kepada mereka Mereka berkata kami telah membaca Kami telah menyampaikan kepada kaum kami bahwa kami telah berjumpa dengan Robb Dia ridha terhadap kami dan memberikan kebahagiaan kepada kami 
29,Aku pernah menjamu suatu kaum dengan minuman di rumah Abu Tholhah Saat itu khamar arak minuman keras mereka adalah Al Fadhikh arak terbuat dari buah kurma Kemudian Rasulullah shallallahu alaihi wasallam memerintahkan seorang penyeru untuk menyerukan bahwa khamar telah diharamkan Anas berkata Maka Abu Tholhah berkata kepadaku Keluar dan tumpahkanlah Maka aku keluar lalu aku tumpahkan Maka khamar mengalirdi jalanjalan kota Madinah Kemudian sebagian kaum berkata 
