,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
2,3.0,1330.3333333333333,853.4221307965556,707.0,844.0,981.0,1642.0,2303.0,3.0,4.333333333333333,4.041451884327381,2.0,2.0,2.0,5.5,9.0
3,2.0,822.5,764.3824304626579,282.0,552.25,822.5,1092.75,1363.0,2.0,2.0,1.4142135623730951,1.0,1.5,2.0,2.5,3.0
4,1.0,1186.0,,1186.0,1186.0,1186.0,1186.0,1186.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
5,4.0,3866.75,44.364963653766246,3801.0,3859.5,3886.0,3893.25,3894.0,4.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0
7,1.0,3771.0,,3771.0,3771.0,3771.0,3771.0,3771.0,1.0,31.0,,31.0,31.0,31.0,31.0,31.0
9,2.0,2688.0,230.5168106668145,2525.0,2606.5,2688.0,2769.5,2851.0,2.0,14.5,2.1213203435596424,13.0,13.75,14.5,15.25,16.0
11,21.0,1605.4285714285713,962.535639414384,688.0,949.0,1196.0,2279.0,3717.0,21.0,6.666666666666667,8.404363945792289,2.0,2.0,2.0,9.0,29.0
12,16.0,1648.8125,1359.3944837684166,258.0,786.75,1194.0,1627.25,4469.0,16.0,8.25,12.12985298069739,1.0,2.0,2.0,5.25,35.0
14,1.0,3685.0,,3685.0,3685.0,3685.0,3685.0,3685.0,1.0,28.0,,28.0,28.0,28.0,28.0,28.0
17,27.0,2450.1111111111113,1497.8110010517998,125.0,1053.0,2241.0,3943.5,4577.0,27.0,15.444444444444445,13.776605960644725,1.0,2.0,9.0,33.0,35.0
20,5.0,1671.8,937.7839303379004,520.0,1275.0,1396.0,2201.0,2967.0,5.0,6.6,6.5038450166036395,2.0,2.0,3.0,9.0,17.0
23,1.0,1755.0,,1755.0,1755.0,1755.0,1755.0,1755.0,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
24,3.0,1169.6666666666667,1800.5350130817599,39.0,131.5,224.0,1735.0,3246.0,3.0,7.333333333333333,10.96965511460289,1.0,1.0,1.0,10.5,20.0
28,18.0,2126.222222222222,1085.2836742505488,249.0,1391.75,2228.0,3022.75,3689.0,18.0,11.277777777777779,8.635123593621818,1.0,3.25,10.5,17.0,28.0
