,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,3.0,1364.0,1239.3340953915533,569.0,650.0,731.0,1761.5,2792.0,3.0,8.333333333333334,11.846237095944574,1.0,1.5,2.0,12.0,22.0
2,5.0,1006.6,720.8365279312641,183.0,449.0,1036.0,1387.0,1978.0,5.0,3.2,3.3466401061363023,1.0,1.0,2.0,3.0,9.0
3,5.0,1112.8,561.4371736890959,406.0,715.0,1270.0,1332.0,1841.0,5.0,3.0,1.8708286933869707,1.0,2.0,3.0,3.0,6.0
4,1.0,2599.0,,2599.0,2599.0,2599.0,2599.0,2599.0,1.0,21.0,,21.0,21.0,21.0,21.0,21.0
5,4.0,1936.75,1450.3124663326864,420.0,834.0,2073.0,3175.75,3181.0,4.0,12.75,12.996794476587935,1.0,1.75,13.0,24.0,24.0
7,1.0,2155.0,,2155.0,2155.0,2155.0,2155.0,2155.0,1.0,12.0,,12.0,12.0,12.0,12.0,12.0
8,4.0,2282.75,1254.8618449853354,880.0,1395.25,2453.5,3341.0,3344.0,4.0,13.5,12.151817422372122,2.0,3.5,14.0,24.0,24.0
9,9.0,1988.2222222222222,1049.1178172371513,326.0,1422.0,1638.0,3184.0,3342.0,9.0,10.333333333333334,10.344080432788601,1.0,3.0,5.0,24.0,24.0
10,4.0,1661.0,930.237604056082,450.0,1173.75,1871.5,2358.75,2451.0,4.0,10.25,9.569918146637061,1.0,2.5,10.5,18.25,19.0
11,10.0,1597.0,905.9648018671709,138.0,987.25,1675.0,2111.0,3301.0,10.0,7.4,7.381658952355419,1.0,2.25,4.5,11.75,24.0
12,5.0,1955.4,737.1436766329886,886.0,1578.0,2084.0,2582.0,2647.0,5.0,11.8,8.78635305459552,2.0,4.0,12.0,20.0,21.0
13,21.0,1791.2380952380952,1034.8498395787626,167.0,1260.0,1543.0,2445.0,3351.0,21.0,9.428571428571429,9.479300757816626,1.0,3.0,3.0,19.0,24.0
14,4.0,1846.25,1356.8054085485755,90.0,1295.25,1974.0,2525.0,3347.0,4.0,11.5,10.472185381603339,1.0,4.0,10.5,18.0,24.0
