,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
2,3.0,3476.6666666666665,901.8006061948136,2504.0,3072.5,3641.0,3963.0,4285.0,3.0,24.333333333333332,9.291573243177568,14.0,20.5,27.0,29.5,32.0
4,3.0,2850.6666666666665,493.10884532051676,2290.0,2667.5,3045.0,3131.0,3217.0,3.0,18.666666666666668,5.131601439446884,13.0,16.5,20.0,21.5,23.0
5,3.0,2015.0,1565.7186848217657,830.0,1127.5,1425.0,2607.5,3790.0,3.0,13.666666666666666,12.423096769056148,6.0,6.5,7.0,17.5,28.0
7,2.0,2657.5,949.6444071335334,1986.0,2321.75,2657.5,2993.25,3329.0,2.0,17.0,9.899494936611665,10.0,13.5,17.0,20.5,24.0
10,5.0,1768.8,1501.1261439332804,148.0,504.0,1917.0,2424.0,3851.0,5.0,11.2,11.34460224071342,1.0,2.0,10.0,14.0,29.0
11,5.0,3368.0,802.1907503829747,1933.0,3725.0,3726.0,3727.0,3729.0,5.0,24.4,8.049844718999243,10.0,28.0,28.0,28.0,28.0
12,2.0,2283.0,408.7077195258245,1994.0,2138.5,2283.0,2427.5,2572.0,2.0,12.5,3.5355339059327378,10.0,11.25,12.5,13.75,15.0
13,1.0,4242.0,,4242.0,4242.0,4242.0,4242.0,4242.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
14,8.0,2361.875,1332.9804882828769,262.0,1644.75,2186.0,3002.75,4321.0,8.0,15.0,11.275764148954924,1.0,8.0,12.0,19.75,32.0
17,18.0,2087.5555555555557,1257.586354056252,171.0,1180.75,1962.0,3149.25,4025.0,18.0,13.5,10.2052466321755,1.0,6.0,10.5,21.75,31.0
20,2.0,2157.0,948.9373003523468,1486.0,1821.5,2157.0,2492.5,2828.0,2.0,13.0,8.48528137423857,7.0,10.0,13.0,16.0,19.0
26,1.0,3744.0,,3744.0,3744.0,3744.0,3744.0,3744.0,1.0,28.0,,28.0,28.0,28.0,28.0,28.0
28,41.0,2104.8536585365855,1294.1102457089119,119.0,1083.0,1814.0,3467.0,4280.0,41.0,13.926829268292684,10.567379627661815,1.0,6.0,9.0,26.0,32.0
