,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
2,3.0,640.0,520.4815078367338,39.0,489.5,940.0,940.5,941.0,3.0,9.333333333333334,6.3508529610858835,2.0,7.5,13.0,13.0,13.0
4,1.0,463.0,,463.0,463.0,463.0,463.0,463.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
5,2.0,969.0,797.6164491784256,405.0,687.0,969.0,1251.0,1533.0,2.0,17.5,20.506096654409877,3.0,10.25,17.5,24.75,32.0
7,1.0,1093.0,,1093.0,1093.0,1093.0,1093.0,1093.0,1.0,17.0,,17.0,17.0,17.0,17.0,17.0
8,1.0,1377.0,,1377.0,1377.0,1377.0,1377.0,1377.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
11,3.0,408.3333333333333,368.6194966809723,161.0,196.5,232.0,532.0,832.0,3.0,4.666666666666667,2.8867513459481287,3.0,3.0,3.0,5.5,8.0
12,1.0,1027.0,,1027.0,1027.0,1027.0,1027.0,1027.0,1.0,17.0,,17.0,17.0,17.0,17.0,17.0
13,3.0,172.33333333333334,5.507570547286101,166.0,170.5,175.0,175.5,176.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
14,1.0,1183.0,,1183.0,1183.0,1183.0,1183.0,1183.0,1.0,19.0,,19.0,19.0,19.0,19.0,19.0
17,11.0,796.8181818181819,439.3098719996668,139.0,498.5,772.0,971.0,1548.0,11.0,12.181818181818182,10.722109697425987,3.0,4.0,8.0,14.5,32.0
28,58.0,756.1896551724138,502.21259414282764,3.0,343.5,625.5,1216.75,1586.0,58.0,12.827586206896552,11.668127123176772,1.0,3.0,8.0,24.0,32.0
31,1.0,880.0,,880.0,880.0,880.0,880.0,880.0,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
32,4.0,783.75,451.5007382792044,557.0,557.75,558.5,784.5,1461.0,4.0,12.5,13.0,6.0,6.0,6.0,12.5,32.0
33,12.0,673.6666666666666,533.0357882123409,128.0,255.75,502.0,1061.5,1593.0,12.0,11.416666666666666,11.649879697649114,2.0,3.0,5.5,18.0,32.0
36,3.0,342.6666666666667,128.94313992350789,195.0,297.5,400.0,416.5,433.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
