,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,2.0,475.0,46.66904755831214,442.0,458.5,475.0,491.5,508.0,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
2,5.0,2850.2,2119.457406979437,1179.0,1262.0,1472.0,5167.0,5171.0,5.0,26.2,25.390943267236057,7.0,7.0,9.0,54.0,54.0
3,3.0,3240.6666666666665,2598.0087246453454,244.0,2431.0,4618.0,4739.0,4860.0,3.0,32.0,26.057628441590765,2.0,23.5,45.0,47.0,49.0
4,2.0,4095.5,0.7071067811865476,4095.0,4095.25,4095.5,4095.75,4096.0,2.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0
5,2.0,3801.5,1636.9521984468574,2644.0,3222.75,3801.5,4380.25,4959.0,2.0,34.0,22.627416997969522,18.0,26.0,34.0,42.0,50.0
9,4.0,3804.5,25.955089417427686,3784.0,3784.75,3797.5,3817.25,3839.0,4.0,37.0,0.0,37.0,37.0,37.0,37.0,37.0
10,6.0,3677.1666666666665,1359.9281476117283,1993.0,2452.0,4149.5,4767.75,4911.0,6.0,34.833333333333336,16.351350606805134,14.0,20.5,41.0,48.0,49.0
11,14.0,2596.5,1574.9700241347696,463.0,1691.0,2467.0,3897.25,4753.0,14.0,23.071428571428573,16.01664656015631,4.0,13.25,19.5,37.0,46.0
12,7.0,1929.5714285714287,1764.5934241011307,171.0,1025.5,1388.0,2285.0,5327.0,7.0,16.0,19.364916731037084,2.0,6.0,7.0,18.0,55.0
13,8.0,2745.0,1313.7281736667271,796.0,2046.25,3193.0,3775.75,3876.0,8.0,24.375,14.706048318391217,5.0,13.5,27.5,37.25,38.0
14,20.0,3125.6,1437.5648415581852,643.0,2397.5,3898.5,3906.25,4998.0,20.0,28.95,16.001562423713505,5.0,16.25,38.0,38.0,52.0
17,80.0,2499.4375,1694.8936551811792,12.0,607.5,2938.0,4135.25,4963.0,80.0,23.0125,17.235152296499855,2.0,4.75,23.0,40.0,50.0
23,1.0,2942.0,,2942.0,2942.0,2942.0,2942.0,2942.0,1.0,23.0,,23.0,23.0,23.0,23.0,23.0
24,1.0,3193.0,,3193.0,3193.0,3193.0,3193.0,3193.0,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
