,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
2,37.0,3346.891891891892,1200.392199421686,1378.0,2489.0,3491.0,4312.0,5209.0,37.0,30.783783783783782,10.99781578096087,14.0,23.0,27.0,43.0,48.0
4,19.0,5463.315789473684,10.924247401379635,5449.0,5455.5,5461.0,5469.0,5486.0,19.0,51.0,0.0,51.0,51.0,51.0,51.0,51.0
7,10.0,1653.8,1166.329265497336,390.0,1188.5,1375.5,1554.75,4319.0,10.0,17.0,11.035296904831233,3.0,13.0,15.5,18.75,43.0
8,32.0,1092.09375,747.7710258203721,473.0,533.0,911.5,1472.75,4292.0,32.0,12.15625,7.85394651156039,5.0,6.0,10.5,16.0,43.0
9,60.0,1112.6,641.8617043083558,146.0,522.75,888.0,1635.25,2977.0,60.0,12.3,6.735436266116342,1.0,6.0,10.5,20.0,24.0
10,18.0,1997.2222222222222,1028.2924484197695,814.0,1596.75,1668.5,1769.0,3791.0,18.0,21.555555555555557,8.212058724627584,10.0,20.0,20.0,20.0,35.0
11,29.0,1130.4827586206898,1102.8535267558573,617.0,734.0,825.0,1039.0,5617.0,29.0,12.344827586206897,9.922110454034916,6.0,9.0,10.0,12.0,51.0
12,30.0,2013.8333333333333,1523.2176714812115,208.0,782.0,1265.0,2467.75,4988.0,30.0,19.833333333333332,14.26373103323621,1.0,10.0,13.0,23.0,48.0
13,4.0,4080.75,1731.9737055355854,1576.0,3629.5,4658.5,5109.75,5430.0,4.0,40.0,14.30617582258329,19.0,37.0,45.5,48.5,50.0
14,11.0,3693.181818181818,1126.36946142745,2390.0,2808.0,3132.0,4846.5,5550.0,11.0,33.09090909090909,11.66580083367229,22.0,24.0,25.0,46.0,51.0
16,1.0,3446.0,,3446.0,3446.0,3446.0,3446.0,3446.0,1.0,27.0,,27.0,27.0,27.0,27.0,27.0
17,67.0,3491.955223880597,836.579316329406,1192.0,2963.0,3334.0,4082.5,5573.0,67.0,31.28358208955224,8.798770523874092,13.0,24.5,26.0,39.0,51.0
24,2.0,3542.0,1.4142135623730951,3541.0,3541.5,3542.0,3542.5,3543.0,2.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0
