,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
2,1.0,2808.0,,2808.0,2808.0,2808.0,2808.0,2808.0,1.0,45.0,,45.0,45.0,45.0,45.0,45.0
3,1.0,142.0,,142.0,142.0,142.0,142.0,142.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
5,1.0,2083.0,,2083.0,2083.0,2083.0,2083.0,2083.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
8,2.0,1694.5,1366.8374080335964,728.0,1211.25,1694.5,2177.75,2661.0,2.0,24.0,26.870057685088806,5.0,14.5,24.0,33.5,43.0
9,1.0,2373.0,,2373.0,2373.0,2373.0,2373.0,2373.0,1.0,37.0,,37.0,37.0,37.0,37.0,37.0
11,5.0,909.2,981.522134238449,152.0,154.0,284.0,1847.0,2109.0,5.0,13.2,15.482247898803326,2.0,2.0,2.0,27.0,33.0
12,5.0,1822.0,706.2149106327337,843.0,1480.0,1902.0,2175.0,2710.0,5.0,26.0,13.820274961085254,6.0,21.0,27.0,33.0,43.0
13,4.0,1339.5,644.9751933214176,493.0,1033.0,1447.0,1753.5,1971.0,4.0,16.5,11.561430130683084,3.0,9.0,17.5,25.0,28.0
14,3.0,3573.6666666666665,385.2821476961181,3130.0,3448.5,3767.0,3795.5,3824.0,3.0,48.333333333333336,1.1547005383792517,47.0,48.0,49.0,49.0,49.0
17,23.0,1891.5217391304348,1120.7636142610017,180.0,715.0,1915.0,2759.5,3607.0,23.0,25.869565217391305,18.298793670686916,2.0,5.0,27.0,43.0,49.0
24,1.0,825.0,,825.0,825.0,825.0,825.0,825.0,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
25,5.0,1520.0,1059.353340486544,830.0,831.0,1158.0,1418.0,3363.0,5.0,18.0,17.592612085759182,6.0,6.0,11.0,19.0,48.0
28,38.0,2439.184210526316,900.3033079081965,346.0,1929.75,2620.5,3117.75,3737.0,38.0,35.71052631578947,14.64334161895976,2.0,27.25,41.5,47.0,49.0
29,1.0,1402.0,,1402.0,1402.0,1402.0,1402.0,1402.0,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
