,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,1.0,2015.0,,2015.0,2015.0,2015.0,2015.0,2015.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
2,2.0,2166.0,2917.5225791756952,103.0,1134.5,2166.0,3197.5,4229.0,2.0,18.0,24.041630560342615,1.0,9.5,18.0,26.5,35.0
4,3.0,2171.3333333333335,949.3810264237079,1368.0,1647.5,1927.0,2573.0,3219.0,3.0,10.0,8.888194417315589,3.0,5.0,7.0,13.5,20.0
5,2.0,4360.5,0.7071067811865476,4360.0,4360.25,4360.5,4360.75,4361.0,2.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0
7,12.0,2999.9166666666665,949.433271946369,841.0,2453.0,3314.0,3431.25,4589.0,12.0,18.666666666666668,9.158536339327801,2.0,12.0,21.0,23.0,35.0
8,8.0,2605.125,1228.1060258439763,1209.0,1682.5,2251.0,3676.5,4290.0,8.0,15.75,13.905291901184341,2.0,5.25,10.0,28.0,35.0
9,9.0,2732.1111111111113,1174.778111436841,1424.0,1463.0,2626.0,4108.0,4199.0,9.0,17.333333333333332,13.527749258468681,3.0,5.0,14.0,34.0,35.0
10,28.0,2673.8928571428573,1277.0677739283649,377.0,1523.0,2587.5,4017.25,4306.0,28.0,17.714285714285715,13.965187253540677,2.0,5.0,14.0,34.0,35.0
11,2.0,3459.5,112.42997820866105,3380.0,3419.75,3459.5,3499.25,3539.0,2.0,24.0,2.8284271247461903,22.0,23.0,24.0,25.0,26.0
12,6.0,2997.8333333333335,1393.349692886415,732.0,2242.5,3656.5,3872.75,4226.0,6.0,21.666666666666668,14.320148975016519,2.0,10.25,27.5,32.0,35.0
13,5.0,1953.4,867.1622108925181,414.0,2233.0,2234.0,2413.0,2473.0,5.0,8.2,3.5637059362410923,2.0,9.0,9.0,10.0,11.0
14,59.0,2477.0508474576272,892.900493041306,11.0,2144.0,2376.0,3058.5,4456.0,59.0,13.423728813559322,8.612747949146936,1.0,9.0,9.0,17.5,35.0
15,2.0,3048.0,1752.2106037802648,1809.0,2428.5,3048.0,3667.5,4287.0,2.0,20.5,20.506096654409877,6.0,13.25,20.5,27.75,35.0
