,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,2.0,1067.5,1151.876946552886,253.0,660.25,1067.5,1474.75,1882.0,2.0,4.0,4.242640687119285,1.0,2.5,4.0,5.5,7.0
2,4.0,2250.75,95.50349033761366,2202.0,2202.75,2203.5,2251.5,2394.0,4.0,15.0,2.0,14.0,14.0,14.0,15.0,18.0
3,1.0,3118.0,,3118.0,3118.0,3118.0,3118.0,3118.0,1.0,23.0,,23.0,23.0,23.0,23.0,23.0
4,1.0,1851.0,,1851.0,1851.0,1851.0,1851.0,1851.0,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
5,3.0,2360.0,1557.7573623642418,564.0,1868.0,3172.0,3258.0,3344.0,3.0,16.333333333333332,13.279056191361391,1.0,12.5,24.0,24.0,24.0
8,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
11,3.0,725.6666666666666,1104.9585210917799,19.0,89.0,159.0,1079.0,1999.0,3.0,4.0,5.196152422706632,1.0,1.0,1.0,5.5,10.0
12,15.0,1279.2666666666667,319.2971000420112,820.0,919.5,1294.0,1575.0,1581.0,15.0,3.1333333333333333,0.9154754164341269,2.0,2.0,3.0,4.0,4.0
13,12.0,1788.8333333333333,873.40876958494,43.0,1394.25,1627.0,2201.5,3220.0,12.0,8.916666666666666,8.57542295096159,1.0,3.0,5.0,13.0,24.0
14,17.0,1556.5294117647059,654.2749916555595,93.0,1286.0,1431.0,1930.0,2637.0,17.0,6.764705882352941,6.5146892842704505,1.0,3.0,3.0,8.0,21.0
17,64.0,1811.734375,1008.7366960580974,166.0,918.5,1615.5,2819.75,3343.0,64.0,10.9375,9.612945966701892,1.0,2.0,4.5,22.0,24.0
20,2.0,1953.5,0.7071067811865476,1953.0,1953.25,1953.5,1953.75,1954.0,2.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
24,3.0,1551.6666666666667,1053.780970284306,336.0,1225.0,2114.0,2159.5,2205.0,3.0,9.0,7.0,1.0,6.5,12.0,13.0,14.0
25,2.0,427.0,43.840620433565945,396.0,411.5,427.0,442.5,458.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
