,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,1.0,694.0,,694.0,694.0,694.0,694.0,694.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2,5.0,2167.8,1763.2751345153142,273.0,274.0,3004.0,3326.0,3962.0,5.0,15.8,13.198484761517134,2.0,2.0,20.0,24.0,31.0
3,1.0,1321.0,,1321.0,1321.0,1321.0,1321.0,1321.0,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
4,2.0,2033.5,0.7071067811865476,2033.0,2033.25,2033.5,2033.75,2034.0,2.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
5,2.0,1181.5,729.0270914033305,666.0,923.75,1181.5,1439.25,1697.0,2.0,5.5,3.5355339059327378,3.0,4.25,5.5,6.75,8.0
8,3.0,1888.6666666666667,1728.875453389669,890.0,890.5,891.0,2388.0,3885.0,3.0,14.0,13.856406460551018,6.0,6.0,6.0,18.0,30.0
9,1.0,1466.0,,1466.0,1466.0,1466.0,1466.0,1466.0,1.0,7.0,,7.0,7.0,7.0,7.0,7.0
10,14.0,2493.0,1076.954609428471,1268.0,1405.5,2507.5,3258.75,4275.0,14.0,16.071428571428573,9.809448237555195,6.0,6.5,14.5,23.75,32.0
12,8.0,1874.5,848.1568251213923,117.0,1729.5,1867.0,2218.75,3072.0,8.0,10.25,5.4707011825333165,1.0,8.0,9.5,12.5,20.0
13,5.0,2592.6,2226.1155181167037,130.0,183.0,4061.0,4258.0,4331.0,5.0,19.4,16.80178561939177,1.0,1.0,31.0,32.0,32.0
14,25.0,2366.0,1306.102822649631,297.0,1092.0,2286.0,3792.0,4199.0,25.0,16.32,10.581902790456292,2.0,6.0,13.0,28.0,32.0
17,93.0,1884.8817204301076,1303.2513759445474,14.0,817.0,1437.0,3299.0,4302.0,93.0,12.290322580645162,10.36148873511206,1.0,6.0,7.0,24.0,32.0
23,2.0,3117.0,810.3443712397834,2544.0,2830.5,3117.0,3403.5,3690.0,2.0,21.5,9.192388155425117,15.0,18.25,21.5,24.75,28.0
24,1.0,2497.0,,2497.0,2497.0,2497.0,2497.0,2497.0,1.0,14.0,,14.0,14.0,14.0,14.0,14.0
