,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
3,6.0,588.8333333333334,422.4293629314452,27.0,290.0,636.0,836.5,1156.0,6.0,7.666666666666667,6.314005596027506,1.0,3.75,7.0,8.75,19.0
8,1.0,436.0,,436.0,436.0,436.0,436.0,436.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
10,2.0,396.0,487.9036790187178,51.0,223.5,396.0,568.5,741.0,2.0,5.0,4.242640687119285,2.0,3.5,5.0,6.5,8.0
12,1.0,1027.0,,1027.0,1027.0,1027.0,1027.0,1027.0,1.0,17.0,,17.0,17.0,17.0,17.0,17.0
13,1.0,750.0,,750.0,750.0,750.0,750.0,750.0,1.0,8.0,,8.0,8.0,8.0,8.0,8.0
14,11.0,933.2727272727273,381.3518299180144,440.0,714.5,735.0,1209.0,1560.0,11.0,15.272727272727273,10.973521851173478,3.0,8.0,8.0,24.0,32.0
17,31.0,921.258064516129,428.7042467515288,59.0,720.5,1049.0,1187.5,1564.0,31.0,15.548387096774194,10.11875720194076,2.0,8.0,17.0,19.0,32.0
20,3.0,174.66666666666666,267.0249676216315,20.0,20.5,21.0,252.0,483.0,3.0,2.0,1.7320508075688772,1.0,1.0,1.0,2.5,4.0
23,1.0,1532.0,,1532.0,1532.0,1532.0,1532.0,1532.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0
24,3.0,371.0,207.34271147064706,142.0,283.5,425.0,485.5,546.0,3.0,3.6666666666666665,1.1547005383792515,3.0,3.0,3.0,4.0,5.0
25,2.0,553.0,465.2762620207483,224.0,388.5,553.0,717.5,882.0,2.0,6.0,4.242640687119285,3.0,4.5,6.0,7.5,9.0
28,117.0,820.5811965811965,473.5055117349569,3.0,398.0,847.0,1237.0,1556.0,117.0,14.042735042735043,11.174473035784207,1.0,3.0,8.0,24.0,32.0
29,1.0,463.0,,463.0,463.0,463.0,463.0,463.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
32,2.0,590.5,0.7071067811865476,590.0,590.25,590.5,590.75,591.0,2.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
