,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,1.0,5274.0,,5274.0,5274.0,5274.0,5274.0,5274.0,1.0,55.0,,55.0,55.0,55.0,55.0,55.0
2,3.0,3832.0,1208.1055417470777,2437.0,3483.0,4529.0,4529.5,4530.0,3.0,35.333333333333336,16.74315780649915,16.0,30.5,45.0,45.0,45.0
3,2.0,3315.0,1735.2400410317875,2088.0,2701.5,3315.0,3928.5,4542.0,2.0,30.5,20.506096654409877,16.0,23.25,30.5,37.75,45.0
4,2.0,5158.5,0.7071067811865476,5158.0,5158.25,5158.5,5158.75,5159.0,2.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0
5,2.0,4576.0,900.8540392316615,3939.0,4257.5,4576.0,4894.5,5213.0,2.0,46.0,11.313708498984761,38.0,42.0,46.0,50.0,54.0
7,1.0,3809.0,,3809.0,3809.0,3809.0,3809.0,3809.0,1.0,37.0,,37.0,37.0,37.0,37.0,37.0
8,4.0,4865.75,470.343402916068,4235.0,4642.25,5001.0,5224.5,5226.0,4.0,49.5,5.259911279353167,44.0,45.5,50.0,54.0,54.0
9,2.0,4500.0,388.90872965260115,4225.0,4362.5,4500.0,4637.5,4775.0,2.0,45.0,1.4142135623730951,44.0,44.5,45.0,45.5,46.0
10,3.0,438.6666666666667,220.25969520848187,311.0,311.5,312.0,502.5,693.0,3.0,3.0,1.7320508075688772,2.0,2.0,2.0,3.5,5.0
11,8.0,1661.75,221.06737822276202,1555.0,1582.25,1593.5,1597.5,2207.0,8.0,12.5,1.4142135623730951,12.0,12.0,12.0,12.0,16.0
12,8.0,2634.625,2012.2731238576935,171.0,1125.25,2486.5,4129.75,5309.0,8.0,23.875,21.931305087867955,2.0,6.5,16.5,41.25,55.0
13,4.0,1774.0,1471.2629495323624,465.0,1087.5,1374.0,2060.5,3883.0,4.0,14.25,15.924300089276556,4.0,6.25,7.5,15.5,38.0
14,10.0,1788.6,1337.208468747072,62.0,801.75,1417.0,3052.25,3864.0,10.0,15.7,13.840761058072879,2.0,5.0,10.0,28.75,38.0
17,56.0,2412.1785714285716,1111.787178901084,227.0,1527.5,2797.5,2988.25,4752.0,56.0,19.357142857142858,11.439053634455433,2.0,11.25,22.0,23.0,46.0
