,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
2,4.0,3702.25,1964.8374614710501,755.0,3698.0,4683.0,4687.25,4688.0,4.0,36.0,18.0,9.0,36.0,45.0,45.0,45.0
4,1.0,4722.0,,4722.0,4722.0,4722.0,4722.0,4722.0,1.0,45.0,,45.0,45.0,45.0,45.0,45.0
7,10.0,4878.7,3.334999583541537,4874.0,4876.25,4878.5,4880.75,4884.0,10.0,46.0,0.0,46.0,46.0,46.0,46.0,46.0
8,3.0,1584.0,1240.162892526623,862.0,868.0,874.0,1945.0,3016.0,3.0,15.0,7.810249675906654,10.0,10.5,11.0,17.5,24.0
9,1.0,1204.0,,1204.0,1204.0,1204.0,1204.0,1204.0,1.0,13.0,,13.0,13.0,13.0,13.0,13.0
10,7.0,2193.4285714285716,1235.5388645098485,430.0,1149.0,2864.0,3250.5,3261.0,7.0,18.571428571428573,9.089502055616006,4.0,12.0,24.0,26.0,26.0
11,11.0,2198.090909090909,1794.3689951927643,222.0,753.5,1220.0,4293.5,4442.0,11.0,22.0,17.75387281693772,1.0,8.5,13.0,43.0,44.0
12,7.0,2510.5714285714284,1463.5223329514376,975.0,987.5,3430.0,3432.0,4330.0,7.0,22.428571428571427,12.094863136295272,11.0,11.0,27.0,27.0,43.0
13,23.0,2234.8260869565215,1199.0737581443252,1405.0,1696.0,1718.0,2063.5,5542.0,23.0,22.782608695652176,9.496202694374642,14.0,20.0,20.0,21.5,51.0
14,7.0,2573.8571428571427,1289.3270116061103,721.0,1848.5,2581.0,3134.5,4749.0,7.0,24.0,11.0,8.0,20.5,24.0,25.0,45.0
17,67.0,3178.8358208955224,1737.9026247873833,75.0,1693.0,3161.0,4522.0,5657.0,67.0,29.895522388059703,16.00391460479346,1.0,20.0,26.0,44.0,51.0
20,8.0,4381.875,603.5794272504655,3436.0,4176.5,4657.5,4813.25,4817.0,8.0,40.75,8.531454406237795,27.0,39.75,45.0,46.0,46.0
24,3.0,4732.333333333333,735.8330879576789,4307.0,4307.5,4308.0,4945.0,5582.0,3.0,45.666666666666664,4.618802153517007,43.0,43.0,43.0,47.0,51.0
