,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,haditsId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId,kitabId
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,
1,2.0,2851.5,23.33452377915607,2835.0,2843.25,2851.5,2859.75,2868.0,2.0,45.5,0.7071067811865476,45.0,45.25,45.5,45.75,46.0
2,4.0,2568.25,625.3886125175823,1782.0,2226.75,2647.5,2989.0,3196.0,4.0,39.0,10.456258094238748,25.0,34.0,42.0,47.0,47.0
5,2.0,2813.5,0.7071067811865476,2813.0,2813.25,2813.5,2813.75,2814.0,2.0,45.0,0.0,45.0,45.0,45.0,45.0,45.0
7,2.0,1507.0,704.2783540618013,1009.0,1258.0,1507.0,1756.0,2005.0,2.0,18.0,14.142135623730951,8.0,13.0,18.0,23.0,28.0
8,5.0,1808.8,1334.7862001084668,81.0,1512.0,1513.0,2171.0,3767.0,5.0,25.0,17.663521732655695,1.0,21.0,21.0,33.0,49.0
9,5.0,2742.8,522.0121646092167,2040.0,2342.0,2982.0,3127.0,3223.0,5.0,41.4,8.17312669668102,29.0,37.0,47.0,47.0,47.0
10,9.0,2409.777777777778,1349.1516573181996,30.0,2420.0,3030.0,3203.0,3603.0,9.0,36.0,19.862024066041204,1.0,37.0,47.0,47.0,49.0
11,2.0,2181.0,121.62236636408618,2095.0,2138.0,2181.0,2224.0,2267.0,2.0,34.5,2.1213203435596424,33.0,33.75,34.5,35.25,36.0
12,2.0,3056.5,716.2991693419726,2550.0,2803.25,3056.5,3309.75,3563.0,2.0,44.5,6.363961030678928,40.0,42.25,44.5,46.75,49.0
14,4.0,1745.25,1309.5417455481643,722.0,1064.0,1299.0,1980.25,3661.0,4.0,21.0,19.527758021169078,5.0,9.5,15.0,26.5,49.0
17,58.0,1095.7586206896551,858.1594811570974,21.0,379.25,1049.0,1389.25,3610.0,58.0,13.155172413793103,13.82065797318844,1.0,2.0,8.0,16.25,49.0
20,8.0,1785.5,1063.8130877716658,420.0,1018.0,1774.5,2212.75,3436.0,8.0,24.0,17.435595774162696,2.0,9.0,26.0,32.0,48.0
23,7.0,1768.857142857143,1039.0023144939619,133.0,1059.5,1968.0,2720.0,2722.0,7.0,25.142857142857142,18.604914865240776,1.0,9.0,28.0,43.0,43.0
