haditsId,kitabId,indo,arab,label
260,1,"Telah menceritakan kepada kami [Al-Qa'nabi] telah menceritakan kepada kami [Abdul Aziz bin Muhammad] dari [Muhammad bin Utsman] bahwasanya dia bertanya kepada [Al-Qasim bin Muhammad] tentang Wanita mustahadlah, maka dia menjawab; Dia meninggalkan shalat pada hari-hari yang biasanya dia haidl kemudian mandi dan shalat, lalu mandi setiap hari. ","حَدَّثَنَا الْقَعْنَبِيُّ حَدَّثَنَا عَبْدُ الْعَزِيزِ يَعْنِي ابْنَ مُحَمَّدٍ عَنْ مُحَمَّدِ بْنِ عُثْمَانَ أَنَّهُ سَأَلَ الْقَاسِمَ بْنَ مُحَمَّدٍ عَنْ الْمُسْتَحَاضَةِ فَقَالَ
تَدَعُ الصَّلَاةَ أَيَّامَ أَقْرَائِهَا ثُمَّ تَغْتَسِلُ فَتُصَلِّي ثُمَّ تَغْتَسِلُ فِي الْأَيَّامِ",74
357,2,"Telah menceritakan kepada kami [Amru bin Utsman Al Himshi] telah menceritakan kepada kami [Ayahku] telah menceritakan kepada kami [Hariz] dari [Rasyid bin Sa'd] dari [Ashim bin Humaid As Sakuni] bahwasanya dia pernah mendengar [Mu'adz bin Jabal] berkata; Kami pernah menunggu Nabi Shallallahu alaihi wasallah dalam shalat 'Atamah (Isya yang terakhir). Beliau lama datang sehingga orang menyangka bahwa beliau tidak akan ke masjid, dan di antara kita juga ada yang mengatakan bahwa beliau telah shalat. Kami pun demikian, sampai Nabi Shallallahu alaihi wasallah keluar (menemui kami), maka mereka (para sahabat) pun mengatakan banyak hal kepada beliau. Maka beliau bersabda: ""Laksanakanlah Shalat 'Atamah, karena sesungguhnya kalian telah diberi keutaman dengannya daripada seluruh umat, dan tidak pernah dilaksaknakan oleh suatu ummat pun sebelum kalian.""","حَدَّثَنَا عَمْرُو بْنُ عُثْمَانَ الْحِمْصِيُّ حَدَّثَنَا أَبِي حَدَّثَنَا حَرِيزٌ عَنْ رَاشِدِ بْنِ سَعْدٍ عَنْ عَاصِمِ بْنِ حُمَيْدٍ السَّكُونِيِّ أَنَّهُ سَمِعَ مُعَاذَ بْنَ جَبَلٍ يَقُولُ
أَبْقَيْنَا النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي صَلَاةِ الْعَتَمَةِ فَأَخَّرَ حَتَّى ظَنَّ الظَّانُّ أَنَّهُ لَيْسَ بِخَارِجٍ وَالْقَائِلُ مِنَّا يَقُولُ صَلَّى فَإِنَّا لَكَذَلِكَ حَتَّى خَرَجَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالُوا لَهُ كَمَا قَالُوا فَقَالَ لَهُمْ أَعْتِمُوا بِهَذِهِ الصَّلَاةِ فَإِنَّكُمْ قَدْ فُضِّلْتُمْ بِهَا عَلَى سَائِرِ الْأُمَمِ وَلَمْ تُصَلِّهَا أُمَّةٌ قَبْلَكُمْ",74
389,2,"Telah menceritakan kepada kami [Muhammad bin Ishaq Abu Bakar Ash Shaghani] telah menceritakan kepada kami [Abu Badr Syuja' bin Al Walid] telah menceritakan kepada kami [Syarik] telah menceritakan kepada kami [Abu Hushain] dari [Abu Shalih] dari [Abu Hurairah]. Abu Badr berkata; Saya mengira dia memarfu'kan hadits ini kepada Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Sesungguhnya kerikil-kerikil itu akan meminta (dengan Nama Allah) kepada orang yang mengeluarkannya dari Masjid (agar tidak dikeluarkan).""","حَدَّثَنَا مُحَمَّدُ بْنُ إِسْحَقَ أَبُو بَكْرٍ يَعْنِي الصَّاغَانِيَّ حَدَّثَنَا أَبُو بَدْرٍ شُجَاعُ بْنُ الْوَلِيدِ حَدَّثَنَا شَرِيكٌ حَدَّثَنَا أَبُو حُصَيْنٍ عَنْ أَبِي صَالِحٍ عَنْ أَبِي هُرَيْرَةَ
قَالَ أَبُو بَدْرٍ أُرَاهُ قَدْ رَفَعَهُ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ إِنَّ الْحَصَاةَ لَتُنَاشِدُ الَّذِي يُخْرِجُهَا مِنْ الْمَسْجِدِ",74
406,2,"Telah menceritakan kepada kami [Yahya bin Hubaib bin Arabi] telah menceritakan kepada kami [Khalid bin Al-Harits] dari [Muhammad bin 'Ajlan] dari ['Iyadl bin Abdullah] dari [Abu Sa'id Al-Khudri] bahwasanya Nabi shallallahu 'alaihi wasallam suka membawa tandan kurma, beliau memegangnya dan masuk Masjid, tiba-tiba dia mendapati dahak di arah kiblat Masjid, maka beliau menggosoknya, kemudian beliau menghadap kepada jama'ah dengan marah seraya bersabda: ""Apakah salah seorang di antara kalian suka diludahi mukanya? Sesungguhnya seseorang apabila sedang menghadap kiblat, maka sebenarnya dia sedang menghadap Rabbnya Azza wa Jalla, sedangkan malaikat ada di sebelah kanannya. Karena itu, janganlah berludah ke arah kanannya dan jangan pula ke depannya, akan tetapi berludahlah ke kirinya atau ke bawah kakinya, jika ada sesuatu yang mengharuskannya segera meludah, maka lakukanlah seperti ini."" Ibnu Ajlan mempraktekannya, yaitu: beliau meludah ke kainnya, kemudian menggosok-gosokkan sebagiannya terhadap bagian yang lain. ","حَدَّثَنَا يَحْيَى بْنُ حَبِيبِ بْنِ عَرَبِيٍّ حَدَّثَنَا خَالِدٌ يَعْنِي ابْنَ الْحَارِثِ عَنْ مُحَمَّدِ بْنِ عَجْلَانَ عَنْ عِيَاضِ بْنِ عَبْدِ اللَّهِ عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ يُحِبُّ الْعَرَاجِينَ وَلَا يَزَالُ فِي يَدِهِ مِنْهَا فَدَخَلَ الْمَسْجِدَ فَرَأَى نُخَامَةً فِي قِبْلَةِ الْمَسْجِدِ فَحَكَّهَا ثُمَّ أَقْبَلَ عَلَى النَّاسِ مُغْضَبًا فَقَالَ أَيَسُرُّ أَحَدَكُمْ أَنْ يُبْصَقَ فِي وَجْهِهِ إِنَّ أَحَدَكُمْ إِذَا اسْتَقْبَلَ الْقِبْلَةَ فَإِنَّمَا يَسْتَقْبِلُ رَبَّهُ عَزَّ وَجَلَّ وَالْمَلَكُ عَنْ يَمِينِهِ فَلَا يَتْفُلْ عَنْ يَمِينِهِ وَلَا فِي قِبْلَتِهِ وَلْيَبْصُقْ عَنْ يَسَارِهِ أَوْ تَحْتَ قَدَمِهِ فَإِنْ عَجِلَ بِهِ أَمْرٌ فَلْيَقُلْ هَكَذَا وَوَصَفَ لَنَا ابْنُ عَجْلَانَ ذَلِكَ أَنْ يَتْفُلَ فِي ثَوْبِهِ ثُمَّ يَرُدَّ بَعْضَهُ عَلَى بَعْضٍ",74
881,2,"Telah menceritakan kepada kami [Musa bin Isma'il] telah menceritakan kepada kami [Hammad] dari [Tsabit] dan [Humaid] dari [Anas] bahwa Nabi shallallahu 'alaihi wasallam dan para sahabatnya shalat menghadap ke arah Baitul Maqdis, ketika turun ayat; ""Palingkanlah mukamu ke arah Masjidil Haram. dan dimana saja kamu berada, palingkanlah mukamu ke arahnya."" (QS Al Baqarah; 144), lalu seorang laki-laki dari Bani Salamah lewat dan berseru kepada kaumnya ketika mereka sedang ruku' dalam shalat dengan menghadap Baitul Maqdis; ""Ketahuilah, bahwa kiblat telah di alihkan ke Ka'bah -ia berseru dua kali- akhirnya mereka beralih ke Ka'bah dalam posisi ruku'.""","حَدَّثَنَا مُوسَى بْنُ إِسْمَعِيلَ حَدَّثَنَا حَمَّادٌ عَنْ ثَابِتٍ وَحُمَيْدٍ عَنْ أَنَسٍ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَصْحَابَهُ كَانُوا يُصَلُّونَ نَحْوَ بَيْتِ الْمَقْدِسِ فَلَمَّا نَزَلَتْ هَذِهِ الْآيَةُ
{ فَوَلِّ وَجْهَكَ شَطْرَ الْمَسْجِدِ الْحَرَامِ وَحَيْثُ مَا كُنْتُمْ فَوَلُّوا وُجُوهَكُمْ شَطْرَهُ }
فَمَرَّ رَجُلٌ مِنْ بَنِي سَلَمَةَ فَنَادَاهُمْ وَهُمْ رُكُوعٌ فِي صَلَاةِ الْفَجْرِ نَحْوَ بَيْتِ الْمَقْدِسِ أَلَا إِنَّ الْقِبْلَةَ قَدْ حُوِّلَتْ إِلَى الْكَعْبَةِ مَرَّتَيْنِ فَمَالُوا كَمَا هُمْ رُكُوعٌ إِلَى الْكَعْبَةِ",74
1091,2,"Telah menceritakan kepada kami [Abdullah bin Muhammad An Nufaili] telah menceritakan kepada kami [Ibnu 'Ulayyah] dari [Al Jurairi] dari [Abdullah bin Buraidah] dari [Abdullah bin Mughaffal] dia berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Di antara setiap dua adzan (adzan dan Iqamah) terdapat shalat (sunnah), dan di antara setiap dua adzan (adzan dan Iqamah) terdapat shalat (sunnah), bagi siapa yang menghendakinya.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ مُحَمَّدٍ النُّفَيْلِيُّ حَدَّثَنَا ابْنُ عُلَيَّةَ عَنْ الْجُرَيْرِيِّ عَنْ عَبْدِ اللَّهِ بْنِ بُرَيْدَةَ عَنْ عَبْدِ اللَّهِ بْنِ مُغَفَّلٍ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بَيْنَ كُلِّ أَذَانَيْنِ صَلَاةٌ بَيْنَ كُلِّ أَذَانَيْنِ صَلَاةٌ لِمَنْ شَاءَ",74
1217,2,"Telah menceritakan kepada Kami [Syuja' bin Makhlad], telah menceritakan kepada Kami [Husyaim], telah mengabarkan kepada Kami [Yunus bin 'Ubaid] dari [Al Hasan] bahwa [Umar bin Khathab] RhadhiyAllahu 'anhu mengumpulkan orang-orang untuk melakukan shalat dibelakang Ubai bin Kaab, ia melakukan shalat sebagai imam mereka selama dua puluh malam, dan dia tidak melakukan qunut bersama mereka kecuali pada setengah bulan terakhir. Dan apabila sudah masuk hari kesepuluh terakhir ia mengundurkan diri dan melakukan shalat dirumahnya, hingga orang-orang mengatakan bahwa Ubai telah kabur. Abu Daud berkata; hadits ini menunjukkan bahwa hadits yang telah disebutkan mengenai qunut tidak berarti apa-apa, dan dua hadits ini menunjukkan kelemahan hadits Ubai bahwa Nabi Shalla Allahu 'alaihi wa sallam melakukan qunut pada waktu witir. ","حَدَّثَنَا شُجَاعُ بْنُ مَخْلَدٍ حَدَّثَنَا هُشَيْمٌ أَخْبَرَنَا يُونُسُ بْنُ عُبَيْدٍ عَنْ الْحَسَنِ أَنَّ
عُمَرَ بْنَ الْخَطَّابِ جَمَعَ النَّاسَ عَلَى أُبَيِّ بْنِ كَعْبٍ فَكَانَ يُصَلِّي لَهُمْ عِشْرِينَ لَيْلَةً وَلَا يَقْنُتُ بِهِمْ إِلَّا فِي النِّصْفِ الْبَاقِي فَإِذَا كَانَتْ الْعَشْرُ الْأَوَاخِرُ تَخَلَّفَ فَصَلَّى فِي بَيْتِهِ فَكَانُوا يَقُولُونَ أَبَقَ أُبَيٌّ
قَالَ أَبُو دَاوُد وَهَذَا يَدُلُّ عَلَى أَنَّ الَّذِي ذُكِرَ فِي الْقُنُوتِ لَيْسَ بِشَيْءٍ وَهَذَانِ الْحَدِيثَانِ يَدُلَّانِ عَلَى ضَعْفِ حَدِيثِ أُبَيٍّ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَنَتَ فِي الْوِتْرِ",74
1233,2,"Telah menceritakan kepada Kami [Abu Al Walid Ath Thayalisi], telah menceritakan kepada Kami [Hammad bin Salamah] dari [Anas bin Sirin] dari [Anas bin Malik] bahwa Nabi shallallahu 'alaihi wasallam melakukan qunut selama satu bulan kemudian beliau meninggalkannya. ","حَدَّثَنَا أَبُو الْوَلِيدِ الطَّيَالِسِيُّ حَدَّثَنَا حَمَّادُ بْنُ سَلَمَةَ عَنْ أَنَسِ بْنِ سِيرِينَ عَنْ أَنَسِ بْنِ مَالِكٍ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَنَتَ شَهْرًا ثُمَّ تَرَكَهُ",74
1399,3,"Telah menceritakan kepada Kami [Hisyam bin 'Ammar] telah menceritakan kepada Kami [Al Walid] telah menceritakan kepada Kami [Sa'id? bin Abdul Aziz] dari [Rabi'ah yaitu Ibnu Yazid] dari [Abu Idris Al Khaulani] dari [Abu Muslim Al Khaulani], ia berkata; telah menceritakan kepadaku Al Habib Al Amin, ia adalah orang yang aku cintai dan ia bagiku adalah orang yang dapat dipercaya yaitu ['Auf bin Malik], ia berkata; Kami pernah bersama Rasulullah shallAllahu wa'alaihi wa sallam berjumlah tujuh, atau delapan atau sembilan orang. Beliau berkata: ""Tidakkah kalian membaiat Rasulullah shallAllahu wa'alaihi wa sallam?"" Sementara Kami baru saja berbaiat kepada beliau. Kami katakan; Kami telah membaiat anda. Hingga beliau mengatakannya sebanyak tiga kali. Kemudian Kami menghamparkan tangan Kami dan membaiat beliau. Kemudian seseorang berkata; wahai Rasulullah, Kami telah membaiat anda, kepada apakah Kami membaiat anda? Beliau bersabda: ""Agar kalian beribadah kepada Allah dan tidak menyekutukan sesuatupun denganNya, melakukan shalat lima waktu, mendengar dan mentaati…. -dan beliau berkata pelan-: dan kalian tidak meminta-minta kepada orang sesuatupun."" Ia berkata; sungguh sebagian orang-orang tersebut cemetinya terjatuh dan ia tidak meminta seorangpun untuk mengambilkannya. Abu Daud berkata; Hadits Hisyam tidak diriwayatkan kecuali oleh Sa'id. ","حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ حَدَّثَنَا الْوَلِيدُ حَدَّثَنَا سَعِيدُ بْنُ عَبْدِ الْعَزِيزِ عَنْ رَبِيعَةَ يَعْنِي ابْنَ يَزِيدَ عَنْ أَبِي إِدْرِيسَ الْخَوْلَانِيِّ عَنْ أَبِي مُسْلِمٍ الْخَوْلَانِيِّ قَالَ حَدَّثَنِي الْحَبِيبُ الْأَمِينُ أَمَّا هُوَ إِلَيَّ فَحَبِيبٌ وَأَمَّا هُوَ عِنْدِي فَأَمِينٌ عَوْفُ بْنُ مَالِكٍ
قَالَ كُنَّا عِنْدَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَبْعَةً أَوْ ثَمَانِيَةً أَوْ تِسْعَةً فَقَالَ أَلَا تُبَايِعُونَ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَكُنَّا حَدِيثَ عَهْدٍ بِبَيْعَةٍ قُلْنَا قَدْ بَايَعْنَاكَ حَتَّى قَالَهَا ثَلَاثًا فَبَسَطْنَا أَيْدِيَنَا فَبَايَعْنَاهُ فَقَالَ قَائِلٌ يَا رَسُولَ اللَّهِ إِنَّا قَدْ بَايَعْنَاكَ فَعَلَامَ نُبَايِعُكَ قَالَ أَنْ تَعْبُدُوا اللَّهَ وَلَا تُشْرِكُوا بِهِ شَيْئًا وَتُصَلُّوا الصَّلَوَاتِ الْخَمْسَ وَتَسْمَعُوا وَتُطِيعُوا وَأَسَرَّ كَلِمَةً خَفِيَّةً قَالَ وَلَا تَسْأَلُوا النَّاسَ شَيْئًا قَالَ فَلَقَدْ كَانَ بَعْضُ أُولَئِكَ النَّفَرِ يَسْقُطُ سَوْطُهُ فَمَا يَسْأَلُ أَحَدًا أَنْ يُنَاوِلَهُ إِيَّاهُ
قَالَ أَبُو دَاوُد حَدِيثُ هِشَامٍ لَمْ يَرْوِهِ إِلَّا سَعِيدٌ",74
1609,5,"Telah menceritakan kepada Kami [Abu Salamah Musa bin Isma'il], telah menceritakan kepada Kami [Hammad], telah menceritakan kepada Kami [Abu 'Ashim Al Ghanawi] dari [Abu Ath Thufail], ia berkata; aku katakan kepada [Ibnu Abbas]; orang-orang mengaku bahwa Rasulullah shallAllahu wa'alaihi wa sallam telah berlari-lari kecil di Ka'bah, dan hal tersebut sunah. Ia berkata; mereka benar, dan berdusta. Aku katakan; kebenaran apakah yang mereka katakan, dan kedustaan apa yang mereka ucapkan? Ia berkata; mereka telah benar, Rasulullah shallAllahu wa'alaihi wa sallam telah berlari-lari kecil, dan mereka bedusta, hal tersebut bukanlah sunah. Sesungguhnya orang-orang Quraisy berkata pada zaman terjadinya perjanjian hudaibiyah; biarkan Muhammad dan para sahabatnya hingga mereka bati seperti matinya ulatm. Kemudian tatkala mereka berdamai dengan beliau agar mereka datang pada tahun yang akan datang dan bermukim di Mekkah selama tiga hari. Kemudian Rasulullah shallAllahu wa'alaihi wa sallam datang sementara orang-orang musyrik dari arah Qu'aiqi'an. Lalu Rasulullah shallAllahu wa'alaihi wa sallam berkata kepada para sahabatnya: ""Berlari-lari kecillah di Ka'bah sebanyak tiga kali, dan bukanlah sesuatu yang sunah."" Aku katakana; kaummu mengaku bahwa Rasulullah shallAllahu wa'alaihi wa sallam berthawaf antara Shafa dan Marwa di atas untanya, dan hal tersebut merupakan sesuatu yang sunah. Kemudian ia berkata; mereka telah benar dan berdusta. Aku katakan; kebenaran apakah yang mereka katakan? Dan kedustaan apakah yang mereka ucapkan? Ia berkata; mereka benar, Rasulullah shallAllahu wa'alaihi wa sallam telah melakukan thawaf antara Shafa dan Marwa di atas untanya, dan mereka berdusta, karena hal tersebut bukanlah sunah. Dahulu orang-orang tidak ditolak dari Rasulullah shallAllahu wa'alaihi wa sallam dan tidak dipalingkan dari beliau, beliau melakukan thawaf di atas untanya agar mereka mendengar perkataannya dan melihat tempatnya, serta tidak bisa dicapai tangan mereka. ","حَدَّثَنَا أَبُو سَلَمَةَ مُوسَى بْنُ إِسْمَعِيلَ حَدَّثَنَا حَمَّادٌ حَدَّثَنَا أَبُو عَاصِمٍ الْغَنَوِيُّ عَنْ أَبِي الطُّفَيْلِ قَالَ
قُلْتُ لِابْنِ عَبَّاسٍ يَزْعُمُ قَوْمُكَ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَدْ رَمَلَ بِالْبَيْتِ وَأَنَّ ذَلِكَ سُنَّةٌ قَالَ صَدَقُوا وَكَذَبُوا قُلْتُ وَمَا صَدَقُوا وَمَا كَذَبُوا قَالَ صَدَقُوا قَدْ رَمَلَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَكَذَبُوا لَيْسَ بِسُنَّةٍ إِنَّ قُرَيْشًا قَالَتْ زَمَنَ الْحُدَيْبِيَةِ دَعُوا مُحَمَّدًا وَأَصْحَابَهُ حَتَّى يَمُوتُوا مَوْتَ النَّغَفِ فَلَمَّا صَالَحُوهُ عَلَى أَنْ يَجِيئُوا مِنْ الْعَامِ الْمُقْبِلِ فَيُقِيمُوا بِمَكَّةَ ثَلَاثَةَ أَيَّامٍ فَقَدِمَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَالْمُشْرِكُونَ مِنْ قِبَلِ قُعَيْقِعَانَ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لِأَصْحَابِهِ ارْمُلُوا بِالْبَيْتِ ثَلَاثًا وَلَيْسَ بِسُنَّةٍ قُلْتُ يَزْعُمُ قَوْمُكَ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ طَافَ بَيْنَ الصَّفَا وَالْمَرْوَةِ عَلَى بَعِيرِهِ وَأَنَّ ذَلِكَ سُنَّةٌ فَقَالَ صَدَقُوا وَكَذَبُوا قُلْتُ مَا صَدَقُوا وَمَا كَذَبُوا قَالَ صَدَقُوا قَدْ طَافَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بَيْنَ الصَّفَا وَالْمَرْوَةِ عَلَى بَعِيرِهِ وَكَذَبُوا لَيْسَ بِسُنَّةٍ كَانَ النَّاسُ لَا يُدْفَعُونَ عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَلَا يُصْرَفُونَ عَنْهُ فَطَافَ عَلَى بَعِيرٍ لِيَسْمَعُوا كَلَامَهُ وَلِيَرَوْا مَكَانَهُ وَلَا تَنَالُهُ أَيْدِيهِمْ",74
