haditsId,kitabId,indo,arab
491,9,"Telah menceritakan kepada kami ['Abdullah bin Maslamah] berkata; Aku membacakannya di hadapan [Malik] dari [Ibnu Syihab] bahwa 'Umar bin 'Abdul 'Aziz pada suatu hari mengakhirkan pelaksanaan shalat. Kemudian ['Urwah bin Az Zubair] datang menemuinya dan mengabarkan kepadanya bahwa Al Mughirah bin Syu'bah pada suatu hari juga pernah mengakhirkan shalat, dan saat itu dia tinggal di 'Irak. Kemudian [Abu Mas'ud Al Anshari] datang menemuinya seraya berkata, ""Apa yang kamu lakukan ini wahai Al Mughirah? Bukankah kamu telah mengetahui bahwa Malaikat Jibril shallallahu 'alaihi wasallam pernah turun kemudian melaksanakan shalat, kemudian Rasulullah shallallahu 'alaihi wasallam juga ikut melaksanakan shalat? Kemudian Jibril shalat lagi dan Rasulullah shallallahu 'alaihi wasallam juga ikut shalat kembali? Kemudian Jibril shalat lagi dan Rasulullah shallallahu 'alaihi wasallam juga ikut shalat kembali? Kemudian Jibril shalat lagi dan Rasulullah shallallahu 'alaihi wasallam juga ikut shalat kembali? Kemudian Jibril shalat lagi dan Rasulullah shallallahu 'alaihi wasallam juga ikut shalat kembali? Kemudian Jibril berkata, ""Inilah waktu-waktu yang diperintahkan kepadaku (agar engkau melaksanakannya)."" 'Umar lalu berkata kepada 'Urwah, ""Ketahuilah apa yang kamu ceritakan! Sesungguhnya Jibril datang untuk menjelaskan kepada Rasulullah shallallahu 'alaihi wasallam tentang waktu-waktu shalat."" 'Urwah berkata, ""Begitulah adanya. bahwasanya [Basyir bin Abu Mas'ud] menceritakan dari [Bapaknya]. Urwah berkata, "" [Aisyah] menceritakan kepadaku bahwa Rasulullah shallallahu 'alaihi wasallam pernah melaksanakan shalat 'Ashar, sementara cahaya matahari yang ada dalam kamarnya belum nampak.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ مَسْلَمَةَ قَالَ قَرَأْتُ عَلَى مَالِكٍ عَنْ ابْنِ شِهَابٍ أَنَّ عُمَرَ بْنَ عَبْدِ الْعَزِيزِ أَخَّرَ الصَّلَاةَ يَوْمًا فَدَخَلَ عَلَيْهِ عُرْوَةُ بْنُ الزُّبَيْرِ فَأَخْبَرَهُ أَنَّ الْمُغِيرَةَ بْنَ شُعْبَةَ أَخَّرَ الصَّلَاةَ يَوْمًا وَهُوَ بِالْعِرَاقِ فَدَخَلَ عَلَيْهِ أَبُو مَسْعُودٍ الْأَنْصَارِيُّ
فَقَالَ مَا هَذَا يَا مُغِيرَةُ أَلَيْسَ قَدْ عَلِمْتَ أَنَّ جِبْرِيلَ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَزَلَ فَصَلَّى فَصَلَّى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ صَلَّى فَصَلَّى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ صَلَّى فَصَلَّى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ صَلَّى فَصَلَّى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ صَلَّى فَصَلَّى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ قَالَ بِهَذَا أُمِرْتُ
فَقَالَ عُمَرُ لِعُرْوَةَ اعْلَمْ مَا تُحَدِّثُ أَوَأَنَّ جِبْرِيلَ هُوَ أَقَامَ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَقْتَ الصَّلَاةِ قَالَ عُرْوَةُ كَذَلِكَ كَانَ بَشِيرُ بْنُ أَبِي مَسْعُودٍ يُحَدِّثُ عَنْ أَبِيهِ قَالَ عُرْوَةُ وَلَقَدْ حَدَّثَتْنِي عَائِشَةُ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ يُصَلِّي الْعَصْرَ وَالشَّمْسُ فِي حُجْرَتِهَا قَبْلَ أَنْ تَظْهَرَ"
492,9,"Telah menceritakan kepada kami [Qutaibah bin Sa'id] berkata, telah menceritakan kepada kami ['Abbad] -yaitu Ibnu 'Abbad- dari [Abu Hamzah] dari [Ibnu 'Abbas] berkata, ""Utusan 'Abdul Qais datang kepada Rasulullah shallallahu 'alaihi wasallam dan berkata, ""Sesungguhnya kami dari suku Rabi'ah, dan kami tidak dapat mengunjungi tuan kecuali pada bulan haram. Maka perintahlah kepada kami dengan sesuatu yang kami ambil dari tuan dan dapat kami sampaikan kepada penduduk kami. Maka Nabi shallallahu 'alaihi wasallam bersabda: ""Aku perintahkan kalian dengan empat perkara dan aku larang dari empat perkara; Iman kepada Allah. Lalu Nabi shallallahu 'alaihi wasallam menjelaskan kepada mereka; yaitu persaksian bahwa tidak ada Tuhan yang berhak disembah selain Allah dan Muhammad adalah utusan Allah, menegakkan shalat, menunaikan zakat, pusa Ramadan dan kalian kelurakan seperlima dari harta rampasan perang. Dan aku larang kalian dari Ad Duba`, Al Hantam, Al Muqayyar dan An Naqir."" ","حَدَّثَنَا قُتَيْبَةُ بْنُ سَعِيدٍ قَالَ حَدَّثَنَا عَبَّادٌ هُوَ ابْنُ عَبَّادٍ عَنْ أَبِي جَمْرَةَ عَنْ ابْنِ عَبَّاسٍ قَالَ
قَدِمَ وَفْدُ عَبْدِ الْقَيْسِ عَلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالُوا إِنَّا مِنْ هَذَا الْحَيِّ مِنْ رَبِيعَةَ وَلَسْنَا نَصِلُ إِلَيْكَ إِلَّا فِي الشَّهْرِ الْحَرَامِ فَمُرْنَا بِشَيْءٍ نَأْخُذْهُ عَنْكَ وَنَدْعُو إِلَيْهِ مَنْ وَرَاءَنَا فَقَالَ آمُرُكُمْ بِأَرْبَعٍ وَأَنْهَاكُمْ عَنْ أَرْبَعٍ الْإِيمَانِ بِاللَّهِ ثُمَّ فَسَّرَهَا لَهُمْ شَهَادَةُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَأَنِّي رَسُولُ اللَّهِ وَإِقَامُ الصَّلَاةِ وَإِيتَاءُ الزَّكَاةِ وَأَنْ تُؤَدُّوا إِلَيَّ خُمُسَ مَا غَنِمْتُمْ وَأَنْهَى عَنْ الدُّبَّاءِ وَالْحَنْتَمِ وَالْمُقَيَّرِ وَالنَّقِيرِ"
493,9,"Telah menceritakan kepada kami [Muhammad bin Al Mutsanna] berkata, telah menceritakan kepada kami [Yahya] berkata, telah menceritakan kepada kami [Isma'il] berkata, telah menceritakan kepada kami [Qais] dari [Jarir bin 'Abdullah] berkata, ""Aku membai'at Rasulullah shallallahu 'alaihi wasallam untuk menegakkan shalat, menunaikan zakat dan untuk setia kepada setiap Muslim.""","حَدَّثَنَا مُحَمَّدُ بْنُ الْمُثَنَّى قَالَ حَدَّثَنَا يَحْيَى قَالَ حَدَّثَنَا إِسْمَاعِيلُ قَالَ حَدَّثَنَا قَيْسٌ عَنْ جَرِيرِ بْنِ عَبْدِ اللَّهِ قَالَ
بَايَعْتُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَلَى إِقَامِ الصَّلَاةِ وَإِيتَاءِ الزَّكَاةِ وَالنُّصْحِ لِكُلِّ مُسْلِمٍ"
494,9,"Telah menceritakan kepada kami [Musaddad] berkata, telah menceritakan kepada kami [Yahya] dari [Al A'masy] berkata, telah menceritakan kepadaku [Syaqiq] berkata, Aku pernah mendengar [Hudzaifah] berkata, ""Kami pernah bermajelis bersama 'Umar, lalu ia berkata, ""Siapa di antara kalian yang masih ingat sabda Rasulullah shallallahu 'alaihi wasallam tentang masalah fitnah? ' Aku lalu menjawab, 'Aku masih ingat seperti yang beliau sabdakan! ' 'Umar bertanya, ""Kamu dengar dari beliau atau kamu mendengar perkataan itu dari orang lain?"" Aku menjawab, 'Yaitu fitnah seseorang dalam keluarganya, harta, anak dan tetangganya. Dan fitnah itu akan terhapus oleh amalan shalat, puasa, sedekah, amar ma'ruf dan nahi munkar."" 'Umar berkata, ""Bukan itu yang aku mau. Tapi fitnah yang dahsyat seperti dahsyatnya air laut."" Hudzaifah berkata, ""Wahai Amirul Mukminin, sesungguhnya fitnah itu tidak akan membahayakan engkau! antara engkau dengannya terhalang oleh pintu yang tertutup."" 'Umar bertanya; ""Pintu yang rusak atau terbuka?"" Hudzaifah menjawab, ""Rusak."" 'Umar pun berkata, ""Kalau begitu tidak akan bisa ditutup selamanya! ' Kami (perawi) bertanya, ""Apakah 'Umar mengerti pintu yang dimaksud?"" Hudzaifah menjawab, ""Ya. Sebagaimana mengertinya dia bahwa setelah pagi adalah malam hari. Aku telah menceritakan kepadanya suatu hadits yang tidak ada kerancuannya."" Namun kami takut untuk bertanya kepada Hudzaifah, lalu aku suruh Masruq untuk, lalu ia pun menanyakannya kepadanya. Hudzaifah lalu menjawab, ""Pintu itu adalah Umar.""","حَدَّثَنَا مُسَدَّدٌ قَالَ حَدَّثَنَا يَحْيَى عَنْ الْأَعْمَشِ قَالَ حَدَّثَنِي شَقِيقٌ قَالَ سَمِعْتُ حُذَيْفَةَ قَالَ
كُنَّا جُلُوسًا عِنْدَ عُمَرَ رَضِيَ اللَّهُ عَنْهُ فَقَالَ أَيُّكُمْ يَحْفَظُ قَوْلَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي الْفِتْنَةِ قُلْتُ أَنَا كَمَا قَالَهُ قَالَ إِنَّكَ عَلَيْهِ أَوْ عَلَيْهَا لَجَرِيءٌ قُلْتُ فِتْنَةُ الرَّجُلِ فِي أَهْلِهِ وَمَالِهِ وَوَلَدِهِ وَجَارِهِ تُكَفِّرُهَا الصَّلَاةُ وَالصَّوْمُ وَالصَّدَقَةُ وَالْأَمْرُ وَالنَّهْيُ قَالَ لَيْسَ هَذَا أُرِيدُ وَلَكِنْ الْفِتْنَةُ الَّتِي تَمُوجُ كَمَا يَمُوجُ الْبَحْرُ قَالَ لَيْسَ عَلَيْكَ مِنْهَا بَأْسٌ يَا أَمِيرَ الْمُؤْمِنِينَ إِنَّ بَيْنَكَ وَبَيْنَهَا بَابًا مُغْلَقًا قَالَ أَيُكْسَرُ أَمْ يُفْتَحُ قَالَ يُكْسَرُ قَالَ إِذًا لَا يُغْلَقَ أَبَدًا قُلْنَا أَكَانَ عُمَرُ يَعْلَمُ الْبَابَ قَالَ نَعَمْ كَمَا أَنَّ دُونَ الْغَدِ اللَّيْلَةَ إِنِّي حَدَّثْتُهُ بِحَدِيثٍ لَيْسَ بِالْأَغَالِيطِ فَهِبْنَا أَنْ نَسْأَلَ حُذَيْفَةَ فَأَمَرْنَا مَسْرُوقًا فَسَأَلَهُ فَقَالَ الْبَابُ عُمَرُ"
495,9,"Telah menceritakan kepada kami [Qutaibah] berkata, telah menceritakan kepada kami [Yazid bin Zurai'] dari [Sulaiman At Taimi] dari [Abu 'Utsman An Nahdi] dari [Ibnu Mas'ud], bahwa ada seorang laki-laki mencium seorang wanita, ia lalu mendatangi Nabi shallallahu 'alaihi wasallam dan mengabarkan kepada beliau. Maka turunlah firman Allah: '(Dan dirikanlah shalat pada kedua tepi siang (pagi dan petang) dan pada bahagian permulaan daripada malam. Sesungguhnya perbuatan-perbuatan yang baik itu menghapuskan (dosa) perbuatan-perbuatan yang buruk).' (Qs. Huud: 114). Laki-laki itu lalu bertanya, ""Wahai Rasulullah, apakah ini khusus buatku?"" beliau menjawab: ""Untuk semua umatku.""","حَدَّثَنَا قُتَيْبَةُ قَالَ حَدَّثَنَا يَزِيدُ بْنُ زُرَيْعٍ عَنْ سُلَيْمَانَ التَّيْمِيِّ عَنْ أَبِي عُثْمَانَ النَّهْدِيِّ عَنْ ابْنِ مَسْعُودٍ
أَنَّ رَجُلًا أَصَابَ مِنْ امْرَأَةٍ قُبْلَةً فَأَتَى النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَأَخْبَرَهُ فَأَنْزَلَ اللَّهُ عَزَّ وَجَلَّ
{ أَقِمْ الصَّلَاةَ طَرَفَيْ النَّهَارِ وَزُلَفًا مِنْ اللَّيْلِ إِنَّ الْحَسَنَاتِ يُذْهِبْنَ السَّيِّئَاتِ }
فَقَالَ الرَّجُلُ يَا رَسُولَ اللَّهِ أَلِي هَذَا قَالَ لِجَمِيعِ أُمَّتِي كُلِّهِمْ"
496,9,"Telah menceritakan kepada kami [Abu Al Walid Hisyam bin 'Abdul Malik] berkata, telah menceritakan kepada kami [Syu'bah] berkata, telah mengabarkan kepadaku [Al Walid bin Al 'Aizar] berkata, Aku mendengar [Abu 'Amru Asy Syaibani] berkata, ""Pemilik rumah ini menceritakan kepada kami -seraya menunjuk rumah ['Abdullah] - ia berkata, ""Aku pernah bertanya kepada Nabi shallallahu 'alaihi wasallam, ""Amal apakah yang paling dicintai oleh Allah?"" Beliau menjawab: ""Shalat pada waktunya."" 'Abdullah bertanya lagi, ""Kemudian apa kagi?"" Beliau menjawab: ""Kemudian berbakti kepada kedua orangtua."" 'Abdullah bertanya lagi, ""Kemudian apa kagi?"" Beliau menjawab: ""Jihad fi sabilillah."" 'Abdullah berkata, ""Beliau sampaikan semua itu, sekiranya aku minta tambah, niscaya beliau akan menambahkannya untukku.""","حَدَّثَنَا أَبُو الْوَلِيدِ هِشَامُ بْنُ عَبْدِ الْمَلِكِ قَالَ حَدَّثَنَا شُعْبَةُ قَالَ الْوَلِيدُ بْنُ الْعَيْزَارِ أَخْبَرَنِي قَالَ سَمِعْتُ أَبَا عَمْرٍو الشَّيْبَانِيَّ يَقُولُ حَدَّثَنَا صَاحِبُ هَذِهِ الدَّارِ وَأَشَارَ إِلَى دَارِ عَبْدِ اللَّهِ قَالَ
سَأَلْتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَيُّ الْعَمَلِ أَحَبُّ إِلَى اللَّهِ قَالَ الصَّلَاةُ عَلَى وَقْتِهَا قَالَ ثُمَّ أَيٌّ قَالَ ثُمَّ بِرُّ الْوَالِدَيْنِ قَالَ ثُمَّ أَيٌّ قَالَ الْجِهَادُ فِي سَبِيلِ اللَّهِ قَالَ حَدَّثَنِي بِهِنَّ وَلَوْ اسْتَزَدْتُهُ لَزَادَنِي"
497,9,"Telah menceritakan kepada kami [Ibrahim bin Hamzah] berkata, telah menceritakan kepadaku [Ibnu Abu Hazim] dan [Ad Darawardi] dari [Yazid] -yakni Ibnu 'abdullah bin Al Hadi- dari [Muhammad bin Ibrahim] dari [Abu Salamah bin 'Abdurrahman] dari [Abu Hurairah], bahwa ia mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: ""Bagaimana pendapat kalian seandainya ada sungai di depan pintu rumah salah seorang dari kalian, lalu dia mandi lima kali setiap hari? Apakah kalian menganggap masih akan ada kotoran (daki) yang tersisa padanya?"" Para sahabat menjawab, ""Tidak akan ada yang tersisa sedikitpun kotoran padanya."" Lalu beliau bersabda: ""Seperti itu pula dengan shalat lima waktu, dengannya Allah akan menghapus semua kesalahan.""","حَدَّثَنَا إِبْرَاهِيمُ بْنُ حَمْزَةَ قَالَ حَدَّثَنِي ابْنُ أَبِي حَازِمٍ وَالدَّرَاوَرْدِيُّ عَنْ يَزِيدَ يَعْنِي ابْنِ عَبْدِ اللَّهِ بْنِ الْهَادِ عَنْ مُحَمَّدِ بْنِ إِبْرَاهِيمَ عَنْ أَبِي سَلَمَةَ بْنِ عَبْدِ الرَّحْمَنِ عَنْ أَبِي هُرَيْرَةَ
أَنَّهُ سَمِعَ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُ أَرَأَيْتُمْ لَوْ أَنَّ نَهَرًا بِبَابِ أَحَدِكُمْ يَغْتَسِلُ فِيهِ كُلَّ يَوْمٍ خَمْسًا مَا تَقُولُ ذَلِكَ يُبْقِي مِنْ دَرَنِهِ قَالُوا لَا يُبْقِي مِنْ دَرَنِهِ شَيْئًا قَالَ فَذَلِكَ مِثْلُ الصَّلَوَاتِ الْخَمْسِ يَمْحُو اللَّهُ بِهِ الْخَطَايَا"
498,9,"Telah menceritakan kepada kami [Musa bin Isma'il] berkata, telah menceritakan kepada kami [Mahdi] dari [Ghailan] dari [Anas] berkata, ""Aku tidak pernah mengenal sasuatupun di zaman Rasulullah shallallahu 'alaihi wasallam seperti apa yang terjadi sekarang."" Dikatakan kepadanya, ""Apakah yang kau maksud shalat?"" Anas berkata, ""Bukankah memang benar kalian telah melalaikannya?""","حَدَّثَنَا مُوسَى بْنُ إِسْمَاعِيلَ قَالَ حَدَّثَنَا مَهْدِيٌّ عَنْ غَيْلَانَ عَنْ أَنَسٍ قَالَ
مَا أَعْرِفُ شَيْئًا مِمَّا كَانَ عَلَى عَهْدِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قِيلَ الصَّلَاةُ قَالَ أَلَيْسَ ضَيَّعْتُمْ مَا ضَيَّعْتُمْ فِيهَا"
499,9,"Telah menceritakan kepada kami ['Amru bin Zurarah] berkata, telah mengabarkan kepada kami ['Abdul Wahid bin Washil Abu 'Ubaidah Al Haddad] dari ['Utsman bin Abu Rawwad] saudara Al 'Aziz bin Abu Rawwad, ia berkata, aku mendengar [Az Zuhri] berkata, ""Aku pernah menemui [Anas bin Malik] di Damaskus, sementara saat itu ia sedang menangis. Aku lalu bertanya, 'Apa yang membuatmu menangis? Anas lalu menjawab, ""Aku tidak pernah mengenal sasuatupun di zaman Rasulullah shallallahu 'alaihi wasallam seperti apa yang aku temui sekarang selain masalah shalat. Shalat sekarang ini sudah dilalaikan."" [Bakar bin Khalaf] berkata, telah menceritakan kepada kami [Muhammad bin Bakar Al Barsani] telah mengabarkan kepada kami ['Utsman bin Abu Rawwad] dengan hadits seperti ini.""","حَدَّثَنَا عَمْرُو بْنُ زُرَارَةَ قَالَ أَخْبَرَنَا عَبْدُ الْوَاحِدِ بْنُ وَاصِلٍ أَبُو عُبَيْدَةَ الْحَدَّادُ عَنْ عُثْمَانَ بْنِ أَبِي رَوَّادٍ أَخِي عَبْدِ الْعَزِيزِ بْنِ أَبِي رَوَّادٍ قَالَ سَمِعْتُ الزُّهْرِيَّ يَقُولُ دَخَلْتُ عَلَى أَنَسِ بْنِ مَالِكٍ بِدِمَشْقَ وَهُوَ يَبْكِي فَقُلْتُ مَا يُبْكِيكَ فَقَالَ
لَا أَعْرِفُ شَيْئًا مِمَّا أَدْرَكْتُ إِلَّا هَذِهِ الصَّلَاةَ وَهَذِهِ الصَّلَاةُ قَدْ ضُيِّعَتْ
وَقَالَ بَكْرُ بْنُ خَلَفٍ حَدَّثَنَا مُحَمَّدُ بْنُ بَكْرٍ الْبُرْسَانِيُّ أَخْبَرَنَا عُثْمَانُ بْنُ أَبِي رَوَّادٍ نَحْوَهُ"
500,9,"Telah menceritakan kepada kami [Muslim bin Ibrahim] berkata, telah menceritakan kepada kami [Hisyam] dari [Qatadah] dari [Anas bin Malik] berkata, ""Nabi shallallahu 'alaihi wasallam bersabda: ""Jika salah seorang dari kalian shalat bermunajat kepada Rabbnya, maka janganlah dia meludah ke sebelah kanannya, tetapi henklah ke sebelah kiri atau bawah kaki kirinya."" [Sa'id] menyebutkan dari [Qatadah], ""Janganlah dia meludah ke arah depannya, tetapi ke sebelah kiri atau di bawah kedua kakinya."" [Syu'bah] menyebutkan: ""Janganlah ia meludah ke arah depan atau sebelah kanannya, tetapi hendaklah ke sebelah kiri atau di bawah kaki kirinya."" Dan [Humaid] menyebutkan dari [Anas] dari Nabi shallallahu 'alaihi wasallam: ""Janganlah ia meludah ke arah kiblat atau sebelah kanannya, tetapi hendaklah ke sebelah kiri atau di bawah kakinya.""","حَدَّثَنَا مُسْلِمُ بْنُ إِبْرَاهِيمَ قَالَ حَدَّثَنَا هِشَامٌ عَنْ قَتَادَةَ عَنْ أَنَسِ بْنِ مَالِكٍ قَالَ
قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّ أَحَدَكُمْ إِذَا صَلَّى يُنَاجِي رَبَّهُ فَلَا يَتْفِلَنَّ عَنْ يَمِينِهِ وَلَكِنْ تَحْتَ قَدَمِهِ الْيُسْرَى
وَقَالَ سَعِيدٌ عَنْ قَتَادَةَ لَا يَتْفِلُ قُدَّامَهُ أَوْ بَيْنَ يَدَيْهِ وَلَكِنْ عَنْ يَسَارِهِ أَوْ تَحْتَ قَدَمَيْهِ وَقَالَ شُعْبَةُ لَا يَبْزُقُ بَيْنَ يَدَيْهِ وَلَا عَنْ يَمِينِهِ وَلَكِنْ عَنْ يَسَارِهِ أَوْ تَحْتَ قَدَمِهِ وَقَالَ حُمَيْدٌ عَنْ أَنَسٍ عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا يَبْزُقْ فِي الْقِبْلَةِ وَلَا عَنْ يَمِينِهِ وَلَكِنْ عَنْ يَسَارِهِ أَوْ تَحْتَ قَدَمِهِ"
