haditsId,kitabId,indo,arab,label
2278,13,"Telah menceritakan kepada kami [Utsman] dan [Abu Bakr] -keduanya putra Abu Syaibah-keduanya berkata; telah menceritakan kepada kami ['Abdurrahman bin Mahdi] dari [Sufyan] dari [Ibrahim bin Muhajir] dari [Mujahid] dari [Penuntun As Sa`ib] dari [Sa`ib] ia berkata kepada Nabi shallallahu 'alaihi wasallam, ""Engkau adalah temanku di masa jahiliyyah, dan engkau adalah sebaik-baik teman yang tidak memperdayaiku dan mendebatku.""","حَدَّثَنَا عُثْمَانُ وَأَبُو بَكْرٍ ابْنَا أَبِي شَيْبَةَ قَالَا حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ مَهْدِيٍّ عَنْ سُفْيَانَ عَنْ إِبْرَاهِيمَ بْنِ مُهَاجِرٍ عَنْ مُجَاهِدٍ عَنْ قَائِدِ السَّائِبِ عَنْ السَّائِبِ
قَالَ لِلنَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كُنْتَ شَرِيكِي فِي الْجَاهِلِيَّةِ فَكُنْتَ خَيْرَ شَرِيكٍ لَا تُدَارِينِي وَلَا تُمَارِينِي",57
2536,15,"Telah menceritakan kepada kami [Ya'qub bin Humaid bin Kasib], telah menceritakan kepada kami [Muhammad bin Utsman Al Jumahi], telah menceritakan kepada kami [Hakam bin Aban] dari [Ikrimah] dari [Ibnu 'Abbas], dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Barang siapa yang menutupi aib saudaranya muslim, Allah akan menutupi aibnya pada hari kiamat, dan barang siapa mengumbar aib saudaranya muslim, maka Allah akan mengumbar aibnya hingga terbukalah kejelekannya di dalam rumahnya.""","حَدَّثَنَا يَعْقُوبُ بْنُ حُمَيْدِ بْنِ كَاسِبٍ حَدَّثَنَا مُحَمَّدُ بْنُ عُثْمَانَ الْجُمَحِيُّ حَدَّثَنَا الْحَكَمُ بْنُ أَبَانَ عَنْ عِكْرِمَةَ عَنْ ابْنِ عَبَّاسٍ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ مَنْ سَتَرَ عَوْرَةَ أَخِيهِ الْمُسْلِمِ سَتَرَ اللَّهُ عَوْرَتَهُ يَوْمَ الْقِيَامَةِ وَمَنْ كَشَفَ عَوْرَةَ أَخِيهِ الْمُسْلِمِ كَشَفَ اللَّهُ عَوْرَتَهُ حَتَّى يَفْضَحَهُ بِهَا فِي بَيْتِهِ",57
2601,15,"Telah menceritakan kepada kami [Muhammad bin Shabah], telah memberitakan kepada kami [Sufyan] dari [Abdul Karim] dari [Mujahid] dari [Abdullah bin Amru] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa yang mengaku-ngaku memiliki hubungan nasab kepada selain ayahnya, maka surga menjadi haram baginya, padahal bau surga dapat dicium sepanjang jarak perjalanan lima ratus tahun.""","حَدَّثَنَا مُحَمَّدُ بْنُ الصَّبَّاحِ أَنْبَأَنَا سُفْيَانُ عَنْ عَبْدِ الْكَرِيمِ عَنْ مُجَاهِدٍ عَنْ عَبْدِ اللَّهِ بْنِ عَمْرٍو قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ ادَّعَى إِلَى غَيْرِ أَبِيهِ لَمْ يَرَحْ رَائِحَةَ الْجَنَّةِ وَإِنَّ رِيحَهَا لَيُوجَدُ مِنْ مَسِيرَةِ خَمْسِ مِائَةِ عَامٍ",57
2618,16,"Telah menceritakan kepada kami [Abdullah bin Muhammmad Az Zuhri], telah menceritakan kepada kami [Sufyan bin Uiyainah] dari [Ibnu Jud'an] ia mendengar dari [Al Qasim bin Rabi'ah] dari [Ibnu Umar], sesungguhnya Rasulullah shallallahu 'alaihi wasallam berdiri di tangga Ka'bah pada saat penakukan kota Makkah dengan memuji Allah, beliau bersabda: ""Segala puji bagi Allah yang Maha menepati janji, menolong hamba-Nya dan mengalahkan musuh sendirian. Ingatlah sesungguhnya orang yang terbunuh karena salah adalah terbunuhnya ia oleh cambuk dan tongkat. Maka baginya diyat dengan seratus ekor diantaranya empat puluh ekor khalifah yang di dalam perutnya terdapat janin. Ketahuilah bahwa setiap kebanggaan yang berlaku dimasa jahiliyyah akan berada di kedua kakiku ini (dihapus) kecuali kebiasaan menjaga Ka'bah dan memberi minum orang haji. Ketahuilah sesungguhnya aku telah membiarkan kepada keduanya sebagaimana adanya.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ مُحَمَّدٍ الزُّهْرِيُّ حَدَّثَنَا سُفْيَانُ بْنُ عُيَيْنَةَ عَنْ ابْنِ جُدْعَانَ سَمِعَهُ مِنْ الْقَاسِمِ بْنِ رَبِيعَةَ عَنْ ابْنِ عُمَرَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَامَ يَوْمَ فَتْحِ مَكَّةَ وَهُوَ عَلَى دَرَجِ الْكَعْبَةِ فَحَمِدَ اللَّهَ وَأَثْنَى عَلَيْهِ فَقَالَ الْحَمْدُ لِلَّهِ الَّذِي صَدَقَ وَعْدَهُ وَنَصَرَ عَبْدَهُ وَهَزَمَ الْأَحْزَابَ وَحْدَهُ أَلَا إِنَّ قَتِيلَ الْخَطَإِ قَتِيلَ السَّوْطِ وَالْعَصَا فِيهِ مِائَةٌ مِنْ الْإِبِلِ مِنْهَا أَرْبَعُونَ خَلِفَةً فِي بُطُونِهَا أَوْلَادُهَا أَلَا إِنَّ كُلَّ مَأْثُرَةٍ كَانَتْ فِي الْجَاهِلِيَّةِ وَدَمٍ تَحْتَ قَدَمَيَّ هَاتَيْنِ إِلَّا مَا كَانَ مِنْ سِدَانَةِ الْبَيْتِ وَسِقَايَةِ الْحَاجِّ أَلَا إِنِّي قَدْ أَمْضَيْتُهُمَا لِأَهْلِهِمَا كَمَا كَانَا",57
2801,19,"Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah]; telah menceritakan kepada kami [Yazid bin Harun]; telah memberitakan kepada kami [Hisyam bin Ad Dastuwa`i] dari [Yahya bin Abu Katsir] dari [Abu Sallam] dari [Abdullah bin Azraq] dari [Uqbah bin Amir Al Juhani] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Sesungguhnya Allah akan memasukkan tiga orang ke dalam surga dengan satu anak panah; pertama; pembuatnya, yang mana ia membuatnya dengan berharap kebaikan, kedua; yang membidikkannya, dan ketiga; yang membentangkannya"". Dan Rasulullah shallallahu 'alaihi wasallam bersabda: 'Lemparlah dan kendarailah tunggangan, sesungguhnya melemparnya kalian itu lebih aku sukai dari pada mengendarai tunggangan, dan segala mainan apapun yang dilakukan oleh seorang muslim adalah bathil kecuali melempar anak panah, merawat kuda dan canda dengan isterinya, sungguh semuanya adalah hak.'","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا يَزِيدُ بْنُ هَارُونَ أَنْبَأَنَا هِشَامٌ الدَّسْتُوَائِيُّ عَنْ يَحْيَى بْنِ أَبِي كَثِيرٍ عَنْ أَبِي سَلَّامٍ عَنْ عَبْدِ اللَّهِ بْنِ الْأَزْرَقِ عَنْ عُقْبَةَ بْنِ عَامِرٍ الْجُهَنِيِّ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ إِنَّ اللَّهَ لَيُدْخِلُ بِالسَّهْمِ الْوَاحِدِ الثَّلَاثَةَ الْجَنَّةَ صَانِعَهُ يَحْتَسِبُ فِي صَنْعَتِهِ الْخَيْرَ وَالرَّامِيَ بِهِ وَالْمُمِدَّ بِهِ وَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ارْمُوا وَارْكَبُوا وَأَنْ تَرْمُوا أَحَبُّ إِلَيَّ مِنْ أَنْ تَرْكَبُوا وَكُلُّ مَا يَلْهُو بِهِ الْمَرْءُ الْمُسْلِمُ بَاطِلٌ إِلَّا رَمْيَهُ بِقَوْسِهِ وَتَأْدِيبَهُ فَرَسَهُ وَمُلَاعَبَتَهُ امْرَأَتَهُ فَإِنَّهُنَّ مِنْ الْحَقِّ",57
2909,20,"Telah menceritakan kepada kami [Ali bin Muhammad]; telah menceritakan kepada kami [Abu Mu'awiyah] dan [Abu Usamah] serta [Abdullah bin Numair] dari [Ubaidullah bin Umar] dari [Nafi'] dari [Ibnu Umar] radliallahu 'anhu, ia berkata; ""Aku mengambil ucapan talbiyah dari Rasulullah shallallahu 'alaihi wasallam, yaitu beliau mengucapkan: 'Ya Allah aku penuhi panggilan-Mu. Aku penuhi panggilan-Mu. Aku penuhi panggilan-Mu. Tiada sekutu bagi-Mu. Aku penuhi panggilan-Mu. Sesungguhnya pujian, kenikmatan dan kerajaan hanya milik-Mu.Tiada sekutu bagi-Mu.'"" (Perawi berkata): Ibnu Umar menambahkan ungkapan talbiyah dengan ucapan; 'Aku penuhi panggilan-Mu. Aku penuhi panggilan-Mu. Aku penuhi panggilan-Mu. Kebahagiaan dan Kebaikan hanya ada di tangan-Nya. Aku penuhi panggilan-Mu. Permohonan hanya kepada-Mu dan beramal untuk-Mu.'","حَدَّثَنَا عَلِيُّ بْنُ مُحَمَّدٍ حَدَّثَنَا أَبُو مُعَاوِيَةَ وَأَبُو أُسَامَةَ وَعَبْدُ اللَّهِ بْنُ نُمَيْرٍ عَنْ عُبَيْدِ اللَّهِ بْنِ عُمَرَ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ قَالَ
تَلَقَّفْتُ التَّلْبِيَةَ مِنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ يَقُولُ لَبَّيْكَ اللَّهُمَّ لَبَّيْكَ لَبَّيْكَ لَا شَرِيكَ لَكَ لَبَّيْكَ إِنَّ الْحَمْدَ وَالنِّعْمَةَ لَكَ وَالْمُلْكَ لَا شَرِيكَ لَكَ
قَالَ وَكَانَ ابْنُ عُمَرَ يَزِيدُ فِيهَا لَبَّيْكَ لَبَّيْكَ لَبَّيْكَ وَسَعْدَيْكَ وَالْخَيْرُ فِي يَدَيْكَ لَبَّيْكَ وَالرَّغْبَاءُ إِلَيْكَ وَالْعَمَلُ",57
2910,20,"Telah menceritakan kepada kami [Zaid bin Akhzam]; telah menceritakan kepada kami [Mu`ammal bin Isma'il]; telah menceritakan kepada kami [Sufyan] dari [Ja'far bin Muhammad] dari [Ayahnya] dari [Jabir] radliallahu 'anhu, ia berkata; ""Talbiyah Rasulullah shallallahu 'alaihi wasallam adalah: 'Aku penuhi panggilan-Mu. Ya Allah aku penuhi panggilan-Mu. Aku penuhi panggilan-Mu. Tiada sekutu bagi-Mu, aku penuhi panggilan-Mu. Sesungguhnya pujian, kenikmatan dan kerajaan hanya milik-Mu. Tiada sekutu bagi-Mu.'""","حَدَّثَنَا زَيْدُ بْنُ أَخْزَمَ حَدَّثَنَا مُؤَمَّلُ بْنُ إِسْمَعِيلَ حَدَّثَنَا سُفْيَانُ عَنْ جَعْفَرِ بْنِ مُحَمَّدٍ عَنْ أَبِيهِ عَنْ جَابِرٍ قَالَ
كَانَتْ تَلْبِيَةُ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَبَّيْكَ اللَّهُمَّ لَبَّيْكَ لَبَّيْكَ لَا شَرِيكَ لَكَ لَبَّيْكَ إِنَّ الْحَمْدَ وَالنِّعْمَةَ لَكَ وَالْمُلْكَ لَا شَرِيكَ لَكَ",57
3102,20,"Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] telah menceritakan kepada kami [Abdullah bin Numair] dan [Abu Usamah] dari ['Ubaidullah bin Umar] dari [Khubaib bin Abdurrahman] dari [Hafsh bin 'Ashim] dari [Abu Hurairah] dia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: 'Sesungguhnya keimanan akan masuk ke dalam kota Madinah seperti seekor ular yang masuk ke dalam sarangnya.""","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا عَبْدُ اللَّهِ بْنُ نُمَيْرٍ وَأَبُو أُسَامَةَ عَنْ عُبَيْدِ اللَّهِ بْنِ عُمَرَ عَنْ خُبَيْبِ بْنِ عَبْدِ الرَّحْمَنِ عَنْ حَفْصِ بْنِ عَاصِمٍ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّ الْإِيمَانَ لَيَأْرِزُ إِلَى الْمَدِينَةِ كَمَا تَأْرِزُ الْحَيَّةُ إِلَى جُحْرِهَا",57
3105,20,"Telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] telah menceritakan kepada kami [Abdah bin Sulaiman] dari [Muhammad bin 'Amru] dari [Abu Salamah] dari [Abu Hurairah] dia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa ingin berbuat buruk terhadap penduduk kota Madinah, niscaya Allah akan meleburkannya sebagaimana meleburnya garam di dalam air.""","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا عَبْدَةُ بْنُ سُلَيْمَانَ عَنْ مُحَمَّدِ بْنِ عَمْرٍو عَنْ أَبِي سَلَمَةَ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ أَرَادَ أَهْلَ الْمَدِينَةِ بِسُوءٍ أَذَابَهُ اللَّهُ كَمَا يَذُوبُ الْمِلْحُ فِي الْمَاءِ",57
3139,21,"Telah menceritakan kepada kami [Ishaq bin Manshur] telah memberitakan kepada kami [Abdurrahman bin Mahdi] dan [Muhammad bin Yusuf]. (dalam jalur lain disebutkan) Telah menceritakan kepada kami [Muhammad bin Yahya] telah menceritakan kepada kami [Abdurrazaq] semuanya dari [Sufyan Ats Tsauri] dari [Bayan] dari [As Sya'bi] dari [Abu Sarihah] dia berkata, ""Keluargaku membuatku marah setelah kuketahui sunnah bahwa ahlul bait berkurban dengan satu atau dua kambing, dan sekarang tetangga kami menganggap bahwa kami adalah orang yang bakhil.""","حَدَّثَنَا إِسْحَاقُ بْنُ مَنْصُورٍ أَنْبَأَنَا عَبْدُ الرَّحْمَنِ بْنُ مَهْدِيٍّ وَمُحَمَّدُ بْنُ يُوسُفَ ح و حَدَّثَنَا مُحَمَّدُ بْنُ يَحْيَى حَدَّثَنَا عَبْدُ الرَّزَّاقِ جَمِيعًا عَنْ سُفْيَانَ الثَّوْرِيِّ عَنْ بَيَانٍ عَنْ الشَّعْبِيِّ عَنْ أَبِي سَرِيحَةَ قَالَ
حَمَلَنِي أَهْلِي عَلَى الْجَفَاءِ بَعْدَ مَا عَلِمْتُ مِنْ السُّنَّةِ كَانَ أَهْلُ الْبَيْتِ يُضَحُّونَ بِالشَّاةِ وَالشَّاتَيْنِ وَالْآنَ يُبَخِّلُنَا جِيرَانُنَا",57
