haditsId,kitabId,indo,arab,label
224,3,"Telah menceritakan kepadaku dari Malik dari [Nafi'], bahwa [Abdullah bin Umar] tidak berangkat shalat Jumat meliankan ia telah memakai minyak dan wewangian terlebih dahulu, kecuali jika wewanian itu haram.""","و حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
كَانَ لَا يَرُوحُ إِلَى الْجُمُعَةِ إِلَّا ادَّهَنَ وَتَطَيَّبَ إِلَّا أَنْ يَكُونَ حَرَامًا",13
226,3,"Telah menceritakan kepadaku Yahya dari Malik dari [Dlamrah bin Sa'id Al-Mazini] dari [Ubaidullah bin Abdullah bin 'Utbah bin Mas'ud], bahwa Ad Dlahhak bin Qais bertanya kepada [Nu'man bin Basyir], ""Apa yang dibaca Rasulullah shallallahu 'alaihi wasallam pada hari Jumat setelah surat Al Jumu'ah?"" dia menjawab; ""Beliau membaca: ""HAL ATAAKA HADITSUL GHASYIYAH.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ ضَمْرَةَ بْنِ سَعِيدٍ الْمَازِنِيِّ عَنْ عُبَيْدِ اللَّهِ بْنِ عَبْدِ اللَّهِ بْنِ عُتْبَةَ بْنِ مَسْعُودٍ أَنَّ الضَّحَّاكَ بْنَ قَيْسٍ سَأَلَ النُّعْمَانَ بْنَ بَشِيرٍ
مَاذَا كَانَ يَقْرَأُ بِهِ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَوْمَ الْجُمُعَةِ عَلَى إِثْرِ سُورَةِ الْجُمُعَةِ قَالَ كَانَ يَقْرَأُ هَلْ أَتَاكَ حَدِيثُ الْغَاشِيَةِ",13
274,3,"Telah menceritakan kepadaku dari Malik dari [Yahya bin Sa'id] bahwa ada seorang laki-laki yang bertanya kepada [Sa'id bin Musayyab]; ""Saya sudah shalat di rumahku. Kemudian saya mendatangi masjid, maka saya mendapati imam sedang shalat. Apakah saya harus shalat bersamanya?"" Lalu Sa'id menjawab; ""Ya"" laki-laki itu bertanya; ""Mana dari keduanya yang menggugurkan kewajibanku?"" Sa'id menjawab, ""Apakah itu hak kamu? Itu adalah hak Allah.""","و حَدَّثَنِي عَنْ مَالِك عَنْ يَحْيَى بْنِ سَعِيدٍ أَنَّ رَجُلًا سَأَلَ سَعِيدَ بْنَ الْمُسَيَّبِ
فَقَالَ إِنِّي أُصَلِّي فِي بَيْتِي ثُمَّ آتِ الْمَسْجِدَ فَأَجِدُ الْإِمَامَ يُصَلِّي أَفَأُصَلِّي مَعَهُ فَقَالَ سَعِيدٌ نَعَمْ فَقَالَ الرَّجُلُ فَأَيُّهُمَا صَلَاتِي فَقَالَ سَعِيدٌ أَوَ أَنْتَ تَجْعَلُهُمَا إِنَّمَا ذَلِكَ إِلَى اللَّهِ",13
306,3,"Telah menceritakan kepadaku Yahya dari Malik dari [Nafi'], bahwa jika [Abdullah bin Umar] keluar melaksanakan haji atau umrah, dia mengqashar shalat di Dzil Hulaifah.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ نَافِعٍ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
كَانَ إِذَا خَرَجَ حَاجًّا أَوْ مُعْتَمِرًا قَصَرَ الصَّلَاةَ بِذِي الْحُلَيْفَةِ",13
307,3,"Telah menceritakan kepadaku dari Malik dari [Ibnu Syihab] dari [Salim bin Abdullah] dari [Bapaknya] bahwa dia berangkat ke Rim. Lalu ia mengqashar shalat dalam perjalanan tersebut."" Malik berkata, ""Jarak perjalanannya sekitar empat Burud.""","و حَدَّثَنِي عَنْ مَالِك عَنْ ابْنِ شِهَابٍ عَنْ سَالِمِ بْنِ عَبْدِ اللَّهِ عَنْ أَبِيهِ
أَنَّهُ رَكِبَ إِلَى رِيمٍ فَقَصَرَ الصَّلَاةَ فِي مَسِيرِهِ ذَلِكَ
قَالَ مَالِك وَذَلِكَ نَحْوٌ مِنْ أَرْبَعَةِ بُرُدٍ",13
308,3,"Telah menceritakan kepadaku dari Malik dari [Nafi'] dari [Salim bin Abdullah] bahwa [Abdullah bin Umar] berkendara menuju Dzatin Nushub. Lalu ia mengqashar shalat dalam perjalanan tersebut."" Malik berkata, ""Jarak Dzatin Nushub dan Madinah sekitar empat Burud."" ","حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ عَنْ سَالِمِ بْنِ عَبْدِ اللَّهِ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
رَكِبَ إِلَى ذَاتِ النُّصُبِ فَقَصَرَ الصَّلَاةَ فِي مَسِيرِهِ ذَلِكَ
قَالَ مَالِك وَبَيْنَ ذَاتِ النُّصُبِ وَالْمَدِينَةِ أَرْبَعَةُ بُرُدٍ",13
313,3,"Telah menceritakan kepadaku dari Malik dari [Nafi'], bahwa [Abdullah bin Umar] bermukim di Makkah selama sepuluh malam, dengan mengqashar shalat, kecuali jika shalat bersama imam, maka ia shalat dengan shalat imam (sempurna) .""","و حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ أَنَّ ابْنَ عُمَرَ
أَقَامَ بِمَكَّةَ عَشْرَ لَيَالٍ يَقْصُرُ الصَّلَاةَ إِلَّا أَنْ يُصَلِّيَهَا مَعَ الْإِمَامِ فَيُصَلِّيهَا بِصَلَاتِهِ",13
316,3,"Telah menceritakan kepadaku dari Malik dari [Nafi'], bahwa [Abdullah bin Umar] shalat empat rakaat di belakang imam di Mina. Jika dia mengerjakan shalat sendirian, maka dia shalat dua rekaat.""","و حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
كَانَ يُصَلِّي وَرَاءَ الْإِمَامِ بِمِنًى أَرْبَعًا فَإِذَا صَلَّى لِنَفْسِهِ صَلَّى رَكْعَتَيْنِ",13
320,3,"Telah menceritakan kepadaku dari Malik dari [Abdullah bin Dinar] dari [Abdullah bin Umar], bahwa Rasulullah shallallahu 'alaihi wasallam shalat di atas kendaraan dalam perjalanan kemanapun kendaraan itu menghadap."" Abdullah bin Dinar berkata; ""Abdullah bin Umar juga melakukan hal serupa.""","و حَدَّثَنِي عَنْ مَالِك عَنْ عَبْدِ اللَّهِ بْنِ دِينَارٍ عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ يُصَلِّي عَلَى رَاحِلَتِهِ فِي السَّفَرِ حَيْثُ تَوَجَّهَتْ بِهِ
قَالَ عَبْدُ اللَّهِ بْنُ دِينَارٍ وَكَانَ عَبْدُ اللَّهِ بْنُ عُمَرَ يَفْعَلُ ذَلِكَ",13
322,3,"Telah menceritakan kepadaku Yahya dari Malik dari [Musa bin Maisarah] dari [Abu Murrah] mantan budak 'Aqil bin Abu Thalib, [Ummu Hani binti Abu Thalib] mengabarkan kepadanya, bahwa pada saat pembukaan kota Makkah Rasulullah shallallahu 'alaihi wasallam shalat delapan rekaat dengan memakai sehelai pakaian.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ مُوسَى بْنِ مَيْسَرَةَ عَنْ أَبِي مُرَّةَ مَوْلَى عَقِيلِ بْنِ أَبِي طَالِبٍ أَنَّ أُمَّ هَانِئٍ بِنْتَ أَبِي طَالِبٍ أَخْبَرَتْهُ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ صَلَّى عَامَ الْفَتْحِ ثَمَانِيَ رَكَعَاتٍ مُلْتَحِفًا فِي ثَوْبٍ وَاحِدٍ",13
