haditsId,kitabId,indo,arab,label
545,4,"Telah menceritakan kepada kami [Ahmad bin Utsman an-Naufali] telah menceritakan kepada kami [Abu 'Ashim] telah menceritakan kepada kami [Ibnu Juraij] telah mengabarkan kepadaku [Amru bin Dinar] telah mengabarkan kepadaku ['Atha'] sejak dahulu, dia berkata, telah mengabarkan kepadaku [Ibnu Abbas] bahwa [Maimunah] telah mengabarkan kepadanya bahwa hewan ternak milik sebagian istri Rasulullah shallallahu 'alaihi wasallam meninggal, maka Rasulullah shallallahu 'alaihi wasallam bersabda, ""Mengapa kalian tidak mengambil kulitnya, lalu kalian mengambil manfaatnya.""","حَدَّثَنَا أَحْمَدُ بْنُ عُثْمَانَ النَّوْفَلِيُّ حَدَّثَنَا أَبُو عَاصِمٍ حَدَّثَنَا ابْنُ جُرَيْجٍ أَخْبَرَنِي عَمْرُو بْنُ دِينَارٍ أَخْبَرَنِي عَطَاءٌ مُنْذُ حِينٍ قَالَ أَخْبَرَنِي ابْنُ عَبَّاسٍ أَنَّ مَيْمُونَةَ أَخْبَرَتْهُ
أَنَّ دَاجِنَةً كَانَتْ لِبَعْضِ نِسَاءِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَمَاتَتْ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَلَّا أَخَذْتُمْ إِهَابَهَا فَاسْتَمْتَعْتُمْ بِهِ",23
2312,16,"Telah menceritakan kepada kami [Abdu bin Humaid] telah mengabarkan kepada kami [Abdurrazaq] telah mengabarkan kepada kami [Ma'mar] dari [Az Zuhri] dari Salim bahwasanya; Abu Bakar, Umar dan Ibnu Umar semuanya singgah di Abthah. Zuhri berkata, telah mengabarkan kepadaku [Urwah], dari [Aisyah] bahwa ia tidak pernah melakukan hal itu. Aisyah berkata, ""Rasulullah shallallahu 'alaihi wasallam singgah, hanya karena tempat itu lebih luas dan leluasa untuk keluarnya belau.""","حَدَّثَنَا عَبْدُ بْنُ حُمَيْدٍ أَخْبَرَنَا عَبْدُ الرَّزَّاقِ أَخْبَرَنَا مَعْمَرٌ عَنْ الزُّهْرِيِّ عَنْ سَالِمٍ أَنَّ أَبَا بَكْرٍ وَعُمَرَ وَابْنَ عُمَرَ كَانُوا يَنْزِلُونَ الْأَبْطَحَ قَالَ الزُّهْرِيُّ وَأَخْبَرَنِي عُرْوَةُ عَنْ عَائِشَةَ
أَنَّهَا لَمْ تَكُنْ تَفْعَلُ ذَلِكَ وَقَالَتْ إِنَّمَا نَزَلَهُ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لِأَنَّهُ كَانَ مَنْزِلًا أَسْمَحَ لِخُرُوجِهِ",23
2314,16,"Telah menceritakan kepada kami [Qutaibah bin Sa'id] dan [Abu Bakr bin Abu Syaibah] dan [Zuhair bin Harb] semuanya dari [Ibnu Uyainah] - [Zuhair] berkata- Telah menceritakan kepada kami [Sufyan bin Uyainah] dari [Shalih bin Kaisan] dari [Sulaiman bin Yasar] ia berkata, [Abu Rafi'] berkata; ""Ketika keluar dari Mina, Rasulullah shallallahu 'alaihi wasallam tidak menyuruhku untuk beristirahat di Abthah, akan tetapi aku datang untuk mendirikan kemahnya lalu beliaupun datang dan beristirahat di sana."" Dalam hadits yang diriwayatkan Shalih, Abu Bakar berkata; Aku mendengar Sulaiman bin Yasar mengatakan dalam riwayat Qutaibah; Dari Abu Rafi': ""Dan ia berada di atas barang bawaan Nabi shallallahu 'alaihi wasallam.""","حَدَّثَنَا قُتَيْبَةُ بْنُ سَعِيدٍ وَأَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ وَزُهَيْرُ بْنُ حَرْبٍ جَمِيعًا عَنْ ابْنِ عُيَيْنَةَ قَالَ زُهَيْرٌ حَدَّثَنَا سُفْيَانُ بْنُ عُيَيْنَةَ عَنْ صَالِحِ بْنِ كَيْسَانَ عَنْ سُلَيْمَانَ بْنِ يَسَارٍ قَالَ قَالَ أَبُو رَافِعٍ
لَمْ يَأْمُرْنِي رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَنْ أَنْزِلَ الْأَبْطَحَ حِينَ خَرَجَ مِنْ مِنًى وَلَكِنِّي جِئْتُ فَضَرَبْتُ فِيهِ قُبَّتَهُ فَجَاءَ فَنَزَلَ
قَالَ أَبُو بَكْرٍ فِي رِوَايَةِ صَالِحٍ قَالَ سَمِعْتُ سُلَيْمَانَ بْنَ يَسَارٍ وَفِي رِوَايَةِ قُتَيْبَةَ قَالَ عَنْ أَبِي رَافِعٍ وَكَانَ عَلَى ثَقَلِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ",23
2400,16,"Dan Telah menceritakan kepada kami [Muhammad bin Bakr bin Ar Rayyan] dan [Suraij bin Yunus] -lafazhnya milik Suraij- keduanya berkata, Telah menceritakan kepada kami [Isma'il bin Ja'far] telah mengabarkan kepadaku [Musa bin Uqbah] dari [Salim bin Abdullah bin Umar] dari [bapaknya] bahwa Nabi shallallahu 'alaihi wasallam pernah didatangi di tempat persinggahannya di Dzulhulaifah yakni di dalam lembah, lalu dikatakanlah kepadanya, ""Sesungguhnya Anda tengah berada di Bathha` yang diberkati."" Musa berkata; Salim pernah singgah bersama kami di tempat persinggahan yakni di sebuah Masjid yang sering dijadikan 'Abdullah biasa singgah ditempat itu. Dan ia pun mencari tempat peristirahatan Rasulullah shallallahu 'alaihi wasallam yang posisinya berada di bawah masjid yakni di dalam lembah, peristirahatan itu persis ditengah-tengah antara lembah dan kiblat.","و حَدَّثَنَا مُحَمَّدُ بْنُ بَكَّارِ بْنِ الرَّيَّانِ وَسُرَيْجُ بْنُ يُونُسَ وَاللَّفْظُ لِسُرَيْجٍ قَالَا حَدَّثَنَا إِسْمَعِيلُ بْنُ جَعْفَرٍ أَخْبَرَنِي مُوسَى بْنُ عُقْبَةَ عَنْ سَالِمِ بْنِ عَبْدِ اللَّهِ بْنِ عُمَرَ عَنْ أَبِيهِ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أُتِيَ وَهُوَ فِي مُعَرَّسِهِ مِنْ ذِي الْحُلَيْفَةِ فِي بَطْنِ الْوَادِي فَقِيلَ إِنَّكَ بِبَطْحَاءَ مُبَارَكَةٍ
قَالَ مُوسَى وَقَدْ أَنَاخَ بِنَا سَالِمٌ بِالْمُنَاخِ مِنْ الْمَسْجِدِ الَّذِي كَانَ عَبْدُ اللَّهِ يُنِيخُ بِهِ يَتَحَرَّى مُعَرَّسَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ أَسْفَلُ مِنْ الْمَسْجِدِ الَّذِي بِبَطْنِ الْوَادِي بَيْنَهُ وَبَيْنَ الْقِبْلَةِ وَسَطًا مِنْ ذَلِكَ",23
2425,16,"Telah menceritakan kepada kami [Abu Bakr bin Abu Syaibah] dan [Amru An Naqid] keduanya dari [Abu Ahmad] - [Abu Bakr] berkata- Telah menceritakan kepada kami [Muhammad bin Abdullah Al Asadi] telah menceritakan kepada kami [Sufyan] dari [Abu Zubair] dari [Jabir] ia berkata; Nabi shallallahu 'alaihi wasallam bersabda: ""Nabi Ibrahim telah mengharamkan kota Makkah, dan aku pun menjadikan kota Madinah sebagai tanah haram. Yaitu di antara kedua bukitnya yang berbatu-batu hitam itu. karena itu, pepohonannya tidak boleh ditebang, dan hewan buruannya juga tidak boleh diburu.""","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ وَعَمْرٌو النَّاقِدُ كِلَاهُمَا عَنْ أَبِي أَحْمَدَ قَالَ أَبُو بَكْرٍ حَدَّثَنَا مُحَمَّدُ بْنُ عَبْدِ اللَّهِ الْأَسْدِيُّ حَدَّثَنَا سُفْيَانُ عَنْ أَبِي الزُّبَيْرِ عَنْ جَابِرٍ قَالَ
قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّ إِبْرَاهِيمَ حَرَّمَ مَكَّةَ وَإِنِّي حَرَّمْتُ الْمَدِينَةَ مَا بَيْنَ لَابَتَيْهَا لَا يُقْطَعُ عِضَاهُهَا وَلَا يُصَادُ صَيْدُهَا",23
2427,16,"Dan Telah menceritakan kepada kami [Ishaq bin Ibrahim] dan [Abdu bin Humaid] semuanya dari [Al 'Aqadi] - [Abdu] berkata- telah mengabarkan kepada kami [Abdul Malik bin Amru] telah menceritakan kepada kami [Abdullah bin Ja'far] dari [Isma'il bin Muhammad] dari [Amir bin Sa'dari] bahwa [Sa'd] naik kendaraan menuju tempatnya di Aqiq, lalu ia mendapati seorang budak yang sedang menebang pohon atau menjadikannya sebagai kayu bakar, maka ia pun segera merampasnya. Dan ketika Sa'd kembali, tuan budak itu pun datang dan meminta kepadanya agar ia sudi mengembalikan apa yang telah dirampasnya dari budak mereka. Maka Sa'd pun berkata, ""Aku berlindung kepada Allah, untuk mengembalikan sesuatu yang Rasulullah shallallahu 'alaihi wasallam telah menugaskanku untuk mengambilnya."" Ia pun enggan untuk mengembalikannya pada mereka.","و حَدَّثَنَا إِسْحَقُ بْنُ إِبْرَاهِيمَ وَعَبْدُ بْنُ حُمَيْدٍ جَمِيعًا عَنْ الْعَقَدِيِّ قَالَ عَبْدٌ أَخْبَرَنَا عَبْدُ الْمَلِكِ بْنُ عَمْرٍو حَدَّثَنَا عَبْدُ اللَّهِ بْنُ جَعْفَرٍ عَنْ إِسْمَعِيلَ بْنِ مُحَمَّدٍ عَنْ عَامِرِ بْنِ سَعْدٍ
أَنَّ سَعْدًا رَكِبَ إِلَى قَصْرِهِ بِالْعَقِيقِ فَوَجَدَ عَبْدًا يَقْطَعُ شَجَرًا أَوْ يَخْبِطُهُ فَسَلَبَهُ فَلَمَّا رَجَعَ سَعْدٌ جَاءَهُ أَهْلُ الْعَبْدِ فَكَلَّمُوهُ أَنْ يَرُدَّ عَلَى غُلَامِهِمْ أَوْ عَلَيْهِمْ مَا أَخَذَ مِنْ غُلَامِهِمْ فَقَالَ مَعَاذَ اللَّهِ أَنْ أَرُدَّ شَيْئًا نَفَّلَنِيهِ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَبَى أَنْ يَرُدَّ عَلَيْهِمْ",23
2430,16,"Telah menceritakan kepadaku [Zuhair bin Harb] telah menceritakan kepada kami [Yazid bin Harun] telah mengabarkan kepada kami [Ashim Al Ahwal] ia berkata; Aku bertanya kepada [Anas], ""Apakah Rasulullah shallallahu 'alaihi wasallam juga menjadikan Madinah sebagai tanah haram?"" Anas menjawab, ""Ya, Madinah juga merupakan tanah haram. Tidak boleh ditebang pohonnya, maka siapa melakukan hal itu, dia akan mendapatkan laknat Allah, Malaikat dan laknat seluruh manusia.""","حَدَّثَنِي زُهَيْرُ بْنُ حَرْبٍ حَدَّثَنَا يَزِيدُ بْنُ هَارُونَ أَخْبَرَنَا عَاصِمٌ الْأَحْوَلُ قَالَ
سَأَلْتُ أَنَسًا أَحَرَّمَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْمَدِينَةَ قَالَ نَعَمْ هِيَ حَرَامٌ لَا يُخْتَلَى خَلَاهَا فَمَنْ فَعَلَ ذَلِكَ فَعَلَيْهِ لَعْنَةُ اللَّهِ وَالْمَلَائِكَةِ وَالنَّاسِ أَجْمَعِينَ",23
2436,16,"Dan telah menceritakan kepadaku [Ishaq bin Ibrahim] dan [Muhammad bin Rafi'] dan [Abdu bin Humaid] - [Ishaq] berkata- telah mengabarkan kepada kami [Abdurrazaq] telah menceritakan kepada kami [Ma'mar] dari [Az Zuhri] dari [Sa'id bin Al Musayyab] dari [Abu Hurairah] ia berkata; ""Rasulullah shallallahu 'alaihi wasallam telah menjadikan tanah haram antara dua bukit berbatu-batu hitam di Madinah. Sekiranya aku mendapati beberapa ekor kijang di antara kedua bukit berbatu-batu hitam di Madinah, niscaya aku tidak akan mengkhawatirkannya."" Dan ia menjadikan dua belas mil di sekitar Madinah sebagai tempat penggembalaan.","و حَدَّثَنَا إِسْحَقُ بْنُ إِبْرَاهِيمَ وَمُحَمَّدُ بْنُ رَافِعٍ وَعَبْدُ بْنُ حُمَيْدٍ قَالَ إِسْحَقُ أَخْبَرَنَا عَبْدُ الرَّزَّاقِ حَدَّثَنَا مَعْمَرٌ عَنْ الزُّهْرِيِّ عَنْ سَعِيدِ بْنِ الْمُسَيَّبِ عَنْ أَبِي هُرَيْرَةَ قَالَ
حَرَّمَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَا بَيْنَ لَابَتَيِ الْمَدِينَةِ
قَالَ أَبُو هُرَيْرَةَ فَلَوْ وَجَدْتُ الظِّبَاءَ مَا بَيْنَ لَابَتَيْهَا مَا ذَعَرْتُهَا وَجَعَلَ اثْنَيْ عَشَرَ مِيلًا حَوْلَ الْمَدِينَةِ حِمًى",23
2443,16,"Dan Telah menceritakan kepada kami [Abu Bakr bin Abu Syaibah] telah menceritakan kepada kami [Ali bin Mushir] dari [Asy Syaibani] dari [Yusair bin Amru] dari [Sahl bin Hunaif] ia berkata; Rasulullah shallallahu 'alaihi wasallam pernah menunjuk dengan tangannya ke Madinah seraya bersabda: ""Sesungguhnya Madinah itu termasuk tanah haram yang aman.""","و حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا عَلِيُّ بْنُ مُسْهِرٍ عَنْ الشَّيْبَانِيِّ عَنْ يُسَيْرِ بْنِ عَمْرٍو عَنْ سَهْلِ بْنِ حُنَيْفٍ قَالَ
أَهْوَى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِيَدِهِ إِلَى الْمَدِينَةِ فَقَالَ إِنَّهَا حَرَمٌ آمِنٌ",23
2592,17,"Telah menceritakan kepada kami [Qutaibah bin Sa'id] dan [Abu Bakar bin Abi Syaibah] serta [Amru An Naqid] sedangkan lafazhnya dari Abu Bakar, mereka berkata; Telah menceritakan kepada kami [Sufyan] dari [Ibnu Al Munkadir], bahwa ia mendengar [Jabir] berkata; Orang-orang yahudi mengatakan; Jika seorang lelaki menyetubuhi isterinya pada kemaluannya dari arah belakang, maka anak tersebut akan terlahir dalam keadaan cacat matanya (juling). Lalu turunlah ayat: ""Isteri-isteri kalian adalah tempat bercocok tanam bagi kalian, maka datangilah tempat bercocok tanam kalian dari mana saja kalian kehendaki.""","حَدَّثَنَا قُتَيْبَةُ بْنُ سَعِيدٍ وَأَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ وَعَمْرٌو النَّاقِدُ وَاللَّفْظُ لِأَبِي بَكْرٍ قَالُوا حَدَّثَنَا سُفْيَانُ عَنْ ابْنِ الْمُنْكَدِرِ سَمِعَ جَابِرًا يَقُولُا
كَانَتْ الْيَهُودُ تَقُولُ إِذَا أَتَى الرَّجُلُ امْرَأَتَهُ مِنْ دُبُرِهَا فِي قُبُلِهَا كَانَ الْوَلَدُ أَحْوَلَ فَنَزَلَتْ
{ نِسَاؤُكُمْ حَرْثٌ لَكُمْ فَأْتُوا حَرْثَكُمْ أَنَّى شِئْتُمْ }",23
