haditsId,kitabId,indo,arab,label
3,1,"Telah mengabarkan kepada kami [Ahmad bin Abdah] dia berkata; Telah menceritakan kepada kami [Hammad bin Zaid] berkata; telah mengabarkan kepada kami [Ghalan bin Jarir] dari [Abu Burdah] dari [Abu Musa] dia berkata; ""Saya menemui Rasulullah shallallahu 'alaihi wasallam, sedang beliau sedang bersiwak, dan ujung siwak berada di ujung lidahnya beliau mengucapkan; Aa', Aa'. ","أَخْبَرَنَا أَحْمَدُ بْنُ عَبْدَةَ قَالَ حَدَّثَنَا حَمَّادُ بْنُ زَيْدٍ قَالَ أَخْبَرَنَا غَيْلَانُ بْنُ جَرِيرٍ عَنْ أَبِي بُرْدَةَ عَنْ أَبِي مُوسَى قَالَ
دَخَلْتُ عَلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ يَسْتَنُّ وَطَرَفُ السِّوَاكِ عَلَى لِسَانِهِ وَهُوَ يَقُولُ عَأْ عَأْ",56
13,1,"Telah mengabarkan kepada kami [Ali bin Hujr] dia berkata; Telah memberitakan kepada kami ['Ubaidah bin Humaid] dari [Yusuf bin Shuhaib] dari [Habib bin Yasar] dari [Zaid bin Arqam] dia berkata; ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barang siapa tidak memotong kumisnya, dia tidak termasuk golongan kami."" ","أَخْبَرَنَا عَلِيُّ بْنُ حُجْرٍ قَالَ أَنْبَأَنَا عَبِيدَةُ بْنُ حُمَيْدٍ عَنْ يُوسُفَ بْنِ صُهَيْبٍ عَنْ حَبِيبِ بْنِ يَسَارٍ عَنْ زَيْدِ بْنِ أَرْقَمَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ لَمْ يَأْخُذْ شَارِبَهُ فَلَيْسَ مِنَّا",56
15,1,"Telah mengabarkan kepada kami [Ubaidillah bin Sa'id] dia berkata; telah menceritakan kepada kami [Yahya yaitu Ibnu Sa'id] dari [Ubaidillah] Telah mengabarkan kepadaku [Nafi'] dari [Ibnu Umar] dari Rasulullah shallallahu 'alaihi wasallam beliau bersabda: ""Pendekkan kumis dan biarkan (panjangkan) jenggot.""","أَخْبَرَنَا عُبَيْدُ اللَّهِ بْنُ سَعِيدٍ قَالَ حَدَّثَنَا يَحْيَى هُوَ ابْنُ سَعِيدٍ عَنْ عُبَيْدِ اللَّهِ أَخْبَرَنِي نَافِعٌ عَنْ ابْنِ عُمَرَ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ أَحْفُوا الشَّوَارِبَ وَأَعْفُوا اللِّحَى",56
45,1,"Telah mengabarkan kepada kami [Ishaq bin Ibrahim] dia berkata; telah memberitakan kepada kami [An-Nadlar] berkata; telah memberitakan kepada kami [Syu'bah] dari [Atha' bin Abu Maimunah] dia berkata; ""Saya mendengar dari [Anas bin Malik] dia berkata; "" Bila Rasulullah shallallahu 'alaihi wasallam masuk WC, maka aku dan seorang anak sebayaku membawakan seember air dan beliau beristinja dengan air.""","أَخْبَرَنَا إِسْحَقُ بْنُ إِبْرَاهِيمَ قَالَ أَنْبَأَنَا النَّضْرُ قَالَ أَنْبَأَنَا شُعْبَةُ عَنْ عَطَاءِ بْنِ أَبِي مَيْمُونَةَ قَالَ سَمِعْتُ أَنَسَ بْنَ مَالِكٍ يَقُولُ
كَانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِذَا دَخَلَ الْخَلَاءَ أَحْمِلُ أَنَا وَغُلَامٌ مَعِي نَحْوِي إِدَاوَةً مِنْ مَاءٍ فَيَسْتَنْجِي بِالْمَاءِ",56
70,1,"Telah mengabarkan kepada kami [Harun bin Abdullah] dia berkata; telah menceritakan kepada kami [Ma'an] dia berkata; telah menceritakan kepada kami [Malik] dan [Al Harits bin Miskin] telah dibacakan kepadanya dan saya mendengarnya dari [Ibnu Al Qasim] dia berkata; telah menceritakan kepadaku [Malik] dari [Nafi'] dari [Ibnu Umar], dia berkata, "" Pada zaman Rasulullah shallallahu 'alaihi wasallam laki-laki dan perempuan wudlu bersama-sama.""","أَخْبَرَنِي هَارُونُ بْنُ عَبْدِ اللَّهِ قَالَ حَدَّثَنَا مَعْنٌ قَالَ حَدَّثَنَا مَالِكٌ ح وَالْحَارِثُ بْنُ مِسْكِينٍ قِرَاءَةً عَلَيْهِ وَأَنَا أَسْمَعُ عَنْ ابْنِ الْقَاسِمِ قَالَ حَدَّثَنِي مَالِكٌ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ قَالَ
كَانَ الرِّجَالُ وَالنِّسَاءُ يَتَوَضَّئُونَ فِي زَمَانِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ جَمِيعًا",56
72,1,"Telah mengabarkan kepada kami [Amr bin 'Ali] dia berkata; telah menceritakan kepada kami [Yahya] dia berkata; telah menceritakan kepada kami [Syu'bah] dia berkata; telah menceritakan kepadaku [Abdullah bin Abdullah bin Jabr] dia berkata; saya mendengar [Anas bin Malik] berkata; ""Rasulullah shallallahu 'alaihi wasallam berwudlu dengan menggunakan satu makkuk, dan bila mandi maka beliau menggunakan lima makkuk."" ","أَخْبَرَنَا عَمْرُو بْنُ عَلِيٍّ قَالَ حَدَّثَنَا يَحْيَى قَالَ حَدَّثَنَا شُعْبَةُ قَالَ حَدَّثَنِي عَبْدُ اللَّهِ بْنُ عَبْدِ اللَّهِ بْنِ جَبْرٍ قَالَ سَمِعْتُ أَنَسَ بْنَ مَالِكٍ يَقُولُ
كَانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَتَوَضَّأُ بِمَكُّوكٍ وَيَغْتَسِلُ بِخَمْسِ مَكَاكِيَّ",56
79,1,"Telah mengabarkan kepada kami [Muhammad bin Al Mutsanna] dia berkata; telah menceritakan kepada kami [Yahya] dari [Sufyan] dia berkata; telah menceritakan kepada kami [Zaid bin Aslam] dari ['Atha bin Yasar] dari [Ibnu Abbas], dia berkata; ""Maukah kalian aku kabarkan tentang cara wudlu Rasulullah shallallahu 'alaihi wasallam? Beliau shallallahu 'alaihi wasallam berwudlu satu kali-satu kali (untuk tiap anggota wudlu).""","أَخْبَرَنَا مُحَمَّدُ بْنُ الْمُثَنَّى قَالَ حَدَّثَنَا يَحْيَى عَنْ سُفْيَانَ قَالَ حَدَّثَنَا زَيْدُ بْنُ أَسْلَمَ عَنْ عَطَاءِ بْنِ يَسَارٍ عَنْ ابْنِ عَبَّاسٍ قَالَ
أَلَا أُخْبِرُكُمْ بِوُضُوءِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَتَوَضَّأَ مَرَّةً مَرَّةً",56
81,1,"Telah mengabarkan kepada kami [Muhammad bin Ibrahim Al Bashri] dari [Bisyir bin Al Mufadhal] dari [Ibnu 'Aun] dari ['Amir As-Sya'bi] dari ['Urwah bin Al Mughirah] dari [Al Mughirah] dan dari [Muhammmad bin Sirin] dari [seorang laki-laki] yang kemudian di sandarkan kepada Al Mughirah, Ibnu 'Aun berkata; 'saya tidak hafal hadits ini dari ini' bahwasannya Al Mughirah, berkata, ""Kami pernah bersama Rasulullah shallallahu 'alaihi wasallam dalam suatu safar (perjalanan). Beliau memukul punggungku dengan tongkat yang ada padanya. Beliau meluruskan posisiku, maka aku pun ikut meluruskan bersamanya hingga sampai pada suatu daerah, beliau singgah, lalu berangkat lagi, (Mughirah berkata) dan beliau pergi hingga tidak nampak olehku. Kemudian beliau datang dan bersabda, 'Apakah kamu punya air? 'Aku memang membawa air dalam tempat yang terbuat dari kulit (sathihah), maka aku datang kepada beliau dengan membawanya, lalu aku tuangkan kepada beliau. Beliaupun segera membasuh kedua tangannya dan wajahnya, dan kedua sikunya. Beliau memakai jubah dari Syam yang sempit kedua tangannya -beliau mengeluarkan tangannya dari bawah jubahnya- lalu membasuh muka dan kedua lengannya. Lalu beliau menyebutkan suatu bagian depan dari kepalanya dan dari surbannya, Ibnu 'Aun berkata; ""Dan saya tidak mengingat apa yang saya inginkan"". kemudian beliau mengusap kedua sepatunya (khuf). Beliau lalu berkata, 'Hajatmu? '. Aku menjawab, 'Wahai Rasulullah shallallahu 'alaihi wasallam, aku tidak ada hajat'. Setelah itu kami datang dan kami dapati Abdurrhaman bin Auf sedang menjadi imam shalat jama'ah bersama orang-orang. Ia sudah mendapat satu raka'at shalat Subuh. Aku segera pergi untuk memberitahukannya, namun beliau mencegahku. Kamipun ikut shalat dari yang kami dapati, kemudian menyempurnakan yang ketinggalan.""","أَخْبَرَنَا مُحَمَّدُ بْنُ إِبْرَاهِيمَ الْبَصْرِيُّ عَنْ بِشْرِ بْنِ الْمُفَضَّلِ عَنْ ابْنِ عَوْنٍ عَنْ عَامِرٍ الشَّعْبِيِّ عَنْ عُرْوَةَ بْنِ الْمُغِيرَةِ عَنْ الْمُغِيرَةِ وَعَنْ مُحَمَّدِ بْنِ سِيرِينَ عَنْ رَجُلٍ حَتَّى رَدَّهُ إِلَى الْمُغِيرَةِ قَالَ ابْنُ عَوْنٍ وَلَا أَحْفَظُ حَدِيثَ ذَا مِنْ حَدِيثِ ذَا أَنَّ الْمُغِيرَةَ قَالَ
كُنَّا مَعَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي سَفَرٍ فَقَرَعَ ظَهْرِي بِعَصًا كَانَتْ مَعَهُ فَعَدَلَ وَعَدَلْتُ مَعَهُ حَتَّى أَتَى كَذَا وَكَذَا مِنْ الْأَرْضِ فَأَنَاخَ ثُمَّ انْطَلَقَ قَالَ فَذَهَبَ حَتَّى تَوَارَى عَنِّي ثُمَّ جَاءَ فَقَالَ أَمَعَكَ مَاءٌ وَمَعِي سَطِيحَةٌ لِي فَأَتَيْتُهُ بِهَا فَأَفْرَغْتُ عَلَيْهِ فَغَسَلَ يَدَيْهِ وَوَجْهَهُ وَذَهَبَ لِيَغْسِلَ ذِرَاعَيْهِ وَعَلَيْهِ جُبَّةٌ شَامِيَّةٌ ضَيِّقَةُ الْكُمَّيْنِ فَأَخْرَجَ يَدَهُ مِنْ تَحْتِ الْجُبَّةِ فَغَسَلَ وَجْهَهُ وَذِرَاعَيْهِ وَذَكَرَ مِنْ نَاصِيَتِهِ شَيْئًا وَعِمَامَتِهِ شَيْئًا قَالَ ابْنُ عَوْنٍ لَا أَحْفَظُ كَمَا أُرِيدُ ثُمَّ مَسَحَ عَلَى خُفَّيْهِ ثُمَّ قَالَ حَاجَتَكَ قُلْتُ يَا رَسُولَ اللَّهِ لَيْسَتْ لِي حَاجَةٌ فَجِئْنَا وَقَدْ أَمَّ النَّاسَ عَبْدُ الرَّحْمَنِ بْنُ عَوْفٍ وَقَدْ صَلَّى بِهِمْ رَكْعَةً مِنْ صَلَاةِ الصُّبْحِ فَذَهَبْتُ لِأُوذِنَهُ فَنَهَانِي فَصَلَّيْنَا مَا أَدْرَكْنَا وَقَضَيْنَا مَا سُبِقْنَا",56
104,1,"Telah mengabarkan kepada kami [Al Husain bin Abdurrahman Al Jarjaraa'i] dari [Thalaq bin Ghanam] dia berkata; telah menceritakan kepada kami [Zaidah] dan [Hafs bin Ghiyats] dari [Al 'Amasy] dari [Al Hakam] dari [Abdurrahman bin Abu Laila] dari [Barra' bin 'Azib], dari [Bilal] dia berkata: ""Saya melihat Rasulullah shallallahu 'alaihi wasallam mengusap kedua khufnya (sepatunya)."" ","و أَخْبَرَنَا الْحُسَيْنُ بْنُ عَبْدِ الرَّحْمَنِ الْجَرْجَرَائِيُّ عَنْ طَلْقِ بْنِ غَنَّامٍ قَالَ حَدَّثَنَا زَائِدَةُ وَحَفْصُ بْنُ غِيَاثٍ عَنْ الْأَعْمَشِ عَنْ الْحَكَمِ عَنْ عَبْدِ الرَّحْمَنِ بْنِ أَبِي لَيْلَى عَنْ الْبَرَاءِ بْنِ عَازِبٍ عَنْ بِلَالٍ قَالَ
رَأَيْتُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَمْسَحُ عَلَى الْخُفَّيْنِ",56
105,1,"Telah mengabarkan kepada kami [Hannad bin As Sariyyi], dari [Waki'] dari [Syu'bah] dari [Al Hakam] dari [Abdurrahman bin Abu Laila] dari [Bilal] dia berkata: "" Saya melihat Rasulullah shallallahu 'alaihi wasallam mengusap surban dan kedua khufnya (sepatunya).""","أَخْبَرَنَا هَنَّادُ بْنُ السَّرِيِّ عَنْ وَكِيعٍ عَنْ شُعْبَةَ عَنْ الْحَكَمِ عَنْ عَبْدِ الرَّحْمَنِ بْنِ أَبِي لَيْلَى عَنْ بِلَالٍ قَالَ
رَأَيْتُ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَمْسَحُ عَلَى الْخِمَارِ وَالْخُفَّيْنِ",56
