haditsId,kitabId,indo,arab,label
194,2,"telah menceritakan kepada kami [Qutaibah] berkata; telah menceritakan kepada kami [Al Laits] dari [Al Hukaim bin Abdullah bin Qais] dari ['Amir bin Sa'd] dari [Sa'd bin Abu Waqash] dari Rasulullah shallallahu 'alaihi wasallam, beliau bersabda: ""Barangsiapa ketika mendengar mu'adzin lalu mengucapkan: ""WA ANA ASYHADU AN LAA ILAAHA ILLAALLAHU WAHDAHUU LAA SYARIIKALAH WA ANNA MUHAMMADAN ABDUHU WA RASUULUHU RADLIITU BILLAHI RABBAN WA BI MUHAMMADIN RASUULAN WA BIL ISLAMI DIINAN (Aku bersaksi, bahwa tidak ada Tuhan yang berhak untuk disembah selain Allah, Yang Maha Esa, tidak ada sekutu bagi-Nya dan sesungguhnya Muhammad adalah hamba dan utusan-Nya. Aku rela Allah sebagai Tuhan, Muhammad sebagai Rasul dan Islam sebagai agama), maka dosa-dosanya akan diampuni.""","حَدَّثَنَا قُتَيْبَةُ حَدَّثَنَا اللَّيْثُ عَنْ الْحُكَيْمِ بْنِ عَبْدِ اللَّهِ بْنِ قَيْسٍ عَنْ عَامِرِ بْنِ سَعْدٍ عَنْ سَعْدِ بْنِ أَبِي وَقَّاصٍ
عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ مَنْ قَالَ حِينَ يَسْمَعُ الْمُؤَذِّنَ وَأَنَا أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ وَأَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ رَضِيتُ بِاللَّهِ رَبًّا وَبِمُحَمَّدٍ رَسُولًا وَبِالْإِسْلَامِ دِينًا غُفِرَ لَهُ ذَنْبُهُ
قَالَ أَبُو عِيسَى وَهَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ غَرِيبٌ لَا نَعْرِفُهُ إِلَّا مِنْ حَدِيثِ اللَّيْثِ بْنِ سَعْدٍ عَنْ حُكَيْمِ بْنِ عَبْدِ اللَّهِ بْنِ قَيْسٍ",1
1063,8,"Telah menceritakan kepada kami [Yusuf bin Isa] berkata; Telah menceritakan kepada kami [Waki'] berkata; Telah menceritakan kepada kami [Isra`il] dari [Simak bin Harb] dari [Ikrimah] dari [Ibnu Abbas] bahwa seorang laki-laki muslim datang pada masa Nabi Shallallaahu 'Alaihi wa sallam. Lalu istrinya datang dalam setelah masuk Islam. Suaminya berkata; ""Wahai Rasulullah, dia telah masuk Islam bersamaku, kembalikanlah kepadaku!"" Nabi shallallahu 'alaihi wasallam mengembalikannya. Ini merupakan hadits sahih. Saya telah mendengar [Abda bin Humaid] berkata: saya mendengar [Yazid bin Harun] menyebutkan dari [Muhammad bin Ishaq] hadits ini. Hadits [Al Hajjaj] dari ['Amr bin Syu'aib] dari [bapaknya] dari [kakeknya] bahwa Nabi shallallahu 'alaihi wasallam mengembalikan putrinya Zainab kepada Abu Al 'Ash dengan mahar dan nikah yang baru. Yazid bin Harun berkata; ""Hadits Ibnu Abbas sanadnya lebih bagus. Yang diamalkan adalah hadits Amr bin Syu'aib.""","حَدَّثَنَا يُوسُفُ بْنُ عِيسَى قَالَ حَدَّثَنَا وَكِيعٌ قَالَ حَدَّثَنَا إِسْرَائِيلُ عَنْ سِمَاكِ بْنِ حَرْبٍ عَنْ عِكْرِمَةَ عَنْ ابْنِ عَبَّاسٍ
أَنَّ رَجُلًا جَاءَ مُسْلِمًا عَلَى عَهْدِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ جَاءَتْ امْرَأَتُهُ مُسْلِمَةً فَقَالَ يَا رَسُولَ اللَّهِ إِنَّهَا كَانَتْ أَسْلَمَتْ مَعِي فَرُدَّهَا عَلَيَّ فَرَدَّهَا عَلَيْهِ
هَذَا حَدِيثٌ صَحِيحٌ سَمِعْت عَبْدَ بْنَ حُمَيْدٍ يَقُولُ سَمِعْتُ يَزِيدَ بْنَ هَارُونَ يَذْكُرُ عَنْ مُحَمَّدِ بْنِ إِسْحَقَ هَذَا الْحَدِيثَ وَحَدِيثُ الْحَجَّاجِ عَنْ عَمْرِو بْنِ شُعَيْبٍ عَنْ أَبِيهِ عَنْ جَدِّهِ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ رَدَّ ابْنَتَهُ زَيْنَبَ عَلَى أَبِي الْعَاصِي بِمَهْرٍ جَدِيدٍ وَنِكَاحٍ جَدِيدٍ قَالَ يَزِيدُ بْنُ هَارُونَ حَدِيثُ ابْنِ عَبَّاسٍ أَجْوَدُ إِسْنَادًا وَالْعَمَلُ عَلَى حَدِيثِ عَمْرِو بْنِ شُعَيْبٍ",1
1082,9,"Telah menceritakan kepada kami [Abu Kuraib], telah menceritakan kepada kami ['Abdah bin Sulaiman] dari [Muhammad bin 'Amr], telah menceritakan kepada kami [Abu Salamah] dari [Abu Hurairah] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Orang mukmin yang paling sempurna imannya adalah yang paling baik akhlaknya. Sebaik-baik kalian adalah yang paling baik terhadap para istrinya."" Abu Isa berkata; ""Hadits semakna diriwayatkan dari Aisyah dan Ibnu Abbas."" Dia menambahkan; ""Hadits Abu Hurairah merupakan hadits hasan sahih.""","حَدَّثَنَا أَبُو كُرَيْبٍ حَدَّثَنَا عَبْدَةُ بْنُ سُلَيْمَانَ عَنْ مُحَمَّدِ بْنِ عَمْرٍو حَدَّثَنَا أَبُو سَلَمَةَ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَكْمَلُ الْمُؤْمِنِينَ إِيمَانًا أَحْسَنُهُمْ خُلُقًا وَخِيَارُكُمْ خِيَارُكُمْ لِنِسَائِهِمْ خُلُقًا
قَالَ وَفِي الْبَاب عَنْ عَائِشَةَ وَابْنِ عَبَّاسٍ قَالَ أَبُو عِيسَى حَدِيثُ أَبِي هُرَيْرَةَ هَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ",1
1092,9,"Telah menceritakan kepada kami [Nashr bin Ali], telah menceritakan kepada kami [Isa bin Yunus] dari [Mujalid] dari [Asy Sya'bi] dari [Jabir] dari Nabi shallallahu 'alaihi wasallam bersabda: ""Janganlah kalian menemui orang yang sedang ditinggal keluarganya. Setan itu mengalir pada diri kalian semua dengan mengikuti aliran darah."" Kami bertanya; ""Apakah engkau juga?"" Beliau menjawab; ""Ya, tapi Allah telah menolongku. Sehingga aku selamat."" Abu Isa berkata; ""Ini merupakan hadits gharib dari jalur ini. Sebagian mereka memperbincangkan Mujalid bin Sa'id dari sisi hafalannya. Saya mendengar Ali bin Khusyram berkata; Sufyan bin 'Uyainah berkata mengenai penjelasan sabda Nabi shallallahu 'alaihi wasallam; ""Tapi Allah telah menolongku dari setan itu sehingga akupun selamat."" Sufyan berkata; ""Setan tidak akan masuk Islam. Janganlah kalian menemui al mughibat. Yaitu wanita yang suaminya sedang pergi. Al mughibaat adalah jamak dari al mughibah.""","حَدَّثَنَا نَصْرُ بْنُ عَلِيٍّ حَدَّثَنَا عِيسَى بْنُ يُونُسَ عَنْ مُجَالِدٍ عَنْ الشَّعْبِيِّ عَنْ جَابِرٍ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَا تَلِجُوا عَلَى الْمُغِيبَاتِ فَإِنَّ الشَّيْطَانَ يَجْرِي مِنْ أَحَدِكُمْ مَجْرَى الدَّمِ قُلْنَا وَمِنْكَ قَالَ وَمِنِّي وَلَكِنَّ اللَّهَ أَعَانَنِي عَلَيْهِ فَأَسْلَمُ
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ غَرِيبٌ مِنْ هَذَا الْوَجْهِ وَقَدْ تَكَلَّمَ بَعْضُهُمْ فِي مُجَالِدِ بْنِ سَعِيدٍ مِنْ قِبَلِ حِفْظِهِ و سَمِعْت عَلِيَّ بْنَ خَشْرَمٍ يَقُولُ قَالَ سُفْيَانُ بْنُ عُيَيْنَةَ فِي تَفْسِيرِ قَوْلِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَلَكِنَّ اللَّهَ أَعَانَنِي عَلَيْهِ فَأَسْلَمُ يَعْنِي أَسْلَمُ أَنَا مِنْهُ قَالَ سُفْيَانُ وَالشَّيْطَانُ لَا يُسْلِمُ وَلَا تَلِجُوا عَلَى الْمُغِيبَاتِ وَالْمُغِيبَةُ الْمَرْأَةُ الَّتِي يَكُونُ زَوْجُهَا غَائِبًا وَالْمُغِيبَاتُ جَمَاعَةُ الْمُغِيبَةِ",1
1447,20,"Telah menceritakan kepada kami [Ahmad bin Mani'] berkata, telah menceritakan kepada kami [Ishaq bin Yusuf Al Azraq] dari [Hisyam Ad Dastuwa`i] dari [Yahya bin Abu Katsir] dari [Abu Qilabah] dari [Tsabit bin Adh Dhahhak] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Seorang hamba tidak boleh bernadzar dengan sesuatu yang tidak ia miliki."" Ia berkata, ""Dalam bab ini ada hadits serupa dari Abdullah bin Amru dan Imran Abu Isa Hushain."" Abu Isa berkata, ""Hadits ini derajatnya hasan shahih.""","حَدَّثَنَا أَحْمَدُ بْنُ مَنِيعٍ حَدَّثَنَا إِسْحَقُ بْنُ يُوسُفَ الْأَزْرَقُ عَنْ هِشَامٍ الدَّسْتُوَائِيِّ عَنْ يَحْيَى بْنِ أَبِي كَثِيرٍ عَنْ أَبِي قِلَابَةَ عَنْ ثَابِتِ بْنِ الضَّحَّاكِ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَيْسَ عَلَى الْعَبْدِ نَذْرٌ فِيمَا لَا يَمْلِكُ
قَالَ وَفِي الْبَاب عَنْ عَبْدِ اللَّهِ بْنِ عَمْرٍو وَعِمْرَانَ بْنِ حُصَيْنٍ قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ",1
1448,20,"Telah menceritakan kepada kami [Ahmad bin Mani'] berkata, telah menceritakan kepada kami [Abu Bakar bin Ayyasy] berkata, telah menceritakan kepadaku [Muhammad] mantan budak (yang telah dimerdekakan oleh) Al Mughirah bin Syu'bah- berkata, telah menceritakan kepadaku [Ka'b bin Alqamah] dari [Abul Khair] dari [Uqbah bin Amir] ia berkata, Rasulullah shallallahu 'alaihi wasallam bersabda: ""Kafarah nadzar yang belum ditentukan (bentuknya), maka kafarahnya adalah dengan kafarah yamin (sumpah)."" Abu Isa berkata, ""Hadits ini derajatnya hasan shahih gharib.""","حَدَّثَنَا أَحْمَدُ بْنُ مَنِيعٍ حَدَّثَنَا أَبُو بَكْرِ بْنُ عَيَّاشٍ حَدَّثَنِي مُحَمَّدٌ مَوْلَى الْمُغِيرَةِ بْنِ شُعْبَةَ حَدَّثَنِي كَعْبُ بْنُ عَلْقَمَةَ عَنْ أَبِي الْخَيْرِ عَنْ عُقْبَةَ بْنِ عَامِرٍ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَفَّارَةُ النَّذْرِ إِذَا لَمْ يُسَمَّ كَفَّارَةُ يَمِينٍ
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ غَرِيبٌ",1
1449,20,"Telah menceritakan kepada kami [Muhammad bin Abdul A'la Ash Shan'ani] berkata, telah menceritakan kepada kami [Al Mu'tamir bin Sulaiman] dari [Yunus] ia adalah Ibnu Ubaid- berkata, telah menceritakan kepada kami [Al Hasan] dari ['Abdurrahman bin Samurah] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Wahai 'Abdurrahman, janganlah kamu mengharap kekuasaan. Sesungguhnya jika kekuasaan itu datang kepadamu karena pengharapanmu, maka urusannya akan dibebankan kepadamu. Tetapi jika kekuasaan itu datang kepadamu bukan karena pengharapanmu, maka engkau akan mendapat pertolongan. Jika engkau bersumpah untuk melakukan sesuatu (nadzar) kemudian melihat yang lebih baik, maka ambillah sesuatu yang lebih baik itu dan tunaikanlah kafarah untuk sumpahmu tersebut."" Ia berkata, ""Dalam bab ini ada hadits serupa dari Ali, Jabir, Adi bin Hatim, Abu Darda, Anas, 'Aisyah, Abdullah bin Amru, Abu Hurairah, Ummu Salamah dan Abu Musa."" Abu Isa berkata; ""Hadits 'Abdurrahman bin Samurah derajatnya hasan shahih.""","حَدَّثَنَا مُحَمَّدُ بْنُ عَبْدِ الْأَعْلَى الصَّنْعَانِيُّ حَدَّثَنَا الْمُعْتَمِرُ بْنُ سُلَيْمَانَ عَنْ يُونُسَ هُوَ ابْنُ عُبَيْدٍ حَدَّثَنَا الْحَسَنُ عَنْ عَبْدِ الرَّحْمَنِ بْنِ سَمُرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَا عَبْدَ الرَّحْمَنِ لَا تَسْأَلْ الْإِمَارَةَ فَإِنَّكَ إِنْ أَتَتْكَ عَنْ مَسْأَلَةٍ وُكِلْتَ إِلَيْهَا وَإِنْ أَتَتْكَ عَنْ غَيْرِ مَسْأَلَةٍ أُعِنْتَ عَلَيْهَا وَإِذَا حَلَفْتَ عَلَى يَمِينٍ فَرَأَيْتَ غَيْرَهَا خَيْرًا مِنْهَا فَأْتِ الَّذِي هُوَ خَيْرٌ وَلْتُكَفِّرْ عَنْ يَمِينِكَ
وَفِي الْبَاب عَنْ عَلِيٍّ وَجَابِرٍ وَعَدِيِّ بْنِ حَاتِمٍ وَأَبِي الدَّرْدَاءِ وَأَنَسٍ وَعَائِشَةَ وَعَبْدِ اللَّهِ بْنِ عَمْرٍو وَأَبِي هُرَيْرَةَ وَأُمِّ سَلَمَةَ وَأَبِي مُوسَى قَالَ أَبُو عِيسَى حَدِيثُ عَبْدِ الرَّحْمَنِ بْنِ سَمُرَةَ حَدِيثٌ حَسَنٌ صَحِيحٌ",1
1458,20,"Telah menceritakan kepada kami [Qutaibah] berkata, telah menceritakan kepada kami [Abdul Aziz bin Muhammad] dari [Al 'Ala bin 'Abdurrahman] dari [Bapaknya] dari [Abu Hurairah] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Janganlah kalian melakukan nadzar, sebab nadzar tidak bisa mengubah takdir sedikitpun. Hanyasanya nadzar itu muncul dari orang yang bakhil."" Ia berkata, ""Dalam bab ini ada hadits serupa dari Ibnu Umar."" Abu Isa berkata, ""Hadits Abu Hurairah ini derajatnya hasan shahih. Dan menjadi pedoman amal menurut sebagian ulama` dari kalangan sahabat Nabi Sallallahu 'Alahi Wasallam. Mereka memakruhkan nadzar. Abdullah Ibnul Mubarak berkata; ""Maksud dari dimakruhkannya nadzar adalah dalam hal taat dan maksiat. Jika seorang laki-laki bernadzar untuk melaksanakan ketaatan lalu mengamalkannya, maka ia akan mendapatkan pahala. Namun dimakruhkan baginya untuk bernadzar.""","حَدَّثَنَا قُتَيْبَةُ حَدَّثَنَا عَبْدُ الْعَزِيزِ بْنُ مُحَمَّدٍ عَنْ الْعَلَاءِ بْنِ عَبْدِ الرَّحْمَنِ عَنْ أَبِيهِ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا تَنْذِرُوا فَإِنَّ النَّذْرَ لَا يُغْنِي مِنْ الْقَدَرِ شَيْئًا وَإِنَّمَا يُسْتَخْرَجُ بِهِ مِنْ الْبَخِيلِ
قَالَ وَفِي الْبَاب عَنْ ابْنِ عُمَرَ قَالَ أَبُو عِيسَى حَدِيثُ أَبِي هُرَيْرَةَ حَدِيثٌ حَسَنٌ صَحِيحٌ وَالْعَمَلُ عَلَى هَذَا عِنْدَ بَعْضِ أَهْلِ الْعِلْمِ مِنْ أَصْحَابِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَغَيْرِهِمْ كَرِهُوا النَّذْرَ و قَالَ عَبْدُ اللَّهِ بْنُ الْمُبَارَكِ مَعْنَى الْكَرَاهِيَةِ فِي النَّذْرِ فِي الطَّاعَةِ وَالْمَعْصِيَةِ وَإِنْ نَذَرَ الرَّجُلُ بِالطَّاعَةِ فَوَفَّى بِهِ فَلَهُ فِيهِ أَجْرٌ وَيُكْرَهُ لَهُ النَّذْرُ",1
1467,20,"Telah menceritakan kepada kami [Muhammad bin Abdul A'la] berkata, telah menceritakan kepada kami [Imran bin Uyainah] dia adalah saudara Sufyan bin Uyainah, dari [Hushain] dari [Salim bin Abul Ja'd] dari [Abu Umamah] dan selainnya dari kalangan sahabat Nabi shallallahu 'alaihi wasallam, dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Muslim mana saja yang memerdekakan seorang muslim lainnya, maka hal tersebut dapat membebaskannya dari neraka, setiap anggota tubuh yang ia merdekakan maka akan membebaskan anggota tubuhnya dari neraka. Muslim mana saja memerdekakan dua orang wanita muslimah, maka hal tersebut dapat membebaskannya dari api neraka, setiap dua anggota tubuh yang ia merdekakan maka akan membebaskan anggota tubuhnya dari neraka, Dan muslimah mana saja yang memerdekakan seorang muslimah lainnya, maka hal tersebut dapat memerdekakannya dari neraka, setiap anggota badan yang ia merdekakan akan membebaskan anggota badannya dari neraka."" Abu Isa berkata; "" hadits ini derajatnya hasan shahih gharib dari jalur ini.""Abu Isa berkata; ""Hadits ini menunjukkan bahwa memerdekakan budak laki-laki lebih utama dari memerdekakan budak wanita. Karena sabda Rasulullah shallallahu 'alaihi wasallam, ""Barangsiapa memerdekakan seorang muslim lainnya, maka setiap anggota badan yang ia merdekakan akan membebaskan setiap anggota badannya."" ","حَدَّثَنَا مُحَمَّدُ بْنُ عَبْدِ الْأَعْلَى حَدَّثَنَا عِمْرَانُ بْنُ عُيَيْنَةَ هُوَ أَخُو سُفْيَانَ بْنِ عُيَيْنَةَ عَنْ حُصَيْنٍ عَنْ سَالِمِ بْنِ أَبِي الْجَعْدِ عَنْ أَبِي أُمَامَةَ وَغَيْرِهِ مِنْ أَصْحَابِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ أَيُّمَا امْرِئٍ مُسْلِمٍ أَعْتَقَ امْرَأً مُسْلِمًا كَانَ فَكَاكَهُ مِنْ النَّارِ يُجْزِي كُلُّ عُضْوٍ مِنْهُ عُضْوًا مِنْهُ وَأَيُّمَا امْرِئٍ مُسْلِمٍ أَعْتَقَ امْرَأَتَيْنِ مُسْلِمَتَيْنِ كَانَتَا فَكَاكَهُ مِنْ النَّارِ يُجْزِي كُلُّ عُضْوٍ مِنْهُمَا عُضْوًا مِنْهُ وَأَيُّمَا امْرَأَةٍ مُسْلِمَةٍ أَعْتَقَتْ امْرَأَةً مُسْلِمَةً كَانَتْ فَكَاكَهَا مِنْ النَّارِ يُجْزِي كُلُّ عُضْوٍ مِنْهَا عُضْوًا مِنْهَا
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ غَرِيبٌ مِنْ هَذَا الْوَجْهِ قَالَ أَبُو عِيسَى وَفِي الْحَدِيثِ مَا يَدُلُّ عَلَى أَنَّ عِتْقَ الذُّكُورِ لِلرِّجَالِ أَفْضَلُ مِنْ عِتْقِ الْإِنَاثِ لِقَوْلِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ أَعْتَقَ امْرَأً مُسْلِمًا كَانَ فَكَاكَهُ مِنْ النَّارِ يُجْزِي كُلُّ عُضْوٍ مِنْهُ عُضْوًا مِنْهُ",1
1497,21,"Telah menceritakan kepada kami [Qutaibah bin Sa'id] berkata, telah menceritakan kepada kami [Abu Awanah] dari [Qatadah] dari [Salim bin Abul Ja'd] dari [Tsauban] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa meninggal dalam keadaan terbebas dari tiga hal; sombong, mencuri harta ghanimah dan hutang, maka ia akan masuk surga."" Dalam bab ini ada hadits serupa dari Abu Hurairah dan Zaid bin Khalid Al Juhani.","حَدَّثَنِي قُتَيْبَةُ بْنُ سَعِيدٍ حَدَّثَنَا أَبُو عَوَانَةَ عَنْ قَتَادَةَ عَنْ سَالِمِ بْنِ أَبِي الْجَعْدِ عَنْ ثَوْبَانَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ مَاتَ وَهُوَ بَرِيءٌ مِنْ ثَلَاثٍ الْكِبْرِ وَالْغُلُولِ وَالدَّيْنِ دَخَلَ الْجَنَّةَ
وَفِي الْبَاب عَنْ أَبِي هُرَيْرَةَ وَزَيْدِ بْنِ خَالِدٍ الْجُهَنِيِّ",1
