haditsId,kitabId,indo,arab,label
1007,2,"Telah menceritakan kepada kami [Zuhair bin Harb] telah menceritakan kepada kami [Mu'awiyah bin 'Amru] telah menceritakan kepada kami [Za`idah] dari [Hisyam] dari [Fathimah] dari [Asma`] dia berkata; ""Nabi shallallahu 'alaihi wasallam memerintahkan untuk membebaskan budak pada waktu shalat (khutbah) gerhana.""","حَدَّثَنَا زُهَيْرُ بْنُ حَرْبٍ حَدَّثَنَا مُعَاوِيَةُ بْنُ عَمْرٍو حَدَّثَنَا زَائِدَةُ عَنْ هِشَامٍ عَنْ فَاطِمَةَ عَنْ أَسْمَاءَ قَالَتْ
كَانَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَأْمُرُ بِالْعَتَاقَةِ فِي صَلَاةِ الْكُسُوفِ",31
1440,3,"Telah menceritakan kepada Kami [Hannad bin As Sarri] dari ['Abdah] dari [Muhammad bin Ishaq], dari [Bukair bin Abdullah bin Al Asyajj] dari [Sulaiman bin Yasar] dari [Maimunah] istri Rasulullah shallallahu 'alaihi wasallam, ia berkata; aku pernah mempunyai budak wanita yang telah aku bebaskan. Lalu Nabi shalla Allahu 'alaihi wa sallam masuk menemuiku dan aku memberitahukan hal tersebut kepadanya, lalu beliau berkata: ""Mudah-mudahan Allah memberimu pahala, adapun kalau seandainya kamu berikan budak wanita tersebut kepada paman-pamanmu, maka akan menjadi pahala lebih besar bagimu. ","حَدَّثَنَا هَنَّادُ بْنُ السَّرِيِّ عَنْ عَبْدَةَ عَنْ مُحَمَّدِ بْنِ إِسْحَقَ عَنْ بُكَيْرِ بْنِ عَبْدِ اللَّهِ بْنِ الْأَشَجِّ عَنْ سُلَيْمَانَ بْنِ يَسَارٍ عَنْ مَيْمُونَةَ زَوْجِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَتْ
كَانَتْ لِي جَارِيَةٌ فَأَعْتَقْتُهَا فَدَخَلَ عَلَيَّ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَأَخْبَرْتُهُ فَقَالَ آجَرَكِ اللَّهُ أَمَا إِنَّكِ لَوْ كُنْتِ أَعْطَيْتِهَا أَخْوَالَكِ كَانَ أَعْظَمَ لِأَجْرِكِ",31
1758,6,"Telah menceritakan kepada kami ['Amr bin 'Aun], telah mengabarkan kepada kami [Abu 'Awanah] dari [Qatadah] dan [Abdul Aziz bin Shuhaib] dari [Anas bin Malik] bahwa Nabi shallallahu 'alaihi wasallam telah membebaskan Shafiyyah dan menjadikan pembebasannya sebagai maharnya. ","حَدَّثَنَا عَمْرُو بْنُ عَوْنٍ أَخْبَرَنَا أَبُو عَوَانَةَ عَنْ قَتَادَةَ وَعَبْدِ الْعَزِيزِ بْنِ صُهَيْبٍ عَنْ أَنَسِ بْنِ مَالِكٍ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَعْتَقَ صَفِيَّةَ وَجَعَلَ عِتْقَهَا صَدَاقَهَا",31
1767,6,"Telah menceritakan kepada kami [Abdullah bin Muhammad An Nufaili], telah menceritakan kepada kami [Abu Mu'awiyah], dan telah diriwayatkan dari jalur yang lain: Telah menceritakan kepada kami [Ibnu Al 'Ala`], telah menceritakan kepada kami [Ibnu Idris] dari [Hisyam bin 'Urwah] dari [ayahnya] dari [Hajjaj] dari [ayahnya], ia berkata; aku katakan; wahai Rasulullah, apakah yang dapat menghilangkan hak persusuan? Beliau berkata: ""Seorang budak laki-laki atau seorang budak wanita.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ مُحَمَّدٍ النُّفَيْلِيُّ حَدَّثَنَا أَبُو مُعَاوِيَةَ ح و حَدَّثَنَا ابْنُ الْعَلَاءِ حَدَّثَنَا ابْنُ إِدْرِيسَ عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ عَنْ حَجَّاجِ بْنِ حَجَّاجٍ عَنْ أَبِيهِ قَالَ
قُلْتُ يَا رَسُولَ اللَّهِ مَا يُذْهِبُ عَنِّي مَذَمَّةَ الرَّضَاعَةِ قَالَ الْغُرَّةُ الْعَبْدُ أَوْ الْأَمَةُ قَالَ النُّفَيْلِيُّ حَجَّاجُ بْنُ حَجَّاجٍ الْأَسْلَمِيُّ وَهَذَا لَفْظُهُ",31
1780,6,"Telah menceritakan kepada kami ['Uqbah bin Mukram], telah menceritakan kepada kami [Abu Qutaibah] dari [Abdullah bin Umar], dari [Nafi'], dari [Ibnu Umar] bahwa Nabi Shallallahu 'alaihi sallam bersabda: Apabila seorang budak menikah tanpa izin dari tuannya, maka nikahnya batal. Abu Daud berkata; hadits ini lemah dan mauquf, hanya perkataan Ibnu Umar radliallahu 'anhuma. ","حَدَّثَنَا عُقْبَةُ بْنُ مُكْرَمٍ حَدَّثَنَا أَبُو قُتَيْبَةَ عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ إِذَا نَكَحَ الْعَبْدُ بِغَيْرِ إِذْنِ مَوْلَاهُ فَنِكَاحُهُ بَاطِلٌ
قَالَ أَبُو دَاوُد هَذَا الْحَدِيثُ ضَعِيفٌ وَهُوَ مَوْقُوفٌ وَهُوَ قَوْلُ ابْنِ عُمَرَ رَضِيَ اللَّهُ عَنْهُمَا",31
1841,6,"Telah menceritakan kepada kami ['Ubaidullah bin Umar bin Maisarah], telah menceritakan kepada kami [Yazid bin Zurai'], telah menceritakan kepada kami [Sa'id] dari [Qatadah] dari [Shalih Abu Al Khalil] dari [Abu 'Alqamah Al Hasyimi], dari [Abu Sa'id Al Khudri], bahwa Rasulullah shallallahu 'alaihi wasallam telah mengutus sebuah utusan pada saat perang Hunain menuju kepada Suku Authas. Kemudian mereka bertemu dengan musuh mereka, dan berperang dengan mereka. Lalu mereka mengalahkan musuh-musuh tersebut dan mendapatkan wanita-wanita tawanan. Seolah-olah beberapa orang sahabat Rasulullah shallallahu 'alaihi wasallam merasa berat untuk bercampur dengan mereka karena keberadaan suami-suami mereka dari kalangan orang-orang musyrik. Kemudian Allah Ta'ala menurunkan ayat mengenai hal tersebut: ""Dan (diharamkan juga kamu mengawini) wanita yang bersuami, kecuali budak-budak yang kamu miliki."" Yaitu; mereka halal bagi kalian apabila telah selesai 'iddah mereka. ","حَدَّثَنَا عُبَيْدُ اللَّهِ بْنُ عُمَرَ بْنِ مَيْسَرَةَ حَدَّثَنَا يَزِيدُ بْنُ زُرَيْعٍ حَدَّثَنَا سَعِيدٌ عَنْ قَتَادَةَ عَنْ صَالِحٍ أَبِي الْخَلِيلِ عَنْ أَبِي عَلْقَمَةَ الْهَاشِمِيِّ عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بَعَثَ يَوْمَ حُنَيْنٍ بَعْثًا إِلَى أَوْطَاسَ فَلَقُوا عَدُوَّهُمْ فَقَاتَلُوهُمْ فَظَهَرُوا عَلَيْهِمْ وَأَصَابُوا لَهُمْ سَبَايَا فَكَأَنَّ أُنَاسًا مِنْ أَصْحَابِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ تَحَرَّجُوا مِنْ غِشْيَانِهِنَّ مِنْ أَجْلِ أَزْوَاجِهِنَّ مِنْ الْمُشْرِكِينَ فَأَنْزَلَ اللَّهُ تَعَالَى فِي ذَلِكَ
{ وَالْمُحْصَنَاتُ مِنْ النِّسَاءِ إِلَّا مَا مَلَكَتْ أَيْمَانُكُمْ }
أَيْ فَهُنَّ لَهُمْ حَلَالٌ إِذَا انْقَضَتْ عِدَّتُهُنَّ",31
2154,9,"Telah menceritakan kepada kami [Haiwah bin Syuraih Al Hadhrami], telah menceritakan kepada kami [Baqiyyah], telah menceritakan kepadaku [Bahir] dari [Khalid bin Ma'dan] dari [Abu Bahriyyah] dari [Mu'adz bin Jabal] dari Rasulullah shallallahu 'alaihi wasallam bahwa beliau bersabda: ""Berperang ada dua, adapun orang yang mengharapkan wajah Allah, mentaati pemimpin, menginfakkan barang berharga, dan bergaul dengan sekutunya dengan mudah, serta menjauhi kerusakan maka tidurnya dan terjaganya adalah pahala semua. Adapun orang yang berperang karena berbangga diri, ingin dilihat dan didengar orang, durhaka kepada pemimpin serta membuat kerusakan, maka ia tidak kembali dengan membawa manfaat.""","حَدَّثَنَا حَيْوَةُ بْنُ شُرَيْحٍ الْحَضْرَمِيُّ حَدَّثَنَا بَقِيَّةُ حَدَّثَنِي بَحِيرٌ عَنْ خَالِدِ بْنِ مَعْدَانَ عَنْ أَبِي بَحْرِيَّةَ عَنْ مُعَاذِ بْنِ جَبَلٍ
عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَنَّهُ قَالَ الْغَزْوُ غَزْوَانِ فَأَمَّا مَنْ ابْتَغَى وَجْهَ اللَّهِ وَأَطَاعَ الْإِمَامَ وَأَنْفَقَ الْكَرِيمَةَ وَيَاسَرَ الشَّرِيكَ وَاجْتَنَبَ الْفَسَادَ فَإِنَّ نَوْمَهُ وَنُبْهَهُ أَجْرٌ كُلُّهُ وَأَمَّا مَنْ غَزَا فَخْرًا وَرِيَاءً وَسُمْعَةً وَعَصَى الْإِمَامَ وَأَفْسَدَ فِي الْأَرْضِ فَإِنَّهُ لَمْ يَرْجِعْ بِالْكَفَافِ",31
2155,9,"Telah menceritakan kepada kami [Abu Taubah Ar Rabi' bin Nafi'] dari [Ibnu Al Mubarak], dari [Ibnu Dzi`b] dari [Al Qasim] dari [Bukair bin Abdullah bin Al Asyajj] dari [Ibnu Mikraz] seorang penduduk Syam, dari [Abu Hurairah] bahwa seorang laki-laki berkata; wahai Rasulullah, seseorang ingin berjihad di jalan Allah, dan ia mengharapkan harta-harta dunia. Lalu Rasulullah shallallahu 'alaihi wasallam berkata: ""Ia tidak mendapatkan pahala."" Maka hal tersebut terasa berat bagi orang-orang, dan mereka berkata kepada orang tersebut; kembalilah kepada Rasulullah shallallahu 'alaihi wasallam! Kemungkinan engkau belum memahamkan beliau. Lalu orang tersebut berkata; wahai Rasulullah, seseorang ingin berjihad di jalan Allah, dan ia mengharapkan harta-harta dunia. Lalu Rasulullah shallallahu 'alaihi wasallam berkata: ""Ia tidak mendapatkan pahala."" Dan mereka berkata kepada orang tersebut; kembalilah kepada Rasulullah shallallahu 'alaihi wasallam! Kemudian orang tersebut berkata kepada beliau untuk ketiga kalinya, lalu beliau berkata kepadanya: ""Ia tidak mendapatkan pahala.""","حَدَّثَنَا أَبُو تَوْبَةَ الرَّبِيعُ بْنُ نَافِعٍ عَنْ ابْنِ الْمُبَارَكِ عَنْ ابْنِ أَبِي ذِئْبٍ عَنْ الْقَاسِمِ عَنْ بُكَيْرِ بْنِ عَبْدِ اللَّهِ بْنِ الْأَشَجِّ عَنْ ابْنِ مِكْرَزٍ رَجُلٍ مِنْ أَهْلِ الشَّامِ عَنْ أَبِي هُرَيْرَةَ
أَنَّ رَجُلًا قَالَ يَا رَسُولَ اللَّهِ رَجُلٌ يُرِيدُ الْجِهَادَ فِي سَبِيلِ اللَّهِ وَهُوَ يَبْتَغِي عَرَضًا مِنْ عَرَضِ الدُّنْيَا فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا أَجْرَ لَهُ فَأَعْظَمَ ذَلِكَ النَّاسُ وَقَالُوا لِلرَّجُلِ عُدْ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَلَعَلَّكَ لَمْ تُفَهِّمْهُ فَقَالَ يَا رَسُولَ اللَّهِ رَجُلٌ يُرِيدُ الْجِهَادَ فِي سَبِيلِ اللَّهِ وَهُوَ يَبْتَغِي عَرَضًا مِنْ عَرَضِ الدُّنْيَا فَقَالَ لَا أَجْرَ لَهُ فَقَالُوا لِلرَّجُلِ عُدْ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ لَهُ الثَّالِثَةَ فَقَالَ لَهُ لَا أَجْرَ لَهُ",31
2221,9,"Telah menceritakan kepada kami [Musa bin Isma'il], telah menceritakan kepada kami [Hammad], dari [Abu Az Zubair], dari [Jabir], bahwa Nabi shallallahu 'alaihi wasallam telah melarang menerima pedang dalam keadaan terhunus. ","حَدَّثَنَا مُوسَى بْنُ إِسْمَعِيلَ حَدَّثَنَا حَمَّادٌ عَنْ أَبِي الزُّبَيْرِ عَنْ جَابِرٍ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَهَى أَنْ يُتَعَاطَى السَّيْفُ مَسْلُولًا",31
2324,9,"Telah menceritakan kepada kami [Muhammad bin Sulaim Al Anbari], dan [Al Hasan bin Ali] secara makna, mereka berkata; telah menceritakan kepada kami [Ibnu Umair] dari ['Ubaidullah] dari [Nafi'] dari [Ibnu Umar], ia berkata; kudanya telah lari, kemudian musuh menangkapnya. Lalu orang-orang muslim menaklukkan mereka dan kuda tersebut dikembalikan kepadanya pada zaman Rasulullah shallallahu 'alaihi wasallam. Dan budaknya telah kabur dan masuk ke negeri Romawi, kemudian orang-orang muslim menaklukkan mereka dan Khalid mengembalikan budak tersebut kepadanya setelah Nabi shallallahu 'alaihi wasallam meninggal. ","حَدَّثَنَا مُحَمَّدُ بْنُ سُلَيْمَانَ الْأَنْبَارِيُّ وَالْحَسَنُ بْنُ عَلِيٍّ الْمَعْنَى قَالَا حَدَّثَنَا ابْنُ نُمَيْرٍ عَنْ عُبَيْدِ اللَّهِ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ قَالَ
ذَهَبَ فَرَسٌ لَهُ فَأَخَذَهَا الْعَدُوُّ فَظَهَرَ عَلَيْهِمْ الْمُسْلِمُونَ فَرُدَّ عَلَيْهِ فِي زَمَنِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَبَقَ عَبْدٌ لَهُ فَلَحِقَ بِأَرْضِ الرُّومِ فَظَهَرَ عَلَيْهِمْ الْمُسْلِمُونَ فَرَدَّهُ عَلَيْهِ خَالِدُ بْنُ الْوَلِيدِ بَعْدَ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ",31
