haditsId,kitabId,indo,arab
6427,69,"Telah menceritakan kepada kami [Yahya bin Bukair] telah menceritakan kepada kami [Al Laits] dari [Khalid bin Yazid] dari [Sa'id bin Abi Hilal] dari [Hilal bin Usamah], bahwasanya [Abu Salamah bin Abdurrahman] mengabarkan kepadanya dari [Abu Hurairah], bahwasanya Nabi shallallahu 'alaihi wasallam dalam shalatnya berdoa: ""Ya Allah, selamatkanlah 'Ayyasy bin Abi rabi'ah, Salamah bin Hisyam, Walid bin Al Walid, Ya Allah selamatkanlah orang-orang lemah dari kalangan orang-orang mukmin, ya Allah, kokohkanlah penyengsaraanmu terhadap Mudhar, dan kirimkanlah musim paceklik kepada mereka, sebagaimana paceklik yang menimpa Yusuf.""","حَدَّثَنَا يَحْيَى بْنُ بُكَيْرٍ حَدَّثَنَا اللَّيْثُ عَنْ خَالِدِ بْنِ يَزِيدَ عَنْ سَعِيدِ بْنِ أَبِي هِلَالٍ عَنْ هِلَالِ بْنِ أُسَامَةَ أَنَّ أَبَا سَلَمَةَ بْنَ عَبْدِ الرَّحْمَنِ أَخْبَرَهُ عَنْ أَبِي هُرَيْرَةَ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ يَدْعُو فِي الصَّلَاةِ اللَّهُمَّ أَنْجِ عَيَّاشَ بْنَ أَبِي رَبِيعَةَ وَسَلَمَةَ بْنَ هِشَامٍ وَالْوَلِيدَ بْنَ الْوَلِيدِ اللَّهُمَّ أَنْجِ الْمُسْتَضْعَفِينَ مِنْ الْمُؤْمِنِينَ اللَّهُمَّ اشْدُدْ وَطْأَتَكَ عَلَى مُضَرَ وَابْعَثْ عَلَيْهِمْ سِنِينَ كَسِنِي يُوسُفَ"
6428,69,"Telah menceritakan kepada kami [Muhammad bin Abdullah bin Hausyab Ath Tha`ifi] telah menceritakan kepada kami [Abdul Wahhab] telah menceritakan kepada kami [Ayyub] dari [Abu Qilabah] dari [Anas] radliallahu 'anhu mengatakan, Rasulullah shallallahu 'alaihi wasallam bersabda: ""Ada tiga hal yang jika seseorang melaksanakannya, ia mendapat kemanisan iman, Allah dan rasul-NYA lebih ia cintai daripada selain keduanya, ia mencintai seseorang dengan tiada dorongan selain karena Allah, dan benci kembali kepada kekafiran sebagaimana kebenciannya untuk dilempar ke neraka.""","حَدَّثَنَا مُحَمَّدُ بْنُ عَبْدِ اللَّهِ بْنِ حَوْشَبٍ الطَّائِفِيُّ حَدَّثَنَا عَبْدُ الْوَهَّابِ حَدَّثَنَا أَيُّوبُ عَنْ أَبِي قِلَابَةَ عَنْ أَنَسٍ رَضِيَ اللَّهُ عَنْهُ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثَلَاثٌ مَنْ كُنَّ فِيهِ وَجَدَ حَلَاوَةَ الْإِيمَانِ أَنْ يَكُونَ اللَّهُ وَرَسُولُهُ أَحَبَّ إِلَيْهِ مِمَّا سِوَاهُمَا وَأَنْ يُحِبَّ الْمَرْءَ لَا يُحِبُّهُ إِلَّا لِلَّهِ وَأَنْ يَكْرَهَ أَنْ يَعُودَ فِي الْكُفْرِ كَمَا يَكْرَهُ أَنْ يُقْذَفَ فِي النَّارِ"
6429,69,"Telah menceritakan kepada kami [Sa'id bin Sulaiman] telah menceritakan kepada kami [Abbad] dari [Isma'il] aku mendengar [Qais] aku mendengar [Sa'id bin Zaid] mengatakan; aku pernah bermimpi bahwa Umar adalah peneguhku terhadap Islam, dan sekiranya gunung Uhud runtuh karena perlakuan kalian terhadap Utsman, niscaya gunung itu pun runtuh.'","حَدَّثَنَا سَعِيدُ بْنُ سُلَيْمَانَ حَدَّثَنَا عَبَّادٌ عَنْ إِسْمَاعِيلَ سَمِعْتُ قَيْسًا سَمِعْتُ سَعِيدَ بْنَ زَيْدٍ يَقُولُ
لَقَدْ رَأَيْتُنِي وَإِنَّ عُمَرَ مُوثِقِي عَلَى الْإِسْلَامِ وَلَوْ انْقَضَّ أُحُدٌ مِمَّا فَعَلْتُمْ بِعُثْمَانَ كَانَ مَحْقُوقًا أَنْ يَنْقَضَّ"
6430,69,"Telah menceritakan kepada kami [Musaddad] telah menceritakan kepada kami [Yahya] dari [Isma'il] telah menceritakan kepada kami [Qais] dari [Khabbab bin Al Arat] mengatakan, kami pernah mengeluhkan penderitaan kepada Rasulullah Shallallahu'alaihiwasallam yang ketika itu beliau beralaskan kain panjangnya di naungan ka'bah. Maka kami mengadu; 'Tidakkah engkau meminta pertolongan untuk kami? Tidakkah engkau berdoa untuk kami? ' maka beliau bersabda; ""Sungguh sebelum kalian ada orang yang diringkus kemudian digalikan lubang baginya dan ia ditimbun disana, lantas didatangkan gergaji dan diletakkan di kepalanya, sehingga kepalanya terbelah menjadi dua, dan ada yang disisir dengan sisir besi sehingga memisahkan tulang dan dagingnya namun semua siksaan itu tidak memalingkannya dari agamanya, demi Allah, perkara ini akan sempurna sehingga seorang pengendara bisa berjalan dari Shan'a hingga Hadramaut, dan ia tidak khawatir selain kepada Allah dan srigala yang akan menerkam kambingnya, namun kalian ini orang yang suka tergesa-gesa.""","حَدَّثَنَا مُسَدَّدٌ حَدَّثَنَا يَحْيَى عَنْ إِسْمَاعِيلَ حَدَّثَنَا قَيْسٌ عَنْ خَبَّابِ بْنِ الْأَرَتِّ قَالَ
شَكَوْنَا إِلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ مُتَوَسِّدٌ بُرْدَةً لَهُ فِي ظِلِّ الْكَعْبَةِ فَقُلْنَا أَلَا تَسْتَنْصِرُ لَنَا أَلَا تَدْعُو لَنَا فَقَالَ قَدْ كَانَ مَنْ قَبْلَكُمْ يُؤْخَذُ الرَّجُلُ فَيُحْفَرُ لَهُ فِي الْأَرْضِ فَيُجْعَلُ فِيهَا فَيُجَاءُ بِالْمِنْشَارِ فَيُوضَعُ عَلَى رَأْسِهِ فَيُجْعَلُ نِصْفَيْنِ وَيُمْشَطُ بِأَمْشَاطِ الْحَدِيدِ مَا دُونَ لَحْمِهِ وَعَظْمِهِ فَمَا يَصُدُّهُ ذَلِكَ عَنْ دِينِهِ وَاللَّهِ لَيَتِمَّنَّ هَذَا الْأَمْرُ حَتَّى يَسِيرَ الرَّاكِبُ مِنْ صَنْعَاءَ إِلَى حَضْرَمَوْتَ لَا يَخَافُ إِلَّا اللَّهَ وَالذِّئْبَ عَلَى غَنَمِهِ وَلَكِنَّكُمْ تَسْتَعْجِلُونَ"
6431,69,"Telah menceritakan kepada kami [Abdul Aziz bin Abdullah] telah menceritakan kepada kami [Al Laits] dari [Sa'id Al Maqburi] dari [ayahnya] dari [Abu Hurairah] radliallahu 'anhu; ketika kami di masjid, tiba-tiba Rasulullah shallallahu 'alaihi wasallam menemui kami dan berujar: ""Ayo kita pergi ke kaum yahudi, "" maka kami berangkat bersama beliau, hingga kami tiba di Baitil Midras, Nabi shallallahu 'alaihi wasallam berdiri dan menyeru mereka; ""Wahai sekalian kaum yahudi, masuklah ke dalam Islam, maka kalian akan selamat."" 'Telah engkau sampaikan wahai Abul Qasim' Sambut mereka.""Itulah yang kuinginkan sebenarnya"" Kata Nabi. Nabi mengulang ajakannya dua kali dan mereka memberi jawaban sama; 'Telah engkau sampaikan wahai Abul qasim.' Nabi mengajak mereka untuk kali ketiga, dan berujar kepada mereka: ""Ketahuilah, bahwasanya bumi ini adalah milik Allah dan rasul-NYA, dan saya ingin mengusir kalian, maka siapa diantara kalian yang mendapatkan sesuatu dengan hartanya, juallah, kalaulah tidak, ketahuilah bumi hanyalah milik Allah dan rasul-NYA.""","حَدَّثَنَا عَبْدُ الْعَزِيزِ بْنُ عَبْدِ اللَّهِ حَدَّثَنَا اللَّيْثُ عَنْ سَعِيدٍ الْمَقْبُرِيِّ عَنْ أَبِيهِ عَنْ أَبِي هُرَيْرَةَ رَضِيَ اللَّهُ عَنْهُ قَالَ
بَيْنَمَا نَحْنُ فِي الْمَسْجِدِ إِذْ خَرَجَ عَلَيْنَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ انْطَلِقُوا إِلَى يَهُودَ فَخَرَجْنَا مَعَهُ حَتَّى جِئْنَا بَيْتَ الْمِدْرَاسِ فَقَامَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَنَادَاهُمْ يَا مَعْشَرَ يَهُودَ أَسْلِمُوا تَسْلَمُوا فَقَالُوا قَدْ بَلَّغْتَ يَا أَبَا الْقَاسِمِ فَقَالَ ذَلِكَ أُرِيدُ ثُمَّ قَالَهَا الثَّانِيَةَ فَقَالُوا قَدْ بَلَّغْتَ يَا أَبَا الْقَاسِمِ ثُمَّ قَالَ الثَّالِثَةَ فَقَالَ اعْلَمُوا أَنَّ الْأَرْضَ لِلَّهِ وَرَسُولِهِ وَإِنِّي أُرِيدُ أَنْ أُجْلِيَكُمْ فَمَنْ وَجَدَ مِنْكُمْ بِمَالِهِ شَيْئًا فَلْيَبِعْهُ وَإِلَّا فَاعْلَمُوا أَنَّمَا الْأَرْضُ لِلَّهِ وَرَسُولِهِ"
6432,69,"Telah menceritakan kepada kami [Yahya bin Qaza'ah] telah menceritakan kepada kami [Malik] dari ['Abdurrahman bin Al Qasim] dari [ayahnya] dari ['Abdurrahman] dan [Mujamma'], dua anak Yazid bin Jariyah Al Anshari, dari [Khansa' binti Khidzam Al Anshariyah]; bahwa ayahnya mengawinkannya -ketika itu ia janda-dengan lak-laki yang tidak disukainya, kemudian dia menemui Nabi shallallahu 'alaihi wasallam dan beliau membatalkan pernikahannya.","حَدَّثَنَا يَحْيَى بْنُ قَزَعَةَ حَدَّثَنَا مَالِكٌ عَنْ عَبْدِ الرَّحْمَنِ بْنِ الْقَاسِمِ عَنْ أَبِيهِ عَنْ عَبْدِ الرَّحْمَنِ وَمُجَمِّعٍ ابْنَيْ يَزِيدَ بْنِ جَارِيَةَ الْأَنْصَارِيِّ عَنْ خَنْسَاءَ بِنْتِ خِذَامٍ الْأَنْصَارِيَّةِ
أَنَّ أَبَاهَا زَوَّجَهَا وَهِيَ ثَيِّبٌ فَكَرِهَتْ ذَلِكَ فَأَتَتْ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَرَدَّ نِكَاحَهَا"
6433,69,"Telah menceritakan kepada kami [Muhammad bin Yusuf] telah menceritakan kepada kami [Sufyan] dari [Ibnu Juraij] dari [Ibnu Abi Mulaikah] dari [Abu Amru] alias Dzakwan, dari [Aisyah] radliallahu 'anhuma mengatakan, saya berkata; 'ya Rasulullah, apakah wanita dimintai izin pada kemaluan mereka? ' Nabi menjawab: ""iya."" Saya bertanya; 'sungguh gadis merasa malu lantas ia memilih diam jika dimintai persetujuannya.' Nabi shallallahu 'alaihi wasallam menjawab; ""jika ia diam, itulah tanda persetujuannya.""","حَدَّثَنَا مُحَمَّدُ بْنُ يُوسُفَ حَدَّثَنَا سُفْيَانُ عَنْ ابْنِ جُرَيْجٍ عَنْ ابْنِ أَبِي مُلَيْكَةَ عَنْ أَبِي عَمْرٍو هُوَ ذَكْوَانُ عَنْ عَائِشَةَ رَضِيَ اللَّهُ عَنْهَا قَالَتْ
قُلْتُ يَا رَسُولَ اللَّهِ يُسْتَأْمَرُ النِّسَاءُ فِي أَبْضَاعِهِنَّ قَالَ نَعَمْ قُلْتُ فَإِنَّ الْبِكْرَ تُسْتَأْمَرُ فَتَسْتَحْيِي فَتَسْكُتُ قَالَ سُكَاتُهَا إِذْنُهَا"
6434,69,"Telah menceritakan kepada kami [Abu Nu'man] telah menceritakan kepada kami [Hammad bin Zaid] dari [Amru bin Dinar] dari [Jabir] radliallahu 'anhu, ada seorang laki-laki anshar menjanjikan kemerdekaan budaknya (mudabbar) padahal ia tak punya harta selainnya. Berita ini sampai kepada Rasulullah shallallahu 'alaihi wasallam, maka beliau bertanya: ""Siapa mau membelinya dariku?"" Selanjutnya budak itu dibeli oleh Nu'aim bin Najjam seharga delapan ratus dirham. Kata Amru bin dinar, lalu kudengar Jabir mengatakan; 'budak qibthi yang meninggal di tahun pertama.'","حَدَّثَنَا أَبُو النُّعْمَانِ حَدَّثَنَا حَمَّادُ بْنُ زَيْدٍ عَنْ عَمْرِو بْنِ دِينَارٍ عَنْ جَابِرٍ رَضِيَ اللَّهُ عَنْهُ
أَنَّ رَجُلًا مِنْ الْأَنْصَارِ دَبَّرَ مَمْلُوكًا وَلَمْ يَكُنْ لَهُ مَالٌ غَيْرُهُ فَبَلَغَ ذَلِكَ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ مَنْ يَشْتَرِيهِ مِنِّي فَاشْتَرَاهُ نُعَيْمُ بْنُ النَّحَّامِ بِثَمَانِ مِائَةِ دِرْهَمٍ قَالَ فَسَمِعْتُ جَابِرًا يَقُولُ عَبْدًا قِبْطِيًّا مَاتَ عَامَ أَوَّلَ"
6435,69,"Telah menceritakan kepada kami [Husain bin Manshur] telah menceritakan kepada kami [Asbath bin Muhammad] telah menceritakan kepada kami [Asy Syaibani Sulaiman bin fairuz] dari [Ikrimah] dari [Ibnu 'Abbas], Asy Syaibani mengatakan, dan telah menceritakan kepadaku ['Atho' Abul hasan As suwa`i] dan setahuku dia tidak menyebutnya selain dari Ibnu 'Abbas radliallahu 'anhuma; 'Hai orang-orang yang beriman, tidak dihalalkan bagi kalian menguasai wanita secara paksa (QS.Annisa'; 19), dia berkata mengenai ayat ini; Dahulu jika seseorang meninggal, maka wali si laki-laki yang meninggal lah yang paling berhak terhadap isterinya, jika berkenan mereka kawini, atau mereka kawinkan dengan orang lain, atau mereka biarkan terkatung-katung, merekalah yang paling berhak terhadapnya daripada keluarga wanita itu sendiri, sehingga turunlah ayat ini yang menyelesaikan masalah itu.","حَدَّثَنَا حُسَيْنُ بْنُ مَنْصُورٍ حَدَّثَنَا أَسْبَاطُ بْنُ مُحَمَّدٍ حَدَّثَنَا الشَّيْبَانِيُّ سُلَيْمَانُ بْنُ فَيْرُوزٍ عَنْ عِكْرِمَةَ عَنْ ابْنِ عَبَّاسٍ قَالَ الشَّيْبَانِيُّ وَحَدَّثَنِي عَطَاءٌ أَبُو الحَسَنِ السُّوَائِيُّ وَلَا أَظُنُّهُ إِلَّا ذَكَرَهُ عَنْ ابْنِ عَبَّاسٍ رَضِيَ اللَّهُ عَنْهُمَا
{ يَا أَيُّهَا الَّذِينَ آمَنُوا لَا يَحِلُّ لَكُمْ أَنْ تَرِثُوا النِّسَاءَ كَرْهًا }
الْآيَةَ قَالَ كَانُوا إِذَا مَاتَ الرَّجُلُ كَانَ أَوْلِيَاؤُهُ أَحَقَّ بِامْرَأَتِهِ إِنْ شَاءَ بَعْضُهُمْ تَزَوَّجَهَا وَإِنْ شَاءُوا زَوَّجَهَا وَإِنْ شَاءُوا لَمْ يُزَوِّجْهَا فَهُمْ أَحَقُّ بِهَا مِنْ أَهْلِهَا فَنَزَلَتْ هَذِهِ الْآيَةُ فِي ذَلِكَ"
6436,69,"Telah menceritakan kepada kami [Abul Yaman] telah menceritakan kepada kami [Syu'aib] telah menceritakan kepada kami [Abu Az Zanad] dari [Al A'raj] dari [Abu Hurairah] mengatakan, Rasulullah shallallahu 'alaihi wasallam bersabda: ""Ibrahim berhijrah bersama Sarah, kemudian mereka memasuki suatu desa yang dipimpin oleh seorang raja atau diktator. Raja mengutus seorang ajudan untuk menemui Ibrahim; 'Panggil Ibrahim untuk menghadapku bersama isterinya', lantas sang ajudan membawa isterinya kepada sang raja. Ketika raja berdiri menghadap Sarah, Sarah lantas berwudhu dan shalat dan memanjatkan doa; 'Ya Allah, jika aku beriman terhadap-Mu dan rasul-Mu, maka janganlah Engkau kuasakan seorang kafir kepada kami', ketika itu pula kaki sang raja terbenam ke dalam bumi hingga meronta-ronta dengan kakinya.""","حَدَّثَنَا أَبُو الْيَمَانِ حَدَّثَنَا شُعَيْبٌ حَدَّثَنَا أَبُو الزِّنَادِ عَنْ الْأَعْرَجِ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ هَاجَرَ إِبْرَاهِيمُ بِسَارَةَ دَخَلَ بِهَا قَرْيَةً فِيهَا مَلِكٌ مِنْ الْمُلُوكِ أَوْ جَبَّارٌ مِنْ الْجَبَابِرَةِ فَأَرْسَلَ إِلَيْهِ أَنْ أَرْسِلْ إِلَيَّ بِهَا فَأَرْسَلَ بِهَا فَقَامَ إِلَيْهَا فَقَامَتْ تَوَضَّأُ وَتُصَلِّي فَقَالَتْ اللَّهُمَّ إِنْ كُنْتُ آمَنْتُ بِكَ وَبِرَسُولِكَ فَلَا تُسَلِّطْ عَلَيَّ الْكَافِرَ فَغُطَّ حَتَّى رَكَضَ بِرِجْلِهِ"
6437,69,"Telah menceritakan kepada kami [Yahya bin Bukair] telah menceritakan kepada kami [Al Laits] dari [Uqail] dari [Ibnu Syihab], bahwa [Salim] mengabarinya, bahwasanya [Abdullah bin Umar] radliallahu 'anhuma mengabarinya, bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Seorang muslim adalah saudara muslim lainnya, tidak menzhaliminya dan tidak menyerahkannya kepada musuh, barangsiapa yang memenuhi kebutuhan saudaranya, maka Allah akan memenuhi kebutuhannya.""","حَدَّثَنَا يَحْيَى بْنُ بُكَيْرٍ حَدَّثَنَا اللَّيْثُ عَنْ عُقَيْلٍ عَنْ ابْنِ شِهَابٍ أَنَّ سَالِمًا أَخْبَرَهُ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ رَضِيَ اللَّهُ عَنْهُمَا أَخْبَرَهُ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ الْمُسْلِمُ أَخُو الْمُسْلِمِ لَا يَظْلِمُهُ وَلَا يُسْلِمُهُ وَمَنْ كَانَ فِي حَاجَةِ أَخِيهِ كَانَ اللَّهُ فِي حَاجَتِهِ"
6438,69,"Telah menceritakan kepada kami [Muhammad bin Abdurrahim] telah menceritakan kepada kami [Sa'id bin Sulaiman] telah menceritakan kepada kami [Husyaim] Telah mengabarkan kepada kami [Ubaidullah bin Abi Bakr bin Anas] dari [Anas] radliallahu 'anhu mengatakan, Rasulullah shallallahu 'alaihi wasallam bersabda: ""'Tolonglah saudaramu baik ia zhalim atau dizhalimi."" Ada seorang laki-laki bertanya; 'ya Rasulullah, saya maklum jika ia dizhalimi, namun bagaimana saya menolong padahal ia zhalim? ' Nabi menjawab; ""engkau mencegahnya atau menahannya dari kezhaliman, itulah cara menolongnya.""","حَدَّثَنَا مُحَمَّدُ بْنُ عَبْدِ الرَّحِيمِ حَدَّثَنَا سَعِيدُ بْنُ سُلَيْمَانَ حَدَّثَنَا هُشَيْمٌ أَخْبَرَنَا عُبَيْدُ اللَّهِ بْنُ أَبِي بَكْرِ بْنِ أَنَسٍ عَنْ أَنَسٍ رَضِيَ اللَّهُ عَنْهُ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ انْصُرْ أَخَاكَ ظَالِمًا أَوْ مَظْلُومًا فَقَالَ رَجُلٌ يَا رَسُولَ اللَّهِ أَنْصُرُهُ إِذَا كَانَ مَظْلُومًا أَفَرَأَيْتَ إِذَا كَانَ ظَالِمًا كَيْفَ أَنْصُرُهُ قَالَ تَحْجُزُهُ أَوْ تَمْنَعُهُ مِنْ الظُّلْمِ فَإِنَّ ذَلِكَ نَصْرُهُ"
