haditsId,kitabId,indo,arab,label
67,1,"Telah mengabarkan kepada kami [Ja'far bin 'Aun] telah mengabarkan kepada kami [Muhammad bin 'Amr Al Laitsi] dari [Abu Salamah] ia berkata; Dahulu Rasulullah shallallahu 'alaihi wasallam bersedia makan (menerima) hadiah dan tidak mau menerima sedekah, maka seorang wanita Yahudi Khaibar menghadiahkan kepada beliau shallallahu 'alaihi wasallam seekor kambing panggang dan beliau memakannya begitu juga Bisyr bin Barra`, kemudian Nabi shallallahu 'alaihi wasallam mengangkat tangan beliau dan berkata: Sesungguhnya kambing ini memberitahuku bahwasannya dirinya telah (dilumuri) racun. Maka Bisyr bin Al Barra` meninggal, Maka Nabi shallallahu 'alaihi wasallam mengutus seseorang untuk menangkapnya, dan beliau bertanya: Apa yang menyebabkanmu melakukan perbuatan keji ini? Perempuan itu menjawab; ""Apabila engkau benar-benar seorang Nabi niscaya tidak ada yang dapat mencelakakanmu, sebaliknya apabila engkau seorang raja niscaya saya telah membebaskan manusia darimu. "" Beliau berkata di waktu sakitnya: Saya masih merasakan efek makanan yang saya makan ketika di Khaibar, dan ini adalah saat terputusnya tulang punggungku. ", أَخْبَرَنَا جَعْفَرُ بْنُ عَوْنٍ أَخْبَرَنَا مُحَمَّدُ بْنُ عَمْرٍو اللَّيْثِيُّ عَنْ أَبِي سَلَمَةَ قَالَ كَانَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَأْكُلُ الْهَدِيَّةَ وَلَا يَقْبَلُ الصَّدَقَةَ فَأَهْدَتْ لَهُ امْرَأَةٌ مِنْ يَهُودِ خَيْبَرَ شَاةً مَصْلِيَّةً فَتَنَاوَلَ مِنْهَا وَتَنَاوَلَ مِنْهَا بِشْرُ بْنُ الْبَرَاءِ ثُمَّ رَفَعَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَدَهُ ثُمَّ قَالَ إِنَّ هَذِهِ تُخْبِرُنِي أَنَّهَا مَسْمُومَةٌ فَمَاتَ بِشْرُ بْنُ الْبَرَاءِ فَأَرْسَلَ إِلَيْهَا النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَا حَمَلَكِ عَلَى مَا صَنَعْتِ فَقَالَتْ إِنْ كُنْتَ نَبِيًّا لَمْ يَضُرَّكَ شَيْءٌ وَإِنْ كُنْتَ مَلِكًا أَرَحْتُ النَّاسَ مِنْكَ فَقَالَ فِي مَرَضِهِ مَا زِلْتُ مِنْ الْأَكْلَةِ الَّتِي أَكَلْتُ بِخَيْبَرَ فَهَذَا أَوَانُ انْقِطَاعِ أَبْهَرِي,55
68,1,"Telah mengabarkan kepada kami [Al Hakam bin Nafi'] telah mengabarkan kepada kami [Syu'aib bin Abu Hamzah] dari [Az Zuhri] ia berkata; [Jabir bin Abdullah] Radliyallahu'anhu menceritakan; Seorang wanita Yahudi penduduk Khaibar membubuhi racun pada daging kambing panggang dan menghadiahkannya kepada Nabi shallallahu 'alaihi wasallam. Nabi mengambil daging tulang hastanya dan memakannya, dan sebagian sahabatnya juga ikut makan bersamanya. Nabi shallallahu 'alaihi wasallam kontan berkata kepada mereka: "" Angkatlah tangan kalian."" Kemudian beliau mengutus seseorang untuk menangkap wanita Yahudi tadi dan menginterogasi: ""Kamu melumuri kambing tadi dengan racun?"" Ia menjawab; ""Ya, benar. "" Si wanita bertanya; ""Siapa gerangan yang memberitahukan kepada baginda?"" Nabi menjawab: ""Yang memberitahuku adalah yang ada di tanganku ini, "" -maksudnya tulang sampil--Perempuan itu berkata, ""Betul, memang kububuhi racun, "" beliau bertanya, "" Apa maksudmu melakukan hal itu?"" ia menjawab, ""Aku hanya ingin membuktikan, jika seorang Nabi niscaya tidak mencelakainya dan jikalau bukan, kami terbebas darinya. "" Maka Rasulullah shallallahu 'alaihi wasallam memaafkannya dengan tidak menghukumnya, sedang sebagian sahabat lain yang memakan daging kambing tersebut meninggal dunia. Nabi shallallahu 'alaihi wasallam berbekam pada bagian atas punggung untuk menghilangkan racun yang dimakannya dari daging kambing tersebut. Beliau dibekam oleh Abu Hind, maula Bani Bayadhah, dengan tanduk dan parang, ia dari Bani Tsumamah yaitu daerah bagian dari kaum Anshar. "" ", أَخْبَرَنَا الْحَكَمُ بْنُ نَافِعٍ أَخْبَرَنَا شُعَيْبُ بْنُ أَبِي حَمْزَةَ عَنْ الزُّهْرِيِّ قَالَ كَانَ جَابِرُ بْنُ عَبْدِ اللَّهِ يُحَدِّثُ أَنَّ يَهُودِيَّةً مِنْ أَهْلِ خَيْبَرَ سَمَّتْ شَاةً مَصْلِيَّةً ثُمَّ أَهْدَتْهَا لِلنَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَأَخَذَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِنْهَا الذِّرَاعَ فَأَكَلَ مِنْهَا وَأَكَلَ الرَّهْطُ مِنْ أَصْحَابِهِ مَعَهُ ثُمَّ قَالَ لَهُمْ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ارْفَعُوا أَيْدِيَكُمْ وَأَرْسَلَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِلَى الْيَهُودِيَّةِ فَدَعَاهَا فَقَالَ لَهَا أَسَمَمْتِ هَذِهِ الشَّاةَ فَقَالَتْ نَعَمْ وَمَنْ أَخْبَرَكَ فَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَخْبَرَتْنِي هَذِهِ فِي يَدِيَ الذِّرَاعُ قَالَتْ نَعَمْ قَالَ فَمَاذَا أَرَدْتِ إِلَى ذَلِكَ قَالَتْ قُلْتُ إِنْ كَانَ نَبِيًّا لَمْ يَضُرَّهُ وَإِنْ لَمْ يَكُنْ نَبِيًّا اسْتَرَحْنَا مِنْهُ فَعَفَا عَنْهَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَلَمْ يُعَاقِبْهَا وَتُوُفِّيَ بَعْضُ أَصْحَابِهِ الَّذِينَ أَكَلُوا مِنْ الشَّاةِ وَاحْتَجَمَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَلَى كَاهِلِهِ مِنْ أَجْلِ الَّذِي أَكَلَ مِنْ الشَّاةِ حَجَمَهُ أَبُو هِنْدٍ مَوْلَى بَنِي بَيَاضَةَ بِالْقَرْنِ وَالشَّفْرَةِ وَهُوَ مِنْ بَنِي ثُمَامَةَ وَهُمْ حَيٌّ مِنْ الْأَنْصَارِ,55
69,1,"Telah mengabarkan kepada kami [Abdullah bin Shalih] telah menceritakan kepadaku [Al Laits] telah menceritakan kepadaku [Sa'id bin Abu Sa'id Al Maqburi] dari [Abu Hurairah] Radliyallahu'anhu ia berkata; ""Ketika kami menaklukan Khaibar, Rasulullah shallallahu 'alaihi wasallam diberi hadiah seekor kambing beracun. Rasulullah shallallahu 'alaihi wasallam kontan berkata: ' Tolong kumpulkanlah orang-orang Yahudi yang ada di sini. ' Maka dikumpulkanlah mereka kepada beliau. Lalu Rasulullah shallallahu 'alaihi wasallam berkata: 'Saya akan bertanya kalian tentang sesuatu, apakah kalian akan menjawab dengan jujur? ', mereka menjawab; 'Ya, wahai Abu Qasim (Nabi Muhammad shallallahu 'alaihi wasallam). ' Lalu Rasulullah shallallahu 'alaihi wasallam bertanya: 'Siapakah ayah kalian? ' Mereka menjawab; 'Ayah kami si fulan. ' Kemudian Rasulullah shallallahu 'alaihi wasallam berkata: 'Kalian bohong!, tetapi ayah kalian adalah si fulan. ' Mereka menjawab; 'Baginda benar. ' Lalu beliau berkata kepada mereka: 'Apakah kalian akan jujur jika saya tanya tentang sesuatu? ' Mereka menjawab; 'Ya, dan jika kami berbohong niscaya baginda mengetahuinya, sebagaimana baginda mengetahui ayah-ayah kami. ' Rasulullah shallallahu 'alaihi wasallam bertanya kepada mereka: 'Siapakah penghuni neraka? ' Mereka menjawab; 'Kami berada di dalamnya sebentar dan kemudian baginda menggantikan kami di dalamnya. ' Maka Rasulullah shallallahu 'alaihi wasallam berkata kepada mereka: Terhinalah kalian di dalamnya, demi Allah Subhanahu wa Ta'ala kami tidak akan menggantikan kalian di dalamnya selamanya. Lalu Rasulullah shallallahu 'alaihi wasallam bertanya kepada mereka: Apakah kalian akan berkata jujur terhadap pertanyaan yang akan ku tanyakan kepada kalian?, mereka menjawab; Ya. Beliau berkata: Apakah kalian membubuhi racun pada (daging) kambing tersebut? Mereka menjawab; Ya, beliau bertanya: apa yang menyebabkan kalian berbuat demikian? Mereka menjawab; Kami ingin terbebas jika baginda seorang pembohong dan jika baginda benar seorang Nabi maka (racun itu) tidak bakalan mencelakai baginda. ", أَخْبَرَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ حَدَّثَنِي اللَّيْثُ حَدَّثَنِي سَعِيدُ بْنُ أَبِي سَعِيدٍ الْمَقْبُرِيُّ عَنْ أَبِي هُرَيْرَةَ قَالَ لَمَّا فَتَحْنَا خَيْبَرَ أُهْدِيَتْ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ شَاةٌ فِيهَا سُمٌّ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ اجْمَعُوا لِي مَنْ كَانَ هَا هُنَا مِنْ الْيَهُودِ فَجُمِعُوا لَهُ فَقَالَ لَهُمْ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنِّي سَائِلُكُمْ عَنْ شَيْءٍ فَهَلْ أَنْتُمْ صَادِقِيَّ عَنْهُ قَالُوا نَعَمْ يَا أَبَا الْقَاسِمِ فَقَالَ لَهُمْ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ أَبُوكُمْ قَالُوا أَبُونَا فُلَانٌ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَذَبْتُمْ بَلْ أَبُوكُمْ فُلَانٌ قَالُوا صَدَقْتَ وَبَرَرْتَ فَقَالَ لَهُمْ هَلْ أَنْتُمْ صَادِقِيَّ عَنْ شَيْءٍ إِنْ سَأَلْتُكُمْ عَنْهُ فَقَالُوا نَعَمْ وَإِنْ كَذَبْنَاكَ عَرَفْتَ كَذِبَنَا كَمَا عَرَفْتَ فِي آبَائِنَا فَقَالَ لَهُمْ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَمَنْ أَهْلُ النَّارِ فَقَالُوا نَكُونُ فِيهَا يَسِيرًا ثُمَّ تَخْلُفُونَا فِيهَا قَالَ لَهُمْ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ اخْسَئُوا فِيهَا وَاللَّهِ لَا نَخْلُفُكُمْ فِيهَا أَبَدًا ثُمَّ قَالَ لَهُمْ هَلْ أَنْتُمْ صَادِقِيَّ عَنْ شَيْءٍ إِنْ سَأَلْتُكُمْ عَنْهُ قَالُوا نَعَمْ قَالَ هَلْ جَعَلْتُمْ فِي هَذِهِ الشَّاةِ سُمًّا قَالُوا نَعَمْ قَالَ مَا حَمَلَكُمْ عَلَى ذَلِكَ قَالُوا أَرَدْنَا إِنْ كُنْتَ كَاذِبًا أَنْ نَسْتَرِيحَ مِنْكَ وَإِنْ كُنْتَ نَبِيًّا لَمْ يَضُرَّكَ,55
148,1,"Telah mengabarkan kepada kami [Abdullah bin Shalih] telah menceritakan kepadaku [Al Laits] telah mengabarkan kepadaku [Ibnu 'Ajlan] dari [Nafi'] -bekas budaknya Abdullah-, (ia berkata): ""Shabigh Al 'Iraqi bertanya beberapa hal berkenaan dengan Al Qur`an (yaitu ayat-ayat mutasyabih) kepada para tentara muslim hingga ia mendatangi Mesir, kemudian 'Amr bin Al 'Ash radliallahu 'anhu mengirimnya kepada Umar bin Khatthab radliallahu 'anhu. Tatkala utusan Amru bin `ash menyampaikan surat kepada Umar, dan Umar membacanya, ia berkata: ' Mana yang namanya Shabigh? ' ia (utusan) menjawab: 'ia masih di tempat persinggahannya', Umar radliallahu 'anhu berkata: 'Tolong awasi dia, jika ia kabur maka hukuman berat justru segera menimpa kamu. Tatkala Shabigh datang, [Umar] berkata: ' Kamu telah bertanya hal baru yang diada-adakan, kemudian Umar membawa Shabigh ke pelepah kurma. Umar memukuli orang tersebut dengan pelepah kurma sampai punggungnya terluka. Ketika lukanya pulih, Umar kembali lagi memukul, dan ketika mulai pulih, Umar pun kembali memukulnya, ketika mulai pulih Umar memanggilnya untuk segera menghadapnya. Kemudian Shabigh berkata: 'Jika kamu hendak membunuhku, bunuh saja aku dengan cara baik-baik, tetapi jika kamu ingin mengobatiku maka demi Allah aku telah sembuh (tidak mempertanyakan lagi perihal ayat-ayat mutasyabih dalam Al Qur`an). Lalu ia mengizinkannya untuk kembali ke negaranya dan mengirim surat kepada Abu Musa Al `Asy'ari yang isinya tertulis: 'Agar tidak ada seorang pun dari kaum muslimin yang mengajaknya berkawan'. Hal itu membuat orang tersebut menderita, lalu Abu Musa Al `Asy'ari radliallahu 'anhu mengirim surat kepada Umar radliallahu 'anhu: 'Taubatnya sudah membaik', lalu Umar radliallahu 'anhu membalas surat: 'Izinkanlah ia bergaul dengan orang-orang'"".", أَخْبَرَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ حَدَّثَنِي اللَّيْثُ أَخْبَرَنِي ابْنُ عَجْلَانَ عَنْ نَافِعٍ مَوْلَى عَبْدِ اللَّهِ أَنَّ صَبِيغًا الْعِرَاقِيَّ جَعَلَ يَسْأَلُ عَنْ أَشْيَاءَ مِنْ الْقُرْآنِ فِي أَجْنَادِ الْمُسْلِمِينَ حَتَّى قَدِمَ مِصْرَ فَبَعَثَ بِهِ عَمْرُو بْنُ الْعَاصِ إِلَى عُمَرَ بْنِ الْخَطَّابِ فَلَمَّا أَتَاهُ الرَّسُولُ بِالْكِتَابِ فَقَرَأَهُ فَقَالَ أَيْنَ الرَّجُلُ قَالَ فِي الرَّحْلِ قَالَ عُمَرُ أَبْصِرْ أَيَكُونُ ذَهَبَ فَتُصِيبَكَ مِنْهُ الْعُقُوبَةُ الْمُوجِعَةُ فَأَتَاهُ بِهِ فَقَالَ عُمَرُ تَسْأَلُ مُحْدَثَةً وَأَرْسَلَ عُمَرُ إِلَى رَطَائِبَ مِنْ جَرِيدٍ فَضَرَبَهُ بِهَا حَتَّى تَرَكَ ظَهْرَهُ دَبِرَةً ثُمَّ تَرَكَهُ حَتَّى بَرَأَ ثُمَّ عَادَ لَهُ ثُمَّ تَرَكَهُ حَتَّى بَرَأَ فَدَعَا بِهِ لِيَعُودَ لَهُ قَالَ فَقَالَ صَبِيغٌ إِنْ كُنْتَ تُرِيدُ قَتْلِي فَاقْتُلْنِي قَتْلًا جَمِيلًا وَإِنْ كُنْتَ تُرِيدُ أَنْ تُدَاوِيَنِي فَقَدْ وَاللَّهِ بَرَأْتُ فَأَذِنَ لَهُ إِلَى أَرْضِهِ وَكَتَبَ إِلَى أَبِي مُوسَى الْأَشْعَرِيِّ أَنْ لَا يُجَالِسَهُ أَحَدٌ مِنْ الْمُسْلِمِينَ فَاشْتَدَّ ذَلِكَ عَلَى الرَّجُلِ فَكَتَبَ أَبُو مُوسَى إِلَى عُمَرَ أَنْ قَدْ حَسُنَتْ تَوْبَتُهُ فَكَتَبَ عُمَرُ أَنْ ائْذَنْ لِلنَّاسِ بِمُجَالَسَتِهِ,55
283,1,"Telah mengabarkan kepada kami [Mujahid bin Musa] telah menceritakan kepada kami [Ibnu Numair] dari [Malik bin Mighwal] dari [As Sya'bi] dari ['Alqamah] ia berkata: "" [Abdullah] berkata: 'Rasulullah sallalllahu 'alaihi wa sallam bersabda, kemudian ia gemetar, lalu ia berkata: 'Dan yang serupa dengannya atau lebih dari itu"". ", أَخْبَرَنَا مُجَاهِدُ بْنُ مُوسَى حَدَّثَنَا ابْنُ نُمَيْرٍ عَنْ مَالِكِ بْنِ مِغْوَلٍ عَنْ الشَّعْبِيِّ عَنْ عَلْقَمَةَ قَالَ قَالَ عَبْدُ اللَّهِ قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ ارْتَعَدَ ثُمَّ قَالَ نَحْوَ ذَلِكَ أَوْ فَوْقَ ذَاكَ,55
745,2,"Telah mengabarkan kepada kami [Abu Al Mughirah] telah menceritakan kepada kami [Al 'Auza'i] ia berkata: [Telah sampai kepadaku] bahwa ['Atha` bin Abu Rabah] berkata: ia pernah mendengar [Ibnu Abbas] radliallahu 'anhu mengabarkan: ""Ada seseorang yang terluka pada zaman Nabi shallallahu 'alaihi wasallam kemudian ia mimpi basah, maka ia disuruh untuk mandi, dan akhirnya meninggal dunia. Kabar tersebut sampai kepada Nabi shallallahu 'alaihi wasallam, maka beliau bersabda: 'Mereka telah membunuhnya, semoga Allah subhanallahu wa ta'ala membinasakan mereka, bukankah obat kebodohan itu bertanya? ', ['Atha`] berkata: 'Telah sampai kepadaku kabar bahwa Nabi shallallahu 'alaihi wasallam ditanya setelah kejadian itu, lalu beliau bersabda: 'Seharusnya ia cukup mengguyur seluruh anggota badannya yang tidak terluka dan membiarkan kepalanya yang terluka' "".", أَخْبَرَنَا أَبُو الْمُغِيرَةِ حَدَّثَنَا الْأَوْزَاعِيُّ قَالَ بَلَغَنِي أَنَّ عَطَاءَ بْنَ أَبِي رَبَاحٍ قَالَ إِنَّهُ سَمِعَ ابْنَ عَبَّاسٍ يُخْبِرُ أَنَّ رَجُلًا أَصَابَهُ جُرْحٌ فِي عَهْدِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ أَصَابَهُ احْتِلَامٌ فَأُمِرَ بِالِاغْتِسَالِ فَمَاتَ فَبَلَغَ ذَلِكَ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ قَتَلُوهُ قَتَلَهُمْ اللَّهُ أَلَمْ يَكُنْ شِفَاءَ الْعِيِّ السُّؤَالُ وَقَالَ عَطَاءٌ بَلَغَنِي أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سُئِلَ بَعْدَ ذَلِكَ فَقَالَ لَوْ غَسَلَ جَسَدَهُ وَتَرَكَ رَأْسَهُ حَيْثُ أَصَابَهُ الْجُرْحُ,55
1023,2,"Telah mengabarkan kepada kami [Muhammad bin Yusuf] telah menceritakan kepada kami [Sufyan] dari [Isma'il] dari [As Sya'bi] ia berkata: ""(Maksud dari ungkapan): 'Apabila penyakit itu telah berhenti', adalah berhentinya darah' "".", أَخْبَرَنَا مُحَمَّدُ بْنُ يُوسُفَ حَدَّثَنَا سُفْيَانُ عَنْ إِسْمَعِيلَ عَنْ الشَّعْبِيِّ قَالَ إِذَا كَفَّ الْأَذَى يَعْنِي الدَّمَ,55
1569,4,"Telah menceritakan kepada kami [Ya'la bin 'Ubaid] telah menceritakan kepada kami [Al A'masy] dari [Syaqiq] dari [Masruq] serta [Al A'masy] dari [Ibrahim] mereka berkata, [Mu'adz] berkata, ""Rasulullah shallallahu 'alaihi wasallam mengutusku ke Yaman dan memerintahkanku untuk mengambil dari setiap empat puluh ekor sapi satu ekor musinnah, dan dari setiap tiga puluh ekor satu tabi' atau tabi'ah."" ", حَدَّثَنَا يَعْلَى بْنُ عُبَيْدٍ حَدَّثَنَا الْأَعْمَشُ عَنْ شَقِيقٍ عَنْ مَسْرُوقٍ وَالْأَعْمَشُ عَنْ إِبْرَاهِيمَ قَالَا قَالَ مُعَاذٌ بَعَثَنِي رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِلَى الْيَمَنِ فَأَمَرَنِي أَنْ آخُذَ مِنْ كُلِّ أَرْبَعِينَ بَقَرَةً مُسِنَّةً وَمِنْ كُلِّ ثَلَاثِينَ تَبِيعًا أَوْ تَبِيعَةً,55
1670,5,"Telah mengabarkan kepada kami [Abu Nu'aim] telah menceritakan kepada kami ['Abdurrahman bin An Nu'man Abu An Nu'man Al Anshari] telah menceritakan kepadaku [Ayahku] dari [Kakekku], bahwa ia pernah dibawa ke hadapan Nabi shallallahu 'alaihi wasallam, kemudian beliau mengusap kepalanya dan berkata: ""Janganlah engkau memakai celak pada siang hari sementara engkau berpuasa, bercelaklah pada malam hari menggunakan Itsmid (sejenis tumbuhan), karena sesungguhnya Itsmid dapat mencerahkan pandangan, dan menumbuhkan rambut.""", أَخْبَرَنَا أَبُو نُعَيْمٍ حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ النُّعْمَانِ أَبُو النُّعْمَانِ الْأَنْصَارِيُّ حَدَّثَنِي أَبِي عَنْ جَدِّي وَكَانَ جَدِّي قَدْ أُتِيَ بِهِ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَمَسَحَ عَلَى رَأْسِهِ وَقَالَ لَا تَكْتَحِلْ بِالنَّهَارِ وَأَنْتَ صَائِمٌ اكْتَحِلْ لَيْلًا بِالْإِثْمِدِ فَإِنَّهُ يَجْلُو الْبَصَرَ وَيُنْبِتُ الشَّعَرَ قَالَ أَبُو مُحَمَّد لَا أَرَى بِالْكُحْلِ بَأْسًا,55
1749,6,"Telah mengabarkan kepada kami [Muhammad bin Yusuf] telah menceritakan kepada kami [Sufyan] dari [Abdullah bin Utsman] dari [Sa'id bin Jubair] dari [Ibnu Abbas], ia berkata; ""Rasulullah shallallahu 'alaihi wasallam pernah berbekam ketika sedang ihram.""", أَخْبَرَنَا مُحَمَّدُ بْنُ يُوسُفَ حَدَّثَنَا سُفْيَانُ عَنْ عَبْدِ اللَّهِ بْنِ عُثْمَانَ عَنْ سَعِيدِ بْنِ جُبَيْرٍ عَنْ ابْنِ عَبَّاسٍ قَالَ احْتَجَمَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ مُحْرِمٌ,55
