haditsId,kitabId,indo,arab,label
1480,7,"Telah menceritakan kepada kami [Ahmad bin Abdah] berkata, telah menceritakan kepada kami [Hammad bin Zaid] dari [Tsabit] dari [Anas bin Malik] berkata; Ada satu jenazah yang melintas di hadapan Nabi shallallahu 'alaihi wasallam, lalu jenazah itu dipuji dengan suatu kebaikan, maka beliau pun bersabda: ""Telah wajib (baginya surga). "" Setelah itu ada lagi jenazah lain yang lewat di hadapannya, lalu jenazah tersebut dipuji dengan suatu keburukan, maka beliau pun bersabda: ""Telah wajib (baginya neraka). "" lalu ditanyakan kepada beliau, ""Wahai Rasulullah, engkau katakan untuk jenazah ini, ""Telah wajib, "" dan untuk jenazah ini, ""Telah wajib! "" beliau menjawab: ""Persaksian orang-orang dan kaum muslimin adalah persaksian Allah di muka bumi. ""","حَدَّثَنَا أَحْمَدُ بْنُ عَبْدَةَ حَدَّثَنَا حَمَّادُ بْنُ زَيْدٍ عَنْ ثَابِتٍ عَنْ أَنَسِ بْنِ مَالِكٍ قَالَ
مُرَّ عَلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِجِنَازَةٍ فَأُثْنِيَ عَلَيْهَا خَيْرًا فَقَالَ وَجَبَتْ ثُمَّ مُرَّ عَلَيْهِ بِجِنَازَةٍ فَأُثْنِيَ عَلَيْهَا شَرًّا فَقَالَ وَجَبَتْ فَقِيلَ يَا رَسُولَ اللَّهِ قُلْتَ لِهَذِهِ وَجَبَتْ وَلِهَذِهِ وَجَبَتْ فَقَالَ شَهَادَةُ الْقَوْمِ وَالْمُؤْمِنُونَ شُهُودُ اللَّهِ فِي الْأَرْضِ",33
1864,10,"Telah menceritakan kepada kami [Hannad bin As Sarri] berkata, telah menceritakan kepada kami [Waki'] dari [Kahmas bin Al Hasan] dari [Ibnu Buraidah] dari [Bapaknya] ia berkata; ""Ada seorang gadis datang kepada Nabi shallallahu 'alaihi wasallam dan berkata, ""Sesungguhnya ayahku menikahkan aku dengan keponakannya dengan tujuan agar mengangkatnya dari kehinaan."" Buraidah berkata, ""Maka Beliau menyerahkan urusan itu kepada gadis tersebut. Lalu ia berkata, ""Aku telah menerima putusan bapakku, hanya saja aku ingin agar kaum wanita mengetahui, bahwa keputusan bukan ada pada bapak-bapak mereka.""","حَدَّثَنَا هَنَّادُ بْنُ السَّرِيِّ حَدَّثَنَا وَكِيعٌ عَنْ كَهْمَسِ بْنِ الْحَسَنِ عَنْ ابْنِ بُرَيْدَةَ عَنْ أَبِيهِ قَالَ
جَاءَتْ فَتَاةٌ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَتْ إِنَّ أَبِي زَوَّجَنِي ابْنَ أَخِيهِ لِيَرْفَعَ بِي خَسِيسَتَهُ قَالَ فَجَعَلَ الْأَمْرَ إِلَيْهَا فَقَالَتْ قَدْ أَجَزْتُ مَا صَنَعَ أَبِي وَلَكِنْ أَرَدْتُ أَنْ تَعْلَمَ النِّسَاءُ أَنْ لَيْسَ إِلَى الْآبَاءِ مِنْ الْأَمْرِ شَيْءٌ",33
1960,10,"Telah menceritakan kepada kami [Abu Bakr bin Abu Syaibah] berkata, telah menceritakan kepada kami [Yahya bin Yaman] dari [Ma'mar] dari [Az Zuhri] dari [Urwah] dari ['Aisyah] berkata, ""Rasulullah shallallahu 'alaihi wasallam jika ingin pergi bersafar, beliau mengundi antara isteri-isterinya.""","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا يَحْيَى بْنُ يَمَانٍ عَنْ مَعْمَرٍ عَنْ الزُّهْرِيِّ عَنْ عُرْوَةَ عَنْ عَائِشَةَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ إِذَا سَافَرَ أَقْرَعَ بَيْنَ نِسَائِهِ",33
2028,11,"Telah menceritakan kepada kami [Muhammad bin Yahya] berkata, telah menceritakan kepada kami ['Amr bin Abu Salamah Abu Hafsh At Tannisi] dari [Zuhair] dari [Ibnu Juraij] dari ['Amr bin Syu'aib] dari [Bapaknya] dari [Kakeknya] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Apabila seorang isteri mengklaim telah cerai dengan suaminya dan mendatangkan seorang saksi adil. Maka si suami hendaknya diambil sumpah. Jika bersumpah maka gugurlah persaksian saksi. Jika (suami) mengundurkan diri, maka pengundurannya sama dengan adanya saksi baru, maka perceraian itu bisa dianggap sah.""","حَدَّثَنَا مُحَمَّدُ بْنُ يَحْيَى حَدَّثَنَا عَمْرُو بْنُ أَبِي سَلَمَةَ أَبُو حَفْصٍ التَّنِّيسِيُّ عَنْ زُهَيْرٍ عَنْ ابْنِ جُرَيْجٍ عَنْ عَمْرِو بْنِ شُعَيْبٍ عَنْ أَبِيهِ عَنْ جَدِّهِ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ إِذَا ادَّعَتْ الْمَرْأَةُ طَلَاقَ زَوْجِهَا فَجَاءَتْ عَلَى ذَلِكَ بِشَاهِدٍ عَدْلٍ اسْتُحْلِفَ زَوْجُهَا فَإِنْ حَلَفَ بَطَلَتْ شَهَادَةُ الشَّاهِدِ وَإِنْ نَكَلَ فَنُكُولُهُ بِمَنْزِلَةِ شَاهِدٍ آخَرَ وَجَازَ طَلَاقُهُ",33
2060,11,"Telah menceritakan kepada kami [Ali bin Salamah An Naisaburi] berkata, telah menceritakan kepada kami [Ya'qub bin Ibrahim bin Sa'd] berkata, telah menceritakan kepada kami [Bapakku] dari [Ibnu Ishaq] ia berkata; [Thalhah bin Nafi'] menyebutkan dari [Sa'id bin Jubair] dari [Ibnu Abbas] ia berkata, ""Seorang laki-laki Anshar menikahi seorang wanita yang berasal dari Bal'ijlan, lalu ia masuk dan bermalam bersamanya. Ketika datang waktu pagi ia berkata, ""Aku tidak mendapatkan kegadisannya! "" hingga akhirnya, persoalan tersebut disampaikan kepada Nabi shallallahu 'alaihi wasallam. Beliau memanggil wanita tersebut dan menanyainya, wanita itu menjawab, ""Benar, aku masih dalam keadaan gadis."" Maka beliau pun memerintahkan keduanya untuk saling bersumpah, dan beliau memberikan hak mahar kepadanya.""","حَدَّثَنَا عَلِيُّ بْنُ سَلَمَةَ النَّيْسَابُورِيُّ حَدَّثَنَا يَعْقُوبُ بْنُ إِبْرَاهِيمَ بْنِ سَعْدٍ حَدَّثَنَا أَبِي عَنْ ابْنِ إِسْحَقَ قَالَ ذَكَرَ طَلْحَةُ بْنُ نَافِعٍ عَنْ سَعِيدِ بْنِ جُبَيْرٍ عَنْ ابْنِ عَبَّاسٍ قَالَ
تَزَوَّجَ رَجُلٌ مِنْ الْأَنْصَارِ امْرَأَةً مِنْ بَلْعِجْلَانَ فَدَخَلَ بِهَا فَبَاتَ عِنْدَهَا فَلَمَّا أَصْبَحَ قَالَ مَا وَجَدْتُهَا عَذْرَاءَ فَرُفِعَ شَأْنُهَا إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَدَعَا الْجَارِيَةَ فَسَأَلَهَا فَقَالَتْ بَلَى قَدْ كُنْتُ عَذْرَاءَ فَأَمَرَ بِهِمَا فَتَلَاعَنَا وَأَعْطَاهَا الْمَهْرَ",33
2062,11,"Telah menceritakan kepada kami [Al Hasan bin Quz'ah] berkata, telah menceritakan kepada kami [Maslamah bin Alqamah] berkata, telah menceritakan kepada kami [Dawud bin Abu Hind] dari [Amir] dari [Masruq] dari ['Aisyah] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam melakukan ilaa' terhada isteri-isterinya dan mengharamkan mereka. Beliau mengharamkan yang halal dan menjadikan kafarah di dalam yamin (sumpah).""","حَدَّثَنَا الْحَسَنُ بْنُ قَزْعَةَ حَدَّثَنَا مَسْلَمَةُ بْنُ عَلْقَمَةَ حَدَّثَنَا دَاوُدُ بْنُ أَبِي هِنْدٍ عَنْ عَامِرٍ عَنْ مَسْرُوقٍ عَنْ عَائِشَةَ قَالَتْ
آلَى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِنْ نِسَائِهِ وَحَرَّمَ فَجَعَلَ الْحَلَالَ حَرَامًا وَجَعَلَ فِي الْيَمِينِ كَفَّارَةً",33
2081,12,"Telah menceritakan kepada kami [Abu Bakr bin Abu Syaibah] berkata, telah menceritakan kepada kami [Muhammad bin Mush'ab] dari [Al Auza'i] dari [Yahya bin Abu Katsir] dari [Hilal bin Abu Maimunah] dari [Atha bin Yasar] dari [Rifa'ah Al Juhani] ia berkata, ""Jika Nabi shallallahu 'alaihi wasallam bersumpah beliau mengatakan: ""Demi Dzat yang jiwa Muhammad ada dalam tangan-Nya.""","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا مُحَمَّدُ بْنُ مُصْعَبٍ عَنْ الْأَوْزَاعِيِّ عَنْ يَحْيَى بْنِ أَبِي كَثِيرٍ عَنْ هِلَالِ بْنِ أَبِي مَيْمُونَةَ عَنْ عَطَاءِ بْنِ يَسَارٍ عَنْ رِفَاعَةَ الْجُهَنِيِّ قَالَ
كَانَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِذَا حَلَفَ قَالَ وَالَّذِي نَفْسُ مُحَمَّدٍ بِيَدِهِ",33
2082,12,"Telah menceritakan kepada kami [Hisyam bin Ammar] berkata, telah menceritakan kepada kami [Abdul Malik bin Muhammad bin Ash Shan'ani] berkata, telah menceritakan kepada kami [Al Auza'i] dari [Yahya bin Abu Katsir] dari [Hilal bin Abu Maimunah] dari ['Atha bin Yasar] dari [Rifa'ah bin Arabah Al Juhani] ia berkata, ""Sumpah yang biasa dipakai oleh Rasulullah shallallahu 'alaihi wasallam dan berarti di sisi Allah adalah: ""Demi Dzat yang jiwaku ada dalam tangan-Nya.""","حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ حَدَّثَنَا عَبْدُ الْمَلِكِ بْنُ مُحَمَّدٍ الصَّنْعَانِيُّ حَدَّثَنَا الْأَوْزَاعِيُّ عَنْ يَحْيَى بْنِ أَبِي كَثِيرٍ عَنْ هِلَالِ بْنِ أَبِي مَيْمُونَةَ عَنْ عَطَاءِ بْنِ يَسَارٍ عَنْ رِفَاعَةَ بْنِ عَرَابَةَ الْجُهَنِيِّ قَالَ
كَانَتْ يَمِينُ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الَّتِي يَحْلِفُ بِهَا أَشْهَدُ عِنْدَ اللَّهِ وَالَّذِي نَفْسِي بِيَدِهِ",33
2085,12,"Telah menceritakan kepada kami [Muhammad bin Abu Umar Al Adani] berkata, telah menceritakan kepada kami [Sufyan bin Uyainah] dari [Az Zuhri] dari [Salim bin Abdullah bin Umar] dari [Bapaknya] dari [Umar] bahwa Rasulullah shallallahu 'alaihi wasallam mendengarnya bersumpah dengan nama bapaknya, maka Rasulullah shallallahu 'alaihi wasallam pun bersabda: ""Sesungguhnya Allah melarang kalian untuk bersumpah dengan bapak-bapak kalian."" Umar berkata, ""Maka aku tidak lagi bersumpah baik sumpah itu dariku atau dari orang lain (yang aku tirukan).""","حَدَّثَنَا مُحَمَّدُ بْنُ أَبِي عُمَرَ الْعَدَنِيُّ حَدَّثَنَا سُفْيَانُ بْنُ عُيَيْنَةَ عَنْ الزُّهْرِيِّ عَنْ سَالِمِ بْنِ عَبْدِ اللَّهِ بْنِ عُمَرَ عَنْ أَبِيهِ عَنْ عُمَرَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَمِعَهُ يَحْلِفُ بِأَبِيهِ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّ اللَّهَ يَنْهَاكُمْ أَنْ تَحْلِفُوا بِآبَائِكُمْ
قَالَ عُمَرُ فَمَا حَلَفْتُ بِهَا ذَاكِرًا وَلَا آثِرًا",33
2086,12,"Telah menceritakan kepada kami [Abu Bakr bin Abu Syaibah] berkata, telah menceritakan kepada kami [Abdul A'la] dari [Hisyam] dari [Al Hasan] dari ['Abdurrahman bin Samurah] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Janganlah kalian bersumpah dengan para thaghut atau dengan dan bapak-bapak kalian.""","حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ حَدَّثَنَا عَبْدُ الْأَعْلَى عَنْ هِشَامٍ عَنْ الْحَسَنِ عَنْ عَبْدِ الرَّحْمَنِ بْنِ سَمُرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا تَحْلِفُوا بِالطَّوَاغِي وَلَا بِآبَائِكُمْ",33
2089,12,"Telah menceritakan kepada kami [Muhammad bin Al Mutsanna] telah menceritakan kepada kami [Ibnu Abu Adi] dari [Khalid Al Khaddza`] dari [Abu Qilabah] dari [Tsabit Adl Dlahhak] dia berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa bersumpah dengan selain agama Islam dengan sengaja berdusta, maka ia seperti yang telah dikatakannya.""","حَدَّثَنَا مُحَمَّدُ بْنُ الْمُثَنَّى حَدَّثَنَا ابْنُ أَبِي عَدِيٍّ عَنْ خَالِدٍ الْحَذَّاءِ عَنْ أَبِي قِلَابَةَ عَنْ ثَابِتِ بْنِ الضَّحَّاكِ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ حَلَفَ بِمِلَّةٍ سِوَى الْإِسْلَامِ كَاذِبًا مُتَعَمِّدًا فَهُوَ كَمَا قَالَ",33
2094,12,"Telah menceritakan kepada kami [Ali bin Muhammad] berkata, telah menceritakan kepada kami [Abu Mu'awiyah] dari [Basysyar bin Kidam] dari [Muhammad bin Zaid] dari [Ibnu Umar] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Hanyasanaya sumpah itu adalah dosa atau penyesalan.""","حَدَّثَنَا عَلِيُّ بْنُ مُحَمَّدٍ حَدَّثَنَا أَبُو مُعَاوِيَةَ عَنْ بَشَّارِ بْنِ كِدَامٍ عَنْ مُحَمَّدِ بْنِ زَيْدٍ عَنْ ابْنِ عُمَرَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّمَا الْحَلِفُ حِنْثٌ أَوْ نَدَمٌ",33
2095,12,"Telah menceritakan kepada kami [Al Abbas bin Abdul Azhim Al Anbari] berkata, telah menceritakan kepada kami ['Abdurrazaq] berkata, telah memberitakan kepada kami [Ma'mar] dari [Thawus] dari [Bapaknya] dari [Abu Hurairah] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa bersumpah lantas mengucapkan 'Jika Allah menghendaki', maka baginya adalah sesuatu yang dikecualikan.""","حَدَّثَنَا الْعَبَّاسُ بْنُ عَبْدِ الْعَظِيمِ الْعَنْبَرِيُّ حَدَّثَنَا عَبْدُ الرَّزَّاقِ أَنْبَأَنَا مَعْمَرٌ عَنْ ابْنِ طَاوُسٍ عَنْ أَبِيهِ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ حَلَفَ فَقَالَ إِنْ شَاءَ اللَّهُ فَلَهُ ثُنْيَاهُ",33
2096,12,"Telah menceritakan kepada kami [Muhammad bin Ziyad] berkata, telah menceritakan kepada kami [Abdul Warits bin Sa'id] dari [Ayyub] dari [Nafi'] dari [Ibnu Umar] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Siapa yang bersumpah dan mengucapkan 'Insya-Allah', jika berkehendak ia boleh melakukan sumpahnya dan jika berkehendak ia boleh meninggalkannya tanpa berdosa.""","حَدَّثَنَا مُحَمَّدُ بْنُ زِيَادٍ حَدَّثَنَا عَبْدُ الْوَارِثِ بْنُ سَعِيدٍ عَنْ أَيُّوبَ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ حَلَفَ وَاسْتَثْنَى إِنْ شَاءَ رَجَعَ وَإِنْ شَاءَ تَرَكَ غَيْرُ حَانِثٍ",33
