haditsId,kitabId,indo,arab,label
43,2,"Perawi menerangkan; telah menceritakan kepadaku dari Malik dari [Nafi']; Bahwasanya [Abdullah bin Umar] memberi wewangian kepada jenazah anak Sa'id bin Zaid dan dia mengusungnya juga, kemudian dia masuk masjid dan shalat tanpa berwudlu. ","و حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
حَنَّطَ ابْنًا لِسَعِيدِ بْنِ زَيْدٍ وَحَمَلَهُ ثُمَّ دَخَلَ الْمَسْجِدَ فَصَلَّى وَلَمْ يَتَوَضَّأْ",11
53,2,"Perawi menerangkan; telah menceritakan kepadaku dari Malik dari [Al 'Ala` bin Abdurrahman] dari [bapaknya] dari [Abu Hurairah]; Rasulullah shallallahu 'alaihi wasallam keluar menuju pekuburan lalu beliau membaca; ""(Keselamatan bagi kalian, Wahai para penghuni kubur orang-orang mukmin. Jika Allah berkehendak, kami akan menyusul kalian.) Sungguh saya ingin melihat saudara-saudara kami."" Maka para sahabat bertanya; ""Wahai Rasulullah, bukankah kami adalah saudara anda."" Beliau menjawab: ""bahkan kalian adalah sahabat-sahabatku, tetapi saudara-saudaraku adalah yang akan datang nanti, pada saat aku menunggu mereka di tepi telaga"" mereka berkata; ""Wahai Rasulullah, bagaimana engkau bisa mengenal orang yang datang sepeninggalmu dari umatmu?"" Rasulullah menjawab: ""bagaimana pendapatmu jika ada seorang lelaki yang memiliki kuda putih cemerlang di antara kuda hitam yang pekat, bukankah dia mengetahuinya?"" mereka menjawab; ""Ya benar wahai Rasulullah."" Beliau bersabda: ""Sesungguhnya mereka datang pada Hari Kiamat dengan putih bersinar karena wudlu, saya yang akan menyambut mereka di telaga. Maka jangan sampai ada yang terusir dari telagaku, sebagaimana unta tersesat yang terusir, saya memanggil mereka; 'Ayolah ke sini, ayolah ke sini! ayolah kesini! "" tiba-tiba ada yang menegur; 'Sesungguhnya mereka telah mengganti (agamanya) sepeninggalmu' maka saya berkata; 'Menjauhlah, menjauhlah, menjauhlah'."" ","و حَدَّثَنِي عَنْ مَالِك عَنْ الْعَلَاءِ بْنِ عَبْدِ الرَّحْمَنِ عَنْ أَبِيهِ عَنْ أَبِي هُرَيْرَةَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ خَرَجَ إِلَى الْمَقْبُرَةِ فَقَالَ السَّلَامُ عَلَيْكُمْ دَارَ قَوْمٍ مُؤْمِنِينَ وَإِنَّا إِنْ شَاءَ اللَّهُ بِكُمْ لَاحِقُونَ وَدِدْتُ أَنِّي قَدْ رَأَيْتُ إِخْوَانَنَا فَقَالُوا يَا رَسُولَ اللَّهِ أَلَسْنَا بِإِخْوَانِكَ قَالَ بَلْ أَنْتُمْ أَصْحَابِي وَإِخْوَانُنَا الَّذِينَ لَمْ يَأْتُوا بَعْدُ وَأَنَا فَرَطُهُمْ عَلَى الْحَوْضِ فَقَالُوا يَا رَسُولَ اللَّهِ كَيْفَ تَعْرِفُ مَنْ يَأْتِي بَعْدَكَ مِنْ أُمَّتِكَ قَالَ أَرَأَيْتَ لَوْ كَانَ لِرَجُلٍ خَيْلٌ غُرٌّ مُحَجَّلَةٌ فِي خَيْلٍ دُهْمٍ بُهْمٍ أَلَا يَعْرِفُ خَيْلَهُ قَالُوا بَلَى يَا رَسُولَ اللَّهِ قَالَ فَإِنَّهُمْ يَأْتُونَ يَوْمَ الْقِيَامَةِ غُرًّا مُحَجَّلِينَ مِنْ الْوُضُوءِ وَأَنَا فَرَطُهُمْ عَلَى الْحَوْضِ فَلَا يُذَادَنَّ رِجَالٌ عَنْ حَوْضِي كَمَا يُذَادُ الْبَعِيرُ الضَّالُّ أُنَادِيهِمْ أَلَا هَلُمَّ أَلَا هَلُمَّ أَلَا هَلُمَّ فَيُقَالُ إِنَّهُمْ قَدْ بَدَّلُوا بَعْدَكَ فَأَقُولُ فَسُحْقًا فَسُحْقًا فَسُحْقًا",11
359,3,"Telah menceritakan kepadaku dari Malik dari [Abdullah bin Dinar] berkata; ""Saya melihat [Abdullah bin Umar] berdiri di atas kubur Nabi shallallahu 'alaihi wasallam. Lalu ia bershalawat atas Nabi shallallahu 'alaihi wasallam, atas Abu Bakar dan Umar.""","و حَدَّثَنِي عَنْ مَالِك عَنْ عَبْدِ اللَّهِ بْنِ دِينَارٍ قَالَ رَأَيْتُ عَبْدَ اللَّهِ بْنَ عُمَرَ
يَقِفُ عَلَى قَبْرِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَيُصَلِّي عَلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَعَلَى أَبِي بَكْرٍ وَعُمَرَ",11
400,3,"Telah menceritakan kepadaku dari Malik dari [Yahya bin Sa'id] dari ['Amrah bin Abdurrahman] dari [Aisyah] isteri Nabi shallallahu 'alaihi wasallam, bahwa ada seorang wanita Yahudi dataang kepadanya, dan berkata, ""Semoga Allah melindungimu dari adzab qubur."" Setelah itu Aisyah bertanya kepada Rasulullah shallallahu 'alaihi wasallam shallallahu 'alaihi wasallam, ""Apakah manusia disiksa dalam kubur mereka?"" Maka Rasulullah shallallahu 'alaihi wasallam pun memohon perlindungan kepada Allah dari hal itu. Kemudian keesokan harinya Rasulullah shallallahu 'alaihi wasallam menunggangi kendaraan. Namun ahri itu terjadi gerhana matahari, hingga beliau kembali di waktu dluha dan lewat di antara kamar (isteri-isterinya) . Beliau lalu berdiri shalat dan orang-orang shalat di belakangnya. Beliau berdiri panjang, lalu rukuk dengan rukuk yang panjang. Kemudian bangun dan berdiri lagi dengan panjang namun tidak sepanjang yang pertama. Lantas beliau rukuk dengan rukuk yang panjang, namun tidak sepanjang yang pertama. Setelahitu beliau bangkit (dari rukuk) dan bersujud. Beliau bangun dan berdiri panjang namun tidak sepanjang pada sebelumnya. Lantas rukuk dengan panjang namun tidak selama yang pertama. Kemudian bangun dan berdiri panjang namun tidak sepanjang yang pertama. Beliau lalu rukuk dengan panjang namun tidak sepanjang yang pertama, lantas bangun dan bersujud. Setelah selesai beliau mengatakan apa yang Allah kehendaki, dan menyuruh mereka untuk berlindung dari siksa kubur.""","و حَدَّثَنِي عَنْ مَالِك عَنْ يَحْيَى بْنِ سَعِيدٍ عَنْ عَمْرَةَ بِنْتِ عَبْدِ الرَّحْمَنِ عَنْ عَائِشَةَ زَوْجِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ
أَنَّ يَهُودِيَّةً جَاءَتْ تَسْأَلُهَا فَقَالَتْ أَعَاذَكِ اللَّهُ مِنْ عَذَابِ الْقَبْرِ فَسَأَلَتْ عَائِشَةُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَيُعَذَّبُ النَّاسُ فِي قُبُورِهِمْ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَائِذًا بِاللَّهِ مِنْ ذَلِكَ ثُمَّ رَكِبَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ذَاتَ غَدَاةٍ مَرْكَبًا فَخَسَفَتْ الشَّمْسُ فَرَجَعَ ضُحًى فَمَرَّ بَيْنَ ظَهْرَانَيْ الْحُجَرِ ثُمَّ قَامَ يُصَلِّي وَقَامَ النَّاسُ وَرَاءَهُ فَقَامَ قِيَامًا طَوِيلًا ثُمَّ رَكَعَ رُكُوعًا طَوِيلًا ثُمَّ رَفَعَ فَقَامَ قِيَامًا طَوِيلًا وَهُوَ دُونَ الْقِيَامِ الْأَوَّلِ ثُمَّ رَكَعَ رُكُوعًا طَوِيلًا وَهُوَ دُونَ الرُّكُوعِ الْأَوَّلِ ثُمَّ رَفَعَ فَسَجَدَ ثُمَّ قَامَ قِيَامًا طَوِيلًا وَهُوَ دُونَ الْقِيَامِ الْأَوَّلِ ثُمَّ رَكَعَ رُكُوعًا طَوِيلًا وَهُوَ دُونَ الرُّكُوعِ الْأَوَّلِ ثُمَّ رَفَعَ فَقَامَ قِيَامًا طَوِيلًا وَهُوَ دُونَ الْقِيَامِ الْأَوَّلِ ثُمَّ رَكَعَ رُكُوعًا طَوِيلًا وَهُوَ دُونَ الرُّكُوعِ الْأَوَّلِ ثُمَّ رَفَعَ ثُمَّ سَجَدَ ثُمَّ انْصَرَفَ فَقَالَ مَا شَاءَ اللَّهُ أَنْ يَقُولَ ثُمَّ أَمَرَهُمْ أَنْ يَتَعَوَّذُوا مِنْ عَذَابِ الْقَبْرِ",11
465,4,"Telah menceritakan kepadaku Malik dari [Ayyub bin Abu Tamimah As Sahtiyani] dari [Muhammad bin Sirin] dari [Ummu 'Atiyah Al Anshariyah] berkata, ""Rasulullah shallallahu 'alaihi wasallam menemui kami ketika seorang anak perempuan beliau meninggal. Beliau bersabda: ""Mandikanlah dia tiga kali, atau lima kali, atau lebih dari itu, terserah kalian dengan air dan bidara. Dan akhirilah dengan kapur barus atau sejenisnya. Dan jika sudah selesai kabari aku."" Ummu 'Atiyah Al Anshariyah berkata, ""Tatkala kami telah selesai, kami pun memanggil beliau. Beliau lantas memberikan sarung beliau kepada kami seraya bersabda: ""Bungkuslah dengan ini."" Maksudnya adalah sarung.","و حَدَّثَنِي عَنْ مَالِك عَنْ أَيُّوبَ بْنِ أَبِي تَمِيمَةَ السَّخْتِيَانِيِّ عَنْ مُحَمَّدِ بْنِ سِيرِينَ عَنْ أُمِّ عَطِيَّةَ الْأَنْصَارِيَّةِ قَالَتْ
دَخَلَ عَلَيْنَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ حِينَ تُوُفِّيَتْ ابْنَتُهُ فَقَالَ اغْسِلْنَهَا ثَلَاثًا أَوْ خَمْسًا أَوْ أَكْثَرَ مِنْ ذَلِكَ إِنْ رَأَيْتُنَّ ذَلِكَ بِمَاءٍ وَسِدْرٍ وَاجْعَلْنَ فِي الْآخِرَةِ كَافُورًا أَوْ شَيْئًا مِنْ كَافُورٍ فَإِذَا فَرَغْتُنَّ فَآذِنَّنِي قَالَتْ فَلَمَّا فَرَغْنَا آذَنَّاهُ فَأَعْطَانَا حِقْوَهُ فَقَالَ أَشْعِرْنَهَا إِيَّاهُ تَعْنِي بِحِقْوِهِ إِزَارَهُ",11
466,4,"Telah menceritakan kepadaku Malik dari [Abdullah bin Abu Bakar] bahwa [Asma binti 'Umais] pernah memandikan Abu Bakar Ash-Shiddiq ketika meninggal. Kemudian Asma binti Umais keluar dan bertanya kepada siapa saja yang hadir dari kalangan Muhajirin. Ia berkata, ""Aku sedang berpuasa, dan hari ini adalah hari yang sangat dingin. Apakah aku harus mandi (setelah memandikan mayat)?"" Mereka menjawab; ""Tidak.""","و حَدَّثَنِي عَنْ مَالِك عَنْ عَبْدِ اللَّهِ بْنِ أَبِي بَكْرٍ
أَنَّ أَسْمَاءَ بِنْتَ عُمَيْسٍ غَسَّلَتْ أَبَا بَكْرٍ الصِّدِّيقَ حِينَ تُوُفِّيَ ثُمَّ خَرَجَتْ فَسَأَلَتْ مَنْ حَضَرَهَا مِنْ الْمُهَاجِرِينَ فَقَالَتْ إِنِّي صَائِمَةٌ وَإِنَّ هَذَا يَوْمٌ شَدِيدُ الْبَرْدِ فَهَلْ عَلَيَّ مِنْ غُسْلٍ فَقَالُوا لَا",11
468,4,"Telah menceritakan kepadaku dari Malik dari [Yahya bin Said] bahwa dia berkata; telah sampai kepadaku bahwa [Abu Bakar Ash-Shiddiq] bertanya pada Aisyah saat dirinya merasakan sakit, 'Dalam berapa lembar kain Rasulullah shallallahu 'alaihi wasallam dikafani?"" [Aisyah] menjawab; ""Beliau dikafani dengan tiga lembar kain putih dari katun."" Abu Bakar berkata, ""Ambillah kain ini sebagai kain kafan, cucilah terlebih dahulu karena telah terkena tanah merah, atau minyak za'faran. Kafanilah aku dengannya dan dua lembar kain yang lain."" Aisyah bertanya, ""Apa ini! "" Abu Bakar menjawab; ""Orang yang masih hidup lebih memerlukan yang baru dari pada orang yang telah mati. Ini hanya untuk nanah yang mengalir pada jasad.""","و حَدَّثَنِي عَنْ مَالِك عَنْ يَحْيَى بْنِ سَعِيدٍ أَنَّهُ قَالَ بَلَغَنِي
أَنَّ أَبَا بَكْرٍ الصِّدِّيقَ قَالَ لِعَائِشَةَ وَهُوَ مَرِيضٌ فِي كَمْ كُفِّنَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَتْ فِي ثَلَاثَةِ أَثْوَابٍ بِيضٍ سُحُولِيَّةٍ
فَقَالَ أَبُو بَكْرٍ خُذُوا هَذَا الثَّوْبَ لِثَوْبٍ عَلَيْهِ قَدْ أَصَابَهُ مِشْقٌ أَوْ زَعْفَرَانٌ فَاغْسِلُوهُ ثُمَّ كَفِّنُونِي فِيهِ مَعَ ثَوْبَيْنِ آخَرَيْنِ فَقَالَتْ عَائِشَةُ وَمَا هَذَا فَقَالَ أَبُو بَكْرٍ الْحَيُّ أَحْوَجُ إِلَى الْجَدِيدِ مِنْ الْمَيِّتِ وَإِنَّمَا هَذَا لِلْمُهْلَةِ",11
469,4,"Telah menceritakan kepadaku dari Malik dari [Ibnu Syihab] dari [Humaid bin Abdurrahman bin Auf] dari [Abdullah bin 'Amru bin Al Abdush Shamad] bahwa dia berkata, ""Mayat itu dibungkus dan ditutup serta dikemas dengan tiga lembar kain. Jika tidak ada kecuali satu lembar saja, maka tidak mengapa dengannya.""","و حَدَّثَنِي عَنْ مَالِك عَنْ ابْنِ شِهَابٍ عَنْ حُمَيْدِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ عَوْفٍ عَنْ عَبْدِ اللَّهِ بْنِ عَمْرِو بْنِ الْعَاصِ أَنَّهُ قَالَ
الْمَيِّتُ يُقَمَّصُ وَيُؤَزَّرُ وَيُلَفُّ فِي الثَّوْبِ الثَّالِثِ فَإِنْ لَمْ يَكُنْ إِلَّا ثَوْبٌ وَاحِدٌ كُفِّنَ فِيهِ",11
471,4,"Telah menceritakan kepadaku Malik dari [Muhammad bin Al Munkadir] dari [Rabi'ah bin Al Hudair] bahwa dia mengabarkan kepadanya, bahwa dia melihat [Umar bin khatthab] mendahului orang-orang di depan jenazah saat mengantar jenazah Zainab binti Jahsy.""","و حَدَّثَنِي عَنْ مَالِك عَنْ مُحَمَّدِ بْنِ الْمُنْكَدِرِ عَنْ رَبِيعَةَ بْنِ عَبْدِ اللَّهِ بْنِ الْهُدَيْرِ أَنَّهُ أَخْبَرَهُ
أَنَّهُ رَأَى عُمَرَ بْنَ الْخَطَّابِ يَقْدُمُ النَّاسَ أَمَامَ الْجَنَازَةِ فِي جَنَازَةِ زَيْنَبَ بِنْتِ جَحْشٍ",11
472,4,"Telah menceritakan kepadaku Yahya dari Malik dari [Hisyam bin Urwah] berkata, ""Sama sekali aku tidak pernah melihat [bapakku] kecuali di depan jenazah."" Hisyam berkata lagi, ""Bapakku tiba di Baqi' dan duduk, hingga orang-orang melewatinya.""","و حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ هِشَامِ بْنِ عُرْوَةَ قَالَ
مَا رَأَيْتُ أَبِي قَطُّ فِي جَنَازَةٍ إِلَّا أَمَامَهَا قَالَ ثُمَّ يَأْتِي الْبَقِيعَ فَيَجْلِسُ حَتَّى يَمُرُّوا عَلَيْهِ",11
