haditsId,kitabId,indo,arab,label
613,4,"Telah menceritakan kepada kami [Muslim bin Amru bin Muslim Abu Amru Al Khaddza' Al Madani] telah menceritakan kepadaku [Abdullah bin Nafi' As Sha`igh] dari [Ibnu Abu Zannad] dari [Musa bin Uqbah] dari [Nafi'] dari [Ibnu Umar] bahwasanya Rasulullah Shallallaahu 'alaihi wasallam memerintahkan untuk membayar zakat fitrah sebelum berangkat (ke tempat shalat) pada hari raya idul fitri. Abu 'Isa berkata, ini merupakan hadits hasan shahih gharib, atas dasar ini para ulama lebih menganjurkan untuk membayar zakat fitrah sebelum berangkat shalat.","حَدَّثَنَا مُسْلِمُ بْنُ عَمْرِو بْنِ مُسْلِمٍ أَبُو عَمْرٍو الْحَذَّاءُ الْمَدَنِيُّ حَدَّثَنِي عَبْدُ اللَّهِ بْنُ نَافِعٍ الصَّائِغُ عَنْ ابْنِ أَبِي الزِّنَادِ عَنْ مُوسَى بْنِ عُقْبَةَ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ كَانَ يَأْمُرُ بِإِخْرَاجِ الزَّكَاةِ قَبْلَ الْغُدُوِّ لِلصَّلَاةِ يَوْمَ الْفِطْرِ
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ غَرِيبٌ وَهُوَ الَّذِي يَسْتَحِبُّهُ أَهْلُ الْعِلْمِ أَنْ يُخْرِجَ الرَّجُلُ صَدَقَةَ الْفِطْرِ قَبْلَ الْغُدُوِّ إِلَى الصَّلَاةِ",13
720,5,"Telah menceritakan kepada kami [Mahmud bin Ghailan] telah menceritakan kepada kami [Abdurrazzaq] telah mengabarkan kepada kami [Ma'mar] dari [Az Zuhri] dari [Sa'id bin Al Musayyib] dari [Abu Hurairah] dan ['Urwah] dari ['Aisyah] bahwa Nabi shallallahu 'alaihi wasallam beri'itikaf pada sepuluh hari terakhir bulan Ramadlan hingga beliau wafat. (Abu Isa At Tirmidzi) berkata; Hadits semakna diriwayatkan dari Ubai bin Ka'ab, Abu Laila, Abu Sa'id, Anas dan Ibnu Umar."" Abu 'Isa berkata; ""Hadits Abu Hurairah dan 'Aisyah merupakan hadits hasan shahih"".","حَدَّثَنَا مَحْمُودُ بْنُ غَيْلَانَ حَدَّثَنَا عَبْدُ الرَّزَّاقِ أَخْبَرَنَا مَعْمَرٌ عَنْ الزُّهْرِيِّ عَنْ سَعِيدِ بْنِ الْمُسَيِّبِ عَنْ أَبِي هُرَيْرَةَ وَعُرْوَةَ عَنْ عَائِشَةَ
أَنَّ النَّبِيَّ كَانَ يَعْتَكِفُ الْعَشْرَ الْأَوَاخِرَ مِنْ رَمَضَانَ حَتَّى قَبَضَهُ اللَّهُ
قَالَ وَفِي الْبَاب عَنْ أُبَيِّ بْنِ كَعْبٍ وَأَبِي لَيْلَى وَأَبِي سَعِيدٍ وَأَنَسٍ وَابْنِ عُمَرَ قَالَ أَبُو عِيسَى حَدِيثُ أَبِي هُرَيْرَةَ وَعَائِشَةَ حَدِيثٌ حَسَنٌ صَحِيحٌ",13
729,5,"Telah menceritakan kepada kami [Qutaibah] telah menceritakan kepada kami [Abdullah bin Ja'far] dari [Zaid bin Aslam] dari [Muhammad bin Al Munkadir] dari [Muhammad bin Ka'ab] berkata; ""Saya menemui [Anas bin Malik] pada bulan Ramadlan, ketika itu hendak melakukan perjalanan, dia telah mempersiapkan kendaraannya. Dia mengenakan pakaian khusus kemudian meminta dihidangkan makanan lalu beliau memakannya."" Aku bertanya: ""Apakah ini sunnah?"" dia menjawab: ""Sunnah."" kemudian dia menaiki kendaraannya. Telah menceritakan kepada kami [Muhammad bin Isma'il] telah menceritakan kepada kami [Sa'id bin Abu Maryam] telah menceritakan kepada kami [Muhammad bin Ja'far] berkata; telah menceritakan kepadaku [Zaid bin Aslam] berkata; telah menceritakan kepadaku [Muhammad bin Al Munkadir] dari [Muhammad bin Ka'ab] berkata; ""Saya menemui [Anas bin Malik] pada bulan Ramadlan, "" lalu menuturkan hadits di atas. Abu 'Isa berkata; ""Ini merupakan hadits hasan, Muhammad bin Ja'far ialah Ibnu Abu Katsir, dari Madinah dan seorang yang tsiqah, saudara Isma'il bin Ja'far. Abdullah bin Ja'far ialah Ibnu Najih bapak 'Ali bin Abdullah Al Madini, tapi Yahya bin Ma'in mendla'ifkannya. Sebagian ulama berpegang kepada hadits ini, mereka mengatakan: 'Seorang musafir boleh membatalkan puasanya di rumahnya sesaat sebelum berangkat. Namun dia tidak boleh mengqoshor shalat hingga keluar dari benteng kota atau daerah.' Ini merupakan pendapat Ishaq bin Ibrahim Al Hanzhali.","حَدَّثَنَا قُتَيْبَةُ حَدَّثَنَا عَبْدُ اللَّهِ بْنُ جَعْفَرٍ عَنْ زَيْدِ بْنِ أَسْلَمَ عَنْ مُحَمَّدِ بْنِ الْمُنْكَدِرِ عَنْ مُحَمَّدِ بْنِ كَعْبٍ أَنَّهُ قَالَ
أَتَيْتُ أَنَسَ بْنِ مَالِكٍ فِي رَمَضَانَ وَهُوَ يُرِيدُ سَفَرًا وَقَدْ رُحِلَتْ لَهُ رَاحِلَتُهُ وَلَبِسَ ثِيَابَ السَّفَرِ فَدَعَا بِطَعَامٍ فَأَكَلَ فَقُلْتُ لَهُ سُنَّةٌ قَالَ سُنَّةٌ ثُمَّ رَكِبَ
حَدَّثَنَا مُحَمَّدُ بْنُ إِسْمَعِيلَ حَدَّثَنَا سَعِيدُ بْنُ أَبِي مَرْيَمَ حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ قَالَ حَدَّثَنِي زَيْدُ بْنُ أَسْلَمَ قَالَ حَدَّثَنِي مُحَمَّدُ بْنُ الْمُنْكَدِرِ عَنْ مُحَمَّدِ بْنِ كَعْبٍ قَالَ أَتَيْتُ أَنَسَ بْنُ مَالِكٍ فِي رَمَضَانَ فَذَكَرَ نَحْوَهُ قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ وَمُحَمَّدُ بْنُ جَعْفَرٍ هُوَ ابْنُ أَبِي كَثِيرٍ هُوَ مَدِينِيٌّ ثِقَةٌ وَهُوَ أَخُو إِسْمَعِيلَ بْنِ جَعْفَرٍ وَعَبْدُ اللَّهِ بْنُ جَعْفَرٍ هُوَ ابْنُ نَجِيحٍ وَالِدُ عَلِيِّ بْنِ عَبْدِ اللَّهِ الْمَدِينِيِّ وَكَانَ يَحْيَى بْنُ مَعِينٍ يُضَعِّفُهُ وَقَدْ ذَهَبَ بَعْضُ أَهْلِ الْعِلْمِ إِلَى هَذَا الْحَدِيثِ وَقَالُوا لِلْمُسَافِرِ أَنْ يُفْطِرَ فِي بَيْتِهِ قَبْلَ أَنْ يَخْرُجَ وَلَيْسَ لَهُ أَنْ يَقْصُرَ الصَّلَاةَ حَتَّى يَخْرُجَ مِنْ جِدَارِ الْمَدِينَةِ أَوْ الْقَرْيَةِ وَهُوَ قَوْلُ إِسْحَقَ بْنِ إِبْرَاهِيمَ الْحَنْظَلِيِّ",13
738,6,"Telah menceritakan kepada kami [Qutaibah] dan [Abu Sa'id Al Asyajj] berkata; telah menceritakan kepada kami [Abu Khalid Al Ahmar] dari [Amru bin Qais] dari ['Ashim] dari [Syaqiq] dari [Abdullah bin Mas'ud] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Lakukanlah haji dan umrah dalam waktu yang berdekatan, karena keduanya dapat menghilangkan kemiskinan dan menghapus dosa sebagaimana al kir menghilangkan karat besi, emas dan perak. Tidak ada balasan haji mabrur kecuali syurga."" Hadits semakna diriwayatkan dari Umar, Amir bin Rabi'ah, Abu Hurairah, Abdullah bin Hubsyi, Umu Salamah dan Jabir. Abu 'Isa berkata; ""Hadits Ibnu Mas'ud merupakan hadits hasan gharib dari hadits Ibnu Mas'ud.""","حَدَّثَنَا قُتَيْبَةُ وَأَبُو سَعِيدٍ الْأَشَجُّ قَالَا حَدَّثَنَا أَبُو خَالِدٍ الْأَحْمَرُ عَنْ عَمْرِو بْنِ قَيْسٍ عَنْ عَاصِمٍ عَنْ شَقِيقٍ عَنْ عَبْدِ اللَّهِ بْنِ مَسْعُودٍ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ تَابِعُوا بَيْنَ الْحَجِّ وَالْعُمْرَةِ فَإِنَّهُمَا يَنْفِيَانِ الْفَقْرَ وَالذُّنُوبَ كَمَا يَنْفِي الْكِيرُ خَبَثَ الْحَدِيدِ وَالذَّهَبِ وَالْفِضَّةِ وَلَيْسَ لِلْحَجَّةِ الْمَبْرُورَةِ ثَوَابٌ إِلَّا الْجَنَّةُ
قَالَ وَفِي الْبَاب عَنْ عُمَرَ وَعَامِرِ بْنِ رَبِيعَةَ وَأَبِي هُرَيْرَةَ وَعَبْدِ اللَّهِ بْنِ حُبْشِيٍّ وَأُمِّ سَلَمَةَ وَجَابِرٍ قَالَ أَبُو عِيسَى حَدِيثُ ابْنِ مَسْعُودٍ حَدِيثٌ حَسَنٌ غَرِيبٌ مِنْ حَدِيثِ ابْنِ مَسْعُودٍ",13
740,6,"Telah menceritakan kepada kami [Muhammad bin Yahya Al Qutha'i Al Bashri] telah menceritakan kepada kami [Muslim bin Ibrahim] telah menceritakan kepada kami [Hilal bin Abdullah] mantan budak Rabi'ah bin 'Umar bin Muslim Al Bahili, telah menceritakan kepada kami [Abu Ishaq Al Hamdani] dari [Al Harits] dari [Ali] berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa yang memiliki bekal dan kendaraan yang cukup untuk dijadikan bekal ke Baitullah, namun dia tidak pergi haji, aku tidak peduli jika dia mati dalam keadaan Yahudi atau Nasrani. Karena Allah berfirman dalam kitabNya: 'Mengerjakan haji adalah kewajiban manusia terhadap Allah, yaitu (bagi) orang yang sanggup mengadakan perjalanan ke Baitullah.' Abu 'Isa berkata; ""Ini merupakan hadits gharib, yang tidak kami ketahui kecuali melalui sanad ini bahkan pada sanadnya terdapat cacat. Hilal bin Abdullah majhul dan Harits seorang yang didla'ifkan dalam haditsnya.""","حَدَّثَنَا مُحَمَّدُ بْنُ يَحْيَى الْقُطَعِيُّ الْبَصْرِيُّ حَدَّثَنَا مُسْلِمُ بْنُ إِبْرَاهِيمَ حَدَّثَنَا هِلَالُ بْنُ عَبْدِ اللَّهِ مَوْلَى رَبِيعَةَ بْنِ عَمْرِو بْنِ مُسْلِمٍ الْبَاهِلِيِّ حَدَّثَنَا أَبُو إِسْحَقَ الْهَمْدَانِيُّ عَنْ الْحَارِثِ عَنْ عَلِيٍّ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ مَلَكَ زَادًا وَرَاحِلَةً تُبَلِّغُهُ إِلَى بَيْتِ اللَّهِ وَلَمْ يَحُجَّ فَلَا عَلَيْهِ أَنْ يَمُوتَ يَهُودِيًّا أَوْ نَصْرَانِيًّا وَذَلِكَ أَنَّ اللَّهَ يَقُولُ فِي كِتَابِهِ
{ وَلِلَّهِ عَلَى النَّاسِ حِجُّ الْبَيْتِ مَنْ اسْتَطَاعَ إِلَيْهِ سَبِيلًا }
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ غَرِيبٌ لَا نَعْرِفُهُ إِلَّا مِنْ هَذَا الْوَجْهِ وَفِي إِسْنَادِهِ مَقَالٌ وَهِلَالُ بْنُ عَبْدِ اللَّهِ مَجْهُولٌ وَالْحَارِثُ يُضَعَّفُ فِي الْحَدِيثِ",13
741,6,"Telah menceritakan kepada kami [Yusuf bin Isa] telah menceritakan kepada kami [Waki'] telah menceritakan kepada kami [Ibrahim bin Yazid] dari [Muhammad bin 'Abbad bin Ja'far] dari [Ibnu Umar] berkata; ""Seorang lelaki menemui Nabi shallallahu 'alaihi wasallam lalu bertanya; 'Wahai Rasulullah, apa yang mewajibkan seseorang untuk haji? ' Beliau menjawab: 'Perbekalan dan kendaraan'."" Abu 'Isa berkata; ""Ini merupakan hadits hasan dan diamalkan oleh para ulama, bahwa seseorang yang memiliki bekal dan kendaraan, maka wajib baginya untuk melaksanakan haji. Ibrahim ialah Ibnu Yazid Al Khuzi Al Makki, sebagian ulama memperbincangkannya dari segi hapalannya.""","حَدَّثَنَا يُوسُفُ بْنُ عِيسَى حَدَّثَنَا وَكِيعٌ حَدَّثَنَا إِبْرَاهِيمُ بْنُ يَزِيدَ عَنْ مُحَمَّدِ بْنِ عَبَّادِ بْنِ جَعْفَرٍ عَنْ ابْنِ عُمَرَ قَالَ
جَاءَ رَجُلٌ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ يَا رَسُولَ اللَّهِ مَا يُوجِبُ الْحَجَّ قَالَ الزَّادُ وَالرَّاحِلَةُ
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ حَسَنٌ وَالْعَمَلُ عَلَيْهِ عِنْدَ أَهْلِ الْعِلْمِ أَنَّ الرَّجُلَ إِذَا مَلَكَ زَادًا وَرَاحِلَةً وَجَبَ عَلَيْهِ الْحَجُّ وَإِبْرَاهِيمُ هُوَ ابْنُ يَزِيدَ الْخُوزِيُّ الْمَكِّيُّ وَقَدْ تَكَلَّمَ فِيهِ بَعْضُ أَهْلِ الْعِلْمِ مِنْ قِبَلِ حِفْظِهِ",13
743,6,"Telah menceritakan kepada kami [Abdullah bin Abu Ziyad Al Kufi] telah menceritakan kepada kami [Zaid bin Hubab] dari [Sufyan] dari [Ja'far bin Muhammad] dari [Ayahnya] dari [Jabir bin Abdullah] bahwa Nabi shallallahu 'alaihi wasallam telah melaksanakan haji sebanyak tiga kali; dua kali beliau lakukan sebelum hijrah dan satu kali setelah hijrah beserta umrah dengan membawa enam puluh tiga ekor badanah (unta). Lalu Ali tiba dari Yaman dengan membawa sisanya, di antaranya terdapat unta Abu Jahal pada hidungnya terdapat lingkaran dari perak. Kemudian Rasulullah shallallahu 'alaihi wasallam menyembelihnya. Beliau juga memerintahkan (untuk mengambil) sebagian dari tiap-tiap unta untuk dimasak. Lalu beliau meminum kuahnya. Abu 'Isa berkata; ""Ini merupakan hadits gharib dari hadits Sufyan, yang tidak kami ketahui kecuali dari hadits Zaid bin Hubab. Saya melihat [Abdullah bin Abdurrahman] meriwayatkan hadits ini dalam buku-bukunya, dari [Abdullah bin Abu Ziyad]. (Abu Isa At Tirmidzi) berkata; ""Saya bertanya kepada [Muhammad] tentang hadits ini, namun dia tidak mengetahuinya dari hadits Ats Tsauri dari Ja'far dari ayahnya dari Jabir dari Nabi shallallahu 'alaihi wasallam.Saya melihat (Muhammad) tidak memasukannya dalam hadits yang mahfuzh, dia berkata; 'Akan tetapi diriwayatkan dari [Ats Tsauri] dari [Abu Ishaq] dari [Mujahid] secara mursal'.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ أَبِي زِيَادٍ الْكُوفِيُّ حَدَّثَنَا زَيْدُ بْنُ حُبَابٍ عَنْ سُفْيَانَ عَنْ جَعْفَرِ بْنِ مُحَمَّدٍ عَنْ أَبِيهِ عَنْ جَابِرِ بْنِ عَبْدِ اللَّهِ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ حَجَّ ثَلَاثَ حِجَجٍ حَجَّتَيْنِ قَبْلَ أَنْ يُهَاجِرَ وَحَجَّةً بَعْدَ مَا هَاجَرَ وَمَعَهَا عُمْرَةٌ فَسَاقَ ثَلَاثَةً وَسِتِّينَ بَدَنَةً وَجَاءَ عَلِيٌّ مِنْ الْيَمَنِ بِبَقِيَّتِهَا فِيهَا جَمَلٌ لِأَبِي جَهْلٍ فِي أَنْفِهِ بُرَةٌ مِنْ فِضَّةٍ فَنَحَرَهَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَمَرَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِنْ كُلِّ بَدَنَةٍ بِبَضْعَةٍ فَطُبِخَتْ وَشَرِبَ مِنْ مَرَقِهَا
قَالَ أَبُو عِيسَى هَذَا حَدِيثٌ غَرِيبٌ مِنْ حَدِيثِ سُفْيَانَ لَا نَعْرِفُهُ إِلَّا مِنْ حَدِيثِ زَيْدِ بْنِ حُبَابٍ وَرَأَيْتُ عَبْدَ اللَّهِ بْنَ عَبْدِ الرَّحْمَنِ رَوَى هَذَا الْحَدِيثَ فِي كُتُبِهِ عَنْ عَبْدِ اللَّهِ بْنِ أَبِي زِيَادٍ قَالَ وَسَأَلْتُ مُحَمَّدًا عَنْ هَذَا فَلَمْ يَعْرِفْهُ مِنْ حَدِيثِ الثَّوْرِيِّ عَنْ جَعْفَرٍ عَنْ أَبِيهِ عَنْ جَابِرٍ عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَرَأَيْتُهُ لَمْ يَعُدَّ هَذَا الْحَدِيثَ مَحْفُوظًا و قَالَ إِنَّمَا يُرْوَى عَنْ الثَّوْرِيِّ عَنْ أَبِي إِسْحَقَ عَنْ مُجَاهِدٍ مُرْسَلًا",13
745,6,"Telah menceritakan kepada kami [Qutaibah] telah menceritakan kepada kami [Daud bin Abdurrahman Al 'Athar] dari [Amru bin Dinar] dari [Ikrimah] dari [Ibnu Abbas] berkata; bahwa Rasulullah shallallahu 'alaihi wasallam berumrah sebanyak empat kali; Umrah Hudaibiyah dan umrah kedua setelahnya, umrah qadla pada bulan Dzul Qa'dah, umrah ketiga yaitu umrah ji'ronah, dan yang keempat yaitu umrah bersama haji. (Abu Isa At Tirmidzi) berkata; ""Hadits semakna diriwayatkan dari Anas, Abdullah bin Amr dan Ibnu Umar."" Abu 'Isa berkata; ""Hadits Ibnu Abbas merupakan hadits hasan gharib. [Ibnu 'Uyainah] meriwayatkan hadits ini dari [Amr bin Dinar] dari [Ikrimah] bahwa Nabi shallallahu 'alaihi wasallam melakukan umrah sebanyak empat kali, namun tidak menyebutkan di dalamnya dari Ibnu Abbas."" (Abu Isa At Tirmidzi) berkata; ""Telah menceritakan kepada kami [Sa'id bin Abdurrahman Al Makhzumi] telah menceritakan kepada kami [Sufyan bin'Uyainah] dari [Amr bin Dinar] dari [Ikrimah] bahwa Nabi shallallahu 'alaihi wasallam, lalu menuturkan seperti hadits di atas.""","حَدَّثَنَا قُتَيْبَةُ حَدَّثَنَا دَاوُدُ بْنُ عَبْدِ الرَّحْمَنِ الْعَطَّارُ عَنْ عَمْرِو بْنِ دِينَارٍ عَنْ عِكْرِمَةَ عَنْ ابْنِ عَبَّاسٍ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ اعْتَمَرَ أَرْبَعَ عُمَرٍ عُمْرَةَ الْحُدَيْبِيَةِ وَعُمْرَةَ الثَّانِيَةِ مِنْ قَابِلٍ وَعُمْرَةَ الْقَضَاءِ فِي ذِي الْقَعْدَةِ وَعُمْرَةَ الثَّالِثَةِ مِنْ الْجِعِرَّانَةِ وَالرَّابِعَةِ الَّتِي مَعَ حَجَّتِهِ
قَالَ وَفِي الْبَاب عَنْ أَنَسٍ وَعَبْدِ اللَّهِ بْنِ عَمْرٍو وَابْنِ عُمَرَ قَالَ أَبُو عِيسَى حَدِيثُ ابْنِ عَبَّاسٍ حَدِيثٌ حَسَنٌ غَرِيبٌ وَرَوَى ابْنُ عُيَيْنَةَ هَذَا الْحَدِيثَ عَنْ عَمْرِو بْنِ دِينَارٍ عَنْ عِكْرِمَةَ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ اعْتَمَرَ أَرْبَعَ عُمَرٍ وَلَمْ يَذْكُرْ فِيهِ عَنْ ابْنِ عَبَّاسٍ قَالَ حَدَّثَنَا بِذَلِكَ سَعِيدُ بْنُ عَبْدِ الرَّحْمَنِ الْمَخْزُومِيُّ حَدَّثَنَا سُفْيَانُ بْنُ عُيَيْنَةَ عَنْ عَمْرِو بْنِ دِينَارٍ عَنْ عِكْرِمَةَ أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَذَكَرَ نَحْوَهُ",13
747,6,"Telah menceritakan kepada kami [Qutaibah bin Sa'id] telah menceritakan kepada kami [Hatim bin Isma'il] dari [Musa bin 'Uqbah] dari [Salim bin Abdullah bin 'Umar] dari [Ibnu Umar] berkata; ""Al Baida` adalah tempat yang mereka dustakan atas Rasulullah shallallahu 'alaihi wasallam. Demi Allah, Rasulullah shallallahu 'alaihi wasallamtidak berihramkecuali dari dekat Masjid, dari dekat pohon."" Abu 'Isa berkata; ""Ini merupakan hadits hasan shahih.""","حَدَّثَنَا قُتَيْبَةُ بْنُ سَعِيدٍ حَدَّثَنَا حَاتِمُ بْنُ إِسْمَعِيلَ عَنْ مُوسَى بْنِ عُقْبَةَ عَنْ سَالِمِ بْنِ عَبْدِ اللَّهِ بْنِ عُمَرَ عَنْ ابْنِ عُمَرَ قَالَ
الْبَيْدَاءُ الَّتِي يَكْذِبُونَ فِيهَا عَلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَاللَّهِ مَا أَهَلَّ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِلَّا مِنْ عِنْدِ الْمَسْجِدِ مِنْ عِنْدِ الشَّجَرَةِ
قَالَ هَذَا حَدِيثٌ حَسَنٌ صَحِيحٌ",13
750,6,"Diriwayatkan dari Ibnu Umar bahwa Nabi shallallahu 'alaihi wasallam melakukan haji Ifrod, demikian juga Abu Bakr, Umar dan Utsman. Telah menceritakan kepada kami, dengan hadits itu [Qutaibah] telah menceritakan kepada kami [Abdullah bin Nafi' Al Sha`igh] dari [Abdullah bin Umar] dari [Nafi'] dari [Ibnu Umar] dengan hadits ini. Abu 'Isa berkata; ""Ats Tsauri berkata; 'Jika kamu berhaji secara ifrod, itu baik. Jika berhaji secara qiron juga baik. Demikian juga, jika kamu berhaji secara tamattu'. Syafi'i berkata demikian. Dia berpendapat; 'Yang paling kami sukai ialah ifrod, setelah itu tamattu' lalu qiron'.""","وَرُوِي عَنْ ابْنِ عُمَرَ
أَنَّ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَفْرَدَ الْحَجَّ
وَأَفْرَدَ أَبُو بَكْرٍ وَعُمَرُ وَعُثْمَانُ حَدَّثَنَا بِذَلِكَ قُتَيْبَةُ حَدَّثَنَا عَبْدُ اللَّهِ بْنُ نَافِعٍ الصَّائِغُ عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ بِهَذَا قَالَ أَبُو عِيسَى و قَالَ الثَّوْرِيُّ إِنْ أَفْرَدْتَ الْحَجَّ فَحَسَنٌ وَإِنْ قَرَنْتَ فَحَسَنٌ وَإِنْ تَمَتَّعْتَ فَحَسَنٌ و قَالَ الشَّافِعِيُّ مِثْلَهُ وَقَالَ أَحَبُّ إِلَيْنَا الْإِفْرَادُ ثُمَّ التَّمَتُّعُ ثُمَّ الْقِرَانُ",13
