haditsId,kitabId,indo,arab,label
325,1,"Telah menceritakan kepada kami [Ahmad bin Shalih] telah menceritakan kepada kami [Abdullah bin Wahb] telah mengabarkan kepadaku [Yunus] dari [Ibnu Syihab] telah menceritakan kepadaku [Hamzah bin Abdullah bin Umar] dia berkata; [Ibnu Umar] berkata; Saya pernah bermalam di masjid pada masa Rasulullah shallallahu 'alaihi wasallam, ketika itu saya masih muda belia dan bujangan. Sementara anjing-anjing kencing mondar mandir dalam masjid. Dan mereka (para sahabat) tidak ada yang memercikkan air sedikit pun terhadapnya. ","حَدَّثَنَا أَحْمَدُ بْنُ صَالِحٍ حَدَّثَنَا عَبْدُ اللَّهِ بْنُ وَهْبٍ أَخْبَرَنِي يُونُسُ عَنْ ابْنِ شِهَابٍ حَدَّثَنِي حَمْزَةُ بْنُ عَبْدِ اللَّهِ بْنِ عُمَرَ قَالَ قَالَ ابْنُ عُمَرَ
كُنْتُ أَبِيتُ فِي الْمَسْجِدِ فِي عَهْدِ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَكُنْتُ فَتًى شَابًّا عَزَبًا وَكَانَتْ الْكِلَابُ تَبُولُ وَتُقْبِلُ وَتُدْبِرُ فِي الْمَسْجِدِ فَلَمْ يَكُونُوا يَرُشُّونَ شَيْئًا مِنْ ذَلِكَ",42
571,2,"Telah menceritakan kepada kami [Muslim bin Ibrahim] telah menceritakan kepada kami [Aban] dari [Qatadah] dari [Anas bin Malik] dari Rasulullah shallallahu 'alaihi wasallam, beliau bersabda: ""Rapatkan shaf shaf kalian, dekatkanlah jarak antara keduanya, dan sejajarkanlah antara leher-leher. Demi Dzat yang jiwaku berada di TanganNya, sesungguhnya saya melihat setan masuk ke dalam celah celah shaf itu, tak ubahnya bagai anak kambing kecil.""","حَدَّثَنَا مُسْلِمُ بْنُ إِبْرَاهِيمَ حَدَّثَنَا أَبَانُ عَنْ قَتَادَةَ عَنْ أَنَسِ بْنِ مَالِكٍ
عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ رُصُّوا صُفُوفَكُمْ وَقَارِبُوا بَيْنَهَا وَحَاذُوا بِالْأَعْنَاقِ فَوَالَّذِي نَفْسِي بِيَدِهِ إِنِّي لَأَرَى الشَّيْطَانَ يَدْخُلُ مِنْ خَلَلِ الصَّفِّ كَأَنَّهَا الْحَذَفُ",42
1443,3,"Telah menceritakan kepada Kami [Ahmad bin Shalih] dan [Ya'qub bin Ka'bin], dan ini adalah haditsnya, mereka berkata; telah menceritakan kepada Kami [Ibnu Wahb], ia berkata; telah mengabarkan kepadaku [Yunus] dari [Az Zuhri] dari [Anas], ia berkata; Rasulullah shallAllahu wa'alaihi wa sallam bersabda: ""Barang siapa yang ingin dilapangkan rizqinya dan dipanjangkan umurnya maka hendaknya ia menyambung kekerabatan.""","حَدَّثَنَا أَحْمَدُ بْنُ صَالِحٌ وَيَعْقُوبُ بْنُ كَعْبٍ وَهَذَا حَدِيثُهُ قَالَا حَدَّثَنَا ابْنُ وَهْبٍ قَالَ أَخْبَرَنِي يُونُسُ عَنْ الزُّهْرِيِّ عَنْ أَنَسٍ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ سَرَّهُ أَنْ يُبْسَطَ عَلَيْهِ فِي رِزْقِهِ وَيُنْسَأَ فِي أَثَرِهِ فَلْيَصِلْ رَحِمَهُ",42
1512,5,"Telah menceritakan kepada Kami [Muhammad bin Basysyar], telah menceritakan kepada Kami [Wahb yaitu Ibnu Jarir], ia berkata; telah menceritakan kepada Kami [ayahku], ia berkata; saya mendengar [Muhammad bin Ishaq] menceritakan dari [Abu Az Zinad] dari [Aisyah binti Sa'd bin Abu Waqqash], ia berkata; [Sa'd bin Abu Waqqash] berkata; Nabi Shalla Allahu 'alaihi wa sallam apabila melewati jalan Al Fur' beliau bertalbiyah apabila kendaraannya sudah berada pada tempat yang tinggi, dan apabilla melewati jalan Uhud beliau bertalbiyah apabila sudah naik di atas gunung Baida`. ","حَدَّثَنَا مُحَمَّدُ بْنُ بَشَّارٍ حَدَّثَنَا وَهْبٌ يَعْنِي ابْنَ جَرِيرٍ قَالَ حَدَّثَنَا أَبِي قَالَ سَمِعْتُ مُحَمَّدَ بْنَ إِسْحَقَ يُحَدِّثُ عَنْ أَبِي الزِّنَادِ عَنْ عَائِشَةَ بِنْتِ سَعْدِ بْنِ أَبِي وَقَّاصٍ قَالَتْ قَالَ سَعْدُ بْنُ أَبِي وَقَّاصٍ
كَانَ نَبِيُّ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِذَا أَخَذَ طَرِيقَ الْفُرْعِ أَهَلَّ إِذَا اسْتَقَلَّتْ بِهِ رَاحِلَتُهُ وَإِذَا أَخَذَ طَرِيقَ أُحُدٍ أَهَلَّ إِذَا أَشْرَفَ عَلَى جَبَلِ الْبَيْدَاءِ",42
1719,5,"Telah menceritakan kepada kami [Ahmad bin Hanbal], telah menceritakan kepada kami [Abdurrazzaq], telah mengabarkan kepada kami [Ma'mar] dari [Az Zuhri] dari [Ali bin Husain] dari ['Amr bin Utsman], dari [Usamah bin Zaid], ia berkata; aku katakan pada saat beliau melakukan haji; wahai Rasulullah, dimana engaku besok akan singgah? Beliau bertanya: ""Apakah 'Aqil (ibnu Abi Thalib) meninggalkan tempat singgah untuk kita?"" kemudian beliau bersabda: ""Kita akan singgah di lembah (padang) Bani Kinanah yang bernama Al Muhashshab, di tempat itulah orang-orang Quraisy saling bersumpah di atas kekafiran. Yang terjadi adalah bahwa Bani Kinanah bersumpah kepada orang-orang Quraisy atas Bani Hasyim bahwa mereka tidak akan menikahkan mereka, tidak berjual beli dengan mereka, serta tidak melindungi mereka."" Az Zuhri berkata; Khaif adalah sebuah bukit. Telah menceritakan kepada kami [Mahmud bin Khalid], telah menceritakan kepada kami [Umar], telah menceritakan kepada kami [Abu 'Amr yaitu Al Auza'i] dari [Az Zuhri] dari [Abu Salamah] dari [Abu Hurairah] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda ketika hendak kembali dari Mina: ""Kita akan singgah besok…."" Kemudian ia menyebutkan permulaannya dan tidak menyebutkan Lembah Khaif. ","حَدَّثَنَا أَحْمَدُ بْنُ حَنْبَلٍ حَدَّثَنَا عَبْدُ الرَّزَّاقِ أَخْبَرَنَا مَعْمَرٌ عَنْ الزُّهْرِيِّ عَنْ عَلِيِّ بْنِ حُسَيْنٍ عَنْ عَمْرِو بْنِ عُثْمَانَ عَنْ أُسَامَةَ بْنِ زَيْدٍ قَالَ
قُلْتُ يَا رَسُولَ اللَّهِ أَيْنَ تَنْزِلُ غَدًا فِي حَجَّتِهِ قَالَ هَلْ تَرَكَ لَنَا عَقِيْلٌ مَنْزِلًا ثُمَّ قَالَ نَحْنُ نَازِلُونَ بِخَيْفِ بَنِي كِنَانَةَ حَيْثُ قَاسَمَتْ قُرَيْشٌ عَلَى الْكُفْرِ يَعْنِي الْمُحَصَّبَ
وَذَلِكَ أَنْ بَنِي كِنَانَةَ حَالَفَتْ قُرَيْشًا عَلَى بَنِي هَاشِمٍ أَنْ لَا يُنَاكِحُوهُمْ وَلَا يُبَايِعُوهُمْ وَلَا يُؤْوُوهُمْ قَالَ الزُّهْرِيُّ وَالْخَيْفُ الْوَادِي حَدَّثَنَا مَحْمُودُ بْنُ خَالِدٍ حَدَّثَنَا عُمَرُ حَدَّثَنَا أَبُو عَمْرٍو يَعْنِي الْأَوْزَاعِيَّ عَنْ الزُّهْرِيِّ عَنْ أَبِي سَلَمَةَ عَنْ أَبِي هُرَيْرَةَ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ حِينَ أَرَادَ أَنْ يَنْفِرَ مِنْ مِنًى نَحْنُ نَازِلُونَ غَدًا فَذَكَرَ نَحْوَهُ وَلَمْ يَذْكُرْ أَوَّلَهُ وَلَا ذَكَرَ الْخَيْفَ الْوَادِي",42
1881,7,"Telah menceritakan kepada kami [Ahmad bin Shalih], telah menceritakan kepada kami [Abdurrazzaq], telah mengabarkan kepada kami [Ibnu Juraij], telah mengabarkan kepadaku [Ibnu Thawus], dari [ayahnya] bahwa Abu Ash Shahba` berkata kepada Ibnu Abbas; apakah engkau mengetahui bahwa tiga kali cerai dianggap satu kali pada zaman Nabi shallallahu 'alaihi wasallam, Abu Bakr, dan dihitung tiga kali pada kepemimpinan Umar. [Ibnu Abbas] berkata; ya. ","حَدَّثَنَا أَحْمَدُ بْنُ صَالِحٍ حَدَّثَنَا عَبْدُ الرَّزَّاقِ أَخْبَرَنَا ابْنُ جُرَيْجٍ أَخْبَرَنِي ابْنُ طَاوُسٍ عَنْ أَبِيهِ
أَنَّ أَبَا الصَّهْبَاءِ قَالَ لِابْنِ عَبَّاسٍ أَتَعْلَمُ أَنَّمَا كَانَتْ الثَّلَاثُ تُجْعَلُ وَاحِدَةً عَلَى عَهْدِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَأَبِي بَكْرٍ وَثَلَاثًا مِنْ إِمَارَةِ عُمَرَ قَالَ ابْنُ عَبَّاسٍ نَعَمْ",42
2124,9,"Telah menceritakan kepada kami [Haiwah bin Syuraih Al Hadhrami], telah menceritakan kepada kami [Baqiyyah], telah menceritakan kepadaku [Bahir], dari [Khalid] yaitu Ibnu Ma'dan dari [Ibnu Abu Qutailah] dari [Ibnu Hawalah], ia berkata; Rasulullah shallallahu 'alaihi wasallam bersabda: ""Keadaannya sampai kalian menjadi tentara-tentara yang terpisah-pisah, pasukan di Syam, pasukan di Yaman, dan pasukan di Irak."" Ibnu Hawalah berkata; pilihkan (tempat terbaik) untukku wahai Rasulullah apabila aku mendapati hal tersebut! Beliau berkata: ""Hendaknya kalian menetap di Syam karena sesungguhnya Syam adalah bumi Allah yang paling terpilih, Allah memilih hamba-hamba pilihannya menuju kepadanya. Adapun jika kalian menolak maka hendaknya kalian menetap di Yaman, dan minumlah dari telaganya, karena sesungguhnya Allah telah menjamin untukku Negeri Syam dan penduduknya.""","حَدَّثَنَا حَيْوَةُ بْنُ شُرَيْحٍ الْحَضْرَمِيُّ حَدَّثَنَا بَقِيَّةُ حَدَّثَنِي بَحِيرٌ عَنْ خَالِدٍ يَعْنِي ابْنَ مَعْدَانَ عَنْ ابْنِ أَبِي قُتَيْلَةَ عَنْ ابْنِ حَوَالَةَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَيَصِيرُ الْأَمْرُ إِلَى أَنْ تَكُونُوا جُنُودًا مُجَنَّدَةً جُنْدٌ بِالشَّامِ وَجُنْدٌ بِالْيَمَنِ وَجُنْدٌ بِالْعِرَاقِ قَالَ ابْنُ حَوَالَةَ خِرْ لِي يَا رَسُولَ اللَّهِ إِنْ أَدْرَكْتُ ذَلِكَ فَقَالَ عَلَيْكَ بِالشَّامِ فَإِنَّهَا خِيرَةُ اللَّهِ مِنْ أَرْضِهِ يَجْتَبِي إِلَيْهَا خِيرَتَهُ مِنْ عِبَادِهِ فَأَمَّا إِنْ أَبَيْتُمْ فَعَلَيْكُمْ بِيَمَنِكُمْ وَاسْقُوا مِنْ غُدُرِكُمْ فَإِنَّ اللَّهَ تَوَكَّلَ لِي بِالشَّامِ وَأَهْلِهِ",42
2278,9,"Telah menceritakan kepada kami ['Amr bin 'Aun], telah mengabarkan kepada kami [Husyaim], dan [Khalid], dari [Isma'il], dari [Qais bin Abu Hazim], dari [Khabbab], ia berkata; kami datang kepada Rasulullah shallallahu 'alaihi wasallam sementara beliau berbantalkan burdah di bawah naungan Ka'bah, kami mengeluhkan kepada beliau, kami katakan; tidakkah anda memintakan kemenangan untuk kami? Tidakkah engkau berdoa kepada Allah untuk kami? Kemudian beliau duduk dalam keadaan memerah wajahnya, lalu berkata: ""Sungguh orang-orang sebelum kalian diantara mereka ada yang dikubur di tanah kemudian didatangkan gergaji kemudian diletakkan di atas kepalanya dan ia dibelah menjadi dua bagian, hal tersebut tidaklah membuatnya berpaling dari agamanya, dan ada yang disisir daging dan sarafnya menggukan sisir besi mendekati tulangnya, tidaklah hal tersebut menjadikannya berpaling dari agamanya. Demi Allah, sungguh Allah akan menyempurnakan perkara ini hingga orang yang berkendaraan berjalan antara Shan'a` dan Hadhramut dalam keadaan tidak takut kecuali kepada Allah ta'ala serta serigala yang akan memangsa dombanya, akan tetapi kalian tergesa-gesa.""","حَدَّثَنَا عَمْرُو بْنُ عَوْنٍ أَخْبَرَنَا هُشَيْمٌ وَخَالِدٌ عَنْ إِسْمَعِيلَ عَنْ قَيْسِ بْنِ أَبِي حَازِمٍ عَنْ خَبَّابٍ قَالَ
أَتَيْنَا رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَهُوَ مُتَوَسِّدٌ بُرْدَةً فِي ظِلِّ الْكَعْبَةِ فَشَكَوْنَا إِلَيْهِ فَقُلْنَا أَلَا تَسْتَنْصِرُ لَنَا أَلَا تَدْعُو اللَّهَ لَنَا فَجَلَسَ مُحْمَرًّا وَجْهُهُ فَقَالَ قَدْ كَانَ مَنْ قَبْلَكُمْ يُؤْخَذُ الرَّجُلُ فَيُحْفَرُ لَهُ فِي الْأَرْضِ ثُمَّ يُؤْتَى بِالْمِنْشَارِ فَيُجْعَلُ عَلَى رَأْسِهِ فَيُجْعَلُ فِرْقَتَيْنِ مَا يَصْرِفُهُ ذَلِكَ عَنْ دِينِهِ وَيُمْشَطُ بِأَمْشَاطِ الْحَدِيدِ مَا دُونَ عَظْمِهِ مِنْ لَحْمٍ وَعَصَبٍ مَا يَصْرِفُهُ ذَلِكَ عَنْ دِينِهِ وَاللَّهِ لَيُتِمَّنَّ اللَّهُ هَذَا الْأَمْرَ حَتَّى يَسِيرَ الرَّاكِبُ مَا بَيْنَ صَنْعَاءَ وَحَضْرَمُوتَ مَا يَخَافُ إِلَّا اللَّهَ تَعَالَى وَالذِّئْبَ عَلَى غَنَمِهِ وَلَكِنَّكُمْ تَعْجَلُونَ",42
2307,9,"Telah menceritakan kepada kami [Muhammad bin Umar bin Ali Al Muqaddami], ia berkata; telah menceritakan kepada kami [Asy'ats bin Abdullah As Sijistani], dan telah diriwayatkan dari jalur yang lain: Telah menceritakan kepada kami [Ibnu Basysyar], ia berkata; telah menceritakan kepada kami [Ibnu Abu Adi], dan ini adalah lafazhnya. Dan telah diriwayatkan dari jalur yang lain: Telah menceritakan kepada kami [Al Hasan bin Ali], ia berkata; telah menceritakan kepada kami [Wahb bin Jarir], dari [Syu'bah] dari [Abu Bisyr] dari [Sa'id? bin Jubair] dari [Ibnu Abbas], ia berkata; terdapat seorang wanita yang tidak memiliki anak karena terus meninggal, kemudian ia bersumpah atas dirinya bahwa apabila ia memiliki anak yang hidup maka ia akan menjadikannya seorang Yahudi. Kemudian tatkala Bani Nadhir diusir, diantara mereka terdapat anak-anak orang anshar, kemudian mereka mengatakan; kita tidak akan meninggalkan anak-anak kita. Kemudian Allah menurunkan ayat: ""Tidak ada paksaan untuk (memasuki) agama (Islam); sesungguhnya telah jelas jalan yang benar daripada jalan yang sesat."" Abu Daud berkata; Miqlat adalah wanita yang tidak memiliki anak yang hidup. ","حَدَّثَنَا مُحَمَّدُ بْنُ عُمَرَ بْنِ عَلِيٍّ الْمُقَدَّمِيُّ قَالَ حَدَّثَنَا أَشْعَثُ بْنُ عَبْدِ اللَّهِ يَعْنِي السِّجِسْتَانِيَّ ح و حَدَّثَنَا ابْنُ بَشَّارٍ قَالَ حَدَّثَنَا ابْنُ أَبِي عَدِيٍّ وَهَذَا لَفْظُهُ ح و حَدَّثَنَا الْحَسَنُ بْنُ عَلِيٍّ قَالَ حَدَّثَنَا وَهْبُ بْنُ جَرِيرٍ عَنْ شُعْبَةَ عَنْ أَبِي بِشْرٍ عَنْ سَعِيدِ بْنِ جُبَيْرٍ عَنْ ابْنِ عَبَّاسٍ قَالَ
كَانَتْ الْمَرْأَةُ تَكُونُ مِقْلَاتًا فَتَجْعَلُ عَلَى نَفْسِهَا إِنْ عَاشَ لَهَا وَلَدٌ أَنْ تُهَوِّدَهُ فَلَمَّا أُجْلِيَتْ بَنُو النَّضِيرِ كَانَ فِيهِمْ مِنْ أَبْنَاءِ الْأَنْصَارِ فَقَالُوا لَا نَدَعُ أَبْنَاءَنَا فَأَنْزَلَ اللَّهُ عَزَّ وَجَلَّ
{ لَا إِكْرَاهَ فِي الدِّينِ قَدْ تَبَيَّنَ الرُّشْدُ مِنْ الْغَيِّ }
قَالَ أَبُو دَاوُد الْمِقْلَاتُ الَّتِي لَا يَعِيشُ لَهَا وَلَدٌ",42
2559,14,"Telah menceritakan kepada kami [Sulaiman bin Abdurrahman Ad Dimasyqi], telah menceritakan kepada kami [Yahya bin Hamzah], telah menceritakan kepadaku [Ibnu Abu Maryam] bahwa [Al Qasim bin Mukhaimirah] telah mengabarkan kepadanya bahwa [Abu Maryam Al Azdi] telah mengabarkan kepadanya; ia berkata; aku menemui Mu'awiyah, kemudian ia berkata; -kenikmatan apakah yang diberikan kepada kami melaluimu wahai Abu Fulan? Hal itu merupakan perkataan yang biasa diucapkan orang-orang Arab-. Kemudian aku katakan; sebuah hadits yang aku dengar, aku akan mengabarkannya kepadamu, aku telah mendengar Rasulullah shallallahu 'alaihi wasallam berkata: ""Barangsiapa yang Allah 'azza wajalla serahkan kepadanya sebagian urusan orang muslim kemudian ia menutup diri dari melayani kebutuhan mereka dan keperluan mereka, maka Allah menutup diri darinya dan tidak melayani kebutuhannya, serta keperluannya."" Abu Maryam berkata; kemudian Mu'awiyah menjadikan seseorang untuk mengurusi kebutuhan-kebutuhan manusia. ","حَدَّثَنَا سُلَيْمَانُ بْنُ عَبْدِ الرَّحْمَنِ الدِّمَشْقِيُّ حَدَّثَنَا يَحْيَى بْنُ حَمْزَةَ حَدَّثَنِي ابْنُ أَبِي مَرْيَمَ أَنَّ الْقَاسِمَ بْنَ مُخَيْمِرَةَ أَخْبَرَهُ أَنَّ أَبَا مَرْيَمَ الْأَزْدِيَّ أَخْبَرَهُ قَالَ
دَخَلْتُ عَلَى مُعَاوِيَةَ فَقَالَ مَا أَنْعَمَنَا بِكَ أَبَا فُلَانٍ وَهِيَ كَلِمَةٌ تَقُولُهَا الْعَرَبُ فَقُلْتُ حَدِيثًا سَمِعْتُهُ أُخْبِرُكَ بِهِ سَمِعْتُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقُولُ مَنْ وَلَّاهُ اللَّهُ عَزَّ وَجَلَّ شَيْئًا مِنْ أَمْرِ الْمُسْلِمِينَ فَاحْتَجَبَ دُونَ حَاجَتِهِمْ وَخَلَّتِهِمْ وَفَقْرِهِمْ احْتَجَبَ اللَّهُ عَنْهُ دُونَ حَاجَتِهِ وَخَلَّتِهِ وَفَقْرِهِ
قَالَ فَجَعَلَ رَجُلًا عَلَى حَوَائِجِ النَّاسِ",42
