haditsId,kitabId,indo,arab
4596,46,"Telah menceritakan kepada kami [Ubaidullah bin Musa] dari [Syaiban] dari [Yahya] dari [Abu Salamah] ia berkata; Telah mengabarkan kepadaku [Aisyah] dan [Ibnu Abbas] radliallahu 'anhum, keduanya berkata; Nabi shallallahu 'alaihi wasallam berdiam diri di Makkah selama sepuluh tahun, dan Al Qur`an diturunkan kepada beliau. Sementara di Madinah adalah juga sepuluh tahun.","حَدَّثَنَا عُبَيْدُ اللَّهِ بْنُ مُوسَى عَنْ شَيْبَانَ عَنْ يَحْيَى عَنْ أَبِي سَلَمَةَ قَالَ أَخْبَرَتْنِي عَائِشَةُ وَابْنُ عَبَّاسٍ رَضِيَ اللَّهُ عَنْهُمْ قَالَا
لَبِثَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِمَكَّةَ عَشْرَ سِنِينَ يُنْزَلُ عَلَيْهِ الْقُرْآنُ وَبِالْمَدِينَةِ عَشْرَ سِنِينَ"
4597,46,"Telah menceritakan kepada kami [Musa bin Isma'il] Telah menceritakan kepada kami [Mu'tamir] ia berkata; Aku mendengar [bapakku] dari [Abu Utsman] ia berkata; Telah diberitakan kepadaku, bahwa Jibril mendatangi Nabi shallallahu 'alaihi wasallam, sementara di sisi beliau ada Ummu Salamah. Maka Jibril pun berbincang-bincang. Kemudian Nabi shallallahu 'alaihi wasallam bertanya kepada Ummu Salamah: ""Siapakah ini?"" Ia menjawab, ""Ini adalah Dihyah."" Setelah beranjak, Ummu Salamah berkata, ""Demi Allah, tidaklah aku menduganya bahwa ia adalah Jibril, hingga aku mendengar Khuthbah Nabi shallallahu 'alaihi wasallam yang menyampaikan berita tentang Jibril."" Atau sebagaimana yang dikatakan Abu Utsman. Aku bertanya kepada Abu Utsman, ""Dari mana Anda mendengar hadits ini?"" Ia menjawab, ""Dari [Usamah bin Zaid].""","حَدَّثَنَا مُوسَى بْنُ إِسْمَاعِيلَ حَدَّثَنَا مُعْتَمِرٌ قَالَ سَمِعْتُ أَبِي عَنْ أَبِي عُثْمَانَ قَالَ أُنْبِئْتُ
أَنَّ جِبْرِيلَ أَتَى النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَعِنْدَهُ أُمُّ سَلَمَةَ فَجَعَلَ يَتَحَدَّثُ فَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لِأُمِّ سَلَمَةَ مَنْ هَذَا أَوْ كَمَا قَالَ قَالَتْ هَذَا دِحْيَةُ فَلَمَّا قَامَ قَالَتْ وَاللَّهِ مَا حَسِبْتُهُ إِلَّا إِيَّاهُ حَتَّى سَمِعْتُ خُطْبَةَ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يُخْبِرُ خَبَرَ جِبْرِيلَ أَوْ كَمَا قَالَ قَالَ أَبِي قُلْتُ لِأَبِي عُثْمَانَ مِمَّنْ سَمِعْتَ هَذَا قَالَ مِنْ أُسَامَةَ بْنِ زَيْدٍ"
4598,46,"Telah menceritakan kepada kami [Abdullah bin Yusuf] Telah menceritakan kepada kami [Al Laits] Telah menceritakan kepada kami [Sa'id Al Maqburi] dari [bapaknya] dari [Abu Hurairah] radliallahu 'anhu, ia berkata; Nabi shallallahu 'alaihi wasallam bersabda: ""Tidak ada seorang Nabi pun kecuali telah diberi keistimewaan-keistimewaan khusus yang tidak diberikan kepada manusia lainnya sehingga orang-orang beriman padanya. Dan ada pun yang diberikan padaku adalah wahyu yang Allah turunkan kepadaku. Maka aku berharap, bahwa adalah Nabi yang paling banyak pengikutnya pada hari kiamat.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ يُوسُفَ حَدَّثَنَا اللَّيْثُ حَدَّثَنَا سَعِيدٌ الْمَقْبُرِيُّ عَنْ أَبِيهِ عَنْ أَبِي هُرَيْرَةَ قَالَ
قَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَا مِنْ الْأَنْبِيَاءِ نَبِيٌّ إِلَّا أُعْطِيَ مَا مِثْلهُ آمَنَ عَلَيْهِ الْبَشَرُ وَإِنَّمَا كَانَ الَّذِي أُوتِيتُ وَحْيًا أَوْحَاهُ اللَّهُ إِلَيَّ فَأَرْجُو أَنْ أَكُونَ أَكْثَرَهُمْ تَابِعًا يَوْمَ الْقِيَامَةِ"
4599,46,"Telah menceritakan kepada kami [Amru bin Muhammad] Telah menceritakan kepada kami [Ya'qub bin Ibrahim] Telah menceritakan kepada kami [bapakku] dari [Shalih bin Kaisan] dari [Ibnu Syihab] ia berkata, Telah mengabarkan kepadaku [Anas bin Malik] radliallahu 'anhu, bahwa Allah telah menurunkan wahyu secara berturut-turut kepada Rasulullah shallallahu 'alaihi wasallam sebelum wafatnya, setelah turunnya wahyu sempurnya, maka wafatlah Rasulullah shallallahu 'alaihi wasallam.","حَدَّثَنَا عَمْرُو بْنُ مُحَمَّدٍ حَدَّثَنَا يَعْقُوبُ بْنُ إِبْرَاهِيمَ حَدَّثَنَا أَبِي عَنْ صَالِحِ بْنِ كَيْسَانَ عَنْ ابْنِ شِهَابٍ قَالَ أَخْبَرَنِي أَنَسُ بْنُ مَالِكٍ رَضِيَ اللَّهُ عَنْهُ
أَنَّ اللَّهَ تَعَالَى تَابَعَ عَلَى رَسُولِهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْوَحْيَ قَبْلَ وَفَاتِهِ حَتَّى تَوَفَّاهُ أَكْثَرَ مَا كَانَ الْوَحْيُ ثُمَّ تُوُفِّيَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بَعْدُ"
4600,46,"Telah menceritakan kepada kami [Abu Nu'aim] Telah menceritakan kepada kami [Sufyan] dari [Al Aswad bin Qais] ia berkata, Aku mendengar [Jundub] berkata; Rasulullah shallallahu 'alaihi wasallam pernah jatuh sakit hingga beliau tidak bisa bangun selama sehari atau dua hari, maka seorang wanita pun datang kepada beliau dan berkata, ""Wahai Muhammad, tidaklah aku melihat syetanmu itu, kecuali ia telah meninggalkanmu."" Maka Allah 'azza wajalla menurunkan ayat: ""WADLDLUHAA WALLAILI IDZAA SAJAA MAA WADDA'AKA RABBUKA WAMAA QALAA (Demi waktu Dluha. Dan demi waktu malam ketika tiba. Sesungguhnya Tuhan-mu tidaklah meninggalkanmu). (QS. Adhdhuha 1-3).","حَدَّثَنَا أَبُو نُعَيْمٍ حَدَّثَنَا سُفْيَانُ عَنْ الْأَسْوَدِ بْنِ قَيْسٍ قَالَ سَمِعْتُ جُنْدَبًا يَقُولُ
اشْتَكَى النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَلَمْ يَقُمْ لَيْلَةً أَوْ لَيْلَتَيْنِ فَأَتَتْهُ امْرَأَةٌ فَقَالَتْ يَا مُحَمَّدُ مَا أُرَى شَيْطَانَكَ إِلَّا قَدْ تَرَكَكَ فَأَنْزَلَ اللَّهُ عَزَّ وَجَلَّ
{ وَالضُّحَى وَاللَّيْلِ إِذَا سَجَى مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَى }"
4601,46,"Telah menceritakan kepada kami [Abu Al Yaman] Telah menceritakan kepada kami [Syu'aib] dari [Az Zuhri] Dan Telah mengabarkan kepadaku [Anas bin Malik] ia berkata; Utsman memerintahkan kepada Zaid bin Tsabit, Sa'id bin Al 'Ash, Abdullah bin Zubair dan Abdurrahman bin Al Harits bin Hisyam untuk menyalin Al Qur`an ke dalam Mushaf (pembukuan Alquran). Dan Utsman berkata pada mereka, ""Jika kalian berselisih dengan Zaid dalam masalah bahasa Arab Al Qur`an, maka tulislah berdasarkan lisannya bangsa Quraisy, sebab Al Qur`an dengan bahasa mereka."" Maka mereka pun melakukannya.","حَدَّثَنَا أَبُو الْيَمَانِ حَدَّثَنَا شُعَيْبٌ عَنْ الزُّهْرِيِّ وَأَخْبَرَنِي أَنَسُ بْنُ مَالِكٍ قَالَ
فَأَمَرَ عُثْمَانُ زَيْدَ بْنَ ثَابِتٍ وَسَعِيدَ بْنَ الْعَاصِ وَعَبْدَ اللَّهِ بْنَ الزُّبَيْرِ وَعَبْدَ الرَّحْمَنِ بْنَ الْحَارِثِ بْنِ هِشَامٍ أَنْ يَنْسَخُوهَا فِي الْمَصَاحِفِ وَقَالَ لَهُمْ إِذَا اخْتَلَفْتُمْ أَنْتُمْ وَزَيْدُ بْنُ ثَابِتٍ فِي عَرَبِيَّةٍ مِنْ عَرَبِيَّةِ الْقُرْآنِ فَاكْتُبُوهَا بِلِسَانِ قُرَيْشٍ فَإِنَّ الْقُرْآنَ أُنْزِلَ بِلِسَانِهِمْ فَفَعَلُوا"
4602,46,"Telah menceritakan kepada kami [Abu Nu'aim] Telah menceritakan kepada kami [Hamam] Telah menceritakan kepada kami ['Atha`] sementara [Musaddad] berkata; Telah menceritakan kepada kami [Yahya bin Sa'id] dari [Ibnu Juraij] ia berkata; Telah mengabarkan kepadaku ['Ahta`] ia berkata; Telah mengabarkan [Shafwan bin Ya'la bin Umayyah] bahwa [Ya'laa] berkata; Duh sekiranya aku dapat melihat gelagat Rasulullah shallallahu 'alaihi wasallam ketika wahyu diturunkan pada beliau. Maka ketika Nabi shallallahu 'alaihi wasallam berada di Ji'ranah, beliau bernaung di bawah kain yang beliau kenakan dan beliau ditemani oleh beberapa orang sahabatnya. Tiba-tiba beliau didatangi oleh seseorang yang telah mengenakan wewangian. Laki-laki itu bertanya, ""Wahai Rasulullah, bagaimakah pendapat Anda terhadap seorang laki-laki yang melakukan ihram dengan mengenakan Jubah setelah melumurinya dengan wewangian."" Sesaat kemudian, datanglah Ya'la, lalu ia pun memasukkan kepalanya, ternyata ia mendapati wajah Rasulullah shallallahu 'alaihi wasallam yang telah memerah. Keadaan itu berlangsung sesaat, lalu kembali seperti semula. Kemudian beliau bertanya: ""Manakah orang yang tadi bertanya kepadaku tentang Umrah?"" Maka laki-laki itu pun dicari dan dihadapkan pada Nabi shallallahu 'alaihi wasallam, maka beliau pun bersabda: ""Mengenai wewangiat yang masih melekat pada tubuhmu, maka cucilah sebanyak tiga kali, sedangkan jubah itu lepaskanlah. Lakukanlah pada umrahmu sebagaimana apa kamu lakukan pada ibadah hajimu.""","حَدَّثَنَا أَبُو نُعَيْمٍ حَدَّثَنَا هَمَّامٌ حَدَّثَنَا عَطَاءٌ وَقَالَ مُسَدَّدٌ حَدَّثَنَا يَحْيَى بْنُ سَعِيدٍ عَنْ ابْنِ جُرَيْجٍ قَالَ أَخْبَرَنِي عَطَاءٌ قَالَ أَخْبَرَنِي صَفْوَانُ بْنُ يَعْلَى بْنِ أُمَيَّةَ أَنَّ يَعْلَى كَانَ يَقُولُ
لَيْتَنِي أَرَى رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ حِينَ يُنْزَلُ عَلَيْهِ الْوَحْيُ فَلَمَّا كَانَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِالْجِعْرَانَةِ عَلَيْهِ ثَوْبٌ قَدْ أَظَلَّ عَلَيْهِ وَمَعَهُ نَاسٌ مِنْ أَصْحَابِهِ إِذْ جَاءَهُ رَجُلٌ مُتَضَمِّخٌ بِطِيبٍ فَقَالَ يَا رَسُولَ اللَّهِ كَيْفَ تَرَى فِي رَجُلٍ أَحْرَمَ فِي جُبَّةٍ بَعْدَ مَا تَضَمَّخَ بِطِيبٍ فَنَظَرَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَاعَةً فَجَاءَهُ الْوَحْيُ فَأَشَارَ عُمَرُ إِلَى يَعْلَى أَنْ تَعَالَ فَجَاءَ يَعْلَى فَأَدْخَلَ رَأْسَهُ فَإِذَا هُوَ مُحْمَرُّ الْوَجْهِ يَغِطُّ كَذَلِكَ سَاعَةً ثُمَّ سُرِّيَ عَنْهُ فَقَالَ أَيْنَ الَّذِي يَسْأَلُنِي عَنْ الْعُمْرَةِ آنِفًا فَالْتُمِسَ الرَّجُلُ فَجِيءَ بِهِ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ أَمَّا الطِّيبُ الَّذِي بِكَ فَاغْسِلْهُ ثَلَاثَ مَرَّاتٍ وَأَمَّا الْجُبَّةُ فَانْزِعْهَا ثُمَّ اصْنَعْ فِي عُمْرَتِكَ كَمَا تَصْنَعُ فِي حَجِّكَ"
4603,46,"Telah menceritakan kepada kami [Musa bin Isa'il] dari [Ibrahim bin Sa'd] Telah menceritakan kepada kami [Ibnu Syihab] dari [Ubaid bin As Sabbaq] bahwa [Zaid bin Tsabit] radliallahu 'anhu, ia berkata; Abu Bakar mengirim para korban perang Yamamah kepadaku, dan ternyata Umar bin Al Khaththab ada di sisinya. Abu Bakar radliallahu 'anhu berkata, ""Sesungguhnya Umar mendatangiku dan berkata, 'Mayoritas korban perang Yamamah adalah para penghafal Al Qur`an. Dengan gugurnya mayoritas penghafal Al Qur`an, maka aku khawatir sebagian besar Al Qur`an juga akan hilang. Maka aku berpendapat, sebaiknya Anda segera memerintahkan guna melakukan dokumentasi alquran.' Maka aku pun bertanya kepada Umar, 'Bagaimana kamu akan melakukan sesuatu yang belum pernah dilakukan oleh Rasulullah shallallahu 'alaihi wasallam? ' Umar menjawab, 'Perkara ini, demi Allah adalah ide yang baik.' Umar selalu membujukku hingga Allah memberikan kelapangan dadaku, dan akhirnya aku sependapat dengan Umar."" Zaid berkata; Abu Bakar berkata, ""Sesungguhnya kamu adalah seorang pemuda yang cerdas, kami sama sekali tidak curiga sedikit pun padamu. Dan sungguh, kamulah yang telah menulis wahyu untuk Rasulullah shallallahu 'alaihi wasallam. Karena itu, telusurilah Al Qur`an dan kumpulkanlah."" Zaid berkata, ""Demi Allah, sekiranya mereka memerintahkanku untuk memindahkan gunung, niscaya hal itu tidaklah lebih berat daripada apa yang mereka perintahkan padaku, yakni dokumentasi alquran."" Zaid bertanya, ""Bagaimana kalian melakukan sesuatu yang belum pernah dilakukan oleh Rasulullah shallallahu 'alaihi wasallam?"" Ia menjawab, ""Demi Allah, itu adalah kebaikan."" Abu Bakar terus membujukku, hinnga Allah pun memberikan kelapangan dadaku, sebagaimana Abu Bakar dan Umar radliallahu 'anhuma. Maka aku pun mulai menelusuri Al Qur`an, mengumpulkannya dari tulang-tulang, kulit-kulit dan dari hafalan para Qari`. Dan akhirnya aku pun mendapatkan bagian akhir dari surat At Taubah bersama Abu Khuzaimah Al Anshari, yang aku tidak mendapatkannya pada seorang pun selainnya. Yakni ayat: 'Sungguh, telah datang pada kalian seorang Rasul dari kaum kalian sendiri, yang sangat berat olehnya kesulitan yang menimpa kalian..'"" hingga akhir surat Al Bara`ah. Lembaran-lembaran Al Qur`an itu pun tetap tersimpan pada Abu Bakar hingga Allah mewafatkannya. Kemudian beralih kepada Umar semasa hidupnya, lalu berpindah lagi ke tangan Hafshah binti Umar radliallahu 'anhu.","حَدَّثَنَا مُوسَى بْنُ إِسْمَاعِيلَ عَنْ إِبْرَاهِيمَ بْنِ سَعْدٍ حَدَّثَنَا ابْنُ شِهَابٍ عَنْ عُبَيْدِ بْنِ السَّبَّاقِ أَنَّ زَيْدَ بْنَ ثَابِتٍ رَضِيَ اللَّهُ عَنْهُ قَالَ
أَرْسَلَ إِلَيَّ أَبُو بَكْرٍ مَقْتَلَ أَهْلِ الْيَمَامَةِ فَإِذَا عُمَرُ بْنُ الْخَطَّابِ عِنْدَهُ قَالَ أَبُو بَكْرٍ رَضِيَ اللَّهُ عَنْهُ إِنَّ عُمَرَ أَتَانِي فَقَالَ إِنَّ الْقَتْلَ قَدْ اسْتَحَرَّ يَوْمَ الْيَمَامَةِ بِقُرَّاءِ الْقُرْآنِ وَإِنِّي أَخْشَى أَنْ يَسْتَحِرَّ الْقَتْلُ بِالْقُرَّاءِ بِالْمَوَاطِنِ فَيَذْهَبَ كَثِيرٌ مِنْ الْقُرْآنِ وَإِنِّي أَرَى أَنْ تَأْمُرَ بِجَمْعِ الْقُرْآنِ قُلْتُ لِعُمَرَ كَيْفَ تَفْعَلُ شَيْئًا لَمْ يَفْعَلْهُ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ عُمَرُ هَذَا وَاللَّهِ خَيْرٌ فَلَمْ يَزَلْ عُمَرُ يُرَاجِعُنِي حَتَّى شَرَحَ اللَّهُ صَدْرِي لِذَلِكَ وَرَأَيْتُ فِي ذَلِكَ الَّذِي رَأَى عُمَرُ قَالَ زَيْدٌ قَالَ أَبُو بَكْرٍ إِنَّكَ رَجُلٌ شَابٌّ عَاقِلٌ لَا نَتَّهِمُكَ وَقَدْ كُنْتَ تَكْتُبُ الْوَحْيَ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَتَتَبَّعْ الْقُرْآنَ فَاجْمَعْهُ فَوَاللَّهِ لَوْ كَلَّفُونِي نَقْلَ جَبَلٍ مِنْ الْجِبَالِ مَا كَانَ أَثْقَلَ عَلَيَّ مِمَّا أَمَرَنِي بِهِ مِنْ جَمْعِ الْقُرْآنِ قُلْتُ كَيْفَ تَفْعَلُونَ شَيْئًا لَمْ يَفْعَلْهُ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ هُوَ وَاللَّهِ خَيْرٌ فَلَمْ يَزَلْ أَبُو بَكْرٍ يُرَاجِعُنِي حَتَّى شَرَحَ اللَّهُ صَدْرِي لِلَّذِي شَرَحَ لَهُ صَدْرَ أَبِي بَكْرٍ وَعُمَرَ رَضِيَ اللَّهُ عَنْهُمَا فَتَتَبَّعْتُ الْقُرْآنَ أَجْمَعُهُ مِنْ الْعُسُبِ وَاللِّخَافِ وَصُدُورِ الرِّجَالِ حَتَّى وَجَدْتُ آخِرَ سُورَةِ التَّوْبَةِ مَعَ أَبِي خُزَيْمَةَ الْأَنْصَارِيِّ لَمْ أَجِدْهَا مَعَ أَحَدٍ غَيْرِهِ
{ لَقَدْ جَاءَكُمْ رَسُولٌ مِنْ أَنْفُسِكُمْ عَزِيزٌ عَلَيْهِ مَا عَنِتُّمْ }
حَتَّى خَاتِمَةِ بَرَاءَةَ فَكَانَتْ الصُّحُفُ عِنْدَ أَبِي بَكْرٍ حَتَّى تَوَفَّاهُ اللَّهُ ثُمَّ عِنْدَ عُمَرَ حَيَاتَهُ ثُمَّ عِنْدَ حَفْصَةَ بِنْتِ عُمَرَ رَضِيَ اللَّهُ عَنْهُ"
4604,46,"Telah menceritakan kepada kami [Musa] Telah menceritakan kepada kami [Ibrahim] Telah menceritakan kepada kami [Ibnu Syihab] bahwasanya [Anas bin Malik] telah menceritakan kepadanya, bahwasanya; Hudzaifah bin Al Yamani datang kepada Utsman setelah sebelumnya memerangi Ahlus Syam yakni pada saat penaklukan Armenia dan Azerbaijan bersama penduduk Irak. Dan ternyata perselisihan mereka dalam Qira`ah mengejutkan Hudzaifah. Maka Hudzaifah pun berkata kepada Utsman, ""Rangkullah ummat ini sebelum mereka berselisih tentang Al Qur`an sebagaimana perselisihan yang telah terjadi pada kaum Yahudi dan Nasrani."" Akhirnya, Utsman mengirim surat kepada Hafshah yang berisikan, ""Tolong, kirimkanlah lembaran alquran kepada kami, agar kami dapat segera menyalinnya ke dalam lembaran yang lain, lalu kami akan segera mengembalikannya pada Anda."" Maka Hafshah pun mengirimkannya kepada Utsman. Lalu Utsman memerintahkan kepada Zaid bin Tsabit, Abdullah bin Zubair, Sa'id bin Al Ash dan Abdurrahman bin Al Harits bin Hisyam, sehingga mereka pun menyalinnya ke dalam lembaran shuhuf yang lain. Utsman berkata kepada tiga orang Quraisy dari mereka, ""Jika kalian berselisih dengan Zaid bin Tsabit terkait dengan Al Qur`an, maka tulislah dengan bahasa Quraisy, sebab Al Qur`an turun dengan bahasa mereka."" Kemudian mereka mengindahkan perintah itu hingga penyalinan selesai dan Utsman pun mengembalikannya ke Hafshah. Setelah itu, Utsman mengirimkan sejumlah Shuhuf yang telah disalin ke berbagai penjuru negeri kaum muslimin, dan memerintahkan untuk membakar Al Qur`an yang terdapat pada selain Shuhuf tersebut. Ibnu Syihab berkata; [Kharijah bin Zaid] telah mengabarkan kepadaku bahwa ia mendengar [Zaid bin Tsabit] berkata, ""Kami kehilangan satu ayat dari surat Al Ahzab saat kami menyalinnya, yang sungguh aku telah mendengarnya langsung dari Rasulullah shallallahu 'alaihi wasallam saat beliau membacanya. Lalu kami pun mencarinya, dan ternyata kami menemukannya pada Khuzaimah bin Tsabit Al Anshari. Yakni ayat, ""MINAL MUKMINIINA RIJAALUN SHADAQUU MAA 'AAHADUU ALLAAHA 'ALAIHI."" Maka kami pun menggabungkannya di dalam mushhaf.","حَدَّثَنَا مُوسَى حَدَّثَنَا إِبْرَاهِيمُ حَدَّثَنَا ابْنُ شِهَابٍ أَنَّ أَنَسَ بْنَ مَالِكٍ حَدَّثَهُ أَنَّ حُذَيْفَةَ بْنَ الْيَمَانِ قَدِمَ عَلَى عُثْمَانَ وَكَانَ يُغَازِي أَهْلَ الشَّأْمِ فِي فَتْحِ إِرْمِينِيَةَ وَأَذْرَبِيجَانَ مَعَ أَهْلِ الْعِرَاقِ فَأَفْزَعَ حُذَيْفَةَ اخْتِلَافُهُمْ فِي الْقِرَاءَةِ فَقَالَ حُذَيْفَةُ لِعُثْمَانَ يَا أَمِيرَ الْمُؤْمِنِينَ أَدْرِكْ هَذِهِ الْأُمَّةَ قَبْلَ أَنْ يَخْتَلِفُوا فِي الْكِتَابِ اخْتِلَافَ الْيَهُودِ وَالنَّصَارَى فَأَرْسَلَ عُثْمَانُ إِلَى حَفْصَةَ أَنْ أَرْسِلِي إِلَيْنَا بِالصُّحُفِ نَنْسَخُهَا فِي الْمَصَاحِفِ ثُمَّ نَرُدُّهَا إِلَيْكِ فَأَرْسَلَتْ بِهَا حَفْصَةُ إِلَى عُثْمَانَ فَأَمَرَ زَيْدَ بْنَ ثَابِتٍ وَعَبْدَ اللَّهِ بْنَ الزُّبَيْرِ وَسَعِيدَ بْنَ الْعَاصِ وَعَبْدَ الرَّحْمَنِ بْنَ الْحَارِثِ بْنِ هِشَامٍ فَنَسَخُوهَا فِي الْمَصَاحِفِ وَقَالَ عُثْمَانُ لِلرَّهْطِ الْقُرَشِيِّينَ الثَّلَاثَةِ إِذَا اخْتَلَفْتُمْ أَنْتُمْ وَزَيْدُ بْنُ ثَابِتٍ فِي شَيْءٍ مِنْ الْقُرْآنِ فَاكْتُبُوهُ بِلِسَانِ قُرَيْشٍ فَإِنَّمَا نَزَلَ بِلِسَانِهِمْ فَفَعَلُوا حَتَّى إِذَا نَسَخُوا الصُّحُفَ فِي الْمَصَاحِفِ رَدَّ عُثْمَانُ الصُّحُفَ إِلَى حَفْصَةَ وَأَرْسَلَ إِلَى كُلِّ أُفُقٍ بِمُصْحَفٍ مِمَّا نَسَخُوا وَأَمَرَ بِمَا سِوَاهُ مِنْ الْقُرْآنِ فِي كُلِّ صَحِيفَةٍ أَوْ مُصْحَفٍ أَنْ يُحْرَقَ قَالَ ابْنُ شِهَابٍ وَأَخْبَرَنِي خَارِجَةُ بْنُ زَيْدِ بْنِ ثَابِتٍ سَمِعَ زَيْدَ بْنَ ثَابِتٍ قَالَ
فَقَدْتُ آيَةً مِنْ الْأَحْزَابِ حِينَ نَسَخْنَا الْمُصْحَفَ قَدْ كُنْتُ أَسْمَعُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَقْرَأُ بِهَا فَالْتَمَسْنَاهَا فَوَجَدْنَاهَا مَعَ خُزَيْمَةَ بْنِ ثَابِتٍ الْأَنْصَارِيِّ
{ مِنْ الْمُؤْمِنِينَ رِجَالٌ صَدَقُوا مَا عَاهَدُوا اللَّهَ عَلَيْهِ }
فَأَلْحَقْنَاهَا فِي سُورَتِهَا فِي الْمُصْحَفِ"
4605,46,"Telah menceritakan kepada kami [Yahya bin Bukair] Telah menceritakan kepada kami [Al Laits] dari [Yunus] Telah menceritakan kepada kami [Ibnu Syihab] bahwa [Ibnu As Sabbaq] berkata; [Zaid bin Tsabit] berkata; Abu Bakar pernah mengutus seseorang padaku seraya mengatakan, ""Sesungguhnya, kamulah yang pernah menulis wahyu untuk Rasulullah shallallahu 'alaihi wasallam. Karena itu, telusurilah Al Qur`an."" Maka aku pun segera menelusurinya, hingga aku mendapati akhir dari surat At Taubah, yakni dua ayat bersama Abu Khuzaimah Al Anshari, yang aku tidak mendapatkannya pada seorang pun selainnya. Yakni, ""LAQAD JAA`AKUM RASUULUM MIN ANFUSIKUM 'AZIIZUN 'ALAIHI MAA 'ANITTUM.."" Hingga akhir ayat.","حَدَّثَنَا يَحْيَى بْنُ بُكَيْرٍ حَدَّثَنَا اللَّيْثُ عَنْ يُونُسَ عَنْ ابْنِ شِهَابٍ أَنَّ ابْنَ السَّبَّاقِ قَالَ إِنَّ زَيْدَ بْنَ ثَابِتٍ قَالَ
أَرْسَلَ إِلَيَّ أَبُو بَكْرٍ رَضِيَ اللَّهُ عَنْهُ قَالَ إِنَّكَ كُنْتَ تَكْتُبُ الْوَحْيَ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَاتَّبِعْ الْقُرْآنَ فَتَتَبَّعْتُ حَتَّى وَجَدْتُ آخِرَ سُورَةِ التَّوْبَةِ آيَتَيْنِ مَعَ أَبِي خُزَيْمَةَ الْأَنْصَارِيِّ لَمْ أَجِدْهُمَا مَعَ أَحَدٍ غَيْرِهِ
{ لَقَدْ جَاءَكُمْ رَسُولٌ مِنْ أَنْفُسِكُمْ عَزِيزٌ عَلَيْهِ مَا عَنِتُّمْ }
إِلَى آخِرِهِ"
