haditsId,kitabId,indo,arab,label
5,1,"Telah mengabarkan kepada kami [Al Hasan bin Ar Rabi'] telah menceritakan kepada kami [Abul Ahwash] dari [Al A'masy] dari [Abu Shalih], ia berkata; [Ka'ab] berkata; kami mendapatinya tertulis: Muhammad Rasulullah shallallahu 'alaihi wasallam, beliau tidak kasar tutur katanya, tidak keras wataknya, tidak bersuara keras ketika di pasar, tidak membalas kejelekan dengan kejelekan, tetapi membalasnya dengan memaafkan dan mengampuni, umatnya adalah orang-orang yang selalu bertahmid (memuji Allah) bertakbir (mengagungkan Allah) disetiap tempat yang tinggi /pendakian, atau peperangan, mereka memuji Allah Subhanahu wa Ta'ala di tiap-tiap rumah, mengenakan sarung pada bagian tengah mereka, berwudlu pada setiap anggota wudlu mereka, panggilan adzan mereka terdengar di langit, shaf mereka pada waktu perang seperti shaf mereka pada waktu shalat, suara mereka (ketika membaca Al Quran dan berdzikir) bagaikan gemuruh suara lebah, tempat kelahiran beliau di Makkah dan tempat hijrahnya di thaabah (Madinah) dan kerajaannya berada di Syam. ", أَخْبَرَنَا الْحَسَنُ بْنُ الرَّبِيعِ حَدَّثَنَا أَبُو الْأَحْوَصِ عَنْ الْأَعْمَشِ عَنْ أَبِي صَالِحٍ قَالَ قَالَ كَعْبٌ نَجِدُهُ مَكْتُوبًا مُحَمَّدٌ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا فَظٌّ وَلَا غَلِيظٌ وَلَا صَخَّابٌ بِالْأَسْوَاقِ وَلَا يَجْزِي بِالسَّيِّئَةِ السَّيِّئَةَ وَلَكِنْ يَعْفُو وَيَغْفِرُ وَأُمَّتُهُ الْحَمَّادُونَ يُكَبِّرُونَ اللَّهَ عَزَّ وَجَلَّ عَلَى كُلِّ نَجْدٍ وَيَحْمَدُونَهُ فِي كُلِّ مَنْزِلَةٍ وَيَتَأَزَّرُونَ عَلَى أَنْصَافِهِمْ وَيَتَوَضَّئُونَ عَلَى أَطْرَافِهِمْ مُنَادِيهِمْ يُنَادِي فِي جَوِّ السَّمَاءِ صَفُّهُمْ فِي الْقِتَالِ وَصَفُّهُمْ فِي الصَّلَاةِ سَوَاءٌ لَهُمْ بِاللَّيْلِ دَوِيٌّ كَدَوِيِّ النَّحْلِ وَمَوْلِدُهُ بِمَكَّةَ وَمُهَاجِرُهُ بِطَابَةَ وَمُلْكُهُ بِالشَّامِ,43
42,1,"Telah mengabarkan kepada kami [Abdullah bin Umar bin Abaan] telah menceritakan kepada kami [Abdur Rahman bin Muhammad Al Muharibi] dari [Abdul Wahid bin Aiman Al Makki] dari [ayahnya] ia berkata; aku berkata kepada Jabir bin Abdullah Radliyallahu'anhu: ia berkata; Riwayatkanlah kepadaku sebuah hadits dari Rasulullah shallallahu 'alaihi wasallam yang kamu dengar dari beliau dan dapat saya riwayatkan dari kamu. Jabir berkata; Dahulu kami bersama Rasulullah shallallahu 'alaihi wasallam pada perang Khandaq dan kami sedang menggali parit. Selama tiga hari kami tidak makan dan tidak mampu untuk mendapatkan makanan. Kemudian dalam parit saya menemukan sebongkah tanah yang keras, maka saya pun mendatangi Rasulullah shallallahu 'alaihi wasallam. Saya berkata; ""Wahai Rasulullah shallallahu 'alaihi wasallam, tanah keras ini telah menghalangi penggalian parit ini, padahal sudah kami siram dengan air"". Lalu Nabi shallallahu 'alaihi wasallam berdiri dengan perut yang diikat dengan batu lalu beliau mengambil cangkul kemudian membaca Bismillah sebanyak tiga kali. Beliau memukulnya lalu menjadikannya debu yang lembut. Ketika saya melihat kondisi Rasulullah shallallahu 'alaihi wasallam yang demikian itu, saya berkata kepada beliau; ""Wahai Rasulullah izinkanlah saya pulang sebentar, lalu beliau mengizinkan saya (untuk pulang sebentar). "" Kemudian saya datangi istri, aku berkata; ""Keadaan betul-betul gawat"". Dan saya berkata kepada istriku; ""Saya telah menyaksikan keadaan Rasulullah shallallahu 'alaihi wasallam yang membuat diri saya tidak dapat menahannya apakah kamu memiliki sesuatu untuk dimakan?"" Ia menjawab; ""Ada, sekedar satu sha` tepung yang masih kasar dan seekor anak kambing betina. "" Jabir berkata: ""Lalu kami menumbuk tepung yang masih kasar itu agar layak dikunyah dan kami sembelih anak kambing, kami kuliti dan kutaruh di periuk. Saya terus mengadon tepung kemudian saya kembali menemui Rasulullah shallallahu 'alaihi wasallam dan diam beberapa saat. Kemudian saya minta izin lagi untuk pulang kedua kalinya. Beliau mengizinkan saya, maka ketika saya menemui isteri saya ternyata adonan gandum telah siap, lalu saya memerintahkan isteri saya untuk membuat roti, dan saya letakkan periuk di atas batu pemasak. Abdurrahman mengatakan; maksudnya adalah di atas tungku/dapur. Kemudian Jabir berkata; kemudian saya menemui Nabi shallallahu 'alaihi wasallam. lagi, lalu saya katakan kepada beliau: ""Saya punya makanan tak seberapa, aduhai sekiranya baginda mau ya Rasulullah, baginda bisa datang ke rumah saya bersama seseorang atau dua orang saja. "" Beliau bertanya: ""Memangnya berapa banyak makanannya?"" Saya menjawab; ""Sekedar satu sha`gandum dan seekor anak kambing. "" Lalu Rasul berkata: ""Begini saja, pulanglah kamu ke keluargamu dan katakan kepadanya agar jangan mengangkat periuk dari dapur dan jangan mengangkat roti dari panggangannya sampai saya datang. "" Kemudian beliau berkata kepada para sahabat: ""Marilah kita pergi ke rumah Jabir. "" Jabir berkata: ""Saya pun malu dengan malu sangat serius, yang tidak ada yang mengetahui kecuali Allah. ""- (karena nabi mengajak sahabatnya, padahal jumlah masakan tak seberapa banyaknya) --- Saya katakan kepada isteri saya: ""Wah,,, persoalan jadi gawat nich,,, Rasulullah datang dengan para keseluruhan sahabat-sahabatnya. "" Isteri saya berkata: ""Tadi apakah Rasul bertanya kepadamu berapa banyak makanan kita?"". Saya jawab ""Iya, telah kujelaskan ""! lalu isteriku berkata: ""Allah dan Rasul-Nya yang lebih tahu, yang jelas engkau telah melaporkan kepada beliau seberapa banyak makanan yang kita punya"". Jabir berkata; ""Perkataannya isteriku itu menjadikanku tenang dari segala yang saya khawatirkan. "" Lalu saya katakan kepadanya: ""Sungguh adinda benar. "" Nabi shallallahu 'alaihi wasallam kemudian datang dan masuk, lalu mengatakan kepada para sahabatnya ""Awas, jangan kalian berdesak-desakkan ya! "" Kemudian Rasulullah shallallahu 'alaihi wasallam memberkahi panggangan roti dan periuk. Jabir berkata: ""Lalu kami mengambil roti dari panggangan dan daging dari periuk, lalu kami aduk dan kami sendokkan untuk mereka. "" Kemudian Nabi shallallahu 'alaihi wasallam berkata ""Hendaklah masing-masing tujuh atau delapan orang duduk berkumpul pada satu piring, "" Ketika mereka sudah memakannya, kami buka lagi tutup panggangan dan periuk ternyata keduanya masih dalam keadaan penuh seperti semula. Dan keadaan tersebut berlangsung terus-menerus berlangsung sampai seluruh kaum muslimin kenyang dan makanan tersisa tinggal sebagian. Maka berkatalah Rasulullah shallallahu 'alaihi wasallam kepada kami: ""Sesungguhnya orang-orang telah kenyang semua, kini makanlah kamu dan keluargamu! "" Maka pada hari itu kami makan dengan roti dan daging tersebut berkali-kali. Jabir berkata; ""Saya diberitahu bahwa jumlah para sahabat yang makan di rumah jabir sekitar delapan ratus orang atau tiga ratus orang. "" Aiman berkata: saya tidak tahu mana yang benar dari diantara jumlah tersebut. ", أَخْبَرَنَا عَبْدُ اللَّهِ بْنُ عُمَرَ بْنِ أَبَانَ حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ مُحَمَّدٍ الْمُحَارِبِيُّ عَنْ عَبْدِ الْوَاحِدِ بْنِ أَيْمَنَ الْمَكِّيِّ عَنْ أَبِيهِ قَالَ قُلْتُ لِجَابِرِ بْنِ عَبْدِ اللَّهِ حَدِّثْنِي بِحَدِيثٍ عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَمِعْتَهُ مِنْهُ أَرْوِيهِ عَنْكَ فَقَالَ جَابِرٌ كُنَّا مَعَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَوْمَ الْخَنْدَقِ نَحْفُرُهُ فَلَبِثْنَا ثَلَاثَةَ أَيَّامٍ لَا نَطْعَمُ طَعَامًا وَلَا نَقْدِرُ عَلَيْهِ فَعَرَضَتْ فِي الْخَنْدَقِ كُدْيَةٌ فَجِئْتُ إِلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقُلْتُ يَا رَسُولَ اللَّهِ هَذِهِ كُدْيَةٌ قَدْ عَرَضَتْ فِي الْخَنْدَقِ فَرَشَشْنَا عَلَيْهَا الْمَاءَ فَقَامَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَبَطْنُهُ مَعْصُوبٌ بِحَجَرٍ فَأَخَذَ الْمِعْوَلَ أَوْ الْمِسْحَاةَ ثُمَّ سَمَّى ثَلَاثًا ثُمَّ ضَرَبَ فَعَادَتْ كَثِيبًا أَهْيَلَ فَلَمَّا رَأَيْتُ ذَلِكَ مِنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قُلْتُ يَا رَسُولَ اللَّهِ ايْذَنْ لِي قَالَ فَأَذِنَ لِي فَجِئْتُ امْرَأَتِي فَقُلْتُ ثَكِلَتْكِ أُمُّكِ فَقُلْتُ قَدْ رَأَيْتُ مِنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ شَيْئًا لَا صَبْرَ لِي عَلَيْهِ فَهَلْ عِنْدَكِ مِنْ شَيْءٍ فَقَالَتْ عِنْدِي صَاعٌ مِنْ شَعِيرٍ وَعَنَاقٌ قَالَ فَطَحَنَّا الشَّعِيرَ وَذَبَحْنَا الْعَنَاقَ وَسَلَخْتُهَا وَجَعَلْتُهَا فِي الْبُرْمَةِ وَعَجَنْتُ الشَّعِيرَ ثُمَّ رَجَعْتُ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَلَبِثْتُ سَاعَةً ثُمَّ اسْتَأْذَنْتُهُ الثَّانِيَةَ فَأَذِنَ لِي فَجِئْتُ فَإِذَا الْعَجِينُ قَدْ أَمْكَنَ فَأَمَرْتُهَا بِالْخَبْزِ وَجَعَلْتُ الْقِدْرَ عَلَى الْأَثَاثِي قَالَ أَبُو عَبْدِ الرَّحْمَنِ إِنَّمَا هِيَ الْأَثَافِيُّ وَلَكِنْ هَكَذَا قَالَ ثُمَّ جِئْتُ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقُلْتُ إِنَّ عِنْدَنَا طُعَيِّمًا لَنَا فَإِنْ رَأَيْتَ أَنْ تَقُومَ مَعِي أَنْتَ وَرَجُلٌ أَوْ رَجُلَانِ مَعَكَ فَقَالَ وَكَمْ هُوَ قُلْتُ صَاعٌ مِنْ شَعِيرٍ وَعَنَاقٌ فَقَالَ ارْجِعْ إِلَى أَهْلِكَ وَقُلْ لَهَا لَا تَنْزِعْ الْقِدْرَ مِنْ الْأَثَافِيِّ وَلَا تُخْرِجْ الْخُبْزَ مِنْ التَّنُّورِ حَتَّى آتِيَ ثُمَّ قَالَ لِلنَّاسِ قُومُوا إِلَى بَيْتِ جَابِرٍ قَالَ فَاسْتَحْيَيْتُ حَيَاءً لَا يَعْلَمُهُ إِلَّا اللَّهُ فَقُلْتُ لِامْرَأَتِي ثَكِلَتْكِ أُمُّكِ قَدْ جَاءَكِ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِأَصْحَابِهِ أَجْمَعِينَ فَقَالَتْ أَكَانَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَأَلَكَ كَمْ الطَّعَامُ فَقُلْتُ نَعَمْ فَقَالَتْ اللَّهُ وَرَسُولُهُ أَعْلَمُ قَدْ أَخْبَرْتَهُ بِمَا كَانَ عِنْدَنَا قَالَ فَذَهَبَ عَنِّي بَعْضُ مَا كُنْتُ أَجِدُ وَقُلْتُ لَقَدْ صَدَقْتِ فَجَاءَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَدَخَلَ ثُمَّ قَالَ لِأَصْحَابِهِ لَا تَضَاغَطُوا ثُمَّ بَرَّكَ عَلَى التَّنُّورِ وَعَلَى الْبُرْمَةِ قَالَ فَجَعَلْنَا نَأْخُذُ مِنْ التَّنُّورِ الْخُبْزَ وَنَأْخُذُ اللَّحْمَ مِنْ الْبُرْمَةِ فَنُثَرِّدُ وَنَغْرِفُ لَهُمْ وَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لِيَجْلِسْ عَلَى الصَّحْفَةِ سَبْعَةٌ أَوْ ثَمَانِيَةٌ فَإِذَا أَكَلُوا كَشَفْنَا عَنْ التَّنُّورِ وَكَشَفْنَا عَنْ الْبُرْمَةِ فَإِذَا هُمَا أَمْلَأُ مَا كَانَا فَلَمْ نَزَلْ نَفْعَلُ ذَلِكَ كُلَّمَا فَتَحْنَا التَّنُّورَ وَكَشَفْنَا عَنْ الْبُرْمَةِ وَجَدْنَاهُمَا أَمْلَأَ مَا كَانَا حَتَّى شَبِعَ الْمُسْلِمُونَ كُلُّهُمْ وَبَقِيَ طَائِفَةٌ مِنْ الطَّعَامِ فَقَالَ لَنَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّ النَّاسَ قَدْ أَصَابَتْهُمْ مَخْمَصَةٌ فَكُلُوا وَأَطْعِمُوا فَلَمْ نَزَلْ يَوْمَنَا ذَلِكَ نَأْكُلُ وَنُطْعِمُ قَالَ وَأَخْبَرَنِي أَنَّهُمْ كَانُوا ثَمَانَ مِائَةٍ أَوْ قَالَ ثَلَاثَ مِائَةٍ قَالَ أَيْمَنُ لَا أَدْرِي أَيُّهُمَا قَالَ,43
87,1,"Telah menceritakan kepada kami [Abu An Nu'man] telah menceritakan kepada kami [Hammad bin Zaid] dari [Tsabit] dari [Anas bin Malik] Radliyallahu'anhu Bahwasannya [Fatimah] Radliyallahu'anha bertanya: "" Wahai Anas, bagaimana dirimu senang menaburkan tanah pada (makam) Rasulullah shallallahu 'alaihi wasallam? Dan Fatimah seraya melantunkan uneg-unegnya: ""Wahai ayahku yang alangkah dekatnya dengan Rabbnya, wahai ayahku yang surga firdaus adalah tempat kembalinya, wahai ayahku yang kepada Jibril 'Aalaihissalam kami memberitahukan kematiannya, wahai ayahku yang dia memenuhi Rabb(nya) ketika memanggilnya"". Hammad Rahimahullah berkata: ""Ketika Tsabit menyampaikan hadits ini, ia menangis"". Tsabit berkata: ""Anas Radliyallahu'anhu ketika menyampaikan hadits ini beliau menangis"". ", أَخْبَرَنَا أَبُو النُّعْمَانِ حَدَّثَنَا حَمَّادُ بْنُ زَيْدٍ عَنْ ثَابِتٍ عَنْ أَنَسِ بْنِ مَالِكٍ أَنَّ فَاطِمَةَ قَالَتْ يَا أَنَسُ كَيْفَ طَابَتْ أَنْفُسُكُمْ أَنْ تَحْثُوا عَلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ التُّرَابَ وَقَالَتْ يَا أَبَتَاهْ مِنْ رَبِّهِ مَا أَدْنَاهْ وَا أَبَتَاهْ جَنَّةُ الْفِرْدَوْسِ مَأْوَاهْ وَا أَبَتَاهْ إِلَى جِبْرِيلَ نَنْعَاهْ وَا أَبَتَاهْ أَجَابَ رَبًّا دَعَاهْ قَالَ حَمَّادٌ حِينَ حَدَّثَ ثَابِتٌ بَكَى و قَالَ ثَابِتٌ حِينَ حَدَّثَ أَنَسٌ بَكَى,43
88,1,"Telah menceritakan kepada kami ['Affan] telah menceritakan kepada kami [Hammad Salamah] dari [Tsabit] dari [Anas] Radliyallahu'anhu ia mengenang Nabi shallallahu 'alaihi wasallam, "" Aku menyaksikan beliau ketika memasuki Madinah, aku tidak pernah melihat hari yang lebih baik dan lebih cerah daripada hari saat kedatangan Rasulullah shallallahu 'alaihi wasallam ke Madinah, dan aku juga menyaksikan hari wafatnya, maka aku tidak melihat satu hari yang lebih buruk dan lebih gelap daripada hari wafatnya Rasulullah shallallahu 'alaihi wasallam "". ", حَدَّثَنَا عَفَّانُ حَدَّثَنَا حَمَّادُ بْنُ سَلَمَةَ عَنْ ثَابِتٍ عَنْ أَنَسٍ وَذَكَرَ النَّبِيَّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ شَهِدْتُهُ يَوْمَ دَخَلَ الْمَدِينَةَ فَمَا رَأَيْتُ يَوْمًا قَطُّ كَانَ أَحْسَنَ وَلَا أَضْوَأَ مِنْ يَوْمٍ دَخَلَ عَلَيْنَا فِيهِ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ وَشَهِدْتُهُ يَوْمَ مَوْتِهِ فَمَا رَأَيْتُ يَوْمًا كَانَ أَقْبَحَ وَلَا أَظْلَمَ مِنْ يَوْمٍ مَاتَ فِيهِ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ,43
214,1,"Telah mengabarkan kepada kami [Abu An Nu'man] telah menceritakan kepada kami [Abu 'Awanah] dari [Bayan bin Bisyr] dari [Qais bin Abu Hazim] ia berkata: "" [Abu Bakar] menemui seorang wanita dari Ahmas yang dikenal dengan Zainab. Qais berkata: 'Beliau melihatnya diam tidak berkata-kata', lalu beliau bertanya: 'Mengapa ia tidak bicara? ' mereka menjawab: 'ia berniat (bernadzar) untuk menunaikan haji dengan tidak bercakap-cakap', lalu beliau berkata kepadanya: 'bicaralah', karena hal ini tidak boleh, ini merupakan perbuatan orang-orang jahiliyah. Ia meriwayatkan: 'kemudian wanita itu berbicara', selanjutnya wanita itu bertanya: 'siapa kamu? ' ia menjawab: 'aku seorang dari kaum Muhajirin, wanita itu bertanya lagi: 'Dari Muhajirin yang mana? ', beliau menjawab: 'Dari suku Quraisy', wanita itu masih bertanya lagi: 'Dari suku Quraisy yang mana? ', beliau berkata: 'Sungguh kamu orang yang banyak bertanya; aku adalah Abu Bakar. Wanita itu berkata: 'Sampai kapan kita akan merasakan kehidupan yang sangat baik ini sesuai dengan apa yang Allah tunjukkan, setelah (kami melalui zaman) jahiliyah? ', beliau menjawab: Kehidupan kalian akan tetap seperti ini selama para pemimpin kalian istiqamah. Wanita itu bertanya: 'Apa peran para pemimpin? ', beliau menjawab: 'Bukankah dulu kalian memiliki para pemimpin dan orang-orang yang dimuliakan lalu mereka memerintah dan kalian pun mentaati mereka? ', ia menjawab: 'Ya, benar', beliau berkata: 'Demikianlah peran para pemimpin atas manusia' "".", أَخْبَرَنَا أَبُو النُّعْمَانِ حَدَّثَنَا أَبُو عَوَانَةَ عَنْ بَيَانٍ أَبِي بِشْرٍ عَنْ قَيْسِ بْنِ أَبِي حَازِمٍ قَالَ دَخَلَ أَبُو بَكْرٍ عَلَى امْرَأَةٍ مِنْ أَحْمَسَ يُقَالُ لَهَا زَيْنَبُ قَالَ فَرَآهَا لَا تَتَكَلَّمُ فَقَالَ مَا لَهَا لَا تَتَكَلَّمُ قَالُوا نَوَتْ حَجَّةً مُصْمِتَةً فَقَالَ لَهَا تَكَلَّمِي فَإِنَّ هَذَا لَا يَحِلُّ هَذَا مِنْ عَمَلِ الْجَاهِلِيَّةِ قَالَ فَتَكَلَّمَتْ فَقَالَتْ مَنْ أَنْتَ قَالَ أَنَا امْرُؤٌ مِنْ الْمُهَاجِرِينَ قَالَتْ مِنْ أَيِّ الْمُهَاجِرِينَ قَالَ مِنْ قُرَيْشٍ قَالَتْ فَمِنْ أَيِّ قُرَيْشٍ أَنْتَ قَالَ إِنَّكِ لَسَئُولٌ أَنَا أَبُو بَكْرٍ قَالَتْ مَا بَقَاؤُنَا عَلَى هَذَا الْأَمْرِ الصَّالِحِ الَّذِي جَاءَ اللَّهُ بِهِ بَعْدَ الْجَاهِلِيَّةِ فَقَالَ بَقَاؤُكُمْ عَلَيْهِ مَا اسْتَقَامَتْ بِكُمْ أَئِمَّتُكُمْ قَالَتْ وَمَا الْأَئِمَّةُ قَالَ أَمَا كَانَ لِقَوْمِكِ رُؤَسَاءُ وَأَشْرَافٌ يَأْمُرُونَهُمْ فَيُطِيعُونَهُمْ قَالَتْ بَلَى قَالَ فَهُمْ مِثْلُ أُولَئِكَ عَلَى النَّاسِ,43
410,1,"Telah mengabarkan kepada kami [Abu Nu'aim] telah menceritakan kepada kami [Sufyan] dari [Mughirah] ia berkata: ""Kami menghormati (segan kepada) Ibrahim sebagaimana kami menghormati seorang Raja"".", أَخْبَرَنَا أَبُو نُعَيْمٍ حَدَّثَنَا سُفْيَانُ عَنْ مُغِيرَةَ قَالَ كُنَّا نَهَابُ إِبْرَاهِيمَ هَيْبَةَ الْأَمِيرِ,43
432,1,"Telah mengabarkan kepada kami [Shadaqah bin Al Fadl] telah menceritakan kepada kami [Mu'tamir] dari [ayahnya] ia berkata: "" [Ibnu Abbas] pernah berkata: 'Tidakkah kalian takut akan diadzab atau ditenggelamkan jika kalian mengatakan: Rasulullah sallallahu 'alaihi wa sallam bersabda dan si fulan berkata "". ", أَخْبَرَنَا صَدَقَةُ بْنُ الْفَضْلِ حَدَّثَنَا مُعْتَمِرٌ عَنْ أَبِيهِ قَالَ قَالَ ابْنُ عَبَّاسٍ أَمَا تَخَافُونَ أَنْ تُعَذَّبُوا أَوْ يُخْسَفَ بِكُمْ أَنْ تَقُولُوا قَالَ رَسُولُ اللَّهِ وَقَالَ فُلَانٌ,43
447,1,"Telah mengabarkan kepada kami [Abu Al Mughirah] telah menceritajkan kepada kami [Al 'Auza'i] telah menceritakan kepada kami [Abdur Rahman bin Harmalah] ia berkata: 'Ada seorang laki-laki datang menemui [Sa'id bin Al Musayyib] hendak berpamitan untuk menunaikan haji atau umrah, lalu ia (Sa'id bin Al Musayyib) berkata kepadanya: 'Janganlah kamu pergi melakukan perjalanan hingga kamu shalat (terlebih dahulu), karena Rasulullah sallallahu 'alaihi wa sallam pernah bersabda: 'Tidaklah seseorang keluar meninggalkan masjid setelah dikumandangkannya adzan kecuali ia seorang munafik, kecuali jika ia mempunyai keperluan yang sangat mendesak dan berniat kembali lagi ke masjid', kemudian laki-laki tersebut berkata: 'Maaf, para sahabatku telah ada di Harrah (maka aku harus menyusul), laki-laki itu pun tetap ngotot keluar masjid', Abdur Rahman bin Harmalah berkata: 'Laki-laki tersebut tetap saja nekad keluar' dan Sa'id terus saja mengingatkannya hingga datang kabar laki-laki tersebut terjatuh dalam perjalanannya dan tulang pahanya patah' "". ", أَخْبَرَنَا أَبُو الْمُغِيرَةِ حَدَّثَنَا الْأَوْزَاعِيُّ حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ حَرْمَلَةَ قَالَ جَاءَ رَجُلٌ إِلَى سَعِيدِ بْنِ الْمُسَيَّبِ يُوَدِّعُهُ بِحَجٍّ أَوْ عُمْرَةٍ فَقَالَ لَهُ لَا تَبْرَحْ حَتَّى تُصَلِّيَ فَإِنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَا يَخْرُجُ بَعْدَ النِّدَاءِ مِنْ الْمَسْجِدِ إِلَّا مُنَافِقٌ إِلَّا رَجُلٌ أَخْرَجَتْهُ حَاجَتُهُ وَهُوَ يُرِيدُ الرَّجْعَةَ إِلَى الْمَسْجِدِ فَقَالَ إِنَّ أَصْحَابِي بِالْحَرَّةِ قَالَ فَخَرَجَ قَالَ فَلَمْ يَزَلْ سَعِيدٌ يَوْلَعُ بِذِكْرِهِ حَتَّى أُخْبِرَ أَنَّهُ وَقَعَ مِنْ رَاحِلَتِهِ فَانْكَسَرَتْ فَخِذُهُ,43
486,1,"Telah mengabarkan kepada kami ['Utsman bin Muhammad] telah menceritakan kepada kami [Yahya bin Ishak] telah menceritakan kepada kami [Yahya bin Ayyub] dari [Abu Qabil] ia berkata: ""Aku pernah mendengar [Abdullah bin 'Amr] berkata: 'Sewaktu kami berada di sekeliling Rasullullah sallallahu 'alaihi wa sallam, kami menulis (jawaban) ketika Rasulullah sallallahu 'alaihi wa sallam ditanya tentang manakah dua kota yang pertama kali dapat ditaklukkan, Qastantin atau Romawi, Nabi sallallahu 'alaihi wa sallam bersabda: Bukan, akan tetapi kota Heraklius terlebih dahulu' "". ", أَخْبَرَنَا عُثْمَانُ بْنُ مُحَمَّدٍ حَدَّثَنَا يَحْيَى بْنُ إِسْحَقَ حَدَّثَنَا يَحْيَى بْنُ أَيُّوبَ عَنْ أَبِي قَبِيلٍ قَالَ سَمِعْتُ عَبْدَ اللَّهِ بْنَ عَمْرٍو قَالَ بَيْنَمَا نَحْنُ حَوْلَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نَكْتُبُ إِذْ سُئِلَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَيُّ الْمَدِينَتَيْنِ تُفْتَحُ أَوَّلًا قُسْطَنْطِينِيَّةُ أَوْ رُومِيَّةُ فَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَا بَلْ مَدِينَةُ هِرَقْلَ أَوَّلًا,43
522,1,"Telaah mengabarkan kepada kami [Muhammad bin Al 'Ala`] telah mengabarkan kepada kami [Ibnu Idris] ia berkata: "" Aku pernah mendengar [Harun bin 'Antarah] dari [Sulaim bin Hanzhalah] ia berkata: 'Kami menemui `Ubai bin Ka'ab radliallahu 'anhu untuk bercerita, tatkala ia berdiri kami juga berdiri, lalu kami berjalan di belakangnya. [Umar] lantas menghampiri kami, ia ikuti Ka'ab dan dipukulnya dengan tongkat pendek. Kemudian Umar menjauhkan Ka'ab dengan kedua lengannya. Saat itu Ka'ab bertanya: 'Wahai Amirul Mu`minin, memangnya apa yang kita lakukan ini? ', ia menjawab: 'Apakah kamu tidak perhatikan bahwa fitnah bagi orang yang diikuti adalah menghinakan yang mengikuti? ' "".", أَخْبَرَنَا مُحَمَّدُ بْنُ الْعَلَاءِ حَدَّثَنَا ابْنُ إِدْرِيسَ قَالَ سَمِعْتُ هَارُونَ بْنَ عَنْتَرَةَ عَنْ سُلَيْمِ بْنِ حَنْظَلَةَ قَالَ أَتَيْنَا أُبَيَّ بْنَ كَعْبٍ لِنَتَحَدَّثَ إِلَيْهِ فَلَمَّا قَامَ قُمْنَا وَنَحْنُ نَمْشِي خَلْفَهُ فَرَهَقَنَا عُمَرُ فَتَبِعَهُ فَضَرَبَهُ عُمَرُ بِالدِّرَّةِ قَالَ فَاتَّقَاهُ بِذِرَاعَيْهِ فَقَالَ يَا أَمِيرَ الْمُؤْمِنِينَ مَا نَصْنَعُ قَالَ أَوَ مَا تَرَى فِتْنَةً لِلْمَتْبُوعِ مَذَلَّةً لِلتَّابِعِ,43
