haditsId,kitabId,indo,arab,label
380,2,"Telah menceritakan kepada kami [Hisyam bin Ammar] berkata, telah menceritakan kepada kami [Malik bin Anas] berkata, telah menceritakan kepadaku [Shafwan bin Sulaim] dari [Sa'id bin Salamah] -dari keluarga Ibnu Al Azraq- bahwa [Al Mughirah bin Abu Burdah] -dari bani Abdu Ad Dar- mendengar [Abu Hurairah] berkata; ""Seorang laki-laki datang kepada Rasulullah shallallahu 'alaihi wasallam seraya bertanya; ""Wahai Rasulullah, kami berlayar di lautan dan kami hanya membawa sedikit air, jika kami berwudlu dengannya maka kami akan kehausan. Bolehkah kami berwudlu dengan air laut?"" Rasulullah shallallahu 'alaihi wasallam menjawab: ""Laut itu suci airnya dan halal bangkainya.""","حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ حَدَّثَنَا مَالِكُ بْنُ أَنَسٍ حَدَّثَنِي صَفْوَانُ بْنُ سُلَيْمٍ عَنْ سَعِيدِ بْنِ سَلَمَةَ هُوَ مِنْ آلِ ابْنِ الْأَزْرَقِ أَنَّ الْمُغِيرَةَ بْنَ أَبِي بُرْدَةَ وَهُوَ مِنْ بَنِي عَبْدِ الدَّارِ حَدَّثَهُ أَنَّهُ سَمِعَ أَبَا هُرَيْرَةَ يَقُولُ
جَاءَ رَجُلٌ إِلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ يَا رَسُولَ اللَّهِ إِنَّا نَرْكَبُ الْبَحْرَ وَنَحْمِلُ مَعَنَا الْقَلِيلَ مِنْ الْمَاءِ فَإِنْ تَوَضَّأْنَا بِهِ عَطِشْنَا أَفَنَتَوَضَّأُ مِنْ مَاءِ الْبَحْرِ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ هُوَ الطَّهُورُ مَاؤُهُ الْحِلُّ مَيْتَتُهُ",29
1542,7,"Telah menceritakan kepada kami [Hisyam bin Ammar] berkata, telah menceritakan kepada kami [Hammad bin 'Abdurrahman Al Kalbi] berkata, telah menceritakan kepada kami [Idris Al Audi] dari [Sa'id Ibnul Musayyab] berkata; aku menemui [Ibnu Umar] ketika takziah jenazah, ketika meletakkan jenazah dalam liang lahad ia mengucapkan, ""Dengan nama Allah, dan di jalan Allah, dan atas millah Rasulullah, "" dan ketika ia meratakan tanah pada lubang lahad ia mengucapkan, ""Ya Allah, selamatkanlah ia dari setan dan siksa kubur. Ya Allah, jauhkanlah bumi dari kedua rusuknya, naikkan ruhnya, dan pertemukan ia dengan-Mu dalam keadaan diridlai. "" Aku lalu berkata, ""Wahai Ibnu Umar, apakah itu sesuatu yang engkau dengar dari Rasulullah atau sesuatu yang muncul dari pikiranmu?"" ia menjawab, ""Jika begitu aku bisa mengatakan sesuatu (wahyu), itu adalah sesuatu yang aku dengar dari Rasulullah shallallahu 'alaihi wasallam. ""","حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ حَدَّثَنَا حَمَّادُ بْنُ عَبْدِ الرَّحْمَنِ الْكَلْبِيُّ حَدَّثَنَا إِدْرِيسُ الْأَوْدِيُّ عَنْ سَعِيدِ بْنِ الْمُسَيَّبِ قَالَ
حَضَرْتُ ابْنَ عُمَرَ فِي جِنَازَةٍ فَلَمَّا وَضَعَهَا فِي اللَّحْدِ قَالَ بِسْمِ اللَّهِ وَفِي سَبِيلِ اللَّهِ وَعَلَى مِلَّةِ رَسُولِ اللَّهِ فَلَمَّا أُخِذَ فِي تَسْوِيَةِ اللَّبِنِ عَلَى اللَّحْدِ قَالَ اللَّهُمَّ أَجِرْهَا مِنْ الشَّيْطَانِ وَمِنْ عَذَابِ الْقَبْرِ اللَّهُمَّ جَافِ الْأَرْضَ عَنْ جَنْبَيْهَا وَصَعِّدْ رُوحَهَا وَلَقِّهَا مِنْكَ رِضْوَانًا قُلْتُ يَا ابْنَ عُمَرَ أَشَيْءٌ سَمِعْتَهُ مِنْ رَسُولِ اللَّهِ أَمْ قُلْتَهُ بِرَأْيِكَ قَالَ إِنِّي إِذًا لَقَادِرٌ عَلَى الْقَوْلِ بَلْ شَيْءٌ سَمِعْتُهُ مِنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ",29
2133,13,"Telah menceritakan kepada kami [Hisyam bin Ammar] berkata, telah menceritakan kepada kami [Isma'il bin 'Ayyasy] dari [Umarah bin Ghaziyyah] dari [Rabi'ah bin Abu 'Abdurrahman] dari [Abdul Malik bin Sa'id Al Anshari] dari [Abu Humaid As Sa'idi] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Carilah yang baik dalam mencari dunia, karena setiap orang telah dipermudah dalam melaksanakan bagiannya.""","حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ حَدَّثَنَا إِسْمَعِيلُ بْنُ عَيَّاشٍ عَنْ عُمَارَةَ بْنِ غَزِيَّةَ عَنْ رَبِيعَةَ بْنِ أَبِي عَبْدِ الرَّحْمَنِ عَنْ عَبْدِ الْمَلِكِ بْنِ سَعِيدٍ الْأَنْصَارِيِّ عَنْ أَبِي حُمَيْدٍ السَّاعِدِيِّ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَجْمِلُوا فِي طَلَبِ الدُّنْيَا فَإِنَّ كُلًّا مُيَسَّرٌ لِمَا خُلِقَ لَهُ",29
2162,13,"Telah menceritakan kepada kami [Suwaid bin Sa'id] berkata, telah menceritakan kepada kami [Malik bin Anas] dari [Nafi'] dari [Ibnu Umar] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Janganlah salah seorang dari kalian bertrasasaksi atas transaksi saudaranya.""","حَدَّثَنَا سُوَيْدُ بْنُ سَعِيدٍ حَدَّثَنَا مَالِكُ بْنُ أَنَسٍ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَا يَبِيعُ بَعْضُكُمْ عَلَى بَيْعِ بَعْضٍ",29
2163,13,"Telah menceritakan kepada kami [Hisyam bin Ammar] berkata, telah menceritakan kepada kami [Sufyan] dari [Az Zuhri] dari [Sa'id Ibnul Musayyab] dari [Abu Hurairah] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Janganlah seorang laki-laki melakukan transaksi atas transaksi saudaranya, atau menawar atas tawaran saudaranya.""","حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ حَدَّثَنَا سُفْيَانُ عَنْ الزُّهْرِيِّ عَنْ سَعِيدِ بْنِ الْمُسَيَّبِ عَنْ أَبِي هُرَيْرَةَ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَا يَبِيعُ الرَّجُلُ عَلَى بَيْعِ أَخِيهِ وَلَا يَسُومُ عَلَى سَوْمِ أَخِيهِ",29
2203,13,"Telah menceritakan kepada kami [Muhammad bin Al Walid] berkata, telah menceritakan kepada kami [Muhammad bin Ja'far] berkata, telah menceritakan kepada kami [Syu'bah] dari [Abdu Rabbih bin Sa'id] dari [Nafi'] dari [Ibnu Umar] dari Nabi shallallahu 'alaihi wasallam, beliau bersabda: ""Barangsiapa menjual pohon kurma dan menjual budak, maka Allah akan mengumpulkan keduanya.""","حَدَّثَنَا مُحَمَّدُ بْنُ الْوَلِيدِ حَدَّثَنَا مُحَمَّدُ بْنُ جَعْفَرٍ حَدَّثَنَا شُعْبَةُ عَنْ عَبْدِ رَبِّهِ بْنِ سَعِيدٍ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ
عَنْ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَنَّهُ قَالَ مَنْ بَاعَ نَخْلًا وَبَاعَ عَبْدًا جَمَعَهُمَا جَمِيعًا",29
2204,13,"Telah menceritakan kepada kami [Abdu Rabbih bin Khalid An Numairi Abul Mughallis] berkata, telah menceritakan kepada kami [Al Fudlail bin Sulaiman] dari [Musa bin Uqbah] berkata, telah menceritakan kepadaku [Ishaq bin Yahya bin Al Walid] dari [Ubadah bin Shamit] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam telah menetapkan buah kurma bagi orang yang mengelolanya kecuali jika pembeli membuat persyaratan. Dan sesungguhnya harta seorang budak itu bagi orang yang menjualnya kecuali pembeli membuat persyaratan.""","حَدَّثَنَا عَبْدُ رَبِّهِ بْنُ خَالِدٍ النُّمَيْرِيُّ أَبُو الْمُغَلِّسِ حَدَّثَنَا الْفُضَيْلُ بْنُ سُلَيْمَانَ عَنْ مُوسَى بْنِ عُقْبَةَ حَدَّثَنِي إِسْحَقُ بْنُ يَحْيَى ابْنِ الْوَلِيدِ عَنْ عُبَادَةَ بْنِ الصَّامِتِ قَالَ
قَضَى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِثَمَرِ النَّخْلِ لِمَنْ أَبَّرَهَا إِلَّا أَنْ يَشْتَرِطَ الْمُبْتَاعُ وَأَنَّ مَالَ الْمَمْلُوكِ لِمَنْ بَاعَهُ إِلَّا أَنْ يَشْتَرِطَ الْمُبْتَاعُ",29
2262,13,"Telah menceritakan kepada kami [Abdullah bin Sa'id] berkata, telah menceritakan kepada kami [Hafsh bin Ghiyats] dan [Abu Khalid] dari [Hajjaj] dari [Abu Zubair] dari [Jabir] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Tidak apa-apa menukar satu binatang dengan dua binatang secara kontan, dan makruh jika dengan sistem tempo.""","حَدَّثَنَا عَبْدُ اللَّهِ بْنُ سَعِيدٍ حَدَّثَنَا حَفْصُ بْنُ غِيَاثٍ وَأَبُو خَالِدٍ عَنْ حَجَّاجٍ عَنْ أَبِي الزُّبَيْرِ عَنْ جَابِرٍ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ لَا بَأْسَ بِالْحَيَوَانِ وَاحِدًا بِاثْنَيْنِ يَدًا بِيَدٍ وَكَرِهَهُ نَسِيئَةً",29
2294,13,"Telah menceritakan kepada kami [Isma'il bin Bisyr bin Manshur] berkata, telah menceritakan kepada kami [Umar bin Ali] dari [Hajjaj] dari [Salith bin Abdullah Ath Thuhawi] dari [Dzuhail bin 'Auf bin Syammakh Ath Thuhawi] berkata, telah menceritakan kepada kami [Abu Hurairah] ia berkata, ""Tatkala kami sedang bersama Rasulullah shallallahu 'alaihi wasallam dalam suatu perjalanan, tiba-tiba kami melihat unta yang terikat di sebatang pohon duri yang besar. Lalu kami mendekatinya, tetapi Rasulullah memanggil kami hingga kami kembali kepadanya. Beliau bersabda: ""Sesungguhnya unta ini adalah milik penduduk daerah kaum muslimin, ia adalah makanan pokok mereka dan keberkahan mereka setelah Allah. Apakah kalian senang jika kalian kembali ke tempat perbekalan kalian, kemudian kalian menemukan apa yang kalian letakkan di sana telah hilang? Apakah ini adil menurut kalian?"" Mereka menjawab, ""Tidak."" Beliau bersabda: ""Maka demikian pula dengan hal ini."" Kami lantas bertanya, ""Bagaimana pendapatmu jika kami butuh makan dan minum?"" beliau menjawab: ""Makan dan minumlah, namun jangan membawanya sebagai bekal.""","حَدَّثَنَا إِسْمَعِيلُ بْنُ بِشْرِ بْنِ مَنْصُورٍ حَدَّثَنَا عُمَرُ بْنُ عَلِيٍّ عَنْ حَجَّاجٍ عَنْ سَلِيطِ بْنِ عَبْدِ اللَّهِ الطُّهَوِيِّ عَنْ ذُهَيْلِ بْنِ عَوْفِ بْنِ شَمَّاخٍ الطُّهَوِيِّ حَدَّثَنَا أَبُو هُرَيْرَةَ قَالَ
بَيْنَمَا نَحْنُ مَعَ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي سَفَرٍ إِذْ رَأَيْنَا إِبِلًا مَصْرُورَةً بِعِضَاهِ الشَّجَرِ فَثُبْنَا إِلَيْهَا فَنَادَانَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَرَجَعْنَا إِلَيْهِ فَقَالَ إِنَّ هَذِهِ الْإِبِلَ لِأَهْلِ بَيْتٍ مِنْ الْمُسْلِمِينَ هُوَ قُوتُهُمْ وَيُمْنُهُمْ بَعْدَ اللَّهِ أَيَسُرُّكُمْ لَوْ رَجَعْتُمْ إِلَى مَزَاوِدِكُمْ فَوَجَدْتُمْ مَا فِيهَا قَدْ ذُهِبَ بِهِ أَتُرَوْنَ ذَلِكَ عَدْلًا قَالُوا لَا قَالَ فَإِنَّ هَذَا كَذَلِكَ قُلْنَا أَفَرَأَيْتَ إِنْ احْتَجْنَا إِلَى الطَّعَامِ وَالشَّرَابِ فَقَالَ كُلْ وَلَا تَحْمِلْ وَاشْرَبْ وَلَا تَحْمِلْ",29
2311,14,"Telah menceritakan kepada kami [Muhammad bin Tsa'labah bin Sawa] berkata, telah berkata kepadaku pamanku [Muhammad bin Sawa] dari [Husain Al Mu'allim] dari [Mathar Al Warraq] dari [Nafi'] dari [Ibnu Umar] ia berkata, ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Barangsiapa membantu sengketa dengan cara zhalim, atau membantu kezhaliman, maka ia akan senantiasa dalam murka Allah hingga ia mencabut (bantuannya).""","حَدَّثَنَا مُحَمَّدُ بْنُ ثَعْلَبَةَ بْنِ سَوَاءٍ حَدَّثَنِي عَمِّي مُحَمَّدُ بْنُ سَوَاءٍ عَنْ حُسَيْنٍ الْمُعَلِّمِ عَنْ مَطَرٍ الْوَرَّاقِ عَنْ نَافِعٍ عَنْ ابْنِ عُمَرَ قَالَ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَنْ أَعَانَ عَلَى خُصُومَةٍ بِظُلْمٍ أَوْ يُعِينُ عَلَى ظُلْمٍ لَمْ يَزَلْ فِي سَخَطِ اللَّهِ حَتَّى يَنْزِعَ",29
