haditsId,kitabId,indo,arab,label
24,1,"Telah menceritakan kepadaku Yahya dari Malik dari [Zaid bin Aslam] dari ['Atho` bin Yasar], Rasulullah shallallahu 'alaihi wasallam bersabda: ""Sesungguhnya panas yang menyengat itu berasal dari hembusan Jahannam, maka jika panas menyengat, tundalah shalat hingga teduh."" Dan beliau bersabda: ""Neraka mengadu kepada Rabbnya, dan berkata; 'Wahai Rabbku, sebagian dariku memakan sebagian yang lain' lalu (Allah 'azza wajalla) mengizinkannya dengan dua nafas pada setiap tahun, satu nafas di musim dingin dan satu nafas lagi di musim panas.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ زَيْدِ بْنِ أَسْلَمَ عَنْ عَطَاءِ بْنِ يَسَارٍ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ إِنَّ شِدَّةَ الْحَرِّ مِنْ فَيْحِ جَهَنَّمَ فَإِذَا اشْتَدَّ الْحَرُّ فَأَبْرِدُوا عَنْ الصَّلَاةِ وَقَالَ اشْتَكَتْ النَّارُ إِلَى رَبِّهَا فَقَالَتْ يَا رَبِّ أَكَلَ بَعْضِي بَعْضًا فَأَذِنَ لَهَا بِنَفَسَيْنِ فِي كُلِّ عَامٍ نَفَسٍ فِي الشِّتَاءِ وَنَفَسٍ فِي الصَّيْفِ",14
99,2,"Telah menceritakan kepadaku dari Malik dari [Nafi'] bahwa apabila [Abdullah bin Umar] hendak tidur atau makan, sedang dia junub, dia membasuh wajah dan kedua tangannya hingga ke siku-sikunya. Mengusap kepalanya kemudian makan atau tidur. ","و حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
كَانَ إِذَا أَرَادَ أَنْ يَنَامَ أَوْ يَطْعَمَ وَهُوَ جُنُبٌ غَسَلَ وَجْهَهُ وَيَدَيْهِ إِلَى الْمِرْفَقَيْنِ وَمَسَحَ بِرَأْسِهِ ثُمَّ طَعِمَ أَوْ نَامَ",14
131,2,"Telah menceritakan kepadaku Yahya dari Malik dari [Ibnu Syihab] dari [Ibnu As Sabaq] bahwa Rasulullah shallallahu 'alaihi wasallam pada suatu jum'at bersabda: ""Wahai kaum muslimin! Sesungguhnya Allah telah menjadikan hari ini sebagai hari raya, maka hendaklah kalian mandi. Barangsiapa memiliki wewangian, maka tidaklah mengapa jika kalian mengenakannya. Dan hendaklah kalian bersiwak.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ ابْنِ شِهَابٍ عَنْ ابْنِ السَّبَّاقِ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَالَ فِي جُمُعَةٍ مِنْ الْجُمَعِ يَا مَعْشَرَ الْمُسْلِمِينَ إِنَّ هَذَا يَوْمٌ جَعَلَهُ اللَّهُ عِيدًا فَاغْتَسِلُوا وَمَنْ كَانَ عِنْدَهُ طِيبٌ فَلَا يَضُرُّهُ أَنْ يَمَسَّ مِنْهُ وَعَلَيْكُمْ بِالسِّوَاكِ",14
221,3,"Telah menceritakan kepadaku Yahya dari Malik dari [Abu Az Zinad] dari [Al A'raj] dari [Abu Hurairah], bahwa Rasulullah shallallahu 'alaihi wasallam menyebutkan pada hari Jumat dengan bersabda: ""Di dalamnya terdapat satu waktu, tiada seorang hamba muslim yang menepatinya dengan berdiri shalat memohon sesuatu pada Allah, melainkan Allah pasti akan memberi apa yang dia minta."" Rasulullah shallallahu 'alaihi wasallam lantas memberi isyarat dengan tangannya untuk menunjukkan sedikitnya waktu tersebut.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ أَبِي الزِّنَادِ عَنْ الْأَعْرَجِ عَنْ أَبِي هُرَيْرَةَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ذَكَرَ يَوْمَ الْجُمُعَةِ فَقَالَ فِيهِ سَاعَةٌ لَا يُوَافِقُهَا عَبْدٌ مُسْلِمٌ وَهُوَ قَائِمٌ يُصَلِّي يَسْأَلُ اللَّهَ شَيْئًا إِلَّا أَعْطَاهُ إِيَّاهُ وَأَشَارَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِيَدِهِ يُقَلِّلُهَا",14
235,3,"Telah menceritakan kepadaku dari Malik dari [Abdullah bin Abu Bakar] berkata, saya mendengar [Bapakku] berkata; ""Pada bulan ramadlan kami keluar (selesai dari shalat) segera mempersiapkan makanan karena takut datangnya fajar.""","و حَدَّثَنِي عَنْ مَالِك عَنْ عَبْدِ اللَّهِ بْنِ أَبِي بَكْرٍ قَالَ سَمِعْتُ أَبِي يَقُولُ
كُنَّا نَنْصَرِفُ فِي رَمَضَانَ فَنَسْتَعْجِلُ الْخَدَمَ بِالطَّعَامِ مَخَافَةَ الْفَجْرِ",14
259,3,"Telah menceritakan kepadaku dari Malik dari [Abdurrahman bin Al Qasim] dia mendengar bapaknya [Al Qasim bin Muhammad] berkata; ""Saya tetap shalat witir walau setelah terbit fajar.""","و حَدَّثَنِي مَالِك عَنْ عَبْدِ الرَّحْمَنِ بْنِ الْقَاسِمِ أَنَّهُ سَمِعَ أَبَاهُ الْقَاسِمَ بْنَ مُحَمَّدٍ يَقُولُ
إِنِّي لَأُوتِرُ بَعْدَ الْفَجْرِ",14
339,3,"Telah menceritakan kepadaku Yahya dari Malik dari [Abdul Karim bin Abu Al Mukhariq Al Bashri] bahwa dia berkata; ""Di antara sabda para Nabi adalah: jika kamu tidak malu, maka berbuatlah sekehendakmu. Bersedekap ketika shalat dengan meletakkan tangan kanan di atas tangan kiri, menyegerakan saat berbuka dan mengakhirkan sahur.""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ عَبْدِ الْكَرِيمِ بْنِ أَبِي الْمُخَارِقِ الْبَصْرِيِّ أَنَّهُ قَالَ
مِنْ كَلَامِ النُّبُوَّةِ إِذَا لَمْ تَسْتَحْيِ فَافْعَلْ مَا شِئْتَ وَوَضْعُ الْيَدَيْنِ إِحْدَاهُمَا عَلَى الْأُخْرَى فِي الصَّلَاةِ يَضَعُ الْيُمْنَى عَلَى الْيُسْرَى وَتَعْجِيلُ الْفِطْرِ وَالِاسْتِينَاءُ بِالسَّحُورِ",14
381,3,"Telah menceritakan kepadaku dari Malik dari [Hisyam bin Urwah] dari [Bapaknya] dari [Aisyah] isteri Nabi shallallahu 'alaihi wasallam, ia berkata; ""Amalan yang paling dicintai Rasulullah shallallahu 'alaihi wasallam adalah amalan yang dilakukan secara rutin.""","و حَدَّثَنِي عَنْ مَالِك عَنْ هِشَامِ بْنِ عُرْوَةَ عَنْ أَبِيهِ عَنْ عَائِشَةَ زَوْجِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَنَّهَا قَالَتْ
كَانَ أَحَبُّ الْعَمَلِ إِلَى رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الَّذِي يَدُومُ عَلَيْهِ صَاحِبُهُ",14
384,3,"Telah menceritakan kepadaku dari Malik dari [Nafi'] bahwa [Abdullah bin Umar] mandi pada Hari Raya Idul Fitri sebelum pergi ke tempat shalat Ied.""","و حَدَّثَنِي عَنْ مَالِك عَنْ نَافِعٍ أَنَّ عَبْدَ اللَّهِ بْنَ عُمَرَ
كَانَ يَغْتَسِلُ يَوْمَ الْفِطْرِ قَبْلَ أَنْ يَغْدُوَ إِلَى الْمُصَلَّى",14
557,6,"Telah menceritakan kepadaku Yahya dari Malik dari [Nafi'] dari [Abdullah bin Umar], bahwa Rasulullah shallallahu 'alaihi wasallam sedang membahas tentang Ramadan. Beliau bersabda: ""Janganlah kalian berpuasa hingga kalian melihat hilal, jangan kalian berbuka hingga kalian melihat hilal, namun jika hilal tertutup awan atas kalian maka genapkanlah! ""","حَدَّثَنِي يَحْيَى عَنْ مَالِك عَنْ نَافِعٍ عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ذَكَرَ رَمَضَانَ فَقَالَ لَا تَصُومُوا حَتَّى تَرَوْا الْهِلَالَ وَلَا تُفْطِرُوا حَتَّى تَرَوْهُ فَإِنْ غُمَّ عَلَيْكُمْ فَاقْدُرُوا لَهُ",14
