haditsId,kitabId,indo,arab,label
815,6,"Telah menceritakan kepada kami [Muhammad bin Rafi'] telah menceritakan kepada kami [Abdurrazzaq] telah menceritakan kepada kami [Ma'mar] dari [Hammam bin Munabbih] dia berkata, 'Ini adalah sesuatu yang telah diceritakan kepada kami [Abu Hurairah radhiyallahu'anhu] dari Rasulullah shallallahu'alaihiwasallam, lalu dia menyebutkan beberapa hadits, di antaranya, ""Dan Rasulullah Shallallahu'alaihiwasallam bersabda, 'Aku ditolong dengan rasa takut (yang dihunjamkan di dada-dada musuhku), dan aku diberi Jawami' al-Kalim'.""","حَدَّثَنَا مُحَمَّدُ بْنُ رَافِعٍ حَدَّثَنَا عَبْدُ الرَّزَّاقِ حَدَّثَنَا مَعْمَرٌ عَنْ هَمَّامِ بْنِ مُنَبِّهٍ قَالَ هَذَا مَا حَدَّثَنَا أَبُو هُرَيْرَةَ عَنْ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَذَكَرَ أَحَادِيثَ مِنْهَا
وَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ نُصِرْتُ بِالرُّعْبِ وَأُوتِيتُ جَوَامِعَ الْكَلِمِ",73
967,6,"Dan telah menceritakan kepadaku [Ahmad bin Yusuf Al Azadi] telah menceritakan kepada kami [Umar bin Abdullah bin Razin] telah menceritakan kepada kami [Ibrahim yaitu Ibnu Thahman] dari [Al Hajjaj yaitu Ibnu Hajjaj] dari [Qatadah] dari [Abu Ayyub] dari [Abdullah bin 'Amru bin 'Ash] bahwa ia berkata; Rasulullah shallallahu 'alaihi wasallam pernah ditanya tentang waktu shalat, beliau lalu bersabda: ""Waktu shalat fajar (subuh) sebelum tanduk setan pertama muncul, dan waktu shalat zhuhur jika matahari telah miring dari permukaan langit, selama belum tiba waktu shalat ashar, dan waktu shalat ashar selama matahari belum menguning dan tanduk pertamanya menghilang, dan waktu shalat maghrib jika matahari menghilang selama mega merah (syafaq) menghilang, dan waktu shalat isya' hingga pertengahan malam.""","و حَدَّثَنِي أَحْمَدُ بْنُ يُوسُفَ الْأَزْدِيُّ حَدَّثَنَا عُمَرُ بْنُ عَبْدِ اللَّهِ بْنِ رَزِينٍ حَدَّثَنَا إِبْرَاهِيمُ يَعْنِي ابْنَ طَهْمَانَ عَنْ الْحَجَّاجِ وَهُوَ ابْنُ حَجَّاجٍ عَنْ قَتَادَةَ عَنْ أَبِي أَيُّوبَ عَنْ عَبْدِ اللَّهِ بْنِ عَمْرِو بْنِ الْعَاصِ أَنَّهُ قَالَ
سُئِلَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَنْ وَقْتِ الصَّلَوَاتِ فَقَالَ وَقْتُ صَلَاةِ الْفَجْرِ مَا لَمْ يَطْلُعْ قَرْنُ الشَّمْسِ الْأَوَّلُ وَوَقْتُ صَلَاةِ الظُّهْرِ إِذَا زَالَتْ الشَّمْسُ عَنْ بَطْنِ السَّمَاءِ مَا لَمْ يَحْضُرْ الْعَصْرُ وَوَقْتُ صَلَاةِ الْعَصْرِ مَا لَمْ تَصْفَرَّ الشَّمْسُ وَيَسْقُطْ قَرْنُهَا الْأَوَّلُ وَوَقْتُ صَلَاةِ الْمَغْرِبِ إِذَا غَابَتْ الشَّمْسُ مَا لَمْ يَسْقُطْ الشَّفَقُ وَوَقْتُ صَلَاةِ الْعِشَاءِ إِلَى نِصْفِ اللَّيْلِ",73
1009,6,"Telah menceritakan kepadaku [Ishaq bin Ibrahim] dan [Muhammad bin Hatim], keduanya dari [Muhammad bin Bakr] katanya, (di diriwayatkan dari jalur lain) telah menceritakan kepadaku [Harun bin Abdullah] telah menceritakan kepada kami [Hajjaj bin Muhammad] katanya, (dan diriwayatkan dari jalur lain) telah menceritakan kepadaku [Hajjaj bin Syair] dan [Muhammad bin Rafi'], keduanya berkata; telah menceritakan kepada kami [Abdurrazaq] sedangan lafadz mereka berdekatan, semuanya dari [Ibnu Juraij], katanya; telah mengabarkan kepadaku [Mughirah bin Hakim] dari [Ummu Kultsum binti Abu Bakr], ia mengabarkan kepadanya dari ['Aisyah] katanya; ""Suatu malam Nabi shallallahu 'alaihi wasallam mendirikan shalat 'atamah (isya`) sampai berlalu sebagian besar malam dan penghuni masjid pun ketiduran, setelah itu beliau datang dan shalat. Beliau bersabda: ""Sungguh ini adalah waktu shalat isya' yang tepat, sekiranya aku tidak memberatkan umatku."" Sedang dalam hadis Abdurrazaq disebutkan dengan redaksi ""Kalaulah waktu ini tidak memberatkan umatku.""","حَدَّثَنِي إِسْحَقُ بْنُ إِبْرَاهِيمَ وَمُحَمَّدُ بْنُ حَاتِمٍ كِلَاهُمَا عَنْ مُحَمَّدِ بْنِ بَكْرٍ قَالَ ح و حَدَّثَنِي هَارُونُ بْنُ عَبْدِ اللَّهِ حَدَّثَنَا حَجَّاجُ بْنُ مُحَمَّدٍ قَالَ ح و حَدَّثَنِي حَجَّاجُ بْنُ الشَّاعِرِ وَمُحَمَّدُ بْنُ رَافِعٍ قَالَا حَدَّثَنَا عَبْدُ الرَّزَّاقِ وَأَلْفَاظُهُمْ مُتَقَارِبَةٌ قَالُوا جَمِيعًا عَنْ ابْنِ جُرَيْجٍ قَالَ أَخْبَرَنِي الْمُغِيرَةُ بْنُ حَكِيمٍ عَنْ أُمِّ كُلْثُومٍ بِنْتِ أَبِي بَكْرٍ أَنَّهَا أَخْبَرَتْهُ عَنْ عَائِشَةَ قَالَتْ
أَعْتَمَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ذَاتَ لَيْلَةٍ حَتَّى ذَهَبَ عَامَّةُ اللَّيْلِ وَحَتَّى نَامَ أَهْلُ الْمَسْجِدِ ثُمَّ خَرَجَ فَصَلَّى فَقَالَ إِنَّهُ لَوَقْتُهَا لَوْلَا أَنْ أَشُقَّ عَلَى أُمَّتِي
وَفِي حَدِيثِ عَبْدِ الرَّزَّاقِ لَوْلَا أَنَّ يَشُقَّ عَلَى أُمَّتِي",73
1010,6,"Dan telah menceritakan kepadaku [Zuhair bin Harb] dan [Ishaq bin Ibrahim]. [Ishaq] mengatakan; telah mengabarkan kepada kami, sedangkan Zuhair mengatakan; telah menceritakan kepada kami Jarir dari [Manshur] dari [Al Hakam] dari [Nafi'] dari [Abdullah bin Umar] katanya; ""Suatu malam, kami menunggu Rasulullah shallallahu 'alaihi wasallam untuk shalat isya`, yaitu shalat fardhu terakhir. Lalu Rasulullah shallallahu 'alaihi wasallam menemui kami ketika sepertiga malam telah berlalu atau sesudahnya, kami tidak tahu apakah keluarganya menyibukkan beliau atau ada urusan lainnya. Ketika beliau datang, beliau bersabda: ""Sungguh kalian tengah menunggu-nunggu shalat yang tak ada penganut agama lain menunggunya selain kalian, kalaulah tidak memberatkan umatku, niscaya aku mengimami mereka pada waktu-waktu seperti ini."" Kemudian beliau memerintahkan mu'adzinnya untuk mengiqamati shalat, lalu beliau mendirikan shalat.","و حَدَّثَنِي زُهَيْرُ بْنُ حَرْبٍ وَإِسْحَقُ بْنُ إِبْرَاهِيمَ قَالَ إِسْحَقُ أَخْبَرَنَا وَقَالَ زُهَيْرٌ حَدَّثَنَا جَرِيرٌ عَنْ مَنْصُورٍ عَنْ الْحَكَمِ عَنْ نَافِعٍ عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ قَالَ
مَكَثْنَا ذَاتَ لَيْلَةٍ نَنْتَظِرُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لِصَلَاةِ الْعِشَاءِ الْآخِرَةِ فَخَرَجَ إِلَيْنَا حِينَ ذَهَبَ ثُلُثُ اللَّيْلِ أَوْ بَعْدَهُ فَلَا نَدْرِي أَشَيْءٌ شَغَلَهُ فِي أَهْلِهِ أَوْ غَيْرُ ذَلِكَ فَقَالَ حِينَ خَرَجَ إِنَّكُمْ لَتَنْتَظِرُونَ صَلَاةً مَا يَنْتَظِرُهَا أَهْلُ دِينٍ غَيْرُكُمْ وَلَوْلَا أَنْ يَثْقُلَ عَلَى أُمَّتِي لَصَلَّيْتُ بِهِمْ هَذِهِ السَّاعَةَ ثُمَّ أَمَرَ الْمُؤَذِّنَ فَأَقَامَ الصَّلَاةَ وَصَلَّى",73
1121,7,"Telah menceritakan kepada kami ['Ubaidullah bin Muadz] telah menceritakan kepada kami [Ayahku] telah menceritakan kepada kami [Syu'bah] dari [Khubaib bin Abdurrahman] ia mendengar [Hafs bin 'Ashim] dari [Ibnu Umar] katanya; Nabi shallallahu 'alaihi wasallam pernah shalat di Mina dengan shalatnya musafir, begitu juga Abu Bakr, Umar dan Usman selama delapan tahun."" -Atau mengatakan; enam tahun- [Hafs] mengatakan; [Ibnu Umar] shalat di Mina dua rakaat, kemudian ia mendatangi tempat tidurnya. Lalu aku berkata kepadanya; ""Wahai paman, alangkah baiknya sekiranya engkau lakukan setelahnya dua rakaat."" Dia menjawab; ""Kalaulah aku lakukan dua shalat sunnah itu, niscaya kusempurnakan shalatku."" Telah menceritakan kepada kami [Yahya bin Habib] telah menceritakan kepada kami [Khalid yaitu Ibnu Al Harits] (dan diriwayatkan dari jalur lain) telah menceritakan kepada kami [Ibnu Al Mutsanna] katanya; telah menceritakan kepadaku [Abdusshamad] keduanya berkata; telah menceritakan kepada kami [Syu'bah] dengan sanad seperti ini, namun dalam hadisnya, ia tidak mengatakan ""Di Mina, "" namun ia mengatakan; ""Shalat dalam perjalanan.""","و حَدَّثَنَا عُبَيْدُ اللَّهِ بْنُ مُعَاذٍ حَدَّثَنَا أَبِي حَدَّثَنَا شُعْبَةُ عَنْ خُبَيْبِ بْنِ عَبْدِ الرَّحْمَنِ سَمِعَ حَفْصَ بْنَ عَاصِمٍ عَنْ ابْنِ عُمَرَ قَالَ
صَلَّى النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِمِنًى صَلَاةَ الْمُسَافِرِ وَأَبُو بَكْرٍ وَعُمَرُ وَعُثْمَانُ ثَمَانِيَ سِنِينَ أَوْ قَالَ سِتَّ سِنِينَ
قَالَ حَفْصٌ وَكَانَ ابْنُ عُمَرَ يُصَلِّي بِمِنًى رَكْعَتَيْنِ ثُمَّ يَأْتِي فِرَاشَهُ فَقُلْتُ أَيْ عَمِّ لَوْ صَلَّيْتَ بَعْدَهَا رَكْعَتَيْنِ قَالَ لَوْ فَعَلْتُ لَأَتْمَمْتُ الصَّلَاةَ و حَدَّثَنَاه يَحْيَى بْنُ حَبِيبٍ حَدَّثَنَا خَالِدٌ يَعْنِي ابْنَ الْحَارِثِ ح و حَدَّثَنَا ابْنُ الْمُثَنَّى قَالَ حَدَّثَنِي عَبْدُ الصَّمَدِ قَالَا حَدَّثَنَا شُعْبَةُ بِهَذَا الْإِسْنَادِ وَلَمْ يَقُولَا فِي الْحَدِيثِ بِمِنًى وَلَكِنْ قَالَا صَلَّى فِي السَّفَرِ",73
1132,7,"Telah menceritakan kepada kami [Yahya bin Yahya] katanya; ""Aku pernah menyetorkan hapalan di hadapan [Malik] dari ['Amru bin Yahya Al Mazini] dari [Said bin Yasar] dari [Ibnu Umar], katanya; ""Aku pernah menemui Rasulullah shallallahu 'alaihi wasallam ketika beliau tengah shalat diatas keledai dan menghadap ke Khaibar.""","حَدَّثَنَا يَحْيَى بْنُ يَحْيَى قَالَ قَرَأْتُ عَلَى مَالِكٍ عَنْ عَمْرِو بْنِ يَحْيَى الْمَازِنِيِّ عَنْ سَعِيدِ بْنِ يَسَارٍ عَنْ ابْنِ عُمَرَ قَالَ
رَأَيْتُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يُصَلِّي عَلَى حِمَارٍ وَهُوَ مُوَجِّهٌ إِلَى خَيْبَرَ",73
1147,7,"Dan telah menceritakan kepada kami [Ahmad bin Yunus] dan ['Aun bin Salam] semuanya dari [Zuhair]. [Ibnu Yunus] mengatakan; telah menceritakan kepada kami [Zuhair] telah menceritakan kepada kami [Abu Zubair] dari [Said bin Jubair] dari [Ibnu Abbas] katanya; Rasulullah shallallahu 'alaihi wasallam pernah shalat Zhuhur dan Ashar sekaligus di Madinah bukan karena takut dan bukan pula karena safar."" [Abu Zubair] mengatakan; ""Aku bertanya kepada [Sa'id]; ""Mengapa beliau melakukan hal itu? Dia menjawab; Aku bertanya kepada [Ibnu Abbas] sebagaimana kamu bertanya kepadaku, lalu dia menjawab; ""Beliau ingin supaya tidak merepotkan (memberatkan) seorangpun dari umatnya.""","و حَدَّثَنَا أَحْمَدُ بْنُ يُونُسَ وَعَوْنُ بْنُ سَلَّامٍ جَمِيعًا عَنْ زُهَيْرٍ قَالَ ابْنُ يُونُسَ حَدَّثَنَا زُهَيْرٌ حَدَّثَنَا أَبُو الزُّبَيْرِ عَنْ سَعِيدِ بْنِ جُبَيْرٍ عَنْ ابْنِ عَبَّاسٍ
قَالَ صَلَّى رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الظُّهْرَ وَالْعَصْرَ جَمِيعًا بِالْمَدِينَةِ فِي غَيْرِ خَوْفٍ وَلَا سَفَرٍ
قَالَ أَبُو الزُّبَيْرِ فَسَأَلْتُ سَعِيدًا لِمَ فَعَلَ ذَلِكَ فَقَالَ سَأَلْتُ ابْنَ عَبَّاسٍ كَمَا سَأَلْتَنِي فَقَالَ أَرَادَ أَنْ لَا يُحْرِجَ أَحَدًا مِنْ أُمَّتِهِ",73
1148,7,"Telah menceritakan kepada kami [Yahya bin Habib Al Haritsi] telah menceritakan kepada kami [Khalid yaitu Ibnu Al Harits] telah menceritakan kepada kami [Qurrah] telah menceritakan kepada kami [Abu Zubair] telah menceritakan kepada kami [Said bin Jubair] telah menceritakan kepada kami [Ibnu Abbas] bahwa Rasulullah shallallahu 'alaihi wasallam pernah menjamak shalat dalam safar ketika perang tabuk, beliau menjamak antara zhuhur dan ashar, maghrib dan isya`, "" [Said] berkata; lalu aku berkata kepada [Ibnu Abbas]; ""Apa yang mendorong beliau melakukan hal itu? Dia menjawab; ""Beliau ingin supaya tidak memberatkan umatnya.""","و حَدَّثَنَا يَحْيَى بْنُ حَبِيبٍ الْحَارِثِيُّ حَدَّثَنَا خَالِدٌ يَعْنِي ابْنَ الْحَارِثِ حَدَّثَنَا قُرَّةُ حَدَّثَنَا أَبُو الزُّبَيْرِ حَدَّثَنَا سَعِيدُ بْنُ جُبَيْرٍ حَدَّثَنَا ابْنُ عَبَّاسٍ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ جَمَعَ بَيْنَ الصَّلَاةِ فِي سَفْرَةٍ سَافَرَهَا فِي غَزْوَةِ تَبُوكَ فَجَمَعَ بَيْنَ الظُّهْرِ وَالْعَصْرِ وَالْمَغْرِبِ وَالْعِشَاءِ
قَالَ سَعِيدٌ فَقُلْتُ لِابْنِ عَبَّاسٍ مَا حَمَلَهُ عَلَى ذَلِكَ قَالَ أَرَادَ أَنْ لَا يُحْرِجَ أُمَّتَهُ",73
1150,7,"Telah menceritakan kepada kami [Yahya bin Habib] telah menceritakan kepada kami [Khalid yaitu Ibnu Al Harits] telah menceritakan kepada kami [Qurrah bin Khalid] telah menceritakan kepada kami [Abu Zubair] telah menceritakan kepada kami ['Amir bin Watsilah Abu Thufail] telah menceritakan kepada kami [Muadz bin Jabal] katanya; ""Ketika perang Tabuk, Rasulullah shallallahu 'alaihi wasallam pernah menjamak antara zhuhur dan ashar, antara maghrib dan isya'."" 'Amir berkata; lalu aku bertanya kepadanya; ""Apa yang mendorong beliau melakukan hal itu? Mu'adz menjawab; ""Beliau ingin supaya tidak memberatkan umatnya.""","حَدَّثَنَا يَحْيَى بْنُ حَبِيبٍ حَدَّثَنَا خَالِدٌ يَعْنِي ابْنَ الْحَارِثِ حَدَّثَنَا قُرَّةُ بْنُ خَالِدٍ حَدَّثَنَا أَبُو الزُّبَيْرِ حَدَّثَنَا عَامِرُ بْنُ وَاثِلَةَ أَبُو الطُّفَيْلِ حَدَّثَنَا مُعَاذُ بْنُ جَبَلٍ قَالَ
جَمَعَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي غَزْوَةِ تَبُوكَ بَيْنَ الظُّهْرِ وَالْعَصْرِ وَبَيْنَ الْمَغْرِبِ وَالْعِشَاءِ
قَالَ فَقُلْتُ مَا حَمَلَهُ عَلَى ذَلِكَ قَالَ فَقَالَ أَرَادَ أَنْ لَا يُحْرِجَ أُمَّتَهُ",73
1151,7,"Dan telah menceritakan kepada kami [Abu Bakar bin Abu Syaibah] dan [Abu Kuraib] keduanya berkata; telah menceritakan kepada kami [Abu Muawiyah] (dan diriwayatkan dari jalur lain) telah menceritakan kepada kami [Abu Kuraib] dan [Abu Said Al Asyajj] sedangkan lafadznya milik Abu Kuraib, keduanya berkata; telah menceritakan kepada kami [Waki'], keduanya dari [Al A'masy] dari [Habib bin Abu Tsabit] dari [Said bin Jubair] dari [Ibnu Abbas] katanya; ""Rasulullah shallallahu 'alaihi wasallam pernah menjamak antara zhuhur dan ashar, maghrib dan isya` di Madinah, bukan karena ketakutan dan bukan pula karena hujan."" Dalam hadis Waki', katanya; aku tanyakan kepada Ibnu Abbas; ""Mengapa beliau lakukan hal itu?"" Dia menjawab; ""Beliau ingin supaya tidak memberatkan umatnya.""","و حَدَّثَنَا أَبُو بَكْرِ بْنُ أَبِي شَيْبَةَ وَأَبُو كُرَيْبٍ قَالَا حَدَّثَنَا أَبُو مُعَاوِيَةَ ح و حَدَّثَنَا أَبُو كُرَيْبٍ وَأَبُو سَعِيدٍ الْأَشَجُّ وَاللَّفْظُ لِأَبِي كُرَيْبٍ قَالَا حَدَّثَنَا وَكِيعٌ كِلَاهُمَا عَنْ الْأَعْمَشِ عَنْ حَبِيبِ بْنِ أَبِي ثَابِتٍ عَنْ سَعِيدِ بْنِ جُبَيْرٍ عَنْ ابْنِ عَبَّاسٍ قَالَ
جَمَعَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بَيْنَ الظُّهْرِ وَالْعَصْرِ وَالْمَغْرِبِ وَالْعِشَاءِ بِالْمَدِينَةِ فِي غَيْرِ خَوْفٍ وَلَا مَطَرٍ
فِي حَدِيثِ وَكِيعٍ قَالَ قُلْتُ لِابْنِ عَبَّاسٍ لِمَ فَعَلَ ذَلِكَ قَالَ كَيْ لَا يُحْرِجَ أُمَّتَهُ وَفِي حَدِيثِ أَبِي مُعَاوِيَةَ قِيلَ لِابْنِ عَبَّاسٍ مَا أَرَادَ إِلَى ذَلِكَ قَالَ أَرَادَ أَنْ لَا يُحْرِجَ أُمَّتَهُ",73
