haditsId,kitabId,indo,arab,label
253,1,"Telah mengabarkan kepada kami [Ali bin Hujr] dia berkata; Telah memberitakan kepada kami [Isa] dari [Al A'masy] dari [Salim] dari [Kuraib] dari [Ibnu Abbas] dia berkata; Telah menceritakan kepadaku sepupuku - [Maimunah] - dia berkata; ' Aku mendekat kepada Rasulullah shallallahu 'alaihi wasallam saat beliau mandi junub; beliau mencuci kedua telapak tangannya dua kali atau tiga kali, kemudian memasukkan tangannya kedalam bejana, lalu menuangkan air ke kemaluannya dan mencuci dengan tangan kirinya, lalu memukulkan tangan kirinya ke tanah dan menggosok-gosoknya dengan kuat, kemudian beliau berwudlu sebagaimana wudlu untuk shalat. Selanjutnya beliau menyiramkan air sepenuh telapak tangan ke kepalanya sebanyak tiga kali, dan membasuh seluruh badannya. Kemudian berpindah dari tempat mandinya, lalu membasuh kakinya."" Dia berkata, ""Aku membawakan handuk, namun beliau menolaknya.""","أَخْبَرَنَا عَلِيُّ بْنُ حُجْرٍ قَالَ أَنْبَأَنَا عِيسَى عَنْ الْأَعْمَشِ عَنْ سَالِمٍ عَنْ كُرَيْبٍ عَنْ ابْنِ عَبَّاسٍ قَالَ حَدَّثَتْنِي خَالَتِي مَيْمُونَةُ قَالَتْ
أَدْنَيْتُ لِرَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ غُسْلَهُ مِنْ الْجَنَابَةِ فَغَسَلَ كَفَّيْهِ مَرَّتَيْنِ أَوْ ثَلَاثًا ثُمَّ أَدْخَلَ بِيَمِينِهِ فِي الْإِنَاءِ فَأَفْرَغَ بِهَا عَلَى فَرْجِهِ ثُمَّ غَسَلَهُ بِشِمَالِهِ ثُمَّ ضَرَبَ بِشِمَالِهِ الْأَرْضَ فَدَلَكَهَا دَلْكًا شَدِيدًا ثُمَّ تَوَضَّأَ وُضُوءَهُ لِلصَّلَاةِ ثُمَّ أَفْرَغَ عَلَى رَأْسِهِ ثَلَاثَ حَثَيَاتٍ مِلْءَ كَفِّهِ ثُمَّ غَسَلَ سَائِرَ جَسَدِهِ ثُمَّ تَنَحَّى عَنْ مَقَامِهِ فَغَسَلَ رِجْلَيْهِ قَالَتْ ثُمَّ أَتَيْتُهُ بِالْمِنْدِيلِ فَرَدَّهُ",32
1346,13,"Telah mengabarkan kepada kami ['Ali bin Hujr] dia berkata; telah menceritakan kepada kami ['Ali bin Mushar] dari [Al Mukhtar bin Fulful] dari [Anas bin Malik] dia berkata; ""Suatu hari Rasulullah Shalallahu 'Alaihi Wa Sallam bersama kami, kemudian beliau menghadap kami lalu bersabda: 'Aku adalah imam kalian, maka janganlah kalian mendahuluiku saat ruku', sujud, berdiri, dan saat aku beranjak dari shalat. Sesungguhnya aku melihat kalian dari arah depan dan balakang."" Kemudian beliau menambahkan, 'Demi Dzat yang jiwaku ada ditangan-Nya, seandainya kalian dapat melihat apa yang aku lihat, maka kalian pasti akan sedikit tertawa dan banyak menangis'. Kami bertanya, 'Apa yang engkau lihat wahai Rasulullah Shalallahu 'Alaihi Wa Sallam? ' Beliau menjawab: 'Aku melihat surga dan neraka.""","أَخْبَرَنَا عَلِيُّ بْنُ حُجْرٍ قَالَ حَدَّثَنَا عَلِيُّ بْنُ مُسْهِرٍ عَنْ الْمُخْتَارِ ابْنِ فُلْفُلٍ عَنْ أَنَسِ بْنِ مَالِكٍ قَالَ
صَلَّى بِنَا رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ذَاتَ يَوْمٍ ثُمَّ أَقْبَلَ عَلَيْنَا بِوَجْهِهِ فَقَالَ إِنِّي إِمَامُكُمْ فَلَا تُبَادِرُونِي بِالرُّكُوعِ وَلَا بِالسُّجُودِ وَلَا بِالْقِيَامِ وَلَا بِالِانْصِرَافِ فَإِنِّي أَرَاكُمْ مِنْ أَمَامِي وَمِنْ خَلْفِي ثُمَّ قَالَ وَالَّذِي نَفْسِي بِيَدِهِ لَوْ رَأَيْتُمْ مَا رَأَيْتُ لَضَحِكْتُمْ قَلِيلًا وَلَبَكَيْتُمْ كَثِيرًا قُلْنَا مَا رَأَيْتَ يَا رَسُولَ اللَّهِ قَالَ رَأَيْتُ الْجَنَّةَ وَالنَّارَ",32
1365,14,"Telah mengabarkan kepada kami [Qutaibah] dari [Malik] dari [Nafi'] dari ['Abdullah bin 'Umar] bahwa Umar bin Khattab melihat kain sutera, maka ia berkata, ""Wahai Rasulullah Shalallahu 'Alaihi Wa Sallam, bagaimana kalau membeli ini dan mengenakannya saat hari Jum'at, juga saat ada utusan yang datang kepadamu?"" Beliau Shalallahu 'Alaihi Wa Sallam lalu bersabda: ""Ini hanya dipakai oleh orang yang tidak mempunyai bagian pada hari akhir."" Kemudian dia (Umar) datang lagi kepada Rasulullah Shalallahu 'Alaihi Wa Sallam seperti semula, lalu Rasulullah Shalallahu 'Alaihi Wa Sallam memberikan sutera tersebut kepadanya. Umar lalu berkata; ""Wahai Rasulullah Shalallahu 'Alaihi Wa Sallam, apakah engkau memerintahkanku agar memakainya, padahal engkau telah mengatakan (larangan) tentang sutera mewah itu?"" Lalu Rasulullah Shalallahu 'Alaihi Wa Sallam bersabda: ""Aku memberimu bukan untuk dipakai."" Lalu Umar memberikannya kepada saudaranya di Makkah yang masih musyrik. ","أَخْبَرَنَا قُتَيْبَةُ عَنْ مَالِكٍ عَنْ نَافِعٍ عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ
أَنَّ عُمَرَ بْنَ الْخَطَّابِ رَأَى حُلَّةً فَقَالَ يَا رَسُولَ اللَّهِ لَوْ اشْتَرَيْتَ هَذِهِ فَلَبِسْتَهَا يَوْمَ الْجُمُعَةِ وَلِلْوَفْدِ إِذَا قَدِمُوا عَلَيْكَ قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ إِنَّمَا يَلْبَسُ هَذِهِ مَنْ لَا خَلَاقَ لَهُ فِي الْآخِرَةِ ثُمَّ جَاءَ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مِثْلُهَا فَأَعْطَى عُمَرَ مِنْهَا حُلَّةً فَقَالَ عُمَرُ يَا رَسُولَ اللَّهِ كَسَوْتَنِيهَا وَقَدْ قُلْتَ فِي حُلَّةِ عُطَارِدٍ مَا قُلْتَ قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ لَمْ أَكْسُكَهَا لِتَلْبَسَهَا فَكَسَاهَا عُمَرُ أَخًا لَهُ مُشْرِكًا بِمَكَّةَ",32
1927,21,"Telah mengabarkan kepada kami [Suwaid bin Nashr] dia berkata; telah memberitakan kepada kami ['Abdullah] dari [Ibnu Juraij] dia berkata; telah mengabarkan kepadaku ['Ikrimah bin Khalid] bahwasanya [Ibnu Abu 'Ammar] mengabarkan kepadanya dari [Syaddad bin Al Had] bahwa seorang laki-laki dari seorang badui datang menemui Nabi shallallahu 'alaihi wasallam, lalu ia beriman dan mengikuti beliau. Kemudian dia berkata, ""Aku akan berhijrah bersama engkau?"" beliau berwasiat dengan orang tersebut kepada sebagian sahabat beliau. Setelah terjadi perang, Nabi shallallahu 'alaihi wasallam mendapatkan ghanimah (harta rampasan perang) berupa tawanan, beliau membagikan dan membagi untuknya, lalu beliau memberikan kepada para sahabat beliau sesuatu yang beliau bagi untuknya dan ia sendiri sedang mengatur urusan mereka. Setelah ia datang, ia memberikannya kepada orang itu, lalu ia berkata; ""Apa ini?"" mereka menjawab; ""Bagian yang telah Nabi shallallahu 'alaihi wasallam bagi untukmu."" Kemudian ia mengambilnya dan membawanya menemui Nabi shallallahu 'alaihi wasallam, lalu bertanya; ""Apa ini?"" beliau bersabda: 'Aku telah membaginya untukmu.' Ia berkata; ""Bukan untuk hal ini aku mengikuti engkau. Tapi aku mengikuti engkau agar aku dilemparkan ke sini -ia mengisyaratkan tombaknya ke tenggorokannya- lalu aku mati dan masuk surga."" beliau bersabda: ""Jika jujur kepada Allah, niscaya Allah akan membalas sikap kejujuranmu."" Lalu mereka diam sejenak, kemudian bangkit melawan musuh, orang tersebut dibawa ke tempat Nabi shallallahu 'alaihi wasallam dengan cara diangkut, ia terkena tombak yang diisyaratkan, lalu Nabi shallallahu 'alaihi wasallam bersabda: ""Apakah ia orangnya?!"" mereka menjawab; ""ya."" Beliau bersabda: ""Dia benar dalam berjanji kepada Allah, Allah membalasnya dengan kebenaran."" Kemudian Nabi shallallahu 'alaihi wasallam mengkafaninya dengan jubah beliau shallallahu 'alaihi wasallam, beliau mengajukan dan menshalatkannya. Do'a yang nampak dalam Shalat beliau yaitu, ""Ya Allah, inilah hamba-Mu, ia telah keluar jihad di jalan-Mu, lalu ia terbunuh dalam keadaan Syahid, aku menjadi saksi atas hal tersebut.""","أَخْبَرَنَا سُوَيْدُ بْنُ نَصْرٍ قَالَ أَنْبَأَنَا عَبْدُ اللَّهِ عَنْ ابْنِ جُرَيْجٍ قَالَ أَخْبَرَنِي عِكْرِمَةُ بْنُ خَالِدٍ أَنَّ ابْنَ أَبِي عَمَّارٍ أَخْبَرَهُ عَنْ شَدَّادِ بْنِ الْهَادِ
أَنَّ رَجُلًا مِنْ الْأَعْرَابِ جَاءَ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَآمَنَ بِهِ وَاتَّبَعَهُ ثُمَّ قَالَ أُهَاجِرُ مَعَكَ فَأَوْصَى بِهِ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بَعْضَ أَصْحَابِهِ فَلَمَّا كَانَتْ غَزْوَةٌ غَنِمَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ سَبْيًا فَقَسَمَ وَقَسَمَ لَهُ فَأَعْطَى أَصْحَابَهُ مَا قَسَمَ لَهُ وَكَانَ يَرْعَى ظَهْرَهُمْ فَلَمَّا جَاءَ دَفَعُوهُ إِلَيْهِ فَقَالَ مَا هَذَا قَالُوا قِسْمٌ قَسَمَهُ لَكَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَأَخَذَهُ فَجَاءَ بِهِ إِلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَقَالَ مَا هَذَا قَالَ قَسَمْتُهُ لَكَ قَالَ مَا عَلَى هَذَا اتَّبَعْتُكَ وَلَكِنِّي اتَّبَعْتُكَ عَلَى أَنْ أُرْمَى إِلَى هَاهُنَا وَأَشَارَ إِلَى حَلْقِهِ بِسَهْمٍ فَأَمُوتَ فَأَدْخُلَ الْجَنَّةَ فَقَالَ إِنْ تَصْدُقْ اللَّهَ يَصْدُقْكَ فَلَبِثُوا قَلِيلًا ثُمَّ نَهَضُوا فِي قِتَالِ الْعَدُوِّ فَأُتِيَ بِهِ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يُحْمَلُ قَدْ أَصَابَهُ سَهْمٌ حَيْثُ أَشَارَ فَقَالَ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَهُوَ هُوَ قَالُوا نَعَمْ قَالَ صَدَقَ اللَّهَ فَصَدَقَهُ ثُمَّ كَفَّنَهُ النَّبِيُّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فِي جُبَّةِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ ثُمَّ قَدَّمَهُ فَصَلَّى عَلَيْهِ فَكَانَ فِيمَا ظَهَرَ مِنْ صَلَاتِهِ اللَّهُمَّ هَذَا عَبْدُكَ خَرَجَ مُهَاجِرًا فِي سَبِيلِكَ فَقُتِلَ شَهِيدًا أَنَا شَهِيدٌ عَلَى ذَلِكَ",32
1999,21,"Telah mengabarkan kepada kami [Ahmad bin Sulaiman] dia berkata; telah menceritakan kepada kami [Abu Nu'aim] dan [Yahya bin Adam] dia berkata; telah menceritakan kepada kami [Malik bin Mighwal] dari [Simak] dari [Jabir bin Samurah] dia berkata; ""Rasulullah shallallahu 'alaihi wasallam keluar untuk mengiringi jenazah Abu Ad Dahdah, setelah kembali beliau ditawari -untuk menunggangi- kuda yang tidak berpelana, lalu beliau menungganginya dan kami berjalan bersamanya.","أَخْبَرَنَا أَحْمَدُ بْنُ سُلَيْمَانَ قَالَ حَدَّثَنَا أَبُو نُعَيْمٍ وَيَحْيَى بْنُ آدَمَ قَالَ حَدَّثَنَا مَالِكُ بْنُ مِغْوَلٍ عَنْ سِمَاكٍ عَنْ جَابِرِ بْنِ سَمُرَةَ قَالَ
خَرَجَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ عَلَى جَنَازَةِ أَبِي الدَّحْدَاحِ فَلَمَّا رَجَعَ أُتِيَ بِفَرَسٍ مُعْرَوْرًى فَرَكِبَ وَمَشَيْنَا مَعَهُ",32
2283,22,"Telah mengabarkan kepada kami ['Amr bin Manshur] dia berkata; telah menceritakan kepada kami ['Ashim bin Yusuf] dia berkata; telah menceritakan kepada kami [Abul Ahwash] dari [Thalhah bin Yahya bin Thalhah] dari [Mujahid] dari ['Aisyah] dia berkata; ""Pada suatu hari Rasulullah shallallahu 'alaihi wasallam masuk menemuiku lalu bersabda: ""Apakah kamu memiliki sesuatu?"" Aku menjawab; ""Tidak."" Beliau bersabda: "" Maka aku berpuasa."" Kemudian beliau menemuiku lagi setelah hari itu dan telah dihadiahkan hais (makanan yang terbuat dari kurma) untukku, maka kusimpan makanan itu untuk beliau-padahal beliau menyukai hais-. Ia berkata; ""Wahai Rasulullah shallallahu 'alaihi wasallam, kita diberi hadiah hais, lalu kusimpan makanan itu untukmu."" Beliau bersabda: ""Bawalah kemari, pagi tadi aku berniat untuk berpuasa."" Lalu beliau memakannya, kemudian bersabda: ', perumpamaan puasa sunnah seperti seorang yang mengeluarkan hartanya untuk bersedekah, jika ia ingin bersedekah, maka boleh menyedekahkannya dan jika ia ingin manahannya, boleh menahannya.'","أَخْبَرَنَا عَمْرُو بْنُ مَنْصُورٍ قَالَ حَدَّثَنَا عَاصِمُ بْنُ يُوسُفَ قَالَ حَدَّثَنَا أَبُو الْأَحْوَصِ عَنْ طَلْحَةَ بْنِ يَحْيَى بْنِ طَلْحَةَ عَنْ مُجَاهِدٍ عَنْ عَائِشَةَ قَالَتْ
دَخَلَ عَلَيَّ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَوْمًا فَقَالَ هَلْ عِنْدَكُمْ شَيْءٌ فَقُلْتُ لَا قَالَ فَإِنِّي صَائِمٌ ثُمَّ مَرَّ بِي بَعْدَ ذَلِكَ الْيَوْمِ وَقَدْ أُهْدِيَ إِلَيَّ حَيْسٌ فَخَبَأْتُ لَهُ مِنْهُ وَكَانَ يُحِبُّ الْحَيْسَ قَالَتْ يَا رَسُولَ اللَّهِ إِنَّهُ أُهْدِيَ لَنَا حَيْسٌ فَخَبَأْتُ لَكَ مِنْهُ قَالَ أَدْنِيهِ أَمَا إِنِّي قَدْ أَصْبَحْتُ وَأَنَا صَائِمٌ فَأَكَلَ مِنْهُ ثُمَّ قَالَ إِنَّمَا مَثَلُ صَوْمِ الْمُتَطَوِّعِ مَثَلُ الرَّجُلِ يُخْرِجُ مِنْ مَالِهِ الصَّدَقَةَ فَإِنْ شَاءَ أَمْضَاهَا وَإِنْ شَاءَ حَبَسَهَا",32
2289,22,"Telah mengabarkan kepadaku [Abu Bakr bin 'Ali] dia berkata; telah menceritakan kepada kami [Nashr bin 'Ali] dia berkata; [bapakku] telah mengabarkan kepadaku dari [Al Qasim bin Ma'n] dari [Thalhah bin Yahya] dari ['Aisyah bintu Thalhah] dan [Mujahid] dari ['Aisyah] bahwa Rasulullah shallallahu 'alaihi wasallam datang menemuinya lalu bersabda: ""Apakah kalian memiliki makanan?"" Aku menjawab, ""Tidak."" Beliau bersabda: ' aku berpuasa.' Kemudian di hari yang lain beliau datang menemuinya, lalu Aisyah berkata; ""Wahai Rasulullah shallallahu 'alaihi wasallam, telah dihadiahkan hais untuk kita, maka beliau memintanya dan bersabda: "" pagi tadi aku berniat untuk berpuasa."" Lalu beliau makan."" Telah mengabarkan kepadaku ['Amru bin Yahya bin Al Harits] dia berkata; Telah menceritakan kepadaku [Al Mu'afa bin Sulaiman] dia berkata; telah menceritakan kepada kami [Al Qasim] dari [Thalhah bin Yahya] dari [Mujahid] dari [Ummu Kultsum] bahwa Rasulullah shallallahu 'alaihi wasallam menemui Aisyah beliau berkata: 'Apakah kamu memiliki makanan?, -seperti Hadist diatas-. Abu Abdurrahman berkata; dan Simak bin Harb telah meriwayatkannya dia berkata; Telah menceritakan kepadaku seorang laki-laki, dari Aisyah binti Thalhah. ","أَخْبَرَنِي أَبُو بَكْرِ بْنُ عَلِيٍّ قَالَ حَدَّثَنَا نَصْرُ بْنُ عَلِيٍّ قَالَ أَخْبَرَنِي أَبِي عَنْ الْقَاسِمِ بْنِ مَعْنٍ عَنْ طَلْحَةَ بْنِ يَحْيَى عَنْ عَائِشَةَ بِنْتِ طَلْحَةَ وَمُجَاهِدٍ عَنْ عَائِشَةَ
أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ أَتَاهَا فَقَالَ هَلْ عِنْدَكُمْ طَعَامٌ فَقُلْتُ لَا قَالَ إِنِّي صَائِمٌ ثُمَّ جَاءَ يَوْمًا آخَرَ فَقَالَتْ عَائِشَةُ يَا رَسُولَ اللَّهِ إِنَّا قَدْ أُهْدِيَ لَنَا حَيْسٌ فَدَعَا بِهِ فَقَالَ أَمَا إِنِّي قَدْ أَصْبَحْتُ صَائِمًا فَأَكَلَ
أَخْبَرَنِي عَمْرُو بْنُ يَحْيَى بْنِ الْحَارِثِ قَالَ حَدَّثَنَا الْمُعَافَى بْنُ سُلَيْمَانَ قَالَ حَدَّثَنَا الْقَاسِمُ عَنْ طَلْحَةَ بْنِ يَحْيَى عَنْ مُجَاهِدٍ وَأُمِّ كُلْثُومٍ أَنَّ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ دَخَلَ عَلَى عَائِشَةَ فَقَالَ هَلْ عِنْدَكُمْ طَعَامٌ نَحْوَهُ قَالَ أَبُو عَبْد الرَّحْمَنِ وَقَدْ رَوَاهُ سِمَاكُ بْنُ حَرْبٍ قَالَ حَدَّثَنِي رَجُلٌ عَنْ عَائِشَةَ بِنْتِ طَلْحَةَ",32
2290,22,"Telah mengabarkan kepadaku [Shafwan bin 'Amr] dia berkata; telah menceritakan kepada kami [Ahmad bin Khalid] dia berkata; telah menceritakan kepada kami [Israil] dari [Simak bin Harb] dia berkata; telah menceritakan kepadaku [seorang lelaki] dari ['Aisyah bintu Thalhah] dari ['Aisyah] -Ummul Mukminin-, dia berkata; Pada suatu hari Rasulullah shallallahu 'alaihi wasallam datang seraya berkata: ""Apakah kalian memiliki makanan?"" Aku menjawab, ""Tidak."" Beliau bersabda: ""Jika demikian, aku berpuasa."" Aisyah berkata; ""Beliau masuk menemuiku lagi, lalu aku berkata; ""Wahai Rasulullah shallallahu 'alaihi wasallam, telah dihadiahkan hais untuk kita, "" maka beliau bersabda: ""Jika demikian, hari ini aku berbuka, walaupun aku telah berniat berpuasa.""","أَخْبَرَنِي صَفْوَانُ بْنُ عَمْرٍو قَالَ حَدَّثَنَا أَحْمَدُ بْنُ خَالِدٍ قَالَ حَدَّثَنَا إِسْرَائِيلُ عَنْ سِمَاكِ بْنِ حَرْبٍ قَالَ حَدَّثَنِي رَجُلٌ عَنْ عَائِشَةَ بِنْتِ طَلْحَةَ عَنْ عَائِشَةَ أُمِّ الْمُؤْمِنِينَ قَالَتْ
جَاءَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ يَوْمًا فَقَالَ هَلْ عِنْدَكُمْ مِنْ طَعَامٍ قُلْتُ لَا قَالَ إِذًا أَصُومُ قَالَتْ وَدَخَلَ عَلَيَّ مَرَّةً أُخْرَى فَقُلْتُ يَا رَسُولَ اللَّهِ قَدْ أُهْدِيَ لَنَا حَيْسٌ فَقَالَ إِذًا أُفْطِرُ الْيَوْمَ وَقَدْ فَرَضْتُ الصَّوْمَ",32
2420,23,"Telah mengabarkan kepadaku ['Imran bin Bakkar] dia berkata; telah menceritakan kepada kami ['Ali bin 'Ayyasy] dia berkata; telah menceritakan kepada kami [Syu'aib] dia berkata; telah menceritakan kepadaku [Abu Az Zinad] dari apa-apa yang diceritakan kepadanya oleh ['Abdurrahman Al A'raj] disebutkan bahwasanya ia mendengar [Abu Hurairah] berkata; [Umar] berkata Rasulullah shallallahu 'alaihi wasallam memerintahkan untuk mengambil zakat, lalu dikatakan; ""Ibnu Jamil, Khalid bin Al Walid dan Abbas bin Abdul Muthalib tidak mau memberikannya."" Maka Rasulullah shallallahu 'alaihi wasallam bersabda: 'Tidaklah Ibnu Jamil merasa enggan untuk membayarnya, hanya saja dahulu ia fakir lalu Allah menjadikan ia kaya. Sedangkan Khalid bin Al Walid, sungguh kalian telah menzhalimi Khalid, ia telah mewakafkan baju besi dan peralatan perangnya di jalan Allah. Sedangkan Al Abbas bin Abdul Muthalib, paman Rasulullah shallallahu 'alaihi wasallam, dia berkewajiban membayar zakat dan zakat yang sama bersamaan dengannya.' Telah mengabarkan kepada kami [Ahmad bin Hafsh] dia berkata; Telah menceritakan kepada kami [Bapakku] dia berkata; Telah menceritakan kepada kami [Ibrahim bin Thahman] dari [Musa] dia berkata; Telah menceritakan kepadaku [Abu Zinad] dari [Abdurrahman] dari [Abu Hurairah] dia berkata; Rasulullah shallallahu 'alaihi wasallam memerintahkan untuk mengambil zakat sama seperti diatas.","أَخْبَرَنِي عِمْرَانُ بْنُ بَكَّارٍ قَالَ حَدَّثَنَا عَلِيُّ بْنُ عَيَّاشٍ قَالَ حَدَّثَنَا شُعَيْبٌ قَالَ حَدَّثَنِي أَبُو الزِّنَادِ مِمَّا حَدَّثَهُ عَبْدُ الرَّحْمَنِ الْأَعْرَجُ مِمَّا ذَكَرَ أَنَّهُ سَمِعَ أَبَا هُرَيْرَةَ يُحَدِّثُ قَالَ وَقَالَ عُمَرُ
أَمَرَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِصَدَقَةٍ فَقِيلَ مَنَعَ ابْنُ جَمِيلٍ وَخَالِدُ بْنُ الْوَلِيدِ وَعَبَّاسُ بْنُ عَبْدِ الْمُطَّلِبِ فَقَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَا يَنْقِمُ ابْنُ جَمِيلٍ إِلَّا أَنَّهُ كَانَ فَقِيرًا فَأَغْنَاهُ اللَّهُ وَأَمَّا خَالِدُ بْنُ الْوَلِيدِ فَإِنَّكُمْ تَظْلِمُونَ خَالِدًا قَدْ احْتَبَسَ أَدْرَاعَهُ وَأَعْتُدَهُ فِي سَبِيلِ اللَّهِ وَأَمَّا الْعَبَّاسُ بْنُ عَبْدِ الْمُطَّلِبِ عَمُّ رَسُولِ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ فَهِيَ عَلَيْهِ صَدَقَةٌ وَمِثْلُهَا مَعَهَا
أَخْبَرَنَا أَحْمَدُ بْنُ حَفْصٍ قَالَ حَدَّثَنِي أَبِي قَالَ حَدَّثَنِي إِبْرَاهِيمُ بْنُ طَهْمَانَ عَنْ مُوسَى قَالَ حَدَّثَنِي أَبُو الزِّنَادِ عَنْ عَبْدِ الرَّحْمَنِ عَنْ أَبِي هُرَيْرَةَ قَالَ أَمَرَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ بِصَدَقَةٍ مِثْلَهُ سَوَاءً",32
2478,23,"Telah mengabarkan kepada kami [Qutaibah] dia berkata; telah menceritakan kepada kami [Al Laits] dari [Sa'id bin Abu Sa'id] dari [Sa'id bin Yasar] bahwasanya ia mendengar [Abu Hurairah] berkata; Rasulullah Shalallahu 'Alaihi Wa Sallam bersabda: ""Tidaklah seseorang bersedekah berupa sesuatu yang baik -dan Allah Azza Wa jalla tidak menerima kecuali yang baik- melainkan Ar-Rahman Azza Wa Jalla akan mengambilnya dengan tangan kanan-Nya. Jika sedekah itu berupa satu biji kurma, maka akan bertambah di telapak tangan Ar-Rahman hingga menjadi lebih besar dari gunung; seperti salah seorang dari kalian yang memelihara anak kuda atau anak untanya.""","أَخْبَرَنَا قُتَيْبَةُ قَالَ حَدَّثَنَا اللَّيْثُ عَنْ سَعِيدِ بْنِ أَبِي سَعِيدٍ عَنْ سَعِيدِ بْنِ يَسَارٍ أَنَّهُ سَمِعَ أَبَا هُرَيْرَةَ يَقُولُ
قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ مَا تَصَدَّقَ أَحَدٌ بِصَدَقَةٍ مِنْ طَيِّبٍ وَلَا يَقْبَلُ اللَّهُ عَزَّ وَجَلَّ إِلَّا الطَّيِّبَ إِلَّا أَخَذَهَا الرَّحْمَنُ عَزَّ وَجَلَّ بِيَمِينِهِ وَإِنْ كَانَتْ تَمْرَةً فَتَرْبُو فِي كَفِّ الرَّحْمَنِ حَتَّى تَكُونَ أَعْظَمَ مِنْ الْجَبَلِ كَمَا يُرَبِّي أَحَدُكُمْ فَلُوَّهُ أَوْ فَصِيلَهُ",32
